,,State,Region ##,District,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed,Econ Disadv,EL,
Grade 4 Writing,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2018,SDA04AWR1S18R,RDA04AWR1S18R,DDA04AWR1S18R,DDB04AWR1S18R,DDH04AWR1S18R,DDW04AWR1S18R,"DDI04AWR1S18R
:unselected:",DD304AWR1S18R,DD404AWR1S18R,DD204AWR1S18R,DDS04AWR1S18R,DDE04AWR1S18R,DDL04AWR1S18R,
,2017,SDA04AWR1S17R,RDA04AWR1S17R,DDA04AWR1S17R,DDB04AWR1S17R,DDH04AWR1S17R,DDW04AWR1S17R,"DDI04AWR1S17R
:unselected:",DD304AWR1S17R,DD404AWR1S17R,DD204AWR1S17R,DDS04AWR1S17R,DDE04AWR1S17R,DDL04AWR1S17R,
At Meets Grade Level or Above,2018,SDA04AWR1218R,RDA04AWR1218R,DDA04AWR1218R,DDB04AWR1218R,DDH04AWR1218R,DDW04AWR1218R,DDI04AWR1218R,"DD304AWR1218R
:unselected:",DD404AWR1218R,DD204AWR1218R,DDS04AWR1218R,DDE04AWR1218R,DDL04AWR1218R,
,2017,SDA04AWR1317R,RDA04AWR1317R,DDA04AWR1317R,DDB04AWR1317R,DDH04AWR1317R,DDW04AWR1317R,DDI04AWR1317R,"DD304AWR1317R
:unselected:",DD404AWR1317R,DD204AWR1317R,DDS04AWR1317R,DDE04AWR1317R,DDL04AWR1317R,
At Masters Grade Level or Above,2018,SDA04AWR1318R,RDA04AWR1318R,DDA04AWR1318R,DDB04AWR1318R,"DDH04AWR1318R
:unselected:",DDW04AWR1318R,"DDI04AWR1318R
:unselected:","DD304AWR1318R
:unselected:",DD404AWR1318R,DD204AWR1318R,DDS04AWR1318R,DDE04AWR1318R,DDL04AWR1318R,
,2017,SDA04AWR1217R,RDA04AWR1217R,DDA04AWR1217R,DDB04AWR1217R,DDH04AWR1217R,DDW04AWR1217R,"DDI04AWR1217R
:unselected:","DD304AWR1217R
:unselected:",DD404AWR1217R,DD204AWR1217R,DDS04AWR1217R,DDE04AWR1217R,DDL04AWR1217R,
Grade 5 Reading^^,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2018,SDA05ARE1S18R,RDA05ARE1S18R,DDA05ARE1S18R,DDB05ARE1S18R,DDH05ARE1S18R,"DDW05ARE1S18R
:unselected:","DDI05ARE1S18R
:unselected:",DD305ARE1S18R,DD405ARE1S18R,DD205ARE1S18R,DDS05ARE1S18R,DDE05ARE1S18R,DDL05ARE1S18R,
,2017,SDA05ARE1S17R,RDA05ARE1S17R,DDA05ARE1S17R,DDB05ARE1S17R,"DDH05ARE1S17R
:unselected:","DDW05ARE1S17R
:unselected:","DDI05ARE1S17R
:unselected:","DD305ARE1S17R
:unselected:",DD405ARE1S17R,DD205ARE1S17R,"DDS05ARE1S17R
:unselected:",DDE05ARE1S17R,DDL05ARE1S17R,
