,School Year,State,Region ##,District,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed (Current),Special Ed (Former),Continu- ously Enrolled,Non-Continu- ously Enrolled,Econ Disadv,EB/EL (Current & Monitored),
At Masters Grade Level,2022,SDA05AMA1322R,RDA05AMA1322R,DDA05AMA1322R,DDB05AMA1322R,DDH05AMA1322R,DDW05AMA1322R,DDI05AMA1322R,DD305AMA1322R,DD405AMA1322R,DD205AMA1322R,DDS05AMA1322R,"DNS05AMA1322R
:unselected:","DNC05AMA1322R
:unselected:","DNM05AMA1322R
:unselected:","DDE05AMA1322R
:unselected:",DD005AMA1322R,
,2021,SDA05AMA1321R,RDA05AMA1321R,DDA05AMA1321R,DDB05AMA1321R,DDH05AMA1321R,DDW05AMA1321R,DDI05AMA1321R,DD305AMA1321R,DD405AMA1321R,DD205AMA1321R,DDS05AMA1321R,"DNS05AMA1321R
:unselected:","DNC05AMA1321R
:unselected:","DNM05AMA1321R
:unselected:","DDE05AMA1321R
:unselected:",DD005AMA1321R,
Grade 5 Science,,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2022,SDA05ASC1S22R,RDA05ASC1S22R,DDA05ASC1S22R,DDB05ASC1S22R,DDH05ASC1S22R,DDW05ASC1S22R,DDI05ASC1S22R,DD305ASC1S22R,DD405ASC1S22R,DD205ASC1S22R,"DDS05ASC1S22R
:unselected:","DNS05ASC1S22R
:unselected:","DNC05ASC1S22R
:unselected:","DNM05ASC1S22R
:unselected:","DDE05ASC1S22R
:unselected:","DD005ASC1S22R
:unselected:",
,2021,SDA05ASC1S21R,RDA05ASC1S21R,DDA05ASC1S21R,DDB05ASC1S21R,DDH05ASC1S21R,DDW05ASC1S21R,DDI05ASC1S21R,DD305ASC1S21R,DD405ASC1S21R,DD205ASC1S21R,"DDS05ASC1S21R
:unselected:","DNS05ASC1S21R
:unselected:","DNC05ASC1S21R
:unselected:","DNM05ASC1S21R
:unselected:","DDE05ASC1S21R
:unselected:","DD005ASC1S21R
:unselected:",
At Meets Grade Level or Above,2022,SDA05ASC1222R,RDA05ASC1222R,DDA05ASC1222R,DDB05ASC1222R,DDH05ASC1222R,DDW05ASC1222R,DDI05ASC1222R,DD305ASC1222R,DD405ASC1222R,DD205ASC1222R,"DDS05ASC1222R
:unselected:","DNS05ASC1222R
:unselected:","DNC05ASC1222R
:unselected:","DNM05ASC1222R
:unselected:","DDE05ASC1222R
:unselected:","DD005ASC1222R
:unselected:",
,2021,SDA05ASC1221R,RDA05ASC1221R,DDA05ASC1221R,DDB05ASC1221R,DDH05ASC1221R,DDW05ASC1221R,DDI05ASC1221R,DD305ASC1221R,"DD405ASC1221R
:unselected:",DD205ASC1221R,"DDS05ASC1221R
:unselected:","DNS05ASC1221R
:unselected:","DNC05ASC1221R
:unselected:","DNM05ASC1221R
:unselected:","DDE05ASC1221R
:unselected:","DD005ASC1221R
:unselected:",
At Masters Grade Level,2022,SDA05ASC1322R,RDA05ASC1322R,DDA05ASC1322R,DDB05ASC1322R,DDH05ASC1322R,"DDW05ASC1322R
:unselected:",DDI05ASC1322R,DD305ASC1322R,"DD405ASC1322R
:unselected:",DD205ASC1322R,"DDS05ASC1322R
:unselected:","DNS05ASC1322R
:unselected:","DNC05ASC1322R
:unselected:","DNM05ASC1322R
:unselected:","DDE05ASC1322R
:unselected:","DD005ASC1322R
:unselected:",
,2021,SDA05ASC1321R,RDA05ASC1321R,DDA05ASC1321R,DDB05ASC1321R,DDH05ASC1321R,DDW05ASC1321R,DDI05ASC1321R,DD305ASC1321R,DD405ASC1321R,DD205ASC1321R,"DDS05ASC1321R
:unselected:","DNS05ASC1321R
:unselected:","DNC05ASC1321R
:unselected:","DNM05ASC1321R
:unselected:","DDE05ASC1321R
:unselected:","DD005ASC1321R
:unselected:",
Grade 6 Reading,,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2022,SDA06ARE1S22R,RDA06ARE1S22R,DDA06ARE1S22R,DDB06ARE1S22R,DDH06ARE1S22R,"DDW06ARE1S22R
:unselected:",DDI06ARE1S22R,DD306ARE1S22R,DD406ARE1S22R,DD206ARE1S22R,"DDS06ARE1S22R
:unselected:","DNS06ARE1S22R
:unselected:","DNC06ARE1S22R
:unselected:","DNM06ARE1S22R
:unselected:","DDE06ARE1S22R
:unselected:","DD006ARE1S22R
:unselected:",
,2021,SDA06ARE1S21R,RDA06ARE1S21R,DDA06ARE1S21R,DDB06ARE1S21R,DDH06ARE1S21R,"DDW06ARE1S21R
:unselected:",DDI06ARE1S21R,DD306ARE1S21R,DD406ARE1S21R,DD206ARE1S21R,"DDS06ARE1S21R
:unselected:","DNS06ARE1S21R
:unselected:","DNC06ARE1S21R
:unselected:","DNM06ARE1S21R
:unselected:","DDE06ARE1S21R
:selected:","DD006ARE1S21R
:unselected:",
At Meets Grade Level or Above,2022,SDA06ARE1222R,RDA06ARE1222R,DDA06ARE1222R,DDB06ARE1222R,DDH06ARE1222R,"DDW06ARE1222R
:unselected:",DDI06ARE1222R,DD306ARE1222R,DD406ARE1222R,DD206ARE1222R,"DDS06ARE1222R
:unselected:","DNS06ARE1222R
:unselected:","DNC06ARE1222R
:unselected:","DNM06ARE1222R
:unselected:","DDE06ARE1222R
:unselected:","DD006ARE1222R
:unselected:",
,2021,SDA06ARE1221R,RDA06ARE1221R,DDA06ARE1221R,DDB06ARE1221R,DDH06ARE1221R,"DDW06ARE1221R
:unselected:",DDI06ARE1221R,DD306ARE1221R,DD406ARE1221R,DD206ARE1221R,"DDS06ARE1221R
:unselected:","DNS06ARE1221R
:unselected:","DNC06ARE1221R
:unselected:","DNM06ARE1221R
:unselected:","DDE06ARE1221R
:unselected:","DD006ARE1221R
:unselected:",
At Masters Grade Level,2022,SDA06ARE1322R,RDA06ARE1322R,DDA06ARE1322R,DDB06ARE1322R,DDH06ARE1322R,DDW06ARE1322R,DDI06ARE1322R,DD306ARE1322R,DD406ARE1322R,DD206ARE1322R,DDS06ARE1322R,"DNS06ARE1322R
:unselected:","DNC06ARE1322R
:unselected:","DNM06ARE1322R
:unselected:","DDE06ARE1322R
:unselected:","DD006ARE1322R
:unselected:",
,2021,SDA06ARE1321R,RDA06ARE1321R,DDA06ARE1321R,DDB06ARE1321R,DDH06ARE1321R,DDW06ARE1321R,DDI06ARE1321R,DD306ARE1321R,DD406ARE1321R,DD206ARE1321R,DDS06ARE1321R,"DNS06ARE1321R
:unselected:","DNC06ARE1321R
:unselected:","DNM06ARE1321R
:unselected:","DDE06ARE1321R
:unselected:","DD006ARE1321R
:unselected:",
Grade 6 Mathematics,,,,,,,,,,,,,,,,,,
