DISTRICT,D20GJ20R,D20GJ21R,D20GUA20R,D20GUA21R,D20GY20R,D20GY21R,D20GZ20R,D20GZ21R,D30GJ20R,D30GJ21R,D30GUA20R,D30GUA21R,D30GY20R,D30GY21R,D30GZ20R,D30GZ21R,D40GJ20R,D40GJ21R,D40GUA20R,D40GUA21R,D40GY20R,D40GY21R,D40GZ20R,D40GZ21R,DA0GJ20R,DA0GJ21R,DA0GUA20R,DA0GUA21R,DA0GY20R,DA0GY21R,DA0GZ20R,DA0GZ21R,DB0GJ20R,DB0GJ21R,DB0GUA20R,DB0GUA21R,DB0GY20R,DB0GY21R,DB0GZ20R,DB0GZ21R,DE0GJ20R,DE0GJ21R,DE0GUA20R,DE0GUA21R,DE0GY20R,DE0GY21R,DE0GZ20R,DE0GZ21R,DF0GJ20R,DF0GJ21R,DF0GUA20R,DF0GUA21R,DF0GY20R,DF0GY21R,DF0GZ20R,DF0GZ21R,DH0GJ20R,DH0GJ21R,DH0GUA20R,DH0GUA21R,DH0GY20R,DH0GY21R,DH0GZ20R,DH0GZ21R,DI0GJ20R,DI0GJ21R,DI0GUA20R,DI0GUA21R,DI0GY20R,DI0GY21R,DI0GZ20R,DI0GZ21R,DISTNAME,DL0GJ20R,DL0GJ21R,DL0GUA20R,DL0GUA21R,DL0GY20R,DL0GY21R,DL0GZ20R,DL0GZ21R,DM0GJ20R,DM0GJ21R,DM0GUA20R,DM0GUA21R,DM0GY20R,DM0GY21R,DM0GZ20R,DM0GZ21R,DR0GJ20R,DR0GJ21R,DR0GUA20R,DR0GUA21R,DR0GY20R,DR0GY21R,DR0GZ20R,DR0GZ21R,DS0GJ20R,DS0GJ21R,DS0GUA20R,DS0GUA21R,DS0GY20R,DS0GY21R,DS0GZ20R,DS0GZ21R,DW0GJ20R,DW0GJ21R,DW0GUA20R,DW0GUA21R,DW0GY20R,DW0GY21R,DW0GZ20R,DW0GZ21R
"'003905",-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,21.2,17.4,4.4,0.9,0,0,0,0,10.5,9.1,0,0,0,0,0,0,22.7,17.3,4.7,1,0,0,0,0,27,19.6,4.8,0,0,0,0,0,22.5,10.3,3.8,1.7,0,0,.,.,.,.,.,.,.,.,"DIBOLL ISD",0,0,0,0,16.7,0,0,0,0,0,16.2,15.1,4.1,1.9,0,0,0,0,4,3.6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,21.6,33.3,5.4,0,0,0
"'003906",-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,7.7,25,0,0,0,0,.,.,.,.,.,.,.,.,0,0,5.6,22.2,0,0,0,0,0,0,13.3,30.8,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,"ZAVALLA ISD",.,.,.,.,.,.,.,.,0,0,0,18.2,0,0,0,0,0,0,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3,26.3,0,0,0,0
"'003907",-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,25.8,28.4,0,3.4,0,0,0,-1,0,-1,0,-1,0,-1,0,0,10,30.6,0,0,0,0,0,0,26.5,42.5,0,5,0,0,0,0,0,33.3,0,0,0,0,.,-1,.,-1,.,-1,.,-1,"CENTRAL ISD",-1,-1,-1,-1,-1,-1,-1,-1,0,0,25,16.7,0,2.1,0,0,0,0,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.9,25.9,0,5.2,0,0
"'004901",-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,42.9,-1,28.6,-1,0,.,.,.,.,.,.,.,.,0,0,17.5,16.9,6.9,8.5,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,10.3,9.3,3.2,5.2,0,0,0,0,25.9,21.5,8.3,9.7,0,0,0,0,9.4,13.7,3.5,5.5,0,0,.,.,.,.,.,.,.,.,"ARANSAS COUNTY ISD",0,0,0,0,0,0,0,0,0,0,9.2,11.9,5.5,7.1,0,0,0,0,3.9,5.3,2.6,2.1,0,0,0,0,0,0,0,0,0,0,0,0,23,18.9,9.8,10,0,0
"'005901",-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,52.9,35.7,2.9,14.3,0,0,.,.,.,.,.,.,.,.,0,0,33.3,14.3,0,0,0,0,0,0,65,45.5,5,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,"ARCHER CITY ISD",.,.,.,.,.,.,.,.,0,0,35.7,29.4,0,23.5,0,0,0,0,14.3,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0,0,51.6,37.5,3.2,16.7,0,0
"'005902",-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,41.5,50,14.6,19.4,0,0,.,.,.,.,.,.,.,.,0,0,6.7,44.4,0,22.2,0,0,0,0,50,56.8,14.7,35.1,0,0,0,0,14.3,25,14.3,12.5,0,0,.,-1,.,-1,.,-1,.,-1,"HOLLIDAY ISD",.,.,.,.,.,.,.,.,0,0,35.4,42.9,14.6,2.9,0,0,0,0,17.6,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.6,55.7,14.9,21.3,0,0
"'005904",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,31.3,41.4,0,0,0,0,.,.,.,.,.,.,.,.,0,0,0,12.5,0,0,0,0,0,0,52.9,40,0,0,0,0,0,0,12.5,11.1,0,0,0,0,.,.,.,.,.,.,.,.,"WINDTHORST ISD",.,-1,.,-1,.,-1,.,-1,0,0,6.7,42.1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,37.5,55,0,0,0,0
"'006902",-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,50,20.8,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,15.4,-1,0,-1,0,0,0,50,25,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,"CLAUDE ISD",.,.,.,.,.,.,.,.,0,0,50,18.8,0,0,0,0,-1,0,-1,20,-1,0,-1,0,-1,.,-1,.,-1,.,-1,.,0,0,58.8,15.8,0,0,0,0
"'007901",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,-1,20.5,-1,0,-1,0,-1,.,.,.,.,.,.,.,.,0,-1,23.1,-1,0,-1,0,-1,0,-1,33.3,-1,0,-1,0,-1,0,-1,21.9,-1,0,-1,0,-1,.,.,.,.,.,.,.,.,"CHARLOTTE ISD",.,-1,.,-1,.,-1,.,-1,0,-1,12.5,-1,0,-1,0,-1,0,-1,16.7,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,.,14.3,.,0,.,0,.
"'007902",-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,13.9,25.5,2.6,2,0,0,.,-1,.,-1,.,-1,.,-1,0,0,9.4,7.3,3.1,0,0,0,0,0,18.8,30.2,4.2,0,0,0,0,0,10.1,21,2.9,3.2,0,0,.,-1,.,-1,.,-1,.,-1,"JOURDANTON ISD",-1,-1,-1,-1,-1,-1,-1,-1,0,0,10.4,21.8,1.5,3.6,0,0,0,0,2.2,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.6,33.3,2.3,0,0,0
"'007904",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,30.4,48.8,4.9,3.5,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,22.5,42.3,7,5.8,0,0,0,0,29.2,48.6,10.4,8.6,0,0,0,0,30.1,45.2,6,4.1,0,0,.,.,.,.,.,.,.,.,"LYTLE ISD",0,0,30,37.5,30,12.5,0,0,0,0,31.5,49,0,0,0,0,0,0,14.3,25.8,7.1,3.2,0,0,0,-1,16.7,-1,0,-1,0,-1,0,0,33.3,66.7,0,0,0,0
"'007905",-1,.,-1,.,-1,.,-1,.,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,0,0,18.3,23.6,11.3,17.3,0,0,-1,.,-1,.,-1,.,-1,.,0,0,14.2,18.5,6,11,0,0,0,0,24.8,38.1,12,22.9,0,0,0,0,16.5,20.4,9.7,13.6,0,0,.,.,.,.,.,.,.,.,"PLEASANTON ISD",0,-1,28.6,-1,14.3,-1,0,-1,0,0,12.1,9.2,10.6,11.8,0,0,0,0,7.6,12.6,1,3.1,0,0,0,0,0,6.3,0,0,0,0,0,0,23.1,29.7,15.4,24.3,0,0
"'007906",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,12,19.8,0,0,0,3,-1,-1,-1,-1,-1,-1,-1,-1,0,0,9.5,17.1,0,0,0,2.4,0,0,15.1,25,0,0,0,3.6,0,0,10,17.6,0,0,0,3.5,.,.,.,.,.,.,.,.,"POTEET ISD",-1,-1,-1,-1,-1,-1,-1,-1,0,0,9.1,13.3,0,0,0,2.2,0,0,1.6,9.4,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,23.5,33.3,0,0,0,0
"'008901",.,-1,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,.,-1,0,0,31.7,29.6,22,17.9,0,0,0,0,10,0,0,0,0,0,0,0,8.8,9.1,10.5,6.1,0,0,0,0,48.7,40.2,34.6,25,0,0,0,0,10.6,5.3,8.5,10.5,0,0,.,.,.,.,.,.,.,.,"BELLVILLE ISD",0,0,0,0,0,0,0,0,0,0,16.3,18.4,10.5,10.3,0,0,0,0,2.3,2,6.8,2,0,0,0,0,0,0,0,0,0,0,0,0,43.4,45.7,30.2,22.9,0,0
"'008902",-1,0,-1,40,-1,20,-1,0,0,-1,0,-1,40,-1,0,-1,.,.,.,.,.,.,.,.,0,0,18.9,19.5,19.5,15.9,0,11.4,0,0,9.5,0,9.5,0,0,0,0,0,9.8,8.5,13,7.7,0,4.3,0,0,22.5,24.2,22.5,20.2,0,15.2,0,0,13.8,8.7,17.2,10.7,0,4.9,-1,.,-1,.,-1,.,-1,.,"SEALY ISD",0,0,0,0,7.7,0,0,0,0,0,15.8,15.7,16.8,12.4,0,8.3,0,0,1.3,1.6,6.5,0,0,0,0,0,0,0,9.1,0,0,0,0,0,29.7,36.8,23,26.4,0,23
"'008903",.,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,0,0,15.7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1,10.3,0,0,0,0,0,0,23.5,23.1,0,0,0,0,0,0,11.8,8.3,0,0,0,0,.,.,.,.,.,.,.,.,"BRAZOS ISD",-1,-1,-1,-1,-1,-1,-1,-1,0,0,8.3,8.3,0,0,0,0,0,0,3.4,0,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0,25.9,28.6,0,0,0,0
"'009901",.,.,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,0,0,29.9,27.6,0,0,0,0,.,.,.,.,.,.,.,.,0,0,25.4,23.3,0,0,0,0,0,0,42.9,33.3,0,0,0,0,0,0,25.4,24.2,0,0,0,0,.,.,.,.,.,.,.,.,"MULESHOE ISD",0,-1,0,-1,0,-1,0,-1,0,0,19,20.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,44.4,0,0,0,0
"'010901",-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,25,29.2,0,0,16.7,12.5,-1,.,-1,.,-1,.,-1,.,0,0,18.8,21.4,0,0,12.5,7.1,0,0,41.7,40,0,0,25,20,-1,0,-1,28.6,-1,0,-1,0,.,.,.,.,.,.,.,.,"MEDINA ISD",.,.,.,.,.,.,.,.,0,0,8.3,11.1,0,0,8.3,0,0,0,9.1,12.5,0,0,0,12.5,-1,-1,-1,-1,-1,-1,-1,-1,0,0,21.1,29.4,0,0,15.8,17.6
"'010902",0,-1,40,-1,0,-1,0,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,16.5,1.5,15.1,9.2,0,0,.,.,.,.,.,.,.,.,0,0,6.8,2,9.1,7.8,0,0,0,0,16.9,4,20.8,10,0,0,0,0,9.8,4.8,13.7,4.8,0,0,.,.,.,.,.,.,.,.,"BANDERA ISD",-1,.,-1,.,-1,.,-1,.,0,0,16.1,0,8.1,8.6,0,0,0,0,0,0,4,0,0,0,0,0,5.6,0,5.6,0,0,0,0,0,19.3,0,16.9,10.6,0,0
"'011901",0,0,17.9,26.7,17.9,20,0,0,20,33.3,40,66.7,60,33.3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,4.3,3.9,19.3,21.1,16.6,17.6,0,0,0,0,7.7,13.8,0,6.9,0,0,3.2,4.1,16.5,18.6,15.1,17,0,0,5.6,6.8,26.3,30,20.2,22.9,0,0,4.9,3.6,19.1,17.8,16.2,17.3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,"BASTROP ISD",0,0,3,1.6,11.1,6.5,0,0,3.1,1,12.8,11.9,13.2,12.2,0,0,2,2.1,10.1,10.9,9.6,9.7,0,0,1.8,0,1.8,0,0,0,0,0,3.8,4.7,21.9,29.1,19.5,19.7,0,0
"'011902",0,0,50,50,16.7,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,7.8,11.5,28.2,25.8,16.2,9.4,3.6,3.5,9.4,17.1,34.4,34.3,0,2.9,0,5.7,5.4,8,19.3,18.6,13.4,9,1.5,2,11.6,18,38.4,32,21.2,11.3,4.1,4.7,7.5,9.9,21.1,20.3,17.6,12,3.5,1.6,.,.,.,.,.,.,.,.,"ELGIN ISD",0,0,0,5.3,19.4,10.5,0,0,4.3,4.4,19,19,11.7,7.3,3.1,2.2,0,4.5,6.7,16.1,9.3,8,0,0.5,0,0,4,0,4,4,0,0,8.5,15.7,43.7,37.3,19.7,5.9,5.6,9.8
"'011904",0,-1,60,-1,20,-1,0,-1,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,0,0,26.3,26.2,8.5,8.7,0.8,12.7,0,0,18.2,7.1,0,7.1,0,7.1,0,0,13.1,16.4,4.9,3,0,4.5,0,0,41.4,36.1,13.8,8.2,1.7,14.8,0,0,17,18.8,8.5,0,0,6.3,-1,-1,-1,-1,-1,-1,-1,-1,"SMITHVILLE ISD",0,-1,0,-1,0,-1,0,-1,0,0,11.7,16.9,3.3,9.2,0,10.8,0,0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.2,34.7,7.5,13.3,1.9,17.3
"'011905",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,56.3,41.7,6.3,0,0,0,.,-1,.,-1,.,-1,.,-1,0,-1,77.8,-1,11.1,-1,0,-1,0,0,66.7,44.4,0,0,0,0,0,0,80,44.4,10,0,0,0,.,.,.,.,.,.,.,.,"MCDADE ISD",-1,.,-1,.,-1,.,-1,.,0,-1,50,-1,10,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,16.7,-1,0,-1,0,-1
"'012901",-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,40.5,48.8,0,0,35.1,43.9,.,.,.,.,.,.,.,.,0,0,23.8,18.8,0,0,19,18.8,0,0,50,61.1,0,0,42.9,55.6,0,0,44.4,28.6,0,0,44.4,28.6,.,.,.,.,.,.,.,.,"SEYMOUR ISD",.,-1,.,-1,.,-1,.,-1,0,0,34.8,39.1,0,0,30.4,34.8,0,0,0,26.3,0,0,0,26.3,-1,-1,-1,-1,-1,-1,-1,-1,0,0,42.3,54.5,0,0,34.6,48.5
"'013801",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"ST MARY'S ACADEMY CHARTER SCHOOL",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'013901",0,-1,16.7,-1,16.7,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,.,-1,0,0,10.7,22.7,1.6,4.3,0,0,0,0,0,14.3,0,0,0,0,0,0,8.2,18.3,1,3.4,0,0,0,0,12.9,25.2,0.9,4.2,0,0,0,0,10.3,19.3,0.5,4.2,0,0,.,.,.,.,.,.,.,.,"BEEVILLE ISD",-1,0,-1,0,-1,0,-1,0,0,0,8.6,19.6,2.3,4.3,0,0,0,0,2.1,9.8,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,14.3,37.5,5.7,0,0,0
"'013902",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"PAWNEE ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'013903",-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,4.2,0,12.5,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,11.1,0,0,0,0,0,7.7,0,15.4,0,0,0,0,0,6.7,0,6.7,0,0,0,0,.,.,.,.,.,.,.,.,"PETTUS ISD",.,.,.,.,.,.,.,.,0,0,0,9.1,0,0,0,0,0,0,0,20,0,0,0,0,-1,.,-1,.,-1,.,-1,.,0,0,0,12.5,0,0,0,0
