DISTRICT,DD000AA01222R,DD000AA01322R,DD000AA01S22R,DD000AA11222R,DD000AA11322R,DD000AA11S22R,DD000ABI1222R,DD000ABI1322R,DD000ABI1S22R,DD000AR11222R,DD000AR11322R,DD000AR11S22R,DD000AR21222R,DD000AR21322R,DD000AR21S22R,DD000AUS1222R,DD000AUS1322R,DD000AUS1S22R,DD200AA01222R,DD200AA01322R,DD200AA01S22R,DD200AA11222R,DD200AA11322R,DD200AA11S22R,DD200ABI1222R,DD200ABI1322R,DD200ABI1S22R,DD200AR11222R,DD200AR11322R,DD200AR11S22R,DD200AR21222R,DD200AR21322R,DD200AR21S22R,DD200AUS1222R,DD200AUS1322R,DD200AUS1S22R,DD300AA01222R,DD300AA01322R,DD300AA01S22R,DD300AA11222R,DD300AA11322R,DD300AA11S22R,DD300ABI1222R,DD300ABI1322R,DD300ABI1S22R,DD300AR11222R,DD300AR11322R,DD300AR11S22R,DD300AR21222R,DD300AR21322R,DD300AR21S22R,DD300AUS1222R,DD300AUS1322R,DD300AUS1S22R,DD400AA01222R,DD400AA01322R,DD400AA01S22R,DD400AA11222R,DD400AA11322R,DD400AA11S22R,DD400ABI1222R,DD400ABI1322R,DD400ABI1S22R,DD400AR11222R,DD400AR11322R,DD400AR11S22R,DD400AR21222R,DD400AR21322R,DD400AR21S22R,DD400AUS1222R,DD400AUS1322R,DD400AUS1S22R,DDA00AA01222R,DDA00AA01322R,DDA00AA01S22R,DDA00AA11222R,DDA00AA11322R,DDA00AA11S22R,DDA00ABI1222R,DDA00ABI1322R,DDA00ABI1S22R,DDA00AR11222R,DDA00AR11322R,DDA00AR11S22R,DDA00AR21222R,DDA00AR21322R,DDA00AR21S22R,DDA00AUS1222R,DDA00AUS1322R,DDA00AUS1S22R,DDB00AA01222R,DDB00AA01322R,DDB00AA01S22R,DDB00AA11222R,DDB00AA11322R,DDB00AA11S22R,DDB00ABI1222R,DDB00ABI1322R,DDB00ABI1S22R,DDB00AR11222R,DDB00AR11322R,DDB00AR11S22R,DDB00AR21222R,DDB00AR21322R,DDB00AR21S22R,DDB00AUS1222R,DDB00AUS1322R,DDB00AUS1S22R,DDE00AA01222R,DDE00AA01322R,DDE00AA01S22R,DDE00AA11222R,DDE00AA11322R,DDE00AA11S22R,DDE00ABI1222R,DDE00ABI1322R,DDE00ABI1S22R,DDE00AR11222R,DDE00AR11322R,DDE00AR11S22R,DDE00AR21222R,DDE00AR21322R,DDE00AR21S22R,DDE00AUS1222R,DDE00AUS1322R,DDE00AUS1S22R,DDF00AA01222R,DDF00AA01322R,DDF00AA01S22R,DDF00AA11222R,DDF00AA11322R,DDF00AA11S22R,DDF00ABI1222R,DDF00ABI1322R,DDF00ABI1S22R,DDF00AR11222R,DDF00AR11322R,DDF00AR11S22R,DDF00AR21222R,DDF00AR21322R,DDF00AR21S22R,DDF00AUS1222R,DDF00AUS1322R,DDF00AUS1S22R,DDH00AA01222R,DDH00AA01322R,DDH00AA01S22R,DDH00AA11222R,DDH00AA11322R,DDH00AA11S22R,DDH00ABI1222R,DDH00ABI1322R,DDH00ABI1S22R,DDH00AR11222R,DDH00AR11322R,DDH00AR11S22R,DDH00AR21222R,DDH00AR21322R,DDH00AR21S22R,DDH00AUS1222R,DDH00AUS1322R,DDH00AUS1S22R,DDI00AA01222R,DDI00AA01322R,DDI00AA01S22R,DDI00AA11222R,DDI00AA11322R,DDI00AA11S22R,DDI00ABI1222R,DDI00ABI1322R,DDI00ABI1S22R,DDI00AR11222R,DDI00AR11322R,DDI00AR11S22R,DDI00AR21222R,DDI00AR21322R,DDI00AR21S22R,DDI00AUS1222R,DDI00AUS1322R,DDI00AUS1S22R,DDL00AA01222R,DDL00AA01322R,DDL00AA01S22R,DDL00AA11222R,DDL00AA11322R,DDL00AA11S22R,DDL00ABI1222R,DDL00ABI1322R,DDL00ABI1S22R,DDL00AR11222R,DDL00AR11322R,DDL00AR11S22R,DDL00AR21222R,DDL00AR21322R,DDL00AR21S22R,DDL00AUS1222R,DDL00AUS1322R,DDL00AUS1S22R,DDM00AA01222R,DDM00AA01322R,DDM00AA01S22R,DDM00AA11222R,DDM00AA11322R,DDM00AA11S22R,DDM00ABI1222R,DDM00ABI1322R,DDM00ABI1S22R,DDM00AR11222R,DDM00AR11322R,DDM00AR11S22R,DDM00AR21222R,DDM00AR21322R,DDM00AR21S22R,DDM00AUS1222R,DDM00AUS1322R,DDM00AUS1S22R,DDR00AA01222R,DDR00AA01322R,DDR00AA01S22R,DDR00AA11222R,DDR00AA11322R,DDR00AA11S22R,DDR00ABI1222R,DDR00ABI1322R,DDR00ABI1S22R,DDR00AR11222R,DDR00AR11322R,DDR00AR11S22R,DDR00AR21222R,DDR00AR21322R,DDR00AR21S22R,DDR00AUS1222R,DDR00AUS1322R,DDR00AUS1S22R,DDS00AA01222R,DDS00AA01322R,DDS00AA01S22R,DDS00AA11222R,DDS00AA11322R,DDS00AA11S22R,DDS00ABI1222R,DDS00ABI1322R,DDS00ABI1S22R,DDS00AR11222R,DDS00AR11322R,DDS00AR11S22R,DDS00AR21222R,DDS00AR21322R,DDS00AR21S22R,DDS00AUS1222R,DDS00AUS1322R,DDS00AUS1S22R,DDW00AA01222R,DDW00AA01322R,DDW00AA01S22R,DDW00AA11222R,DDW00AA11322R,DDW00AA11S22R,DDW00ABI1222R,DDW00ABI1322R,DDW00ABI1S22R,DDW00AR11222R,DDW00AR11322R,DDW00AR11S22R,DDW00AR21222R,DDW00AR21322R,DDW00AR21S22R,DDW00AUS1222R,DDW00AUS1322R,DDW00AUS1S22R,DISTNAME,DNC00AA01222R,DNC00AA01322R,DNC00AA01S22R,DNC00AA11222R,DNC00AA11322R,DNC00AA11S22R,DNC00ABI1222R,DNC00ABI1322R,DNC00ABI1S22R,DNC00AR11222R,DNC00AR11322R,DNC00AR11S22R,DNC00AR21222R,DNC00AR21322R,DNC00AR21S22R,DNC00AUS1222R,DNC00AUS1322R,DNC00AUS1S22R,DNM00AA01222R,DNM00AA01322R,DNM00AA01S22R,DNM00AA11222R,DNM00AA11322R,DNM00AA11S22R,DNM00ABI1222R,DNM00ABI1322R,DNM00ABI1S22R,DNM00AR11222R,DNM00AR11322R,DNM00AR11S22R,DNM00AR21222R,DNM00AR21322R,DNM00AR21S22R,DNM00AUS1222R,DNM00AUS1322R,DNM00AUS1S22R,DNS00AA01222R,DNS00AA01322R,DNS00AA01S22R,DNS00AA11222R,DNS00AA11322R,DNS00AA11S22R,DNS00ABI1222R,DNS00ABI1322R,DNS00ABI1S22R,DNS00AR11222R,DNS00AR11322R,DNS00AR11S22R,DNS00AR21222R,DNS00AR21322R,DNS00AR21S22R,DNS00AUS1222R,DNS00AUS1322R,DNS00AUS1S22R
"'019912",.,.,.,75,38,100,38,0,100,22,0,22,38,13,63,-1,-1,-1,.,.,.,33,22,89,25,0,75,40,0,50,67,0,89,90,30,100,-1,-1,-1,100,80,100,40,40,100,43,14,43,50,30,70,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,81,10,100,65,41,92,70,30,93,62,17,81,72,14,87,83,52,95,-1,-1,-1,43,7,79,55,15,85,44,3,65,51,0,74,47,19,78,-1,-1,-1,48,21,87,54,16,86,40,5,64,56,11,74,69,34,90,90,10,100,66,40,93,71,30,94,72,24,85,76,15,92,80,43,96,-1,-1,-1,69,15,92,62,0,92,46,8,62,89,11,89,80,60,90,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,75,38,100,38,0,100,22,0,22,38,13,63,-1,-1,-1,73,9,100,64,42,91,69,31,92,53,10,77,69,13,83,85,61,95,.,.,.,49,18,90,45,10,86,30,2,57,43,3,74,62,25,92,.,.,.,27,12,69,36,18,79,24,10,41,26,4,43,48,23,77,81,8,100,69,49,94,77,38,96,71,23,90,79,18,92,90,59,99,"PLEASANT GROVE ISD",88,12,100,65,40,92,71,33,95,63,21,81,74,14,91,83,53,97,50,0,100,65,41,91,67,27,91,61,10,81,67,13,79,82,51,91,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67,42,92
"'019913",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"HUBBARD ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'019914",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"LEARY ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'020901",25,0,75,46,31,76,51,13,83,32,3,53,31,1,52,46,18,75,63,0,100,53,35,85,70,33,88,63,17,77,71,20,78,82,60,94,90,35,98,86,69,97,92,63,98,85,42,94,90,37,94,95,75,98,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,67,14,93,45,28,78,62,22,88,49,10,67,59,9,76,73,47,91,56,6,86,35,19,72,53,12,87,45,6,65,60,6,79,72,40,90,49,4,87,34,19,70,52,13,84,37,5,57,48,4,69,65,36,87,64,12,96,49,30,83,64,23,91,57,13,75,69,13,83,73,43,91,52,1,90,42,24,76,57,17,86,41,5,60,51,6,71,66,38,88,.,.,.,43,29,71,43,29,86,60,40,60,20,0,20,83,67,100,17,0,67,33,21,68,36,8,77,18,1,40,22,0,44,38,13,70,71,16,90,42,27,73,62,23,87,43,8,61,52,6,70,75,52,91,37,2,85,27,16,65,38,6,79,23,1,48,33,1,57,57,30,83,-1,-1,-1,17,6,45,28,6,57,14,3,29,19,3,31,34,15,60,68,13,97,49,32,81,77,33,94,59,14,75,66,10,79,81,61,94,"ALVIN ISD",68,14,94,49,32,80,66,26,89,51,12,69,61,10,76,74,49,91,44,7,85,35,19,72,52,14,85,43,5,61,56,7,74,69,39,89,.,.,.,29,14,64,39,13,71,29,3,55,42,3,58,42,31,77
"'020902",.,.,.,27,13,65,43,17,76,45,13,62,34,1,57,49,16,72,-1,-1,-1,42,25,67,75,13,100,64,21,71,56,17,67,67,58,83,.,.,.,-1,-1,-1,-1,-1,-1,60,20,80,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,.,.,.,83,10,98,31,16,67,56,21,84,52,11,65,55,7,72,65,36,85,.,.,.,29,14,62,51,22,69,39,8,52,57,3,71,55,22,74,78,0,94,28,13,65,54,21,82,48,10,62,49,5,68,62,32,83,87,7,100,35,20,71,61,23,86,59,15,71,60,10,77,69,36,87,73,7,93,26,14,65,49,16,81,49,10,66,47,4,66,64,30,83,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,19,5,58,29,8,71,33,4,51,22,0,47,48,16,71,81,11,96,27,13,64,52,19,81,45,7,60,50,4,67,62,35,82,83,0,100,17,5,58,34,8,74,37,3,53,35,1,59,50,19,77,.,.,.,9,3,33,13,5,53,13,3,19,9,2,17,25,12,45,88,13,100,39,21,73,68,28,92,61,16,70,66,12,83,71,49,90,"ANGLETON ISD",85,9,100,32,17,70,57,20,85,53,11,66,55,6,72,67,38,86,75,13,88,26,13,56,54,25,81,47,11,62,53,9,71,56,24,77,.,.,.,43,36,57,67,50,83,47,27,53,60,40,60,29,14,43
"'020904",.,.,.,0,0,67,20,0,60,0,0,33,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,56,0,100,24,16,74,55,15,89,49,9,67,69,4,86,76,37,94,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,17,11,58,39,6,84,31,0,57,53,3,81,65,32,90,-1,-1,-1,20,12,78,51,16,95,59,16,76,83,2,93,77,33,98,-1,-1,-1,13,0,69,56,11,94,43,5,62,64,0,79,57,36,93,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,0,0,67,20,0,60,0,0,33,-1,-1,-1,-1,-1,-1,60,0,100,28,20,70,56,15,82,40,3,60,50,7,77,76,44,88,.,.,.,11,6,57,44,13,84,42,6,64,59,8,79,65,32,88,.,.,.,10,0,50,22,11,56,22,11,22,60,20,60,-1,-1,-1,63,0,100,27,19,75,54,17,87,52,11,69,70,6,87,80,37,94,"DANBURY ISD",56,0,100,26,18,73,55,16,86,49,10,62,75,4,88,75,38,94,.,.,.,19,6,81,53,13,100,50,6,88,43,7,79,80,33,93,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.
"'020905",-1,-1,-1,53,32,79,29,2,67,13,0,33,28,2,43,23,7,66,-1,-1,-1,45,35,70,35,6,88,33,4,54,36,14,54,50,23,81,75,25,92,93,87,100,82,18,82,73,18,91,80,13,87,79,36,86,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,49,7,88,57,37,82,52,15,84,38,6,62,47,6,66,55,26,81,-1,-1,-1,36,19,69,35,6,76,22,4,49,31,1,39,34,18,63,34,10,80,51,31,78,46,11,81,32,4,56,40,3,61,49,20,78,41,1,85,59,38,84,56,16,87,44,8,69,54,6,74,54,23,83,28,3,78,56,35,81,47,10,82,34,4,60,42,3,64,51,20,82,-1,-1,-1,-1,-1,-1,40,0,100,-1,-1,-1,33,17,50,80,20,100,-1,-1,-1,43,18,71,18,2,57,8,0,26,15,0,32,12,5,59,59,15,91,55,36,80,48,14,81,32,4,56,41,5,58,56,29,80,10,0,40,40,18,72,29,3,74,19,0,47,25,1,47,34,10,70,.,.,.,21,10,43,28,8,58,11,2,21,21,8,26,35,17,52,63,8,97,60,40,84,65,27,89,50,11,70,60,11,77,67,40,85,"BRAZOSPORT ISD",51,7,89,59,39,83,52,15,84,39,6,63,48,6,67,56,26,82,0,0,40,48,30,76,52,14,84,33,5,59,43,5,59,52,26,79,.,.,.,29,29,86,-1,-1,-1,-1,-1,-1,80,0,80,60,60,100
"'020906",.,.,.,33,33,83,20,0,80,25,0,63,-1,-1,-1,-1,-1,-1,.,.,.,38,15,69,64,27,91,46,8,77,82,0,100,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96,9,100,39,17,71,63,15,93,43,9,63,66,7,79,75,45,96,.,.,.,42,8,67,60,20,90,38,6,59,53,7,73,50,25,85,-1,-1,-1,33,10,65,56,9,91,33,5,52,51,4,70,66,38,93,89,0,100,51,22,77,58,15,93,55,14,74,74,10,86,73,34,100,-1,-1,-1,39,17,67,65,7,95,37,4,56,66,2,81,83,51,100,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,33,33,83,20,0,80,25,0,63,-1,-1,-1,-1,-1,-1,100,14,100,29,14,66,68,15,92,36,6,56,59,5,73,77,55,92,-1,-1,-1,22,6,54,35,3,87,18,2,45,39,0,61,57,22,92,.,.,.,27,18,45,42,0,83,25,17,58,33,0,42,20,10,70,95,10,100,38,19,73,63,17,93,48,13,66,67,11,77,80,50,97,"SWEENY ISD",95,9,100,41,17,72,64,17,95,45,12,66,73,8,82,79,49,97,-1,-1,-1,31,17,67,56,4,84,39,2,55,37,3,67,57,24,90,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1
"'020907",.,.,.,4,0,54,13,0,48,7,0,43,27,0,55,23,9,64,.,.,.,42,25,58,63,13,88,45,0,64,64,0,82,50,30,100,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,57,0,95,31,18,66,51,16,78,42,4,61,54,6,72,60,30,84,-1,-1,-1,19,4,65,21,0,79,28,0,52,35,6,55,48,19,74,56,0,88,27,15,61,41,7,75,34,3,56,48,4,64,55,25,81,58,0,96,34,20,73,59,17,83,52,6,69,61,8,77,64,29,84,56,0,89,23,16,59,37,11,71,28,0,50,49,4,64,52,29,81,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,0,54,13,0,48,7,0,43,24,0,52,19,5,62,55,0,91,28,16,59,43,15,73,31,2,52,49,4,67,57,31,83,-1,-1,-1,14,6,52,22,4,64,21,0,42,27,1,48,35,8,68,.,.,.,9,0,25,6,0,28,6,3,16,0,0,9,14,5,29,59,0,96,35,20,69,64,21,83,51,7,67,62,8,80,67,33,86,"COLUMBIA-BRAZORIA ISD",57,0,94,31,19,68,51,14,78,42,4,64,57,6,73,61,35,86,-1,-1,-1,30,17,60,54,21,79,41,4,52,46,4,67,57,17,77,.,.,.,17,0,67,-1,-1,-1,0,0,14,-1,-1,-1,-1,-1,-1
"'020908",.,.,.,53,37,78,52,20,88,36,4,59,34,1,58,47,23,80,85,38,100,77,54,90,84,56,95,79,20,87,82,14,91,90,66,98,98,62,100,90,84,98,96,81,99,89,48,96,89,39,94,93,78,98,.,.,.,-1,-1,-1,-1,-1,-1,60,40,60,-1,-1,-1,80,80,100,90,32,99,64,48,89,78,44,94,64,21,80,70,16,83,82,58,95,84,18,95,49,34,86,68,33,90,51,13,72,57,9,75,76,48,92,85,23,98,45,30,82,65,28,90,48,9,68,53,8,71,69,43,91,88,26,99,66,50,90,80,45,95,73,26,86,79,21,90,80,54,95,84,18,98,54,36,84,68,32,92,55,14,72,62,9,77,73,45,93,.,.,.,29,14,86,67,17,100,29,14,71,50,0,83,-1,-1,-1,.,.,.,31,18,68,38,9,82,18,2,45,20,0,45,32,14,71,91,38,99,62,46,88,76,43,93,56,17,74,62,11,78,84,62,95,68,0,90,32,16,74,49,13,85,28,2,55,40,2,64,61,32,88,-1,-1,-1,22,7,60,33,7,72,18,2,37,25,3,42,41,22,74,89,25,100,72,55,93,87,52,97,73,25,87,79,19,89,90,71,98,"PEARLAND ISD",90,32,99,68,52,91,81,48,95,68,24,82,74,18,84,84,60,96,77,0,100,49,31,83,68,32,91,53,12,73,55,8,77,75,48,93,.,.,.,38,24,86,77,30,87,53,13,80,71,6,82,85,69,100
"'020910",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"DAMON ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'021803",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"BRAZOS SCHOOL FOR INQUIRY & CREATIVITY",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'021805",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"ARROW ACADEMY",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'021901",-1,-1,-1,52,35,81,45,11,70,27,2,54,19,1,43,43,24,80,67,22,100,67,53,86,73,38,91,63,24,76,79,15,85,88,65,96,95,70,98,93,92,98,96,71,99,87,39,98,88,38,97,97,86,100,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,84,27,98,65,50,87,72,35,89,62,16,76,67,14,80,83,64,95,50,14,93,36,18,73,35,7,72,27,2,43,34,3,54,53,29,83,69,17,96,45,28,78,50,14,79,39,4,56,45,4,64,64,38,87,81,22,98,66,51,91,70,34,90,67,19,80,73,17,83,81,59,94,72,11,96,54,36,83,59,21,83,50,7,68,52,7,69,73,51,90,-1,-1,-1,80,60,80,71,57,86,50,33,67,-1,-1,-1,-1,-1,-1,.,.,.,41,23,73,31,5,60,14,0,43,9,0,34,30,18,77,86,32,98,65,49,85,73,36,88,59,14,73,62,12,78,85,70,95,61,29,94,43,27,78,49,14,80,37,6,57,40,2,62,65,36,88,-1,-1,-1,28,12,52,25,7,61,15,2,22,26,6,36,38,19,67,87,22,99,77,63,93,86,47,96,78,22,88,81,17,91,93,77,99,"COLLEGE STATION ISD",85,27,98,68,53,89,75,38,91,66,19,79,68,15,82,85,67,95,57,21,100,57,41,82,64,28,84,52,9,68,64,11,76,75,54,95,.,.,.,74,61,100,79,21,93,71,7,79,71,21,100,71,57,100
"'021902",19,6,81,27,16,60,36,7,75,27,3,50,30,1,53,40,12,82,-1,-1,-1,26,22,59,48,14,76,36,18,57,67,11,78,63,44,88,-1,-1,-1,-1,-1,-1,-1,-1,-1,60,20,80,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,46,4,88,30,17,65,44,12,78,36,5,58,43,4,63,59,32,88,24,3,71,18,6,57,24,5,70,24,3,47,28,1,53,37,14,76,37,3,86,26,14,62,39,9,75,31,3,53,37,3,59,51,25,85,36,3,85,34,17,72,44,12,80,41,6,64,51,5,72,55,26,88,39,3,87,29,16,63,43,10,77,33,5,56,40,3,60,58,29,89,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,0,73,24,13,58,33,4,74,24,1,48,29,0,51,38,11,80,57,5,90,27,16,60,45,13,76,32,5,53,35,3,55,63,38,88,31,1,79,21,9,59,34,4,73,26,1,50,34,1,57,51,22,85,-1,-1,-1,20,6,41,21,3,57,15,3,22,18,3,30,39,14,67,59,5,93,50,29,86,74,32,93,64,11,82,69,13,85,84,60,97,"BRYAN ISD",45,4,88,32,18,65,46,13,80,37,6,58,44,5,64,59,32,88,91,9,91,24,11,65,40,11,72,33,4,56,38,3,58,58,34,86,.,.,.,42,33,83,20,0,60,27,0,45,25,0,63,80,40,100
