DISTRICT,DD800A001222R,DD800A001322R,DD800A001S22R,DD800AC01222R,DD800AC01322R,DD800AC01S22R,DD800AM01222R,DD800AM01322R,DD800AM01S22R,DD800AR01222R,DD800AR01322R,DD800AR01S22R,DD800AS01222R,DD800AS01322R,DD800AS01S22R,DDA00A001222R,DDA00A001322R,DDA00A001S22R,DDA00AC01222R,DDA00AC01322R,DDA00AC01S22R,DDA00AM01222R,DDA00AM01322R,DDA00AM01S22R,DDA00AR01222R,DDA00AR01322R,DDA00AR01S22R,DDA00AS01222R,DDA00AS01322R,DDA00AS01S22R,DDC00A001222R,DDC00A001322R,DDC00A001S22R,DDC00AC01222R,DDC00AC01322R,DDC00AC01S22R,DDC00AM01222R,DDC00AM01322R,DDC00AM01S22R,DDC00AR01222R,DDC00AR01322R,DDC00AR01S22R,DDC00AS01222R,DDC00AS01322R,DDC00AS01S22R,DDJ00A001222R,DDJ00A001322R,DDJ00A001S22R,DDJ00AC01222R,DDJ00AC01322R,DDJ00AC01S22R,DDJ00AM01222R,DDJ00AM01322R,DDJ00AM01S22R,DDJ00AR01222R,DDJ00AR01322R,DDJ00AR01S22R,DDJ00AS01222R,DDJ00AS01322R,DDJ00AS01S22R,DDK00A001222R,DDK00A001322R,DDK00A001S22R,DDK00AC01222R,DDK00AC01322R,DDK00AC01S22R,DDK00AM01222R,DDK00AM01322R,DDK00AM01S22R,DDK00AR01222R,DDK00AR01322R,DDK00AR01S22R,DDK00AS01222R,DDK00AS01322R,DDK00AS01S22R,DDL00A001222R,DDL00A001322R,DDL00A001S22R,DDL00AC01222R,DDL00AC01322R,DDL00AC01S22R,DDL00AM01222R,DDL00AM01322R,DDL00AM01S22R,DDL00AR01222R,DDL00AR01322R,DDL00AR01S22R,DDL00AS01222R,DDL00AS01322R,DDL00AS01S22R,DDQ00A001222R,DDQ00A001322R,DDQ00A001S22R,DDQ00AC01222R,DDQ00AC01322R,DDQ00AC01S22R,DDQ00AM01222R,DDQ00AM01322R,DDQ00AM01S22R,DDQ00AR01222R,DDQ00AR01322R,DDQ00AR01S22R,DDQ00AS01222R,DDQ00AS01322R,DDQ00AS01S22R,DDT00A001222R,DDT00A001322R,DDT00A001S22R,DDT00AC01222R,DDT00AC01322R,DDT00AC01S22R,DDT00AM01222R,DDT00AM01322R,DDT00AM01S22R,DDT00AR01222R,DDT00AR01322R,DDT00AR01S22R,DDT00AS01222R,DDT00AS01322R,DDT00AS01S22R,DDU00A001222R,DDU00A001322R,DDU00A001S22R,DDU00AC01222R,DDU00AC01322R,DDU00AC01S22R,DDU00AM01222R,DDU00AM01322R,DDU00AM01S22R,DDU00AR01222R,DDU00AR01322R,DDU00AR01S22R,DDU00AS01222R,DDU00AS01322R,DDU00AS01S22R,DDX00A001222R,DDX00A001322R,DDX00A001S22R,DDX00AC01222R,DDX00AC01322R,DDX00AC01S22R,DDX00AM01222R,DDX00AM01322R,DDX00AM01S22R,DDX00AR01222R,DDX00AR01322R,DDX00AR01S22R,DDX00AS01222R,DDX00AS01322R,DDX00AS01S22R,DDY00A001222R,DDY00A001322R,DDY00A001S22R,DDY00AC01222R,DDY00AC01322R,DDY00AC01S22R,DDY00AM01222R,DDY00AM01322R,DDY00AM01S22R,DDY00AR01222R,DDY00AR01322R,DDY00AR01S22R,DDY00AS01222R,DDY00AS01322R,DDY00AS01S22R,DDZ00A001222R,DDZ00A001322R,DDZ00A001S22R,DDZ00AC01222R,DDZ00AC01322R,DDZ00AC01S22R,DDZ00AM01222R,DDZ00AM01322R,DDZ00AM01S22R,DDZ00AR01222R,DDZ00AR01322R,DDZ00AR01S22R,DDZ00AS01222R,DDZ00AS01322R,DDZ00AS01S22R,DISTNAME,DNB00A001222R,DNB00A001322R,DNB00A001S22R,DNB00AC01222R,DNB00AC01322R,DNB00AC01S22R,DNB00AM01222R,DNB00AM01322R,DNB00AM01S22R,DNB00AR01222R,DNB00AR01322R,DNB00AR01S22R,DNB00AS01222R,DNB00AS01322R,DNB00AS01S22R,DNE00A001222R,DNE00A001322R,DNE00A001S22R,DNE00AC01222R,DNE00AC01322R,DNE00AC01S22R,DNE00AM01222R,DNE00AM01322R,DNE00AM01S22R,DNE00AR01222R,DNE00AR01322R,DNE00AR01S22R,DNE00AS01222R,DNE00AS01322R,DNE00AS01S22R,DNT00A001222R,DNT00A001322R,DNT00A001S22R,DNT00AC01222R,DNT00AC01322R,DNT00AC01S22R,DNT00AM01222R,DNT00AM01322R,DNT00AM01S22R,DNT00AR01222R,DNT00AR01322R,DNT00AR01S22R,DNT00AS01222R,DNT00AS01322R,DNT00AS01S22R
"'067904",48,22,74,53,29,80,42,16,72,51,25,74,49,21,74,47,21,73,52,28,78,40,15,70,52,24,74,47,20,76,40,8,64,-1,-1,-1,20,0,50,60,10,80,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,38,8,65,-1,-1,-1,20,0,50,60,10,80,40,20,80,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,50,0,50,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,35,12,71,-1,-1,-1,17,0,67,50,17,83,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,-1,-1,-1,"GORMAN ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'067907",33,11,63,32,12,69,23,6,56,37,10,64,47,26,75,32,11,62,32,12,67,23,6,55,36,10,62,46,26,76,6,0,22,-1,-1,-1,0,0,20,11,0,22,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,0,22,-1,-1,-1,0,0,20,11,0,22,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,0,22,-1,-1,-1,0,0,20,11,0,22,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"RANGER ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.
"'067908",33,12,60,28,6,66,26,9,54,42,20,65,24,5,52,31,12,61,23,5,64,25,9,55,40,19,66,21,4,50,7,7,50,-1,-1,-1,0,0,60,20,20,80,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"RISING STAR ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,23,85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'068802",49,22,81,46,18,80,40,15,76,56,28,83,59,31,87,49,22,81,46,18,80,40,15,76,56,28,83,58,30,87,20,10,70,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18,9,64,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20,10,70,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"COMPASS ACADEMY CHARTER SCHOOL",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.
"'068803",52,25,83,57,28,85,39,18,77,59,29,86,60,35,87,51,25,83,55,27,86,40,18,77,59,28,87,58,34,88,67,36,88,-1,-1,-1,64,43,79,67,33,93,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,40,17,89,22,11,89,40,25,80,50,15,95,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"UTPB STEM ACADEMY",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,67,36,88,-1,-1,-1,64,43,79,67,33,93,-1,-1,-1,100,60,100,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.
"'068901",35,14,64,36,12,68,30,12,61,40,16,64,34,16,60,33,13,61,32,11,64,30,12,61,36,15,61,28,13,54,23,10,53,22,8,57,26,11,59,24,10,50,15,5,42,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,27,12,55,19,6,46,31,13,61,31,15,57,7,2,31,23,9,52,21,7,53,27,11,58,25,11,51,10,3,36,37,15,65,38,10,58,42,18,72,36,15,68,9,6,23,27,12,56,-1,-1,-1,29,11,59,26,13,54,-1,-1,-1,28,12,56,21,6,48,32,13,61,29,14,57,7,3,29,28,17,62,25,25,56,36,12,70,27,21,67,10,10,30,22,9,50,23,9,57,23,9,54,20,9,44,20,7,55,20,8,49,21,6,55,23,9,57,25,11,49,9,3,35,"ECTOR COUNTY ISD",17,4,39,6,0,12,21,5,44,15,5,41,.,.,.,25,10,56,20,6,58,28,13,62,27,10,55,8,1,29,55,18,83,53,16,84,45,20,81,63,16,84,51,20,80
"'069901",28,9,60,8,0,60,17,4,55,42,15,64,35,19,61,27,9,59,9,0,60,17,6,55,40,13,62,34,19,59,32,9,50,-1,-1,-1,33,22,56,33,0,33,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,32,9,50,-1,-1,-1,33,22,56,33,0,33,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22,11,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,38,8,54,-1,-1,-1,40,20,60,40,0,40,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"ROCKSPRINGS ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,29,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.
"'069902",54,24,80,52,21,81,40,18,69,63,28,86,67,39,94,54,25,80,50,20,82,40,18,70,64,28,86,68,42,95,57,29,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,57,29,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,57,29,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"NUECES CANYON CISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'070801",21,7,49,17,5,51,17,5,42,27,10,52,21,5,60,19,6,47,16,4,52,15,5,44,23,8,46,18,5,52,17,5,48,15,3,57,16,5,49,20,5,45,15,4,47,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16,5,45,13,3,51,14,5,45,19,6,42,15,4,47,22,11,56,.,.,.,18,6,53,27,16,59,.,.,.,11,4,30,10,2,30,9,3,31,13,5,31,.,.,.,12,5,34,10,2,30,11,4,35,15,7,36,.,.,.,17,5,49,15,3,57,16,5,50,20,5,45,14,4,47,40,7,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,0,60,11,6,83,-1,-1,-1,0,0,83,33,17,83,-1,-1,-1,"WAXAHACHIE FAITH FAMILY ACADEMY",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,23,0,0,71,0,0,9,0,0,8,.,.,.,68,27,89,67,25,100,53,24,76,88,29,94,60,30,90
"'070901",36,11,68,39,7,70,30,6,64,40,15,69,36,14,72,35,10,67,36,7,67,29,6,65,40,14,69,33,13,67,11,0,50,-1,-1,-1,0,0,71,29,0,43,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,11,0,50,-1,-1,-1,0,0,71,29,0,43,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,11,0,50,-1,-1,-1,0,0,71,29,0,43,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"AVALON ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.
"'070903",46,20,74,45,16,74,43,18,74,48,22,73,49,25,74,43,19,72,40,14,73,41,18,73,45,20,71,42,21,69,18,6,49,11,2,52,22,8,56,19,8,46,8,0,25,50,12,73,.,.,.,46,8,69,54,15,77,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,21,8,53,9,1,50,27,11,59,20,8,52,8,0,26,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,34,15,71,6,0,61,39,20,68,38,14,77,.,.,.,100,0,100,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,18,7,50,10,2,52,21,8,57,19,8,48,8,0,25,22,22,78,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"ENNIS ISD",32,15,71,6,0,61,38,22,68,35,14,77,.,.,.,12,6,33,33,0,67,12,4,44,9,9,21,0,0,20,47,21,80,44,14,84,49,25,82,53,25,81,24,8,61
"'070905",43,17,76,39,12,76,37,15,74,50,20,77,42,21,76,39,15,72,36,11,72,34,13,73,45,17,72,39,19,73,28,9,63,24,8,60,26,8,68,32,9,62,23,7,61,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,27,8,63,24,7,61,26,8,69,30,9,60,24,8,63,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,32,13,60,.,.,.,32,13,66,32,12,54,.,.,.,30,12,60,.,.,.,30,13,66,30,12,54,.,.,.,31,10,69,24,9,62,36,9,75,32,11,67,.,.,.,27,9,62,24,8,58,24,8,67,31,9,59,23,7,60,32,8,72,31,8,54,24,0,76,40,14,74,27,9,73,"FERRIS ISD",22,11,61,.,.,.,22,11,67,22,11,56,.,.,.,33,5,75,33,0,83,25,6,75,41,6,71,-1,-1,-1,74,35,94,82,35,91,53,24,89,87,41,99,86,54,100
"'070907",38,14,68,34,10,74,32,9,65,45,18,69,43,22,66,37,14,67,32,9,72,31,10,66,44,17,68,40,20,61,27,9,58,11,0,53,27,11,70,38,11,62,8,8,17,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,27,9,58,11,0,53,27,11,70,38,11,62,8,8,17,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,28,9,59,11,0,56,28,11,72,40,11,60,9,9,18,0,0,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"ITALY ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,64,18,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'070908",56,27,82,56,26,84,52,26,82,58,27,81,57,34,82,55,26,81,55,25,83,52,25,82,57,26,81,56,33,81,25,9,58,17,8,50,30,12,68,26,9,58,10,3,28,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,31,13,63,20,8,55,36,16,71,33,13,63,10,2,27,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,53,25,80,35,6,82,53,28,81,57,27,78,.,.,.,53,25,80,35,6,82,53,28,81,57,27,78,.,.,.,35,15,50,-1,-1,-1,35,20,50,40,15,60,-1,-1,-1,24,9,59,16,9,51,29,11,70,24,8,58,11,3,30,0,0,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,"MIDLOTHIAN ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,60,30,87,46,24,89,64,33,92,65,29,87,57,34,79
"'070909",30,14,58,24,7,50,25,11,48,37,19,71,32,16,55,28,12,59,22,5,49,22,10,48,35,17,73,28,13,54,10,3,57,10,0,40,5,5,42,17,4,79,0,0,43,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,11,5,58,8,0,42,5,5,43,19,8,81,0,0,43,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,9,4,57,10,0,40,6,6,41,14,5,82,0,0,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,"MILFORD ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,80,0,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'070910",61,29,87,63,28,88,60,24,87,63,33,87,55,30,83,58,27,84,59,25,86,57,23,85,60,31,84,51,26,80,38,14,69,31,5,72,39,12,72,44,22,67,19,4,59,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,37,14,68,31,5,72,38,12,71,43,22,66,19,4,59,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,50,17,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,13,63,37,14,69,32,5,71,38,12,72,44,21,68,5,0,58,17,17,33,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,"PALMER ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,93,48,96,100,33,100,86,71,86,89,33,100,100,60,100
"'070911",48,22,74,47,20,75,45,20,72,51,22,76,48,27,72,45,20,73,44,19,73,43,19,71,48,21,74,45,25,71,28,11,60,25,9,58,29,13,61,30,10,62,24,7,50,42,22,70,23,17,50,49,22,80,40,23,66,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,31,12,62,26,10,59,33,14,65,32,12,63,23,7,54,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,42,22,70,23,17,50,49,22,80,40,23,66,.,.,.,33,18,63,21,7,50,31,20,63,37,19,67,-1,-1,-1,28,9,61,28,10,62,28,11,63,29,8,60,24,7,57,33,10,68,34,9,69,36,13,70,35,9,68,17,9,65,"RED OAK ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,26,10,52,16,8,48,29,13,47,27,10,64,26,9,30,67,33,100,.,.,.,60,0,100,-1,-1,-1,78,56,100
"'070912",50,23,78,48,22,79,43,18,74,56,26,80,54,34,81,48,22,76,47,21,77,41,17,73,54,24,78,53,33,80,24,8,58,27,8,63,23,8,60,26,10,53,15,6,65,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,26,10,59,27,9,59,25,8,61,27,11,57,21,8,64,29,13,64,23,15,47,28,9,65,33,17,68,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,29,13,64,23,15,47,28,9,65,33,17,68,.,.,.,30,15,60,33,20,67,25,14,59,33,15,59,.,.,.,23,7,58,27,6,63,23,7,60,25,9,52,15,6,65,26,8,55,32,4,64,22,10,52,23,7,53,41,18,59,"WAXAHACHIE ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,73,29,91,73,28,93,67,25,88,79,25,93,69,43,91
"'070915",50,21,78,44,17,78,45,14,78,55,24,77,57,38,80,49,21,77,44,16,77,44,14,77,53,23,76,58,38,82,28,11,60,32,5,68,17,2,51,28,13,57,44,28,83,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,30,11,62,35,4,70,20,2,55,32,14,59,44,28,83,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,30,10,50,.,.,.,40,0,40,20,20,60,.,.,.,27,11,61,32,5,68,14,3,53,29,13,56,44,28,83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,"MAYPEARL ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,88,50,97,-1,-1,-1,91,55,91,79,57,100,-1,-1,-1
"'071801",60,29,86,49,14,84,53,26,82,71,35,90,51,35,83,50,22,80,41,13,80,48,24,80,56,24,80,41,23,73,30,9,67,28,6,72,33,15,76,30,6,63,25,7,57,61,31,86,50,25,94,58,25,83,67,38,87,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,37,13,72,33,9,77,39,17,78,39,13,69,28,9,62,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,50,25,81,36,18,82,45,18,77,58,34,84,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,30,9,67,28,6,72,34,15,77,30,6,63,25,7,57,54,21,88,52,15,93,51,24,91,62,22,90,38,14,71,"BURNHAM WOOD CHARTER SCHOOL DISTRICT",27,13,70,0,0,50,20,4,64,40,24,80,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,83,48,97,56,38,94,82,56,95,89,41,98,91,64,100
"'071803",69,0,85,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,0,83,51,8,80,41,14,77,59,18,100,53,5,70,48,8,91,28,6,69,17,17,100,-1,-1,-1,26,0,47,22,0,89,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,26,3,63,11,11,78,-1,-1,-1,27,0,40,21,0,84,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,"TRIUMPH PUBLIC HIGH SCHOOLS-EL PASO",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,28,6,69,17,17,100,-1,-1,-1,26,0,47,22,0,89,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1
"'071804",59,17,88,50,6,88,61,28,92,56,6,79,66,30,97,52,14,85,43,6,88,43,19,91,49,4,72,63,26,95,18,2,71,25,0,92,13,0,94,16,0,44,25,8,75,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,17,1,69,21,0,86,11,0,89,17,0,45,23,8,77,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18,2,71,25,0,92,13,0,94,16,0,44,25,8,75,14,0,71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"EL PASO ACADEMY",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,86,25,100,-1,-1,-1,-1,-1,-1,100,0,100,81,38,100
"'071806",52,25,79,49,20,77,46,21,78,60,30,82,47,29,77,50,23,78,46,19,75,46,21,78,56,27,80,44,25,76,37,12,70,35,8,68,40,15,76,37,10,66,27,9,62,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,37,14,70,29,9,64,39,15,74,40,18,70,26,7,60,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,47,16,73,29,0,86,42,11,74,58,26,68,.,.,.,54,23,82,70,20,90,49,22,78,56,25,84,.,.,.,35,11,69,34,8,68,39,15,77,35,9,65,27,9,62,49,24,82,34,20,77,45,19,82,59,32,86,23,0,54,"HARMONY PUBLIC SCHOOLS - WEST TEXAS",47,16,73,29,0,86,42,11,74,58,26,68,.,.,.,18,4,43,-1,-1,-1,8,0,42,33,8,58,.,.,.,68,37,91,63,30,88,68,42,94,74,36,89,59,37,92
