,2018 SDA03AMA1S18R,DDA03AMA1S18R,CDA03AMA1S18R,CDB03AMA1S18R,CDH03AMA1S18R,CDW03AMA1S18R,CDI03AMA1S18R,CD303AMA1S18R,CD403AMA1S18R,CD203AMA1S18R,CDS03AMA1S18R,CNS03AMA1S18R,CNC03AMA1S18R,CNM03AMA1S18R,CDE03AMA1S18R,CD003AMA1S18R,,
At Meets Grade Level or Above,2019 SDA03AMA1219R,DDA03AMA1219R,CDA03AMA1219R,CDB03AMA1219R,CDH03AMA1219R,CDW03AMA1219R,CDI03AMA1219R,CD303AMA1219R,CD403AMA1219R,CD203AMA1219R,CDS03AMA1219R,CNS03AMA1219R,CNC03AMA1219R,CNM03AMA1219R,CDE03AMA1219R,CD003AMA1219R,,
,2018 SDA03AMA1218R,DDA03AMA1218R,CDA03AMA1218R,CDB03AMA1218R,CDH03AMA1218R,CDW03AMA1218R,CDI03AMA1218R,CD303AMA1218R,CD403AMA1218R,CD203AMA1218R,CDS03AMA1218R,CNS03AMA1218R,CNC03AMA1218R,CNM03AMA1218R,CDE03AMA1218R,CD003AMA1218R,,
At Masters Grade Level,2019 SDA03AMA1319R,DDA03AMA1319R,CDA03AMA1319R,CDB03AMA1319R,CDH03AMA1319R,CDW03AMA1319R,CDI03AMA1319R,CD303AMA1319R,CD403AMA1319R,CD203AMA1319R,CDS03AMA1319R,"CNS03AMA1319R
:unselected:",CNC03AMA1319R,CNM03AMA1319R,CDE03AMA1319R,CD003AMA1319R,,
,2018 SDA03AMA1318R,DDA03AMA1318R,CDA03AMA1318R,CDB03AMA1318R,CDH03AMA1318R,CDW03AMA1318R,CDI03AMA1318R,CD303AMA1318R,CD403AMA1318R,CD203AMA1318R,CDS03AMA1318R,CNS03AMA1318R,CNC03AMA1318R,CNM03AMA1318R,CDE03AMA1318R,CD003AMA1318R,,
Grade 4 Reading,,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019 SDA04ARE1S19R,DDA04ARE1S19R,CDA04ARE1S19R,CDB04ARE1S19R,CDH04ARE1S19R,CDW04ARE1S19R,CDI04ARE1S19R,CD304ARE1S19R,CD404ARE1S19R,CD204ARE1S19R,CDS04ARE1S19R,CNS04ARE1S19R,CNC04ARE1S19R,CNM04ARE1S19R,CDE04ARE1S19R,CD004ARE1S19R,,
,2018 SDA04ARE1S18R,DDA04ARE1S18R,CDA04ARE1S18R,CDB04ARE1S18R,CDH04ARE1S18R,CDW04ARE1S18R,CDI04ARE1S18R,CD304ARE1S18R,CD404ARE1S18R,CD204ARE1S18R,CDS04ARE1S18R,CNS04ARE1S18R,CNC04ARE1S18R,CNM04ARE1S18R,CDE04ARE1S18R,CD004ARE1S18R,,
At Meets Grade Level or Above,2019 SDA04ARE1219R,DDA04ARE1219R,CDA04ARE1219R,CDB04ARE1219R,CDH04ARE1219R,CDW04ARE1219R,CDI04ARE1219R,CD304ARE1219R,CD404ARE1219R,CD204ARE1219R,CDS04ARE1219R,CNS04ARE1219R,CNC04ARE1219R,CNM04ARE1219R,CDE04ARE1219R,CD004ARE1219R,,
,2018 SDA04ARE1218R,DDA04ARE1218R,CDA04ARE1218R,CDB04ARE1218R,CDH04ARE1218R,CDW04ARE1218R,CDI04ARE1218R,CD304ARE1218R,CD404ARE1218R,CD204ARE1218R,CDS04ARE1218R,CNS04ARE1218R,CNC04ARE1218R,CNM04ARE1218R,CDE04ARE1218R,CD004ARE1218R,,
At Masters Grade Level,2019 SDA04ARE1319R,DDA04ARE1319R,CDA04ARE1319R,CDB04ARE1319R,CDH04ARE1319R,CDW04ARE1319R,CDI04ARE1319R,CD304ARE1319R,CD404ARE1319R,CD204ARE1319R,CDS04ARE1319R,CNS04ARE1319R,CNC04ARE1319R,CNM04ARE1319R,CDE04ARE1319R,CD004ARE1319R,,
,2018 SDA04ARE1318R,DDA04ARE1318R,CDA04ARE1318R,CDB04ARE1318R,CDH04ARE1318R,CDW04ARE1318R,CDI04ARE1318R,CD304ARE1318R,CD404ARE1318R,CD204ARE1318R,CDS04ARE1318R,CNS04ARE1318R,CNC04ARE1318R,CNM04ARE1318R,CDE04ARE1318R,CD004ARE1318R,,
Grade 4 Mathematics,,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019 SDA04AMA1S19R,DDA04AMA1S19R,CDA04AMA1S19R,CDB04AMA1S19R,CDH04AMA1S19R,CDW04AMA1S19R,CDI04AMA1S19R,CD304AMA1S19R,CD404AMA1S19R,CD204AMA1S19R,CDS04AMA1S19R,CNS04AMA1S19R,CNC04AMA1S19R,CNM04AMA1S19R,CDE04AMA1S19R,CD004AMA1S19R,,
,2018 SDA04AMA1S18R,DDA04AMA1S18R,CDA04AMA1S18R,CDB04AMA1S18R,CDH04AMA1S18R,CDW04AMA1S18R,CDI04AMA1S18R,CD304AMA1S18R,CD404AMA1S18R,CD204AMA1S18R,CDS04AMA1S18R,CNS04AMA1S18R,CNC04AMA1S18R,CNM04AMA1S18R,CDE04AMA1S18R,CD004AMA1S18R,,
At Meets Grade Level or Above,2019 SDA04AMA1219R,DDA04AMA1219R,CDA04AMA1219R,CDB04AMA1219R,CDH04AMA1219R,CDW04AMA1219R,CDI04AMA1219R,CD304AMA1219R,CD404AMA1219R,CD204AMA1219R,CDS04AMA1219R,CNS04AMA1219R,CNC04AMA1219R,CNM04AMA1219R,CDE04AMA1219R,CD004AMA1219R,,
,2018 SDA04AMA1218R,DDA04AMA1218R,CDA04AMA1218R,CDB04AMA1218R,CDH04AMA1218R,CDW04AMA1218R,CDI04AMA1218R,CD304AMA1218R,CD404AMA1218R,CD204AMA1218R,CDS04AMA1218R,CNS04AMA1218R,CNC04AMA1218R,CNM04AMA1218R,CDE04AMA1218R,CD004AMA1218R,,
At Masters Grade Level,2019 SDA04AMA1319R,DDA04AMA1319R,CDA04AMA1319R,CDB04AMA1319R,CDH04AMA1319R,CDW04AMA1319R,CDI04AMA1319R,CD304AMA1319R,CD404AMA1319R,CD204AMA1319R,CDS04AMA1319R,CNS04AMA1319R,CNC04AMA1319R,CNM04AMA1319R,CDE04AMA1319R,CD004AMA1319R,,
,2018 SDA04AMA1318R,DDA04AMA1318R,CDA04AMA1318R,CDB04AMA1318R,CDH04AMA1318R,CDW04AMA1318R,CDI04AMA1318R,CD304AMA1318R,CD404AMA1318R,CD204AMA1318R,CDS04AMA1318R,CNS04AMA1318R,CNC04AMA1318R,CNM04AMA1318R,CDE04AMA1318R,CD004AMA1318R,,
Grade 4 Writing,,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019 SDA04AWR1S19R,DDA04AWR1S19R,CDA04AWR1S19R,CDB04AWR1S19R,CDH04AWR1S19R,CDW04AWR1S19R,CDI04AWR1S19R,CD304AWR1S19R,CD404AWR1S19R,CD204AWR1S19R,CDS04AWR1S19R,CNS04AWR1S19R,CNC04AWR1S19R,CNM04AWR1S19R,CDE04AWR1S19R,CD004AWR1S19R,,
,2018 SDA04AWR1S18R,DDA04AWR1S18R,CDA04AWR1S18R,CDB04AWR1S18R,CDH04AWR1S18R,CDW04AWR1S18R,CDI04AWR1S18R,CD304AWR1S18R,CD404AWR1S18R,CD204AWR1S18R,CDS04AWR1S18R,CNS04AWR1S18R,CNC04AWR1S18R,CNM04AWR1S18R,CDE04AWR1S18R,CD004AWR1S18R,,
At Meets Grade Level or Above,2019 SDA04AWR1219R,DDA04AWR1219R,CDA04AWR1219R,CDB04AWR1219R,CDH04AWR1219R,CDW04AWR1219R,CDI04AWR1219R,CD304AWR1219R,CD404AWR1219R,CD204AWR1219R,CDS04AWR1219R,CNS04AWR1219R,CNC04AWR1219R,CNM04AWR1219R,CDE04AWR1219R,CD004AWR1219R,,
,2018 SDA04AWR1318R,DDA04AWR1318R,CDA04AWR1318R,CDB04AWR1318R,CDH04AWR1318R,CDW04AWR1318R,CDI04AWR1318R,CD304AWR1318R,CD404AWR1318R,CD204AWR1318R,CDS04AWR1318R,CNS04AWR1318R,CNC04AWR1318R,CNM04AWR1318R,CDE04AWR1318R,CD004AWR1318R,,
At Masters Grade Level,2019 SDA04AWR1319R,DDA04AWR1319R,CDA04AWR1319R,CDB04AWR1319R,CDH04AWR1319R,CDW04AWR1319R,CDI04AWR1319R,CD304AWR1319R,CD404AWR1319R,CD204AWR1319R,CDS04AWR1319R,CNS04AWR1319R,CNC04AWR1319R,CNM04AWR1319R,CDE04AWR1319R,CD004AWR1319R,,
,2018 SDA04AWR1218R,DDA04AWR1218R,CDA04AWR1218R,CDB04AWR1218R,CDH04AWR1218R,CDW04AWR1218R,CDI04AWR1218R,CD304AWR1218R,CD404AWR1218R,CD204AWR1218R,CDS04AWR1218R,CNS04AWR1218R,CNC04AWR1218R,CNM04AWR1218R,CDE04AWR1218R,CD004AWR1218R,,
Grade 5 Reading^,,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019 SDA05ARE1S19R,DDA05ARE1S19R,CDA05ARE1S19R,CDB05ARE1S19R,CDH05ARE1S19R,CDW05ARE1S19R,CDI05ARE1S19R,CD305ARE1S19R,CD405ARE1S19R,CD205ARE1S19R,CDS05ARE1S19R,CNS05ARE1S19R,CNC05ARE1S19R,CNM05ARE1S19R,CDE05ARE1S19R,CD005ARE1S19R,,
,2018 SDA05ARE1S18R,DDA05ARE1S18R,CDA05ARE1S18R,CDB05ARE1S18R,CDH05ARE1S18R,CDW05ARE1S18R,CDI05ARE1S18R,CD305ARE1S18R,CD405ARE1S18R,CD205ARE1S18R,CDS05ARE1S18R,CNS05ARE1S18R,CNC05ARE1S18R,CNM05ARE1S18R,CDE05ARE1S18R,CD005ARE1S18R,,
At Meets Grade Level or Above,2019 SDA05ARE1219R,DDA05ARE1219R,CDA05ARE1219R,CDB05ARE1219R,CDH05ARE1219R,CDW05ARE1219R,CDI05ARE1219R,CD305ARE1219R,CD405ARE1219R,CD205ARE1219R,CDS05ARE1219R,CNS05ARE1219R,CNC05ARE1219R,CNM05ARE1219R,CDE05ARE1219R,CD005ARE1219R,,
,2018 SDA05ARE1218R,DDA05ARE1218R,CDA05ARE1218R,CDB05ARE1218R,CDH05ARE1218R,CDW05ARE1218R,CDI05ARE1218R,CD305ARE1218R,CD405ARE1218R,CD205ARE1218R,CDS05ARE1218R,CNS05ARE1218R,CNC05ARE1218R,CNM05ARE1218R,CDE05ARE1218R,CD005ARE1218R,,
At Masters Grade Level,2019 SDA05ARE1319R,DDA05ARE1319R,CDA05ARE1319R,CDB05ARE1319R,CDH05ARE1319R,CDW05ARE1319R,CDI05ARE1319R,CD305ARE1319R,CD405ARE1319R,CD205ARE1319R,CDS05ARE1319R,CNS05ARE1319R,CNC05ARE1319R,CNM05ARE1319R,CDE05ARE1319R,CD005ARE1319R,,
,2018 SDA05ARE1318R,DDA05ARE1318R,CDA05ARE1318R,CDB05ARE1318R,CDH05ARE1318R,CDW05ARE1318R,CDI05ARE1318R,CD305ARE1318R,CD405ARE1318R,CD205ARE1318R,CDS05ARE1318R,CNS05ARE1318R,CNC05ARE1318R,CNM05ARE1318R,CDE05ARE1318R,CD005ARE1318R,,
Grade 5 Mathematics^,,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019 SDA05AMA1S19R,DDA05AMA1S19R,CDA05AMA1S19R,CDB05AMA1S19R,CDH05AMA1S19R,CDW05AMA1S19R,CDI05AMA1S19R,CD305AMA1S19R,CD405AMA1S19R,CD205AMA1S19R,CDS05AMA1S19R,CNS05AMA1S19R,CNC05AMA1S19R,CNM05AMA1S19R,CDE05AMA1S19R,CD005AMA1S19R,,
,2018 SDA05AMA1S18R,DDA05AMA1S18R,CDA05AMA1S18R,CDB05AMA1S18R,CDH05AMA1S18R,CDW05AMA1S18R,CDI05AMA1S18R,CD305AMA1S18R,CD405AMA1S18R,CD205AMA1S18R,CDS05AMA1S18R,CNS05AMA1S18R,CNC05AMA1S18R,CNM05AMA1S18R,CDE05AMA1S18R,CD005AMA1S18R,,
At Meets Grade Level or Above,2019 SDA05AMA1219R,DDA05AMA1219R,CDA05AMA1219R,CDB05AMA1219R,CDH05AMA1219R,CDW05AMA1219R,CDI05AMA1219R,CD305AMA1219R,CD405AMA1219R,CD205AMA1219R,CDS05AMA1219R,CNS05AMA1219R,CNC05AMA1219R,CNM05AMA1219R,CDE05AMA1219R,CD005AMA1219R,,
,2018 SDA05AMA1218R,DDA05AMA1218R,CDA05AMA1218R,CDB05AMA1218R,CDH05AMA1218R,CDW05AMA1218R,CDI05AMA1218R,CD305AMA1218R,CD405AMA1218R,CD205AMA1218R,CDS05AMA1218R,CNS05AMA1218R,CNC05AMA1218R,CNM05AMA1218R,CDE05AMA1218R,CD005AMA1218R,,
At Masters Grade Level,2019 SDA05AMA1319R,DDA05AMA1319R,CDA05AMA1319R,CDB05AMA1319R,CDH05AMA1319R,CDW05AMA1319R,CDI05AMA1319R,CD305AMA1319R,CD405AMA1319R,CD205AMA1319R,CDS05AMA1319R,CNS05AMA1319R,CNC05AMA1319R,CNM05AMA1319R,CDE05AMA1319R,CD005AMA1319R,,
,2018 SDA05AMA1318R,DDA05AMA1318R,CDA05AMA1318R,CDB05AMA1318R,CDH05AMA1318R,CDW05AMA1318R,CDI05AMA1318R,CD305AMA1318R,CD405AMA1318R,CD205AMA1318R,CDS05AMA1318R,CNS05AMA1318R,CNC05AMA1318R,CNM05AMA1318R,CDE05AMA1318R,CD005AMA1318R,,
Grade 5 Science,,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019 SDA05ASC1S19R,DDA05ASC1S19R,CDA05ASC1S19R,CDB05ASC1S19R,CDH05ASC1S19R,CDW05ASC1S19R,CDI05ASC1S19R,CD305ASC1S19R,CD405ASC1S19R,CD205ASC1S19R,CDS05ASC1S19R,CNS05ASC1S19R,CNC05ASC1S19R,CNM05ASC1S19R,CDE05ASC1S19R,CD005ASC1S19R,,
,2018 SDA05ASC1S18R,DDA05ASC1S18R,CDA05ASC1S18R,CDB05ASC1S18R,CDH05ASC1S18R,CDW05ASC1S18R,CDI05ASC1S18R,CD305ASC1S18R,CD405ASC1S18R,CD205ASC1S18R,CDS05ASC1S18R,CNS05ASC1S18R,CNC05ASC1S18R,CNM05ASC1S18R,CDE05ASC1S18R,CD005ASC1S18R,,
At Meets Grade Level or Above,2019 SDA05ASC1219R,DDA05ASC1219R,CDA05ASC1219R,CDB05ASC1219R,CDH05ASC1219R,CDW05ASC1219R,CDI05ASC1219R,CD305ASC1219R,CD405ASC1219R,CD205ASC1219R,CDS05ASC1219R,CNS05ASC1219R,CNC05ASC1219R,CNM05ASC1219R,CDE05ASC1219R,CD005ASC1219R,,
,2018 SDA05ASC1218R,DDA05ASC1218R,CDA05ASC1218R,CDB05ASC1218R,CDH05ASC1218R,CDW05ASC1218R,CDI05ASC1218R,CD305ASC1218R,CD405ASC1218R,CD205ASC1218R,CDS05ASC1218R,CNS05ASC1218R,CNC05ASC1218R,CNM05ASC1218R,CDE05ASC1218R,CD005ASC1218R,,
At Masters Grade Level,2019 SDA05ASC1319R,DDA05ASC1319R,CDA05ASC1319R,CDB05ASC1319R,CDH05ASC1319R,CDW05ASC1319R,CDI05ASC1319R,CD305ASC1319R,CD405ASC1319R,CD205ASC1319R,CDS05ASC1319R,CNS05ASC1319R,CNC05ASC1319R,CNM05ASC1319R,CDE05ASC1319R,CD005ASC1319R,,
,2018 SDA05ASC1318R,DDA05ASC1318R,CDA05ASC1318R,CDB05ASC1318R,CDH05ASC1318R,CDW05ASC1318R,CDI05ASC1318R,CD305ASC1318R,CD405ASC1318R,CD205ASC1318R,CDS05ASC1318R,CNS05ASC1318R,CNC05ASC1318R,CNM05ASC1318R,CDE05ASC1318R,CD005ASC1318R,,
Grade 6 Reading At Approaches Grade Level or Above,2019 SDA06ARE1S19R,DDA06ARE1S19R,CDA06ARE1S19R,CDB06ARE1S19R,CDH06ARE1S19R,CDW06ARE1S19R,CDI06ARE1S19R,CD306ARE1S19R,CD406ARE1S19R,CD206ARE1S19R,CDS06ARE1S19R,"CNS06ARE1S19R
:unselected:",CNC06ARE1S19R,CNM06ARE1S19R,CDE06ARE1S19R,CD006ARE1S19R,,
,2018 SDA06ARE1S18R,DDA06ARE1S18R,CDA06ARE1S18R,CDB06ARE1S18R,CDH06ARE1S18R,CDW06ARE1S18R,CDI06ARE1S18R,CD306ARE1S18R,CD406ARE1S18R,CD206ARE1S18R,CDS06ARE1S18R,CNS06ARE1S18R,CNC06ARE1S18R,CNM06ARE1S18R,CDE06ARE1S18R,CD006ARE1S18R,,
At Meets Grade Level or Above,2019 SDA06ARE1219R,DDA06ARE1219R,CDA06ARE1219R,CDB06ARE1219R,CDH06ARE1219R,CDW06ARE1219R,CDI06ARE1219R,CD306ARE1219R,CD406ARE1219R,CD206ARE1219R,CDS06ARE1219R,"CNS06ARE1219R
:unselected:",CNC06ARE1219R,CNM06ARE1219R,CDE06ARE1219R,CD006ARE1219R,,
,2018 SDA06ARE1218R,DDA06ARE1218R,CDA06ARE1218R,CDB06ARE1218R,CDH06ARE1218R,CDW06ARE1218R,CDI06ARE1218R,CD306ARE1218R,CD406ARE1218R,CD206ARE1218R,CDS06ARE1218R,CNS06ARE1218R,CNC06ARE1218R,CNM06ARE1218R,CDE06ARE1218R,CD006ARE1218R,,
At Masters Grade Level,2019 SDA06ARE1319R,DDA06ARE1319R,CDA06ARE1319R,CDB06ARE1319R,CDH06ARE1319R,CDW06ARE1319R,CDI06ARE1319R,CD306ARE1319R,CD406ARE1319R,CD206ARE1319R,CDS06ARE1319R,"CNS06ARE1319R
:unselected:",CNC06ARE1319R,CNM06ARE1319R,CDE06ARE1319R,CD006ARE1319R,,
,2018 SDA06ARE1318R,DDA06ARE1318R,CDA06ARE1318R,CDB06ARE1318R,CDH06ARE1318R,CDW06ARE1318R,CDI06ARE1318R,CD306ARE1318R,CD406ARE1318R,CD206ARE1318R,CDS06ARE1318R,CNS06ARE1318R,CNC06ARE1318R,CNM06ARE1318R,CDE06ARE1318R,CD006ARE1318R,,
Grade 6 Mathematics,,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019 SDA06AMA1S19R,DDA06AMA1S19R,CDA06AMA1S19R,CDB06AMA1S19R,CDH06AMA1S19R,CDW06AMA1S19R,CDI06AMA1S19R,CD306AMA1S19R,CD406AMA1S19R,CD206AMA1S19R,CDS06AMA1S19R,CNS06AMA1S19R,CNC06AMA1S19R,CNM06AMA1S19R,CDE06AMA1S19R,CD006AMA1S19R,,
,2018 SDA06AMA1S18R,DDA06AMA1S18R,CDA06AMA1S18R,CDB06AMA1S18R,CDH06AMA1S18R,CDW06AMA1S18R,CDI06AMA1S18R,CD306AMA1S18R,CD406AMA1S18R,CD206AMA1S18R,CDS06AMA1S18R,CNS06AMA1S18R,CNC06AMA1S18R,CNM06AMA1S18R,CDE06AMA1S18R,CD006AMA1S18R,,
At Meets Grade Level or Above,2019 SDA06AMA1219R,DDA06AMA1219R,CDA06AMA1219R,CDB06AMA1219R,CDH06AMA1219R,CDW06AMA1219R,CDI06AMA1219R,CD306AMA1219R,CD406AMA1219R,CD206AMA1219R,CDS06AMA1219R,"CNS06AMA1219R
:unselected:",CNC06AMA1219R,CNM06AMA1219R,CDE06AMA1219R,CD006AMA1219R,,
,2018 SDA06AMA1218R,DDA06AMA1218R,CDA06AMA1218R,CDB06AMA1218R,CDH06AMA1218R,CDW06AMA1218R,CDI06AMA1218R,CD306AMA1218R,CD406AMA1218R,CD206AMA1218R,CDS06AMA1218R,"CNS06AMA1218R
:unselected:",CNC06AMA1218R,CNM06AMA1218R,CDE06AMA1218R,CD006AMA1218R,,
At Masters Grade Level,2019 SDA06AMA1319R,DDA06AMA1319R,CDA06AMA1319R,CDB06AMA1319R,CDH06AMA1319R,CDW06AMA1319R,CDI06AMA1319R,CD306AMA1319R,CD406AMA1319R,CD206AMA1319R,CDS06AMA1319R,"CNS06AMA1319R
:unselected:",CNC06AMA1319R,CNM06AMA1319R,CDE06AMA1319R,CD006AMA1319R,,
,2018 SDA06AMA1318R,DDA06AMA1318R,CDA06AMA1318R,CDB06AMA1318R,CDH06AMA1318R,CDW06AMA1318R,CDI06AMA1318R,CD306AMA1318R,CD406AMA1318R,CD206AMA1318R,CDS06AMA1318R,"CNS06AMA1318R
:unselected:",CNC06AMA1318R,CNM06AMA1318R,CDE06AMA1318R,CD006AMA1318R,,
,,,,,,,,,,,,,,,,,,
,,State,District,Campus,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed (Current),Special Ed (Former),Continu- ously Enrolled,Non-Continu- ously Enrolled,Econ Disadv,EL (Current & Monitored),
Grade 7 Reading,,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,SDA07ARE1S19R,DDA07ARE1S19R,CDA07ARE1S19R,CDB07ARE1S19R,CDH07ARE1S19R,CDW07ARE1S19R,CDI07ARE1S19R,CD307ARE1S19R,CD407ARE1S19R,"CD207ARE1S19R
:unselected:","CDS07ARE1S19R
:unselected:","CNS07ARE1S19R
:unselected:",CNC07ARE1S19R,CNM07ARE1S19R,CDE07ARE1S19R,CD007ARE1S19R,
,2018,SDA07ARE1S18R,DDA07ARE1S18R,CDA07ARE1S18R,CDB07ARE1S18R,CDH07ARE1S18R,CDW07ARE1S18R,CDI07ARE1S18R,CD307ARE1S18R,CD407ARE1S18R,CD207ARE1S18R,CDS07ARE1S18R,"CNS07ARE1S18R
:unselected:","CNC07ARE1S18R
:unselected:",CNM07ARE1S18R,CDE07ARE1S18R,CD007ARE1S18R,
At Meets Grade Level or Above,2019,SDA07ARE1219R,DDA07ARE1219R,CDA07ARE1219R,CDB07ARE1219R,CDH07ARE1219R,CDW07ARE1219R,CDI07ARE1219R,CD307ARE1219R,CD407ARE1219R,"CD207ARE1219R
:unselected:","CDS07ARE1219R
:unselected:","CNS07ARE1219R
:unselected:","CNC07ARE1219R
:unselected:","CNM07ARE1219R
:unselected:",CDE07ARE1219R,CD007ARE1219R,
,2018,SDA07ARE1218R,DDA07ARE1218R,CDA07ARE1218R,CDB07ARE1218R,CDH07ARE1218R,CDW07ARE1218R,CDI07ARE1218R,CD307ARE1218R,CD407ARE1218R,"CD207ARE1218R
:unselected:","CDS07ARE1218R
:unselected:","CNS07ARE1218R
:unselected:","CNC07ARE1218R
:unselected:","CNM07ARE1218R
:unselected:",CDE07ARE1218R,CD007ARE1218R,
At Masters Grade Level,2019,SDA07ARE1319R,DDA07ARE1319R,CDA07ARE1319R,CDB07ARE1319R,CDH07ARE1319R,CDW07ARE1319R,CDI07ARE1319R,CD307ARE1319R,CD407ARE1319R,CD207ARE1319R,"CDS07ARE1319R
:unselected:","CNS07ARE1319R
:unselected:","CNC07ARE1319R
:unselected:",CNM07ARE1319R,CDE07ARE1319R,CD007ARE1319R,
,2018,SDA07ARE1318R,DDA07ARE1318R,CDA07ARE1318R,CDB07ARE1318R,CDH07ARE1318R,CDW07ARE1318R,CDI07ARE1318R,CD307ARE1318R,CD407ARE1318R,CD207ARE1318R,"CDS07ARE1318R
:unselected:","CNS07ARE1318R
:unselected:","CNC07ARE1318R
:unselected:","CNM07ARE1318R
:unselected:",CDE07ARE1318R,CD007ARE1318R,
Grade 7 Mathematics,,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,SDA07AMA1S19R,DDA07AMA1S19R,CDA07AMA1S19R,CDB07AMA1S19R,CDH07AMA1S19R,CDW07AMA1S19R,CDI07AMA1S19R,CD307AMA1S19R,CD407AMA1S19R,"CD207AMA1S19R
:unselected:","CDS07AMA1S19R
:unselected:","CNS07AMA1S19R
:unselected:","CNC07AMA1S19R
:unselected:","CNM07AMA1S19R
:unselected:",CDE07AMA1S19R,CD007AMA1S19R,
,2018,SDA07AMA1S18R,DDA07AMA1S18R,CDA07AMA1S18R,CDB07AMA1S18R,CDH07AMA1S18R,CDW07AMA1S18R,CDI07AMA1S18R,CD307AMA1S18R,CD407AMA1S18R,"CD207AMA1S18R
:unselected:","CDS07AMA1S18R
:unselected:","CNS07AMA1S18R
:unselected:","CNC07AMA1S18R
:unselected:","CNM07AMA1S18R
:unselected:",CDE07AMA1S18R,CD007AMA1S18R,
At Meets Grade Level or Above,2019,SDA07AMA1219R,DDA07AMA1219R,CDA07AMA1219R,CDB07AMA1219R,CDH07AMA1219R,CDW07AMA1219R,CDI07AMA1219R,CD307AMA1219R,CD407AMA1219R,"CD207AMA1219R
:unselected:",CDS07AMA1219R,"CNS07AMA1219R
:unselected:","CNC07AMA1219R
:unselected:",CNM07AMA1219R,CDE07AMA1219R,CD007AMA1219R,
