,School Year,State,District,Campus,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed (Current),Special Ed (Former),Continu- ously Enrolled,Non-Continu- ously Enrolled,Econ Disadv,EB/EL (Current & Monitored),
,2019,SDA05ARE1219R,DDA05ARE1219R,CDA05ARE1219R,CDB05ARE1219R,CDH05ARE1219R,CDW05ARE1219R,CDI05ARE1219R,CD305ARE1219R,CD405ARE1219R,CD205ARE1219R,CDS05ARE1219R,CNS05ARE1219R,CNC05ARE1219R,CNM05ARE1219R,CDE05ARE1219R,CD005ARE1219R,
At Masters Grade Level,2021,SDA05ARE1321R,DDA05ARE1321R,CDA05ARE1321R,CDB05ARE1321R,CDH05ARE1321R,CDW05ARE1321R,CDI05ARE1321R,CD305ARE1321R,CD405ARE1321R,CD205ARE1321R,CDS05ARE1321R,CNS05ARE1321R,CNC05ARE1321R,CNM05ARE1321R,CDE05ARE1321R,CD005ARE1321R,
,2019,SDA05ARE1319R,DDA05ARE1319R,CDA05ARE1319R,CDB05ARE1319R,CDH05ARE1319R,CDW05ARE1319R,CDI05ARE1319R,CD305ARE1319R,CD405ARE1319R,CD205ARE1319R,CDS05ARE1319R,CNS05ARE1319R,CNC05ARE1319R,CNM05ARE1319R,CDE05ARE1319R,CD005ARE1319R,
Grade 5 Mathematics+,,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,SDA05AMA1S21R,DDA05AMA1S21R,CDA05AMA1S21R,CDB05AMA1S21R,CDH05AMA1S21R,CDW05AMA1S21R,CDI05AMA1S21R,CD305AMA1S21R,CD405AMA1S21R,CD205AMA1S21R,CDS05AMA1S21R,CNS05AMA1S21R,CNC05AMA1S21R,CNM05AMA1S21R,CDE05AMA1S21R,CD005AMA1S21R,
,2019,SDA05AMA1S19R,DDA05AMA1S19R,CDA05AMA1S19R,CDB05AMA1S19R,CDH05AMA1S19R,CDW05AMA1S19R,CDI05AMA1S19R,CD305AMA1S19R,CD405AMA1S19R,CD205AMA1S19R,CDS05AMA1S19R,CNS05AMA1S19R,CNC05AMA1S19R,CNM05AMA1S19R,CDE05AMA1S19R,CD005AMA1S19R,
At Meets Grade Level or Above,2021,SDA05AMA1221R,DDA05AMA1221R,CDA05AMA1221R,CDB05AMA1221R,CDH05AMA1221R,CDW05AMA1221R,CDI05AMA1221R,CD305AMA1221R,CD405AMA1221R,CD205AMA1221R,CDS05AMA1221R,CNS05AMA1221R,CNC05AMA1221R,CNM05AMA1221R,CDE05AMA1221R,CD005AMA1221R,
,2019,SDA05AMA1219R,DDA05AMA1219R,CDA05AMA1219R,CDB05AMA1219R,CDH05AMA1219R,CDW05AMA1219R,CDI05AMA1219R,CD305AMA1219R,CD405AMA1219R,CD205AMA1219R,CDS05AMA1219R,CNS05AMA1219R,CNC05AMA1219R,CNM05AMA1219R,CDE05AMA1219R,CD005AMA1219R,
At Masters Grade Level,2021,SDA05AMA1321R,DDA05AMA1321R,CDA05AMA1321R,CDB05AMA1321R,CDH05AMA1321R,CDW05AMA1321R,CDI05AMA1321R,CD305AMA1321R,CD405AMA1321R,CD205AMA1321R,CDS05AMA1321R,CNS05AMA1321R,CNC05AMA1321R,CNM05AMA1321R,CDE05AMA1321R,CD005AMA1321R,
,2019,SDA05AMA1319R,DDA05AMA1319R,CDA05AMA1319R,CDB05AMA1319R,CDH05AMA1319R,CDW05AMA1319R,CDI05AMA1319R,CD305AMA1319R,CD405AMA1319R,CD205AMA1319R,CDS05AMA1319R,CNS05AMA1319R,CNC05AMA1319R,CNM05AMA1319R,CDE05AMA1319R,CD005AMA1319R,
Grade 5 Science,,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,SDA05ASC1S21R,DDA05ASC1S21R,CDA05ASC1S21R,CDB05ASC1S21R,CDH05ASC1S21R,CDW05ASC1S21R,CDI05ASC1S21R,CD305ASC1S21R,CD405ASC1S21R,CD205ASC1S21R,CDS05ASC1S21R,CNS05ASC1S21R,"CNC05ASC1S21R
:unselected:",CNM05ASC1S21R,CDE05ASC1S21R,CD005ASC1S21R,
,2019,SDA05ASC1S19R,DDA05ASC1S19R,CDA05ASC1S19R,CDB05ASC1S19R,CDH05ASC1S19R,CDW05ASC1S19R,CDI05ASC1S19R,CD305ASC1S19R,CD405ASC1S19R,CD205ASC1S19R,CDS05ASC1S19R,CNS05ASC1S19R,"CNC05ASC1S19R
:unselected:",CNM05ASC1S19R,CDE05ASC1S19R,CD005ASC1S19R,
At Meets Grade Level or Above,2021,SDA05ASC1221R,DDA05ASC1221R,CDA05ASC1221R,CDB05ASC1221R,CDH05ASC1221R,CDW05ASC1221R,CDI05ASC1221R,CD305ASC1221R,CD405ASC1221R,CD205ASC1221R,CDS05ASC1221R,CNS05ASC1221R,"CNC05ASC1221R
:unselected:",CNM05ASC1221R,CDE05ASC1221R,CD005ASC1221R,
,2019,SDA05ASC1219R,DDA05ASC1219R,CDA05ASC1219R,CDB05ASC1219R,CDH05ASC1219R,CDW05ASC1219R,CDI05ASC1219R,CD305ASC1219R,CD405ASC1219R,CD205ASC1219R,CDS05ASC1219R,CNS05ASC1219R,"CNC05ASC1219R
:unselected:",CNM05ASC1219R,CDE05ASC1219R,CD005ASC1219R,
At Masters Grade Level,2021,SDA05ASC1321R,DDA05ASC1321R,CDA05ASC1321R,CDB05ASC1321R,CDH05ASC1321R,CDW05ASC1321R,CDI05ASC1321R,CD305ASC1321R,CD405ASC1321R,CD205ASC1321R,CDS05ASC1321R,CNS05ASC1321R,"CNC05ASC1321R
:unselected:",CNM05ASC1321R,CDE05ASC1321R,CD005ASC1321R,
,2019,SDA05ASC1319R,DDA05ASC1319R,CDA05ASC1319R,CDB05ASC1319R,CDH05ASC1319R,CDW05ASC1319R,CDI05ASC1319R,CD305ASC1319R,CD405ASC1319R,CD205ASC1319R,CDS05ASC1319R,CNS05ASC1319R,CNC05ASC1319R,CNM05ASC1319R,CDE05ASC1319R,CD005ASC1319R,
Grade 6 Reading,,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,SDA06ARE1S21R,DDA06ARE1S21R,CDA06ARE1S21R,CDB06ARE1S21R,CDH06ARE1S21R,CDW06ARE1S21R,CDI06ARE1S21R,CD306ARE1S21R,CD406ARE1S21R,CD206ARE1S21R,CDS06ARE1S21R,CNS06ARE1S21R,"CNC06ARE1S21R
:unselected:",CNM06ARE1S21R,CDE06ARE1S21R,CD006ARE1S21R,
,2019,SDA06ARE1S19R,DDA06ARE1S19R,CDA06ARE1S19R,CDB06ARE1S19R,CDH06ARE1S19R,CDW06ARE1S19R,CDI06ARE1S19R,CD306ARE1S19R,CD406ARE1S19R,CD206ARE1S19R,CDS06ARE1S19R,CNS06ARE1S19R,"CNC06ARE1S19R
:unselected:",CNM06ARE1S19R,CDE06ARE1S19R,CD006ARE1S19R,
At Meets Grade Level or Above,2021,SDA06ARE1221R,DDA06ARE1221R,CDA06ARE1221R,CDB06ARE1221R,CDH06ARE1221R,CDW06ARE1221R,CDI06ARE1221R,CD306ARE1221R,CD406ARE1221R,CD206ARE1221R,CDS06ARE1221R,CNS06ARE1221R,"CNC06ARE1221R
:unselected:",CNM06ARE1221R,CDE06ARE1221R,CD006ARE1221R,
,2019,SDA06ARE1219R,DDA06ARE1219R,CDA06ARE1219R,CDB06ARE1219R,CDH06ARE1219R,"CDW06ARE1219R
:unselected:",CDI06ARE1219R,CD306ARE1219R,CD406ARE1219R,CD206ARE1219R,CDS06ARE1219R,CNS06ARE1219R,"CNC06ARE1219R
:unselected:",CNM06ARE1219R,CDE06ARE1219R,CD006ARE1219R,
At Masters Grade Level,2021,SDA06ARE1321R,DDA06ARE1321R,CDA06ARE1321R,CDB06ARE1321R,CDH06ARE1321R,"CDW06ARE1321R
:unselected:",CDI06ARE1321R,CD306ARE1321R,CD406ARE1321R,CD206ARE1321R,CDS06ARE1321R,CNS06ARE1321R,"CNC06ARE1321R
:unselected:","CNM06ARE1321R
:unselected:",CDE06ARE1321R,CD006ARE1321R,
