Data field,Subcategory,School Year,State,Region ##,District,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed (Current),Special Ed (Former),Continu- ously Enrolled,Non-Continu- ously Enrolled,Econ Disadv,EB/EL (Current & Monitored),Unnamed: 18
STAAR Performance Rate by Subject and Performance Level Grade 3 Reading,STAAR Performance Rate by Subject and Performance Level Grade 3 Reading,,,,,,,,,,,,,,,,,,
Grade 4 Mathematics,At Approaches Grade Level or Above,2019,SDA04AMA1S19R,RDA04AMA1S19R,DDA04AMA1S19R,DDB04AMA1S19R,DDH04AMA1S19R,DDW04AMA1S19R,DDI04AMA1S19R,DD304AMA1S19R,DD404AMA1S19R,DD204AMA1S19R,DDS04AMA1S19R,DNS04AMA1S19R,DNC04AMA1S19R,DNM04AMA1S19R,DDE04AMA1S19R,DD004AMA1S19R,
Grade 4 Mathematics,At Meets Grade Level or Above,2021,SDA04AMA1221R,RDA04AMA1221R,DDA04AMA1221R,DDB04AMA1221R,DDH04AMA1221R,DDW04AMA1221R,DDI04AMA1221R,DD304AMA1221R,DD404AMA1221R,DD204AMA1221R,DDS04AMA1221R,DNS04AMA1221R,DNC04AMA1221R,DNM04AMA1221R,DDE04AMA1221R,DD004AMA1221R,
Grade 4 Mathematics,At Meets Grade Level or Above,2019,SDA04AMA1219R,RDA04AMA1219R,DDA04AMA1219R,DDB04AMA1219R,DDH04AMA1219R,DDW04AMA1219R,DDI04AMA1219R,DD304AMA1219R,DD404AMA1219R,DD204AMA1219R,DDS04AMA1219R,DNS04AMA1219R,DNC04AMA1219R,DNM04AMA1219R,DDE04AMA1219R,DD004AMA1219R,
Grade 4 Mathematics,At Masters Grade Level,2021,SDA04AMA1321R,RDA04AMA1321R,DDA04AMA1321R,DDB04AMA1321R,DDH04AMA1321R,DDW04AMA1321R,DDI04AMA1321R,DD304AMA1321R,DD404AMA1321R,DD204AMA1321R,DDS04AMA1321R,DNS04AMA1321R,DNC04AMA1321R,DNM04AMA1321R,DDE04AMA1321R,DD004AMA1321R,
Grade 4 Mathematics,At Masters Grade Level,2019,SDA04AMA1319R,RDA04AMA1319R,DDA04AMA1319R,DDB04AMA1319R,DDH04AMA1319R,DDW04AMA1319R,DDI04AMA1319R,DD304AMA1319R,DD404AMA1319R,DD204AMA1319R,DDS04AMA1319R,DNS04AMA1319R,DNC04AMA1319R,DNM04AMA1319R,DDE04AMA1319R,DD004AMA1319R,
Grade 4 Writing,Grade 4 Writing,,,,,,,,,,,,,,,,,,
Grade 4 Writing,At Approaches Grade Level or Above,2021,SDA04AWR1S21R,RDA04AWR1S21R,DDA04AWR1S21R,DDB04AWR1S21R,DDH04AWR1S21R,DDW04AWR1S21R,DDI04AWR1S21R,DD304AWR1S21R,DD404AWR1S21R,DD204AWR1S21R,DDS04AWR1S21R,DNS04AWR1S21R,DNC04AWR1S21R,DNM04AWR1S21R,DDE04AWR1S21R,DD004AWR1S21R,
Grade 4 Writing,At Approaches Grade Level or Above,2019,SDA04AWR1S19R,RDA04AWR1S19R,DDA04AWR1S19R,DDB04AWR1S19R,DDH04AWR1S19R,DDW04AWR1S19R,DDI04AWR1S19R,DD304AWR1S19R,DD404AWR1S19R,DD204AWR1S19R,DDS04AWR1S19R,DNS04AWR1S19R,DNC04AWR1S19R,DNM04AWR1S19R,DDE04AWR1S19R,DD004AWR1S19R,
Grade 4 Writing,At Meets Grade Level or Above,2021,SDA04AWR1321R,RDA04AWR1321R,DDA04AWR1321R,DDB04AWR1321R,DDH04AWR1321R,DDW04AWR1321R,DDI04AWR1321R,DD304AWR1321R,DD404AWR1321R,DD204AWR1321R,DDS04AWR1321R,DNS04AWR1321R,DNC04AWR1321R,DNM04AWR1321R,DDE04AWR1321R,DD004AWR1321R,
Grade 4 Writing,At Meets Grade Level or Above,2019,SDA04AWR1319R,RDA04AWR1319R,DDA04AWR1319R,DDB04AWR1319R,DDH04AWR1319R,DDW04AWR1319R,DDI04AWR1319R,DD304AWR1319R,DD404AWR1319R,DD204AWR1319R,DDS04AWR1319R,DNS04AWR1319R,DNC04AWR1319R,DNM04AWR1319R,DDE04AWR1319R,DD004AWR1319R,
Grade 4 Writing,At Masters Grade Level,2021,SDA04AWR1221R,RDA04AWR1221R,DDA04AWR1221R,DDB04AWR1221R,DDH04AWR1221R,DDW04AWR1221R,DDI04AWR1221R,DD304AWR1221R,DD404AWR1221R,DD204AWR1221R,DDS04AWR1221R,DNS04AWR1221R,DNC04AWR1221R,DNM04AWR1221R,DDE04AWR1221R,DD004AWR1221R,
Grade 4 Writing,At Masters Grade Level,2019,SDA04AWR1219R,RDA04AWR1219R,DDA04AWR1219R,DDB04AWR1219R,DDH04AWR1219R,DDW04AWR1219R,DDI04AWR1219R,DD304AWR1219R,DD404AWR1219R,DD204AWR1219R,DDS04AWR1219R,DNS04AWR1219R,DNC04AWR1219R,DNM04AWR1219R,DDE04AWR1219R,DD004AWR1219R,
Grade 5 Reading+,Grade 5 Reading+,,,,,,,,,,,,,,,,,,
Grade 5 Reading+,At Approaches Grade Level or Above,2021,SDA05ARE1S21R,RDA05ARE1S21R,DDA05ARE1S21R,DDB05ARE1S21R,DDH05ARE1S21R,DDW05ARE1S21R,DDI05ARE1S21R,DD305ARE1S21R,DD405ARE1S21R,DD205ARE1S21R,DDS05ARE1S21R,DNS05ARE1S21R,DNC05ARE1S21R,DNM05ARE1S21R,DDE05ARE1S21R,DD005ARE1S21R,
Grade 5 Reading+,At Approaches Grade Level or Above,2019,SDA05ARE1S19R,RDA05ARE1S19R,DDA05ARE1S19R,DDB05ARE1S19R,DDH05ARE1S19R,DDW05ARE1S19R,DDI05ARE1S19R,DD305ARE1S19R,DD405ARE1S19R,DD205ARE1S19R,DDS05ARE1S19R,DNS05ARE1S19R,DNC05ARE1S19R,DNM05ARE1S19R,DDE05ARE1S19R,DD005ARE1S19R,
Grade 5 Reading+,At Meets Grade Level or Above,2021,SDA05ARE1221R,RDA05ARE1221R,DDA05ARE1221R,DDB05ARE1221R,DDH05ARE1221R,DDW05ARE1221R,DDI05ARE1221R,DD305ARE1221R,DD405ARE1221R,DD205ARE1221R,DDS05ARE1221R,DNS05ARE1221R,DNC05ARE1221R,DNM05ARE1221R,DDE05ARE1221R,DD005ARE1221R,
Grade 5 Reading+,At Meets Grade Level or Above,2019,SDA05ARE1219R,RDA05ARE1219R,DDA05ARE1219R,DDB05ARE1219R,DDH05ARE1219R,DDW05ARE1219R,DDI05ARE1219R,DD305ARE1219R,DD405ARE1219R,DD205ARE1219R,DDS05ARE1219R,DNS05ARE1219R,DNC05ARE1219R,DNM05ARE1219R,DDE05ARE1219R,DD005ARE1219R,
Grade 5 Reading+,At Masters Grade Level,2021,SDA05ARE1321R,RDA05ARE1321R,DDA05ARE1321R,DDB05ARE1321R,DDH05ARE1321R,DDW05ARE1321R,DDI05ARE1321R,DD305ARE1321R,DD405ARE1321R,DD205ARE1321R,DDS05ARE1321R,DNS05ARE1321R,DNC05ARE1321R,DNM05ARE1321R,DDE05ARE1321R,DD005ARE1321R,
Grade 5 Reading+,At Masters Grade Level,2019,SDA05ARE1319R,RDA05ARE1319R,DDA05ARE1319R,DDB05ARE1319R,DDH05ARE1319R,DDW05ARE1319R,DDI05ARE1319R,DD305ARE1319R,DD405ARE1319R,DD205ARE1319R,DDS05ARE1319R,DNS05ARE1319R,DNC05ARE1319R,DNM05ARE1319R,DDE05ARE1319R,DD005ARE1319R,
Grade 5 Mathematics+,Grade 5 Mathematics+,,,,,,,,,,,,,,,,,,
Grade 5 Mathematics+,At Approaches Grade Level or Above,2021,SDA05AMA1S21R,RDA05AMA1S21R,DDA05AMA1S21R,DDB05AMA1S21R,DDH05AMA1S21R,DDW05AMA1S21R,DDI05AMA1S21R,DD305AMA1S21R,DD405AMA1S21R,DD205AMA1S21R,DDS05AMA1S21R,DNS05AMA1S21R,DNC05AMA1S21R,DNM05AMA1S21R,DDE05AMA1S21R,DD005AMA1S21R,
Grade 5 Mathematics+,At Approaches Grade Level or Above,2019,SDA05AMA1S19R,RDA05AMA1S19R,DDA05AMA1S19R,DDB05AMA1S19R,DDH05AMA1S19R,DDW05AMA1S19R,DDI05AMA1S19R,DD305AMA1S19R,DD405AMA1S19R,DD205AMA1S19R,DDS05AMA1S19R,DNS05AMA1S19R,DNC05AMA1S19R,DNM05AMA1S19R,DDE05AMA1S19R,DD005AMA1S19R,
Grade 5 Mathematics+,At Meets Grade Level or Above,2021,SDA05AMA1221R,RDA05AMA1221R,DDA05AMA1221R,DDB05AMA1221R,DDH05AMA1221R,DDW05AMA1221R,DDI05AMA1221R,DD305AMA1221R,DD405AMA1221R,DD205AMA1221R,DDS05AMA1221R,DNS05AMA1221R,DNC05AMA1221R,DNM05AMA1221R,DDE05AMA1221R,DD005AMA1221R,
Grade 5 Mathematics+,At Meets Grade Level or Above,2019,SDA05AMA1219R,RDA05AMA1219R,DDA05AMA1219R,DDB05AMA1219R,DDH05AMA1219R,DDW05AMA1219R,DDI05AMA1219R,DD305AMA1219R,DD405AMA1219R,DD205AMA1219R,DDS05AMA1219R,DNS05AMA1219R,DNC05AMA1219R,DNM05AMA1219R,DDE05AMA1219R,DD005AMA1219R,
Grade 5 Mathematics+,At Masters Grade Level,2021,SDA05AMA1321R,RDA05AMA1321R,DDA05AMA1321R,DDB05AMA1321R,DDH05AMA1321R,DDW05AMA1321R,DDI05AMA1321R,DD305AMA1321R,DD405AMA1321R,DD205AMA1321R,DDS05AMA1321R,DNS05AMA1321R,DNC05AMA1321R,DNM05AMA1321R,DDE05AMA1321R,DD005AMA1321R,
Grade 5 Mathematics+,At Masters Grade Level,2019,SDA05AMA1319R,RDA05AMA1319R,DDA05AMA1319R,DDB05AMA1319R,DDH05AMA1319R,DDW05AMA1319R,DDI05AMA1319R,DD305AMA1319R,DD405AMA1319R,DD205AMA1319R,DDS05AMA1319R,DNS05AMA1319R,DNC05AMA1319R,DNM05AMA1319R,DDE05AMA1319R,DD005AMA1319R,
Grade 5 Science,Grade 5 Science,,,,,,,,,,,,,,,,,,
