zipcode,period_end,median_ppsf,area,year,median_ppsf_prev,median_ppsf_change_percent,DISTRICT,DISTNAME
75006,2022-12-31,207.1988924780803,1689.1982182628062,2022,182.4817518248175,13.54499307798801,57851.0,BRIDGEWAY PREPARATORY ACADEMY
75006,2022-12-31,207.1988924780803,1689.1982182628062,2022,182.4817518248175,13.54499307798801,57903.0,CARROLLTON-FARMERS BRANCH ISD
75007,2016-12-31,127.71050029114544,1949.3307083791956,2016,113.99620012666244,12.030488866510359,57903.0,CARROLLTON-FARMERS BRANCH ISD
75007,2016-12-31,127.71050029114544,1949.3307083791956,2016,113.99620012666244,12.030488866510359,61902.0,LEWISVILLE ISD
75007,2017-12-31,138.05798435342845,1948.4566666666665,2017,127.71050029114544,8.10229702232279,57903.0,CARROLLTON-FARMERS BRANCH ISD
75007,2017-12-31,138.05798435342845,1948.4566666666665,2017,127.71050029114544,8.10229702232279,61902.0,LEWISVILLE ISD
75007,2018-12-31,137.86008230452674,1991.1492537313434,2018,138.05798435342845,-0.14334705075447213,57903.0,CARROLLTON-FARMERS BRANCH ISD
75007,2018-12-31,137.86008230452674,1991.1492537313434,2018,138.05798435342845,-0.14334705075447213,61902.0,LEWISVILLE ISD
75007,2019-12-31,144.91249891247958,1939.10119629992,2019,137.86008230452674,5.1156335395001165,57903.0,CARROLLTON-FARMERS BRANCH ISD
75007,2019-12-31,144.91249891247958,1939.10119629992,2019,137.86008230452674,5.1156335395001165,61902.0,LEWISVILLE ISD
75007,2020-12-31,156.7911451539042,1973.9635149433898,2020,144.91249891247958,8.197116418921729,57903.0,CARROLLTON-FARMERS BRANCH ISD
75007,2020-12-31,156.7911451539042,1973.9635149433898,2020,144.91249891247958,8.197116418921729,61902.0,LEWISVILLE ISD
75007,2021-12-31,183.694078754328,2016.3578625490845,2021,156.7911451539042,17.1584521396385,57903.0,CARROLLTON-FARMERS BRANCH ISD
75007,2021-12-31,183.694078754328,2016.3578625490845,2021,156.7911451539042,17.1584521396385,61902.0,LEWISVILLE ISD
75007,2022-12-31,207.73854244928623,1968.820976491863,2022,183.694078754328,13.089405961264134,57903.0,CARROLLTON-FARMERS BRANCH ISD
75007,2022-12-31,207.73854244928623,1968.820976491863,2022,183.694078754328,13.089405961264134,61902.0,LEWISVILLE ISD
75009,2016-12-31,124.86187845303868,2892.011592920354,2016,119.32517715172004,4.640010962882391,43903.0,CELINA ISD
75009,2016-12-31,124.86187845303868,2892.011592920354,2016,119.32517715172004,4.640010962882391,43912.0,PROSPER ISD
75009,2017-12-31,128.7995878413189,2911.5000000000005,2017,124.86187845303868,3.153652209197868,43903.0,CELINA ISD
75009,2017-12-31,128.7995878413189,2911.5000000000005,2017,124.86187845303868,3.153652209197868,43912.0,PROSPER ISD
75009,2018-12-31,136.35796235288916,2784.197515488585,2018,128.7995878413189,5.868321970783154,43903.0,CELINA ISD
75009,2018-12-31,136.35796235288916,2784.197515488585,2018,128.7995878413189,5.868321970783154,43912.0,PROSPER ISD
75009,2019-12-31,136.98200430241843,2737.585874215299,2019,136.35796235288916,0.4576498055275091,43903.0,CELINA ISD
75009,2019-12-31,136.98200430241843,2737.585874215299,2019,136.35796235288916,0.4576498055275091,43912.0,PROSPER ISD
75009,2020-12-31,153.4020618556701,2672.715053763441,2020,136.98200430241843,11.98701802975573,43903.0,CELINA ISD
75009,2020-12-31,153.4020618556701,2672.715053763441,2020,136.98200430241843,11.98701802975573,43912.0,PROSPER ISD
75009,2021-12-31,201.88850673545429,2779.1552331169282,2021,153.4020618556701,31.607427105773294,43903.0,CELINA ISD
75009,2021-12-31,201.88850673545429,2779.1552331169282,2021,153.4020618556701,31.607427105773294,43912.0,PROSPER ISD
75009,2022-12-31,221.92898272552785,2721.591351351351,2022,201.88850673545429,9.926506621961254,43903.0,CELINA ISD
75009,2022-12-31,221.92898272552785,2721.591351351351,2022,201.88850673545429,9.926506621961254,43912.0,PROSPER ISD
75010,2016-12-31,136.0901010723254,2175.029613966486,2016,126.25757990343622,7.787668016771154,61805.0,TRIVIUM ACADEMY
75010,2016-12-31,136.0901010723254,2175.029613966486,2016,126.25757990343622,7.787668016771154,61902.0,LEWISVILLE ISD
75010,2017-12-31,150.18050541516246,2330.528846153846,2017,136.0901010723254,10.35373199947046,61805.0,TRIVIUM ACADEMY
75010,2017-12-31,150.18050541516246,2330.528846153846,2017,136.0901010723254,10.35373199947046,61902.0,LEWISVILLE ISD
75010,2018-12-31,155.52865240986512,2507.5765394805317,2018,150.18050541516246,3.5611459556072997,61805.0,TRIVIUM ACADEMY
75010,2018-12-31,155.52865240986512,2507.5765394805317,2018,150.18050541516246,3.5611459556072997,61902.0,LEWISVILLE ISD
75010,2019-12-31,158.66388308977037,2363.486842105263,2019,155.52865240986512,2.0158540766128197,61805.0,TRIVIUM ACADEMY
75010,2019-12-31,158.66388308977037,2363.486842105263,2019,155.52865240986512,2.0158540766128197,61902.0,LEWISVILLE ISD
75010,2020-12-31,164.83104182108093,2414.5937294506507,2020,158.66388308977037,3.886932937233895,61805.0,TRIVIUM ACADEMY
75010,2020-12-31,164.83104182108093,2414.5937294506507,2020,158.66388308977037,3.886932937233895,61902.0,LEWISVILLE ISD
75010,2021-12-31,200.97772949483976,2119.6378378378377,2021,164.83104182108093,21.929539044590253,61805.0,TRIVIUM ACADEMY
75010,2021-12-31,200.97772949483976,2119.6378378378377,2021,164.83104182108093,21.929539044590253,61902.0,LEWISVILLE ISD
75010,2022-12-31,223.99192135813792,2578.217984373831,2022,200.97772949483976,11.451115464954567,61805.0,TRIVIUM ACADEMY
75010,2022-12-31,223.99192135813792,2578.217984373831,2022,200.97772949483976,11.451115464954567,61902.0,LEWISVILLE ISD
75013,2016-12-31,138.6898174131278,2932.533242786592,2016,126.3456090651558,9.770191809045103,43901.0,ALLEN ISD
75013,2016-12-31,138.6898174131278,2932.533242786592,2016,126.3456090651558,9.770191809045103,43910.0,PLANO ISD
75013,2017-12-31,144.10005437737902,2984.0377358490564,2017,138.6898174131278,3.900961920034308,43901.0,ALLEN ISD
75013,2017-12-31,144.10005437737902,2984.0377358490564,2017,138.6898174131278,3.900961920034308,43910.0,PLANO ISD
75013,2018-12-31,145.18413597733712,2971.3990243902435,2018,144.10005437737902,0.7523117216312981,43901.0,ALLEN ISD
75013,2018-12-31,145.18413597733712,2971.3990243902435,2018,144.10005437737902,0.7523117216312981,43910.0,PLANO ISD
75013,2019-12-31,143.76757786342466,2923.1208193493126,2019,145.18413597733712,-0.9756975887045809,43901.0,ALLEN ISD
75013,2019-12-31,143.76757786342466,2923.1208193493126,2019,145.18413597733712,-0.9756975887045809,43910.0,PLANO ISD
75013,2020-12-31,155.04960963507892,2868.436760639082,2020,143.76757786342466,7.847410340578937,43901.0,ALLEN ISD
75013,2020-12-31,155.04960963507892,2868.436760639082,2020,143.76757786342466,7.847410340578937,43910.0,PLANO ISD
75013,2021-12-31,199.1040318566451,2913.05,2021,155.04960963507892,28.413113922216,43901.0,ALLEN ISD
75013,2021-12-31,199.1040318566451,2913.05,2021,155.04960963507892,28.413113922216,43910.0,PLANO ISD
75013,2022-12-31,225.96548890714877,2547.955454545454,2022,199.1040318566451,13.49116680361547,43901.0,ALLEN ISD
75013,2022-12-31,225.96548890714877,2547.955454545454,2022,199.1040318566451,13.49116680361547,43910.0,PLANO ISD
75019,2016-12-31,153.0290349578317,2613.8830458561215,2016,143.80137686709745,6.416946966552718,57903.0,CARROLLTON-FARMERS BRANCH ISD
75019,2016-12-31,153.0290349578317,2613.8830458561215,2016,143.80137686709745,6.416946966552718,57922.0,COPPELL ISD
75019,2017-12-31,164.06920987642027,2742.744969266005,2017,153.0290349578317,7.2144315107461665,57903.0,CARROLLTON-FARMERS BRANCH ISD
75019,2017-12-31,164.06920987642027,2742.744969266005,2017,153.0290349578317,7.2144315107461665,57922.0,COPPELL ISD
75019,2018-12-31,171.12462006079028,2337.4777975133215,2018,164.06920987642027,4.300264619841991,57903.0,CARROLLTON-FARMERS BRANCH ISD
