,zipcode,period_end,median_ppsf,area,year,DISTRICT,District_N
6817,77447,2016-12-31,107.08431357878506,1895.2355692197975,2015,237904.0,WALLER ISD
6824,77449,2016-12-31,87.53387533875339,1964.953560371517,2015,101837.0,CALVIN NELMS CHARTER SCHOOLS
6825,77449,2016-12-31,87.53387533875339,1964.953560371517,2015,101907.0,CYPRESS-FAIRBANKS ISD
6826,77449,2016-12-31,87.53387533875339,1964.953560371517,2015,101914.0,KATY ISD
6845,77450,2016-12-31,102.41679873217116,2358.0116054158607,2015,101914.0,KATY ISD
6858,77455,2016-12-31,37.4251497005988,2004.0,2015,241906.0,LOUISE ISD
6867,77459,2016-12-31,104.25178248941106,2594.679856217086,2015,79907.0,FORT BEND ISD
6874,77461,2016-12-31,106.38297872340424,2143.2000000000003,2015,79906.0,NEEDVILLE ISD
6885,77465,2016-12-31,128.35020242914982,1266.0673448466207,2015,158905.0,PALACIOS ISD
6893,77469,2016-12-31,101.03923205342235,2147.6806146474455,2015,79901.0,LAMAR CISD
6894,77469,2016-12-31,101.03923205342235,2147.6806146474455,2015,227806.0,UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL
6895,77469,2016-12-31,101.03923205342235,2147.6806146474455,2015,236903.0,WINDHAM SCHOOL DISTRICT
6914,77471,2016-12-31,89.55826259804448,2065.638553421864,2015,79901.0,LAMAR CISD
6921,77474,2016-12-31,108.73649223654844,2000.2484494979326,2015,8902.0,SEALY ISD
6928,77477,2016-12-31,95.7048565453812,1985.2702031887593,2015,21805.0,ARROW ACADEMY
6929,77477,2016-12-31,95.7048565453812,1985.2702031887593,2015,79907.0,FORT BEND ISD
6930,77477,2016-12-31,95.7048565453812,1985.2702031887593,2015,79910.0,STAFFORD MSD
6949,77478,2016-12-31,117.4884437596302,2442.793442622951,2015,79907.0,FORT BEND ISD
6950,77478,2016-12-31,117.4884437596302,2442.793442622951,2015,101862.0,HARMONY SCHOOL OF SCIENCE - HOUSTON
6963,77479,2016-12-31,125.16763522574875,2956.0357142857147,2015,79901.0,LAMAR CISD
6964,77479,2016-12-31,125.16763522574875,2956.0357142857147,2015,79907.0,FORT BEND ISD
6977,77480,2016-12-31,114.34940486529857,1630.966074722413,2015,20906.0,SWEENY ISD
6986,77484,2016-12-31,107.91839678053432,2281.816699897613,2015,237904.0,WALLER ISD
6993,77485,2016-12-31,74.02422611036337,1486.0000000000005,2015,8903.0,BRAZOS ISD
7000,77486,2016-12-31,97.43346007604563,1821.7560975609754,2015,20907.0,COLUMBIA-BRAZORIA ISD
7007,77488,2016-12-31,83.22534197264217,1389.0000000000002,2015,241904.0,WHARTON ISD
7014,77489,2016-12-31,78.125,1728.0,2015,79907.0,FORT BEND ISD
