,zipcode,period_end,median_ppsf,area,year,median_ppsf_prev,median_ppsf_change_percent,DISTRICT,DISTNAME
4155,76661,2022-12-31,61.38392857142857,1164.8,2023,76.58779576587796,-19.85155342624855,73903.0,MARLIN ISD
4156,76661,2022-12-31,61.38392857142857,1164.8,2023,76.58779576587796,-19.85155342624855,161912.0,RIESEL ISD
4157,76661,2022-12-31,61.38392857142857,1164.8,2023,76.58779576587796,-19.85155342624855,236903.0,WINDHAM SCHOOL DISTRICT
4163,76670,2022-12-31,179.88871224165342,1313.840079540433,2023,137.81065640165446,30.533238095434985,70909.0,MILFORD ISD
4176,76691,2022-12-31,156.83002900826625,1705.668242820388,2023,125.59526873970346,24.869376515525378,161916.0,WEST ISD
4187,76704,2022-12-31,72.9062851775638,1501.928122291678,2023,131.29912321449308,-44.4731363068872,161802.0,RAPOPORT ACADEMY PUBLIC SCHOOL
4188,76704,2022-12-31,72.9062851775638,1501.928122291678,2023,131.29912321449308,-44.4731363068872,161901.0,CRAWFORD ISD
4189,76704,2022-12-31,72.9062851775638,1501.928122291678,2023,131.29912321449308,-44.4731363068872,161908.0,MART ISD
4190,76704,2022-12-31,72.9062851775638,1501.928122291678,2023,131.29912321449308,-44.4731363068872,161909.0,MCGREGOR ISD
4191,76704,2022-12-31,72.9062851775638,1501.928122291678,2023,131.29912321449308,-44.4731363068872,161912.0,RIESEL ISD
4192,76704,2022-12-31,72.9062851775638,1501.928122291678,2023,131.29912321449308,-44.4731363068872,161914.0,WACO ISD
4193,76704,2022-12-31,72.9062851775638,1501.928122291678,2023,131.29912321449308,-44.4731363068872,161916.0,WEST ISD
4194,76704,2022-12-31,72.9062851775638,1501.928122291678,2023,131.29912321449308,-44.4731363068872,161918.0,AXTELL ISD
4195,76704,2022-12-31,72.9062851775638,1501.928122291678,2023,131.29912321449308,-44.4731363068872,161919.0,BRUCEVILLE-EDDY ISD
4196,76704,2022-12-31,72.9062851775638,1501.928122291678,2023,131.29912321449308,-44.4731363068872,161922.0,ROBINSON ISD
4209,76705,2022-12-31,222.4694104560623,1798.0,2023,140.08620689655172,58.8089330024814,161906.0,LA VEGA ISD
4210,76705,2022-12-31,222.4694104560623,1798.0,2023,140.08620689655172,58.8089330024814,161921.0,CONNALLY ISD
