At Meets Grade Level or Above,2022,SDA05AMA1222R,DDA05AMA1222R,CDA05AMA1222R,CDB05AMA1222R,CDH05AMA1222R,CDW05AMA1222R,CDI05AMA1222R,CD305AMA1222R,CD405AMA1222R,CD205AMA1222R,CDS05AMA1222R,"CNS05AMA1222R
:unselected:","CNC05AMA1222R
:unselected:","CNM05AMA1222R
:unselected:",CDE05AMA1222R,CD005AMA1222R,
,2021,SDA05AMA1221R,DDA05AMA1221R,CDA05AMA1221R,CDB05AMA1221R,CDH05AMA1221R,CDW05AMA1221R,CDI05AMA1221R,CD305AMA1221R,CD405AMA1221R,CD205AMA1221R,CDS05AMA1221R,"CNS05AMA1221R
:unselected:","CNC05AMA1221R
:unselected:","CNM05AMA1221R
:unselected:",CDE05AMA1221R,CD005AMA1221R,
At Masters Grade Level,2022,SDA05AMA1322R,DDA05AMA1322R,CDA05AMA1322R,CDB05AMA1322R,CDH05AMA1322R,CDW05AMA1322R,CDI05AMA1322R,CD305AMA1322R,CD405AMA1322R,CD205AMA1322R,CDS05AMA1322R,"CNS05AMA1322R
:unselected:","CNC05AMA1322R
:unselected:","CNM05AMA1322R
:unselected:",CDE05AMA1322R,CD005AMA1322R,
,2021,SDA05AMA1321R,DDA05AMA1321R,CDA05AMA1321R,CDB05AMA1321R,CDH05AMA1321R,CDW05AMA1321R,CDI05AMA1321R,CD305AMA1321R,CD405AMA1321R,CD205AMA1321R,CDS05AMA1321R,"CNS05AMA1321R
:unselected:","CNC05AMA1321R
:unselected:","CNM05AMA1321R
:unselected:",CDE05AMA1321R,CD005AMA1321R,
Grade 5 Science,,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2022,SDA05ASC1S22R,DDA05ASC1S22R,CDA05ASC1S22R,CDB05ASC1S22R,CDH05ASC1S22R,CDW05ASC1S22R,CDI05ASC1S22R,CD305ASC1S22R,CD405ASC1S22R,"CD205ASC1S22R
:unselected:","CDS05ASC1S22R
:unselected:","CNS05ASC1S22R
:unselected:","CNC05ASC1S22R
:unselected:","CNM05ASC1S22R
:unselected:","CDE05ASC1S22R
:unselected:",CD005ASC1S22R,
,2021,SDA05ASC1S21R,DDA05ASC1S21R,CDA05ASC1S21R,CDB05ASC1S21R,CDH05ASC1S21R,CDW05ASC1S21R,CDI05ASC1S21R,CD305ASC1S21R,CD405ASC1S21R,CD205ASC1S21R,"CDS05ASC1S21R
:unselected:","CNS05ASC1S21R
:unselected:","CNC05ASC1S21R
:unselected:","CNM05ASC1S21R
:unselected:","CDE05ASC1S21R
:unselected:",CD005ASC1S21R,
At Meets Grade Level or Above,2022,SDA05ASC1222R,DDA05ASC1222R,CDA05ASC1222R,CDB05ASC1222R,CDH05ASC1222R,CDW05ASC1222R,CDI05ASC1222R,CD305ASC1222R,CD405ASC1222R,CD205ASC1222R,"CDS05ASC1222R
:unselected:","CNS05ASC1222R
:unselected:","CNC05ASC1222R
:unselected:","CNM05ASC1222R
:unselected:","CDE05ASC1222R
:unselected:",CD005ASC1222R,
,2021,SDA05ASC1221R,DDA05ASC1221R,CDA05ASC1221R,CDB05ASC1221R,CDH05ASC1221R,CDW05ASC1221R,CDI05ASC1221R,CD305ASC1221R,CD405ASC1221R,CD205ASC1221R,"CDS05ASC1221R
:unselected:","CNS05ASC1221R
:unselected:","CNC05ASC1221R
:unselected:","CNM05ASC1221R
:unselected:","CDE05ASC1221R
:unselected:","CD005ASC1221R
:unselected:",
At Masters Grade Level,2022,SDA05ASC1322R,DDA05ASC1322R,CDA05ASC1322R,CDB05ASC1322R,CDH05ASC1322R,CDW05ASC1322R,CDI05ASC1322R,CD305ASC1322R,CD405ASC1322R,CD205ASC1322R,"CDS05ASC1322R
:unselected:","CNS05ASC1322R
:unselected:","CNC05ASC1322R
:unselected:","CNM05ASC1322R
:unselected:","CDE05ASC1322R
:unselected:","CD005ASC1322R
:unselected:",
