,,State,District,Campus,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed,Econ Disadv,EL,
"STAAR Performance Rates by Tested Grade, Subject, and Performance Levels^ Grade 3 Reading",,,,,,,,,,,,,,,
,2017,SDA04AWR1S17R,DDA04AWR1S17R,CDA04AWR1S17R,CDB04AWR1S17R,CDH04AWR1S17R,CDW04AWR1S17R,CDI04AWR1S17R,CD304AWR1S17R,CD404AWR1S17R,CD204AWR1S17R,CDS04AWR1S17R,CDE04AWR1S17R,CDL04AWR1S17R,
At Meets Grade Level or Above,2018,SDA04AWR1218R,DDA04AWR1218R,CDA04AWR1218R,CDB04AWR1218R,CDH04AWR1218R,CDW04AWR1218R,CDI04AWR1218R,CD304AWR1218R,CD404AWR1218R,CD204AWR1218R,CDS04AWR1218R,CDE04AWR1218R,CDL04AWR1218R,
,2017,SDA04AWR1317R,DDA04AWR1317R,CDA04AWR1317R,CDB04AWR1317R,CDH04AWR1317R,CDW04AWR1317R,CDI04AWR1317R,CD304AWR1317R,CD404AWR1317R,CD204AWR1317R,CDS04AWR1317R,CDE04AWR1317R,CDL04AWR1317R,
At Masters Grade Level or Above,2018,SDA04AWR1318R,DDA04AWR1318R,CDA04AWR1318R,CDB04AWR1318R,CDH04AWR1318R,CDW04AWR1318R,CDI04AWR1318R,CD304AWR1318R,CD404AWR1318R,CD204AWR1318R,CDS04AWR1318R,CDE04AWR1318R,CDL04AWR1318R,
,2017,SDA04AWR1217R,DDA04AWR1217R,CDA04AWR1217R,CDB04AWR1217R,CDH04AWR1217R,CDW04AWR1217R,CDI04AWR1217R,CD304AWR1217R,CD404AWR1217R,CD204AWR1217R,CDS04AWR1217R,CDE04AWR1217R,CDL04AWR1217R,
Grade 5 Reading^^,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2018,SDA05ARE1S18R,DDA05ARE1S18R,CDA05ARE1S18R,CDB05ARE1S18R,CDH05ARE1S18R,CDW05ARE1S18R,CDI05ARE1S18R,CD305ARE1S18R,CD405ARE1S18R,CD205ARE1S18R,CDS05ARE1S18R,CDE05ARE1S18R,CDL05ARE1S18R,
,2017,SDA05ARE1S17R,DDA05ARE1S17R,CDA05ARE1S17R,CDB05ARE1S17R,CDH05ARE1S17R,CDW05ARE1S17R,CDI05ARE1S17R,CD305ARE1S17R,CD405ARE1S17R,CD205ARE1S17R,CDS05ARE1S17R,CDE05ARE1S17R,CDL05ARE1S17R,
At Meets Grade Level or Above,2018,SDA05ARE1218R,DDA05ARE1218R,CDA05ARE1218R,CDB05ARE1218R,CDH05ARE1218R,CDW05ARE1218R,CDI05ARE1218R,CD305ARE1218R,CD405ARE1218R,CD205ARE1218R,CDS05ARE1218R,CDE05ARE1218R,CDL05ARE1218R,
,2017,SDA05ARE1217R,DDA05ARE1217R,CDA05ARE1217R,CDB05ARE1217R,CDH05ARE1217R,CDW05ARE1217R,CDI05ARE1217R,CD305ARE1217R,CD405ARE1217R,CD205ARE1217R,CDS05ARE1217R,CDE05ARE1217R,CDL05ARE1217R,
At Masters Grade Level or Above,2018,SDA05ARE1318R,DDA05ARE1318R,CDA05ARE1318R,CDB05ARE1318R,CDH05ARE1318R,CDW05ARE1318R,CDI05ARE1318R,CD305ARE1318R,CD405ARE1318R,CD205ARE1318R,CDS05ARE1318R,CDE05ARE1318R,CDL05ARE1318R,
