,,State,Region ##,District,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed (Current),Special Ed (Former),Continu- ously Enrolled,Non-Continu- ously Enrolled,Econ Disadv,EL (Current & Monitored)
At Masters Grade Level,2019,SDA04ARE1319R,RDA04ARE1319R,DDA04ARE1319R,DDB04ARE1319R,"DDH04ARE1319R
:unselected:",DDW04ARE1319R,DDI04ARE1319R,DD304ARE1319R,DD404ARE1319R,DD204ARE1319R,DDS04ARE1319R,DNS04ARE1319R,DNC04ARE1319R,DNM04ARE1319R,DDE04ARE1319R,DD004ARE1319R
,2018,SDA04ARE1318R,RDA04ARE1318R,DDA04ARE1318R,"DDB04ARE1318R
:unselected:","DDH04ARE1318R
:unselected:",DDW04ARE1318R,DDI04ARE1318R,DD304ARE1318R,DD404ARE1318R,DD204ARE1318R,DDS04ARE1318R,DNS04ARE1318R,DNC04ARE1318R,DNM04ARE1318R,DDE04ARE1318R,DD004ARE1318R
Grade 4 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,SDA04AMA1S19R,RDA04AMA1S19R,DDA04AMA1S19R,"DDB04AMA1S19R
:unselected:","DDH04AMA1S19R
:unselected:",DDW04AMA1S19R,DDI04AMA1S19R,DD304AMA1S19R,DD404AMA1S19R,DD204AMA1S19R,DDS04AMA1S19R,DNS04AMA1S19R,DNC04AMA1S19R,DNM04AMA1S19R,DDE04AMA1S19R,DD004AMA1S19R
,2018,SDA04AMA1S18R,RDA04AMA1S18R,DDA04AMA1S18R,DDB04AMA1S18R,"DDH04AMA1S18R
:unselected:",DDW04AMA1S18R,DDI04AMA1S18R,DD304AMA1S18R,DD404AMA1S18R,DD204AMA1S18R,DDS04AMA1S18R,DNS04AMA1S18R,DNC04AMA1S18R,DNM04AMA1S18R,DDE04AMA1S18R,DD004AMA1S18R
At Meets Grade Level or Above,2019,SDA04AMA1219R,RDA04AMA1219R,DDA04AMA1219R,"DDB04AMA1219R
:unselected:","DDH04AMA1219R
:unselected:",DDW04AMA1219R,DDI04AMA1219R,DD304AMA1219R,DD404AMA1219R,DD204AMA1219R,DDS04AMA1219R,DNS04AMA1219R,DNC04AMA1219R,DNM04AMA1219R,DDE04AMA1219R,DD004AMA1219R
,2018,SDA04AMA1218R,RDA04AMA1218R,DDA04AMA1218R,"DDB04AMA1218R
:unselected:","DDH04AMA1218R
:unselected:",DDW04AMA1218R,DDI04AMA1218R,DD304AMA1218R,DD404AMA1218R,DD204AMA1218R,DDS04AMA1218R,DNS04AMA1218R,DNC04AMA1218R,DNM04AMA1218R,DDE04AMA1218R,DD004AMA1218R
At Masters Grade Level,2019,SDA04AMA1319R,RDA04AMA1319R,DDA04AMA1319R,"DDB04AMA1319R
:unselected:","DDH04AMA1319R
:unselected:",DDW04AMA1319R,DDI04AMA1319R,DD304AMA1319R,DD404AMA1319R,DD204AMA1319R,DDS04AMA1319R,DNS04AMA1319R,DNC04AMA1319R,DNM04AMA1319R,DDE04AMA1319R,DD004AMA1319R
,2018,SDA04AMA1318R,RDA04AMA1318R,DDA04AMA1318R,"DDB04AMA1318R
:unselected:","DDH04AMA1318R
:unselected:",DDW04AMA1318R,DDI04AMA1318R,DD304AMA1318R,DD404AMA1318R,DD204AMA1318R,DDS04AMA1318R,DNS04AMA1318R,DNC04AMA1318R,DNM04AMA1318R,DDE04AMA1318R,DD004AMA1318R
Grade 4 Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,SDA04AWR1S19R,RDA04AWR1S19R,DDA04AWR1S19R,"DDB04AWR1S19R
:unselected:","DDH04AWR1S19R
:unselected:",DDW04AWR1S19R,DDI04AWR1S19R,DD304AWR1S19R,DD404AWR1S19R,DD204AWR1S19R,DDS04AWR1S19R,DNS04AWR1S19R,DNC04AWR1S19R,DNM04AWR1S19R,DDE04AWR1S19R,DD004AWR1S19R
