,,State,Region ##,District,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed (Current),Special Ed (Former),Continu- ously Enrolled,Non-Continu- ously Enrolled,Econ Disadv,EL (Current & Monitored)
,2018,SDA00ABI1S18R,RDA00ABI1S18R,"DDA00ABI1S18R
:unselected:","DDB00ABI1S18R
:unselected:","DDH00ABI1S18R
:unselected:",DDW00ABI1S18R,"DDI00ABI1S18R
:unselected:","DD300ABI1S18R
:unselected:","DD400ABI1S18R
:unselected:","DD200ABI1S18R
:unselected:","DDS00ABI1S18R
:unselected:","DNS00ABI1S18R
:unselected:","DNC00ABI1S18R
:unselected:","DNM00ABI1S18R
:unselected:",DDE00ABI1S18R,DD000ABI1S18R
At Meets Grade Level or Above,2019,SDA00ABI1219R,RDA00ABI1219R,"DDA00ABI1219R
:unselected:","DDB00ABI1219R
:unselected:","DDH00ABI1219R
:unselected:","DDW00ABI1219R
:unselected:",DDI00ABI1219R,"DD300ABI1219R
:unselected:","DD400ABI1219R
:unselected:","DD200ABI1219R
:unselected:","DDS00ABI1219R
:unselected:","DNS00ABI1219R
:unselected:","DNC00ABI1219R
:unselected:","DNM00ABI1219R
:unselected:",DDE00ABI1219R,DD000ABI1219R
,2018,SDA00ABI1218R,RDA00ABI1218R,"DDA00ABI1218R
:unselected:","DDB00ABI1218R
:unselected:",DDH00ABI1218R,"DDW00ABI1218R
:unselected:",DDI00ABI1218R,"DD300ABI1218R
:unselected:","DD400ABI1218R
:unselected:","DD200ABI1218R
:unselected:","DDS00ABI1218R
:unselected:","DNS00ABI1218R
:unselected:","DNC00ABI1218R
:unselected:","DNM00ABI1218R
:unselected:",DDE00ABI1218R,DD000ABI1218R
At Masters Grade Level,2019,SDA00ABI1319R,RDA00ABI1319R,"DDA00ABI1319R
:unselected:","DDB00ABI1319R
:unselected:","DDH00ABI1319R
:unselected:","DDW00ABI1319R
:unselected:",DDI00ABI1319R,"DD300ABI1319R
:unselected:","DD400ABI1319R
:unselected:","DD200ABI1319R
:unselected:","DDS00ABI1319R
:unselected:","DNS00ABI1319R
:unselected:","DNC00ABI1319R
:unselected:","DNM00ABI1319R
:unselected:",DDE00ABI1319R,DD000ABI1319R
,2018,SDA00ABI1318R,RDA00ABI1318R,"DDA00ABI1318R
:unselected:","DDB00ABI1318R
:unselected:","DDH00ABI1318R
:unselected:","DDW00ABI1318R
:unselected:","DDI00ABI1318R
:unselected:","DD300ABI1318R
:unselected:","DD400ABI1318R
:unselected:","DD200ABI1318R
:unselected:","DDS00ABI1318R
:unselected:","DNS00ABI1318R
:unselected:","DNC00ABI1318R
:unselected:","DNM00ABI1318R
:unselected:",DDE00ABI1318R,DD000ABI1318R
End of Course U.S. History,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,SDA00AUS1S19R,RDA00AUS1S19R,DDA00AUS1S19R,"DDB00AUS1S19R
:unselected:","DDH00AUS1S19R
:unselected:",DDW00AUS1S19R,"DDI00AUS1S19R
:unselected:","DD300AUS1S19R
:unselected:","DD400AUS1S19R
:unselected:","DD200AUS1S19R
:unselected:","DDS00AUS1S19R
:unselected:","DNS00AUS1S19R
:unselected:","DNC00AUS1S19R
:unselected:","DNM00AUS1S19R
:unselected:",DDE00AUS1S19R,DD000AUS1S19R
,2018,SDA00AUS1S18R,RDA00AUS1S18R,DDA00AUS1S18R,"DDB00AUS1S18R
:unselected:","DDH00AUS1S18R
:unselected:",DDW00AUS1S18R,"DDI00AUS1S18R
:unselected:","DD300AUS1S18R
:unselected:",DD400AUS1S18R,"DD200AUS1S18R
:unselected:",DDS00AUS1S18R,"DNS00AUS1S18R
:unselected:","DNC00AUS1S18R
:unselected:",DNM00AUS1S18R,DDE00AUS1S18R,DD000AUS1S18R
At Meets Grade Level or Above,2019,SDA00AUS1219R,RDA00AUS1219R,DDA00AUS1219R,"DDB00AUS1219R
:unselected:","DDH00AUS1219R
:unselected:",DDW00AUS1219R,"DDI00AUS1219R
:unselected:","DD300AUS1219R
:unselected:",DD400AUS1219R,"DD200AUS1219R
:unselected:","DDS00AUS1219R
:unselected:","DNS00AUS1219R
:unselected:","DNC00AUS1219R
:unselected:","DNM00AUS1219R
:unselected:",DDE00AUS1219R,DD000AUS1219R
,2018,SDA00AUS1218R,RDA00AUS1218R,DDA00AUS1218R,"DDB00AUS1218R
:unselected:","DDH00AUS1218R
:unselected:",DDW00AUS1218R,"DDI00AUS1218R
:unselected:","DD300AUS1218R
:unselected:",DD400AUS1218R,"DD200AUS1218R
:unselected:","DDS00AUS1218R
:selected:","DNS00AUS1218R
:unselected:","DNC00AUS1218R
:unselected:","DNM00AUS1218R
:unselected:",DDE00AUS1218R,DD000AUS1218R
At Masters Grade Level,2019,SDA00AUS1319R,RDA00AUS1319R,DDA00AUS1319R,DDB00AUS1319R,"DDH00AUS1319R
:unselected:",DDW00AUS1319R,"DDI00AUS1319R
:unselected:","DD300AUS1319R
:unselected:",DD400AUS1319R,"DD200AUS1319R
:unselected:","DDS00AUS1319R
:selected:","DNS00AUS1319R
:unselected:","DNC00AUS1319R
:unselected:","DNM00AUS1319R
:unselected:",DDE00AUS1319R,DD000AUS1319R
,2018,SDA00AUS1318R,RDA00AUS1318R,DDA00AUS1318R,DDB00AUS1318R,DDH00AUS1318R,DDW00AUS1318R,DDI00AUS1318R,DD300AUS1318R,DD400AUS1318R,"DD200AUS1318R
:unselected:",DDS00AUS1318R,"DNS00AUS1318R
:unselected:","DNC00AUS1318R
:unselected:",DNM00AUS1318R,DDE00AUS1318R,DD000AUS1318R
All Grades All Subjects At Approaches Grade Level or Above,2019,SDA00A001S19R,RDA00A001S19R,DDA00A001S19R,DDB00A001S19R,DDH00A001S19R,DDW00A001S19R,DDI00A001S19R,DD300A001S19R,DD400A001S19R,DD200A001S19R,DDS00A001S19R,DNS00A001S19R,DNC00A001S19R,DNM00A001S19R,DDE00A001S19R,DD000A001S19R
At Meets Grade Level or Above,2018 2019,SDA00A001S18R SDA00A001219R,RDA00A001S18R RDA00A001219R,DDA00A001S18R DDA00A001219R,DDB00A001S18R DDB00A001219R,DDH00A001S18R DDH00A001219R,DDW00A001S18R DDW00A001219R,"DDI00A001S18R DDI00A001219R
:unselected:
:unselected:","DD300A001S18R DD300A001219R
:unselected:",DD400A001S18R DD400A001219R,DD200A001S18R DD200A001219R,"DDS00A001S18R DDS00A001219R
:unselected:",DNS00A001S18R DNS00A001219R,"DNC00A001S18R DNC00A001219R
:unselected:","DNM00A001S18R DNM00A001219R
:unselected:",DDE00A001S18R DDE00A001219R,DD000A001S18R DD000A001219R
,2018,SDA00A001218R,RDA00A001218R,DDA00A001218R,DDB00A001218R,DDH00A001218R,DDW00A001218R,"DDI00A001218R
:unselected:",DD300A001218R,DD400A001218R,DD200A001218R,DDS00A001218R,DNS00A001218R,DNC00A001218R,"DNM00A001218R
:unselected:",DDE00A001218R,DD000A001218R
At Masters Grade Level,2019,SDA00A001319R,RDA00A001319R,DDA00A001319R,DDB00A001319R,DDH00A001319R,DDW00A001319R,DDI00A001319R,DD300A001319R,DD400A001319R,DD200A001319R,DDS00A001319R,DNS00A001319R,"DNC00A001319R
:unselected:",DNM00A001319R,DDE00A001319R,DD000A001319R
,2018,SDA00A001318R,RDA00A001318R,DDA00A001318R,DDB00A001318R,DDH00A001318R,DDW00A001318R,DDI00A001318R,DD300A001318R,DD400A001318R,DD200A001318R,DDS00A001318R,DNS00A001318R,DNC00A001318R,DNM00A001318R,DDE00A001318R,DD000A001318R
All Grades ELA/Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,SDA00AR01S19R,RDA00AR01S19R,DDA00AR01S19R,DDB00AR01S19R,DDH00AR01S19R,DDW00AR01S19R,DDI00AR01S19R,DD300AR01S19R,DD400AR01S19R,"DD200AR01S19R
:unselected:",DDS00AR01S19R,DNS00AR01S19R,"DNC00AR01S19R
:unselected:",DNM00AR01S19R,DDE00AR01S19R,DD000AR01S19R
,2018,SDA00AR01S18R,RDA00AR01S18R,DDA00AR01S18R,DDB00AR01S18R,DDH00AR01S18R,DDW00AR01S18R,DDI00AR01S18R,DD300AR01S18R,DD400AR01S18R,"DD200AR01S18R
:unselected:",DDS00AR01S18R,DNS00AR01S18R,DNC00AR01S18R,DNM00AR01S18R,DDE00AR01S18R,DD000AR01S18R
At Meets Grade Level or Above,2019,SDA00AR01219R,RDA00AR01219R,DDA00AR01219R,DDB00AR01219R,DDH00AR01219R,DDW00AR01219R,DDI00AR01219R,"DD300AR01219R
:unselected:",DD400AR01219R,"DD200AR01219R
:unselected:",DDS00AR01219R,DNS00AR01219R,DNC00AR01219R,DNM00AR01219R,DDE00AR01219R,DD000AR01219R
,2018,SDA00AR01218R,RDA00AR01218R,DDA00AR01218R,DDB00AR01218R,DDH00AR01218R,DDW00AR01218R,DDI00AR01218R,DD300AR01218R,DD400AR01218R,"DD200AR01218R
:unselected:",DDS00AR01218R,DNS00AR01218R,DNC00AR01218R,DNM00AR01218R,DDE00AR01218R,DD000AR01218R
At Masters Grade Level,2019,SDA00AR01319R,RDA00AR01319R,DDA00AR01319R,DDB00AR01319R,DDH00AR01319R,DDW00AR01319R,DDI00AR01319R,DD300AR01319R,DD400AR01319R,"DD200AR01319R
:unselected:",DDS00AR01319R,DNS00AR01319R,DNC00AR01319R,DNM00AR01319R,DDE00AR01319R,DD000AR01319R
,2018,SDA00AR01318R,RDA00AR01318R,DDA00AR01318R,DDB00AR01318R,DDH00AR01318R,DDW00AR01318R,DDI00AR01318R,"DD300AR01318R
:unselected:","DD400AR01318R
:unselected:","DD200AR01318R
:unselected:","DDS00AR01318R
:unselected:",DNS00AR01318R,DNC00AR01318R,DNM00AR01318R,DDE00AR01318R,DD000AR01318R
All Grades Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,SDA00AM01S19R,RDA00AM01S19R,DDA00AM01S19R,DDB00AM01S19R,"DDH00AM01S19R
:unselected:",DDW00AM01S19R,DDI00AM01S19R,DD300AM01S19R,DD400AM01S19R,DD200AM01S19R,DDS00AM01S19R,DNS00AM01S19R,DNC00AM01S19R,DNM00AM01S19R,DDE00AM01S19R,DD000AM01S19R
,2018,SDA00AM01S18R,RDA00AM01S18R,DDA00AM01S18R,DDB00AM01S18R,"DDH00AM01S18R
:unselected:",DDW00AM01S18R,DDI00AM01S18R,DD300AM01S18R,DD400AM01S18R,DD200AM01S18R,DDS00AM01S18R,DNS00AM01S18R,"DNC00AM01S18R
:unselected:",DNM00AM01S18R,DDE00AM01S18R,DD000AM01S18R
At Meets Grade Level or Above,2019,SDA00AM01219R,RDA00AM01219R,DDA00AM01219R,DDB00AM01219R,DDH00AM01219R,DDW00AM01219R,DDI00AM01219R,DD300AM01219R,DD400AM01219R,DD200AM01219R,DDS00AM01219R,DNS00AM01219R,"DNC00AM01219R
:unselected:",DNM00AM01219R,DDE00AM01219R,DD000AM01219R
,2018,SDA00AM01218R,RDA00AM01218R,DDA00AM01218R,DDB00AM01218R,DDH00AM01218R,DDW00AM01218R,DDI00AM01218R,"DD300AM01218R
:unselected:",DD400AM01218R,DD200AM01218R,DDS00AM01218R,DNS00AM01218R,"DNC00AM01218R
:unselected:",DNM00AM01218R,DDE00AM01218R,DD000AM01218R
At Masters Grade Level,2019,SDA00AM01319R,RDA00AM01319R,DDA00AM01319R,DDB00AM01319R,DDH00AM01319R,DDW00AM01319R,"DDI00AM01319R
:unselected:",DD300AM01319R,DD400AM01319R,DD200AM01319R,DDS00AM01319R,"DNS00AM01319R
:unselected:","DNC00AM01319R
:unselected:",DNM00AM01319R,DDE00AM01319R,DD000AM01319R
,2018,SDA00AM01318R,RDA00AM01318R,DDA00AM01318R,DDB00AM01318R,DDH00AM01318R,DDW00AM01318R,DDI00AM01318R,DD300AM01318R,DD400AM01318R,DD200AM01318R,DDS00AM01318R,"DNS00AM01318R
:unselected:","DNC00AM01318R
:unselected:",DNM00AM01318R,DDE00AM01318R,DD000AM01318R
All Grades Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,SDA00AW01S19R,RDA00AW01S19R,DDA00AW01S19R,DDB00AW01S19R,DDH00AW01S19R,DDW00AW01S19R,DDI00AW01S19R,DD300AW01S19R,DD400AW01S19R,DD200AW01S19R,DDS00AW01S19R,"DNS00AW01S19R
:unselected:","DNC00AW01S19R
:unselected:",DNM00AW01S19R,DDE00AW01S19R,DD000AW01S19R
,2018,SDA00AW01S18R,RDA00AW01S18R,DDA00AW01S18R,DDB00AW01S18R,DDH00AW01S18R,DDW00AW01S18R,DDI00AW01S18R,"DD300AW01S18R
:unselected:","DD400AW01S18R
:unselected:",DD200AW01S18R,DDS00AW01S18R,"DNS00AW01S18R
:unselected:","DNC00AW01S18R
:unselected:",DNM00AW01S18R,DDE00AW01S18R,DD000AW01S18R
At Meets Grade Level or Above,2019,SDA00AW01219R,RDA00AW01219R,DDA00AW01219R,DDB00AW01219R,DDH00AW01219R,DDW00AW01219R,DDI00AW01219R,"DD300AW01219R
:unselected:","DD400AW01219R
:unselected:",DD200AW01219R,DDS00AW01219R,"DNS00AW01219R
:unselected:",DNC00AW01219R,DNM00AW01219R,DDE00AW01219R,DD000AW01219R
,2018,SDA00AW01218R,RDA00AW01218R,DDA00AW01218R,DDB00AW01218R,DDH00AW01218R,DDW00AW01218R,DDI00AW01218R,DD300AW01218R,"DD400AW01218R
:unselected:",DD200AW01218R,"DDS00AW01218R
:unselected:",DNS00AW01218R,DNC00AW01218R,DNM00AW01218R,DDE00AW01218R,DD000AW01218R
At Masters Grade Level,2019,SDA00AW01319R,RDA00AW01319R,DDA00AW01319R,DDB00AW01319R,DDH00AW01319R,"DDW00AW01319R
:unselected:",DDI00AW01319R,"DD300AW01319R
:unselected:","DD400AW01319R
:unselected:",DD200AW01319R,"DDS00AW01319R
:unselected:","DNS00AW01319R
:unselected:",DNC00AW01319R,DNM00AW01319R,DDE00AW01319R,DD000AW01319R
,2018,SDA00AW01318R,RDA00AW01318R,DDA00AW01318R,DDB00AW01318R,DDH00AW01318R,"DDW00AW01318R
:unselected:",DDI00AW01318R,"DD300AW01318R
:unselected:","DD400AW01318R
:unselected:",DD200AW01318R,"DDS00AW01318R
:unselected:","DNS00AW01318R
:unselected:",DNC00AW01318R,DNM00AW01318R,DDE00AW01318R,DD000AW01318R
All Grades Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,SDA00AC01S19R,RDA00AC01S19R,DDA00AC01S19R,DDB00AC01S19R,DDH00AC01S19R,"DDW00AC01S19R
:unselected:","DDI00AC01S19R
:unselected:","DD300AC01S19R
:unselected:","DD400AC01S19R
:unselected:","DD200AC01S19R
:unselected:","DDS00AC01S19R
:unselected:","DNS00AC01S19R
:unselected:","DNC00AC01S19R
:unselected:","DNM00AC01S19R
:unselected:",DDE00AC01S19R,DD000AC01S19R
,2018,SDA00AC01S18R,RDA00AC01S18R,DDA00AC01S18R,DDB00AC01S18R,DDH00AC01S18R,"DDW00AC01S18R
:unselected:","DDI00AC01S18R
:unselected:","DD300AC01S18R
:unselected:",DD400AC01S18R,"DD200AC01S18R
:unselected:",DDS00AC01S18R,"DNS00AC01S18R
:unselected:","DNC00AC01S18R
:unselected:","DNM00AC01S18R
:unselected:",DDE00AC01S18R,DD000AC01S18R
At Meets Grade Level or Above,2019,SDA00AC01219R,RDA00AC01219R,DDA00AC01219R,DDB00AC01219R,"DDH00AC01219R
:unselected:","DDW00AC01219R
:unselected:","DDI00AC01219R
:unselected:","DD300AC01219R
:unselected:","DD400AC01219R
:unselected:","DD200AC01219R
:unselected:","DDS00AC01219R
:unselected:","DNS00AC01219R
:unselected:","DNC00AC01219R
:unselected:","DNM00AC01219R
:unselected:",DDE00AC01219R,DD000AC01219R
,2018,SDA00AC01218R,RDA00AC01218R,DDA00AC01218R,DDB00AC01218R,"DDH00AC01218R
:unselected:","DDW00AC01218R
:unselected:","DDI00AC01218R
:unselected:","DD300AC01218R
:unselected:","DD400AC01218R
:unselected:","DD200AC01218R
:unselected:","DDS00AC01218R
:unselected:","DNS00AC01218R
:unselected:","DNC00AC01218R
:unselected:","DNM00AC01218R
:unselected:",DDE00AC01218R,DD000AC01218R
At Masters Grade Level,2019,SDA00AC01319R,RDA00AC01319R,DDA00AC01319R,DDB00AC01319R,"DDH00AC01319R
:unselected:","DDW00AC01319R
:unselected:","DDI00AC01319R
:unselected:","DD300AC01319R
:unselected:","DD400AC01319R
:unselected:","DD200AC01319R
:unselected:","DDS00AC01319R
:unselected:","DNS00AC01319R
:unselected:",DNC00AC01319R,"DNM00AC01319R
:unselected:",DDE00AC01319R,DD000AC01319R
,2018,SDA00AC01318R,RDA00AC01318R,DDA00AC01318R,"DDB00AC01318R
:unselected:","DDH00AC01318R
:unselected:","DDW00AC01318R
:unselected:","DDI00AC01318R
:unselected:","DD300AC01318R
:unselected:","DD400AC01318R
:unselected:","DD200AC01318R
:unselected:","DDS00AC01318R
:unselected:","DNS00AC01318R
:unselected:","DNC00AC01318R
:unselected:","DNM00AC01318R
:unselected:",DDE00AC01318R,DD000AC01318R
All Grades Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,SDA00AS01S19R,RDA00AS01S19R,DDA00AS01S19R,DDB00AS01S19R,"DDH00AS01S19R
:unselected:","DDW00AS01S19R
:unselected:","DDI00AS01S19R
:unselected:","DD300AS01S19R
:unselected:","DD400AS01S19R
:unselected:","DD200AS01S19R
:unselected:","DDS00AS01S19R
:unselected:",DNS00AS01S19R,DNC00AS01S19R,DNM00AS01S19R,DDE00AS01S19R,DD000AS01S19R
,2018,SDA00AS01S18R,RDA00AS01S18R,DDA00AS01S18R,DDB00AS01S18R,"DDH00AS01S18R
:unselected:","DDW00AS01S18R
:unselected:","DDI00AS01S18R
:unselected:","DD300AS01S18R
:unselected:","DD400AS01S18R
:unselected:","DD200AS01S18R
:unselected:","DDS00AS01S18R
:unselected:",DNS00AS01S18R,DNC00AS01S18R,"DNM00AS01S18R
:unselected:",DDE00AS01S18R,DD000AS01S18R
At Meets Grade Level or Above,2019,SDA00AS01219R,RDA00AS01219R,DDA00AS01219R,DDB00AS01219R,"DDH00AS01219R
:unselected:","DDW00AS01219R
:unselected:","DDI00AS01219R
:unselected:","DD300AS01219R
:unselected:","DD400AS01219R
:unselected:","DD200AS01219R
:unselected:","DDS00AS01219R
:unselected:","DNS00AS01219R
:unselected:",DNC00AS01219R,"DNM00AS01219R
:unselected:",DDE00AS01219R,DD000AS01219R
At Masters Grade Level,2018 2019 2018,SDA00AS01218R SDA00AS01319R SDA00AS01318R,RDA00AS01218R RDA00AS01319R RDA00AS01318R,DDA00AS01218R DDA00AS01319R DDA00AS01318R,"DDB00AS01218R DDB00AS01319R DDB00AS01318R
:unselected:","DDH00AS01218R DDH00AS01319R DDH00AS01318R
:unselected:
:unselected:
:unselected:","DDW00AS01218R DDW00AS01319R DDW00AS01318R
:unselected:
:unselected:
:unselected:","DDI00AS01218R DDI00AS01319R DDI00AS01318R
:unselected:
:unselected:","DD300AS01218R DD300AS01319R DD300AS01318R
:unselected:
:unselected:
:unselected:","DD400AS01218R DD400AS01319R DD400AS01318R
:unselected:
:unselected:","DD200AS01218R DD200AS01319R DD200AS01318R
:unselected:
:unselected:
:unselected:","DDS00AS01218R DDS00AS01319R DDS00AS01318R
:unselected:
:unselected:
:unselected:","DNS00AS01218R DNS00AS01319R DNS00AS01318R
:unselected:","DNC00AS01218R DNC00AS01319R DNC00AS01318R
:unselected:
:unselected:
:unselected:","DNM00AS01218R DNM00AS01319R DNM00AS01318R
:unselected:
:unselected:
:unselected:",DDE00AS01218R DDE00AS01319R DDE00AS01318R,DD000AS01218R DD000AS01319R DD000AS01318R
,,,,,,,,,,,,,,,,,
,State,Region ##,District,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed,Econ Disadv,EL (Current),,,,
Progress of Prior-Year Non-Proficient Students,,,,,,,,,,,,,,,,,
Sum of Grades 4-8 Reading 2019 2018 Mathematics 2019 2018,SA408FR19R SA408FR18R SA408FM19R SA408FM18R,RA408FR19R RA408FR18R RA408FM19R RA408FM18R,"DA408FR19R DA408FR18R DA408FM19R DA408FM18R
:unselected:
:unselected:
:unselected:
:unselected:","DB408FR19R DB408FR18R DB408FM19R DB408FM18R
:unselected:
:unselected:
:unselected:
:unselected:","DH408FR19R DH408FR18R DH408FM19R DH408FM18R
:unselected:
:unselected:
:unselected:
:unselected:","DW408FR19R DW408FR18R DW408FM19R DW408FM18R
:unselected:
:unselected:
:unselected:
:unselected:","DI408FR19R DI408FR18R DI408FM19R DI408FM18R
:unselected:
:unselected:
:unselected:
:unselected:","D3408FR19R D3408FR18R D3408FM19R D3408FM18R
:unselected:
:unselected:
:unselected:
:unselected:","D4408FR19R D4408FR18R D4408FM19R D4408FM18R
:unselected:
:unselected:
:unselected:
:unselected:",D2408FR19R D2408FR18R D2408FM19R D2408FM18R,"DS408FR19R DS408FR18R DS408FM19R DS408FM18R
:unselected:",DE408FR19R DE408FR18R DE408FM19R DE408FM18R,DL408FR19R DL408FR18R DL408FM19R DL408FM18R,,,,
Student Success Initiative,,,,,,,,,,,,,,,,,
Grade 5 Reading,,,,,,,,,,,,,,,,,
Students Meeting Approaches Grade Level on First STAAR Administration 2019 SA05AREP519R,,RA05AREP519R,"DA05AREP519R
:unselected:","DB05AREP519R
:unselected:","DH05AREP519R
:unselected:","DW05AREP519R
:unselected:","DI05AREP519R
:unselected:","D305AREP519R
:unselected:","D405AREP519R
:unselected:","D205AREP519R
:unselected:","DS05AREP519R
:unselected:",DE05AREP519R,DL05AREP519R,,,,
"Students Requiring Accelerated Instruction 2019 STAAR Cumulative Met Standard 2019 STAAR Non-Proficient Students Promoted by Grade
2018 STAAR Met Standard (Non-Proficient in Previous","Placement Committee
Year) SA05AREF519R SA05AREC519R SA5GPCR18R",RA05AREF519R RA05AREC519R RA5GPCR18R,"DA05AREF519R DA05AREC519R DA5GPCR18R
:unselected:
:unselected:
:unselected:","DB05AREF519R DB05AREC519R DB5GPCR18R
:unselected:
:unselected:
:unselected:","DH05AREF519R DH05AREC519R DH5GPCR18R
:unselected:
:unselected:
:unselected:","DW05AREF519R DW05AREC519R DW5GPCR18R
:unselected:
:unselected:
:unselected:","DI05AREF519R DI05AREC519R DI5GPCR18R
:unselected:
:unselected:
:unselected:","D305AREF519R D305AREC519R D35GPCR18R
:unselected:
:unselected:
:unselected:","D405AREF519R D405AREC519R D45GPCR18R
:unselected:
:unselected:
:unselected:","D205AREF519R D205AREC519R D25GPCR18R
:unselected:
:unselected:
:unselected:","DS05AREF519R DS05AREC519R DS5GPCR18R
:unselected:
:unselected:
:unselected:","DE05AREF519R DE05AREC519R DE5GPCR18R
:unselected:
:unselected:
:unselected:",DL05AREF519R DL05AREC519R DL5GPCR18R,,,,
Promoted to Grade 6 2019 Retained in Grade 5 2019,SA5GPPR19R SA5GPRR19R,RA5GPPR19R RA5GPRR19R,"DA5GPPR19R DA5GPRR19R
:unselected:
:unselected:","DB5GPPR19R DB5GPRR19R
:unselected:
:unselected:","DH5GPPR19R DH5GPRR19R
:unselected:
:unselected:","DW5GPPR19R DW5GPRR19R
:unselected:
:unselected:","DI5GPPR19R DI5GPRR19R
:unselected:
:unselected:","D35GPPR19R D35GPRR19R
:unselected:","D45GPPR19R D45GPRR19R
:unselected:
:unselected:","D25GPPR19R D25GPRR19R
:unselected:","DS5GPPR19R DS5GPRR19R
:unselected:","DE5GPPR19R DE5GPRR19R
:unselected:
:unselected:",DL5GPPR19R DL5GPRR19R,,,,
Grade 5 Mathematics,,,,,,,,,,,,,,,,,
Students Meeting Approaches Grade Level on First STAAR Administration,,,,,,,,,,,,,,,,,
2019,SA05AMAP519R,RA05AMAP519R,"DA05AMAP519R
:unselected:","DB05AMAP519R
:unselected:","DH05AMAP519R
:unselected:","DW05AMAP519R
:unselected:","DI05AMAP519R
:unselected:","D305AMAP519R
:unselected:","D405AMAP519R
:unselected:",D205AMAP519R,"DS05AMAP519R
:unselected:","DE05AMAP519R
:unselected:",DL05AMAP519R,,,,
Students Requiring Accelerated Instruction 2019,SA05AMAF519R,RA05AMAF519R,"DA05AMAF519R
:unselected:","DB05AMAF519R
:unselected:","DH05AMAF519R
:unselected:","DW05AMAF519R
:unselected:","DI05AMAF519R
:unselected:","D305AMAF519R
:unselected:",D405AMAF519R,"D205AMAF519R
:unselected:","DS05AMAF519R
:unselected:","DE05AMAF519R
:unselected:",DL05AMAF519R,,,,
"STAAR Cumulative Met Standard 2019 STAAR Non-Proficient Students Promoted by Grade
2018 STAAR Met Standard (Non-Proficient in Previous
Promoted to Grade 6 2019 Retained in Grade 5 2019","Placement Committee
Year)
SA05AMAC519R SA5GPCM18R SA5GPPM19R SA5GPRM19R",RA05AMAC519R RA5GPCM18R RA5GPPM19R RA5GPRM19R,"DA05AMAC519R DA5GPCM18R DA5GPPM19R DA5GPRM19R
:unselected:
:unselected:
:unselected:
:unselected:","DB05AMAC519R DB5GPCM18R DB5GPPM19R DB5GPRM19R
:unselected:","DH05AMAC519R DH5GPCM18R DH5GPPM19R DH5GPRM19R
:unselected:
:unselected:
:unselected:
:unselected:","DW05AMAC519R DW5GPCM18R DW5GPPM19R DW5GPRM19R
:unselected:
:unselected:
:unselected:
:unselected:","DI05AMAC519R DI5GPCM18R DI5GPPM19R DI5GPRM19R
:unselected:
:unselected:
:unselected:","D305AMAC519R D35GPCM18R D35GPPM19R D35GPRM19R
:unselected:","D405AMAC519R D45GPCM18R D45GPPM19R D45GPRM19R
:unselected:","D205AMAC519R D25GPCM18R D25GPPM19R D25GPRM19R
:unselected:","DS05AMAC519R DS5GPCM18R DS5GPPM19R DS5GPRM19R
:unselected:
:unselected:
:unselected:","DE05AMAC519R DE5GPCM18R DE5GPPM19R DE5GPRM19R
:unselected:",DL05AMAC519R DL5GPCM18R DL5GPPM19R DL5GPRM19R,,,,
Grade 8 Reading,,,,,,,,,,,,,,,,,
"Students Meeting Approaches Grade Level on
2019","First STAAR Administration
SA08AREP519R",RA08AREP519R,"DA08AREP519R
:unselected:","DB08AREP519R
:unselected:","DH08AREP519R
:unselected:","DW08AREP519R
:unselected:","DI08AREP519R
:unselected:","D308AREP519R
:unselected:",D408AREP519R,D208AREP519R,DS08AREP519R,DE08AREP519R,DL08AREP519R,,,,
Students Requiring Accelerated Instruction 2019,SA08AREF519R,RA08AREF519R,"DA08AREF519R
:unselected:","DB08AREF519R
:unselected:","DH08AREF519R
:unselected:","DW08AREF519R
:unselected:",DI08AREF519R,"D308AREF519R
:unselected:",D408AREF519R,D208AREF519R,DS08AREF519R,DE08AREF519R,DL08AREF519R,,,,
"STAAR Cumulative Met Standard 2019 STAAR Non-Proficient Students Promoted by Grade
2018 STAAR Met Standard (Non-Proficient in Previous","Placement Committee
Year) SA08AREC519R SA8GPCR18R",RA08AREC519R RA8GPCR18R,"DA08AREC519R DA8GPCR18R
:unselected:
:unselected:","DB08AREC519R DB8GPCR18R
:unselected:","DH08AREC519R DH8GPCR18R
:unselected:
:unselected:","DW08AREC519R DW8GPCR18R
:unselected:
:unselected:","DI08AREC519R DI8GPCR18R
:unselected:",D308AREC519R D38GPCR18R,"D408AREC519R D48GPCR18R
:unselected:",D208AREC519R D28GPCR18R,DS08AREC519R DS8GPCR18R,DE08AREC519R DE8GPCR18R,DL08AREC519R DL8GPCR18R,,,,
