DISTRICT,DD005AMA1221R,DD005AMA1321R,DD005AMA1S21R,DD005ARE1221R,DD005ARE1321R,DD005ARE1S21R,DD005ASC1221R,DD005ASC1321R,DD005ASC1S21R,DD205AMA1221R,DD205AMA1321R,DD205AMA1S21R,DD205ARE1221R,DD205ARE1321R,DD205ARE1S21R,DD205ASC1221R,DD205ASC1321R,DD205ASC1S21R,DD305AMA1221R,DD305AMA1321R,DD305AMA1S21R,DD305ARE1221R,DD305ARE1321R,DD305ARE1S21R,DD305ASC1221R,DD305ASC1321R,DD305ASC1S21R,DD405AMA1221R,DD405AMA1321R,DD405AMA1S21R,DD405ARE1221R,DD405ARE1321R,DD405ARE1S21R,DD405ASC1221R,DD405ASC1321R,DD405ASC1S21R,DDA05AMA1221R,DDA05AMA1321R,DDA05AMA1S21R,DDA05ARE1221R,DDA05ARE1321R,DDA05ARE1S21R,DDA05ASC1221R,DDA05ASC1321R,DDA05ASC1S21R,DDB05AMA1221R,DDB05AMA1321R,DDB05AMA1S21R,DDB05ARE1221R,DDB05ARE1321R,DDB05ARE1S21R,DDB05ASC1221R,DDB05ASC1321R,DDB05ASC1S21R,DDE05AMA1221R,DDE05AMA1321R,DDE05AMA1S21R,DDE05ARE1221R,DDE05ARE1321R,DDE05ARE1S21R,DDE05ASC1221R,DDE05ASC1321R,DDE05ASC1S21R,DDF05AMA1221R,DDF05AMA1321R,DDF05AMA1S21R,DDF05ARE1221R,DDF05ARE1321R,DDF05ARE1S21R,DDF05ASC1221R,DDF05ASC1321R,DDF05ASC1S21R,DDH05AMA1221R,DDH05AMA1321R,DDH05AMA1S21R,DDH05ARE1221R,DDH05ARE1321R,DDH05ARE1S21R,DDH05ASC1221R,DDH05ASC1321R,DDH05ASC1S21R,DDI05AMA1221R,DDI05AMA1321R,DDI05AMA1S21R,DDI05ARE1221R,DDI05ARE1321R,DDI05ARE1S21R,DDI05ASC1221R,DDI05ASC1321R,DDI05ASC1S21R,DDL05AMA1221R,DDL05AMA1321R,DDL05AMA1S21R,DDL05ARE1221R,DDL05ARE1321R,DDL05ARE1S21R,DDL05ASC1221R,DDL05ASC1321R,DDL05ASC1S21R,DDM05AMA1221R,DDM05AMA1321R,DDM05AMA1S21R,DDM05ARE1221R,DDM05ARE1321R,DDM05ARE1S21R,DDM05ASC1221R,DDM05ASC1321R,DDM05ASC1S21R,DDR05AMA1221R,DDR05AMA1321R,DDR05AMA1S21R,DDR05ARE1221R,DDR05ARE1321R,DDR05ARE1S21R,DDR05ASC1221R,DDR05ASC1321R,DDR05ASC1S21R,DDS05AMA1221R,DDS05AMA1321R,DDS05AMA1S21R,DDS05ARE1221R,DDS05ARE1321R,DDS05ARE1S21R,DDS05ASC1221R,DDS05ASC1321R,DDS05ASC1S21R,DDW05AMA1221R,DDW05AMA1321R,DDW05AMA1S21R,DDW05ARE1221R,DDW05ARE1321R,DDW05ARE1S21R,DDW05ASC1221R,DDW05ASC1321R,DDW05ASC1S21R,DISTNAME,DNC05AMA1221R,DNC05AMA1321R,DNC05AMA1S21R,DNC05ARE1221R,DNC05ARE1321R,DNC05ARE1S21R,DNC05ASC1221R,DNC05ASC1321R,DNC05ASC1S21R,DNM05AMA1221R,DNM05AMA1321R,DNM05AMA1S21R,DNM05ARE1221R,DNM05ARE1321R,DNM05ARE1S21R,DNM05ASC1221R,DNM05ASC1321R,DNM05ASC1S21R,DNS05AMA1221R,DNS05AMA1321R,DNS05AMA1S21R,DNS05ARE1221R,DNS05ARE1321R,DNS05ARE1S21R,DNS05ASC1221R,DNS05ASC1321R,DNS05ASC1S21R
"'003903",43,25,71,32,20,69,30,11,58,69,46,85,54,31,85,38,8,77,100,100,100,50,50,100,75,50,100,.,.,.,.,.,.,.,.,.,50,29,76,43,26,75,34,13,66,37,16,65,33,16,64,21,10,50,46,24,73,40,23,73,30,10,63,47,23,74,44,27,76,28,9,62,50,27,77,39,24,74,32,10,64,.,.,.,.,.,.,.,.,.,40,23,69,26,16,66,26,10,54,53,34,77,41,26,73,40,17,69,39,20,68,28,16,64,20,7,53,42,23,60,31,14,56,30,16,52,62,41,85,65,44,89,55,21,86,"LUFKIN ISD",50,28,78,43,25,76,34,13,65,49,32,67,42,30,71,34,13,68,44,11,56,22,11,44,22,0,56
"'003904",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,41,22,79,46,30,79,41,11,77,-1,-1,-1,-1,-1,-1,-1,-1,-1,36,19,71,39,17,71,35,6,68,32,15,78,42,27,80,28,5,67,45,27,55,45,27,73,36,9,73,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,53,32,79,51,34,77,57,19,89,17,2,54,12,0,51,17,2,54,26,13,57,13,0,43,22,0,61,42,22,82,45,33,79,42,11,78,"HUNTINGTON ISD",43,24,80,49,34,79,43,14,79,37,19,74,37,19,78,37,4,70,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'003905",43,29,80,29,20,66,14,6,51,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,52,31,79,42,26,75,31,12,67,50,14,64,43,36,71,21,7,50,52,31,79,42,26,75,31,12,67,41,29,73,35,24,61,24,12,55,48,28,79,34,22,72,24,9,64,.,.,.,.,.,.,.,.,.,27,8,73,19,8,54,4,0,35,62,33,85,47,29,89,38,13,78,27,14,61,20,12,51,10,4,43,13,0,63,13,0,25,13,0,13,70,52,91,65,35,91,61,26,87,"DIBOLL ISD",52,33,80,41,26,77,28,13,68,50,22,78,44,28,67,44,11,61,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'003906",.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,48,22,91,39,26,78,39,17,74,.,.,.,.,.,.,.,.,.,42,25,92,50,33,83,50,17,83,64,36,100,64,45,91,45,9,73,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,33,8,83,17,8,67,33,25,75,17,0,67,17,17,67,17,17,33,-1,-1,-1,-1,-1,-1,-1,-1,-1,42,21,95,32,21,79,37,11,74,"ZAVALLA ISD",50,20,90,35,20,75,35,15,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'003907",36,9,64,45,18,91,18,0,73,33,17,67,67,50,83,33,33,67,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,34,10,62,39,23,66,20,7,52,0,0,20,40,20,60,0,0,20,22,5,58,29,15,65,13,2,45,31,13,65,39,28,72,17,6,44,45,9,64,45,23,73,14,5,68,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,36,6,60,38,17,60,24,9,61,6,0,33,12,6,33,3,0,18,15,5,25,5,0,25,5,0,15,31,10,64,33,21,63,21,6,47,"CENTRAL ISD",35,12,65,43,26,69,20,6,56,31,6,58,31,17,61,19,8,44,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'004901",18,18,36,18,18,36,18,9,27,0,0,50,33,17,67,17,0,50,80,60,100,80,60,80,60,20,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,23,12,48,35,19,57,23,9,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,8,41,25,14,49,15,5,40,20,12,43,40,22,58,20,11,45,20,8,44,26,11,53,21,6,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,20,40,20,20,30,20,10,30,25,12,53,30,16,56,26,8,55,5,2,27,13,3,34,4,1,25,9,6,29,11,0,20,9,3,23,22,14,48,43,24,60,24,12,56,"ARANSAS COUNTY ISD",25,15,49,38,21,59,25,12,52,19,7,46,31,16,53,20,4,46,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'005901",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,68,57,93,61,50,89,68,32,100,.,.,.,.,.,.,.,.,.,63,38,75,75,63,100,63,25,100,61,50,94,61,50,89,67,17,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,80,70,90,60,50,90,70,60,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67,56,93,59,48,89,67,33,100,"ARCHER CITY ISD",80,70,100,55,45,90,75,35,100,38,25,75,75,63,88,50,25,100,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'005902",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,78,57,96,70,45,87,54,16,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,75,50,100,63,50,100,38,13,88,78,54,95,73,46,92,51,16,78,83,50,100,67,33,83,50,0,83,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,78,59,97,66,44,81,56,16,81,43,19,86,29,19,62,14,0,48,17,17,67,17,0,50,17,0,17,76,57,95,69,47,86,53,16,81,"HOLLIDAY ISD",74,56,94,63,44,83,54,15,76,93,60,100,93,47,100,53,20,93,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'005904",60,0,80,40,20,80,40,0,100,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,65,23,85,50,35,92,69,23,92,.,.,.,.,.,.,.,.,.,40,10,60,30,20,80,40,0,80,64,18,82,64,64,82,55,18,82,43,0,57,29,14,71,29,0,86,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,67,27,87,40,13,100,80,27,100,27,0,64,27,18,82,27,0,82,-1,-1,-1,-1,-1,-1,-1,-1,-1,74,32,95,58,42,100,84,32,95,"WINDTHORST ISD",70,22,91,52,35,96,74,22,96,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'006902",.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,74,100,91,65,100,65,39,96,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,79,100,86,57,100,57,36,93,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,67,100,100,78,100,78,44,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,75,100,90,65,100,65,40,95,"CLAUDE ISD",100,75,100,88,69,100,63,44,94,100,71,100,100,57,100,71,29,100,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'007901",-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,69,48,97,38,28,69,28,14,69,.,.,.,.,.,.,.,.,.,67,38,95,29,24,67,19,10,62,78,44,100,44,44,89,33,11,78,75,50,100,38,29,75,25,13,71,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,65,50,95,35,20,60,25,15,65,64,45,95,36,23,64,27,14,64,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,40,80,40,20,40,40,20,60,"CHARLOTTE ISD",76,52,100,48,33,76,33,19,71,50,38,88,13,13,50,13,0,63,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'007902",43,29,71,25,13,63,38,13,63,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,45,23,75,37,23,76,41,19,76,-1,-1,-1,-1,-1,-1,-1,-1,-1,37,17,67,28,12,67,22,8,68,42,19,78,37,25,83,33,16,76,33,17,66,30,13,70,28,9,70,.,.,.,.,.,.,.,.,.,33,17,67,14,0,57,29,0,57,49,28,70,36,19,68,51,23,77,19,7,52,21,5,55,24,2,52,18,0,59,12,0,35,12,0,53,64,33,90,51,41,85,66,37,89,"JOURDANTON ISD",45,20,74,39,23,76,41,19,76,47,28,75,31,22,78,42,19,77,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'007904",27,9,59,23,14,55,23,5,50,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,28,12,58,22,13,58,21,5,54,.,.,.,.,.,.,.,.,.,22,8,47,14,9,43,11,3,38,25,11,54,25,13,59,18,0,51,30,14,58,25,13,59,20,7,52,.,.,.,.,.,.,.,.,.,27,9,59,23,14,55,23,5,50,32,13,62,20,13,57,23,10,57,19,4,48,14,6,49,13,4,45,7,0,7,7,0,13,7,7,13,18,7,57,11,11,54,25,0,57,"LYTLE ISD",32,17,58,28,19,61,29,7,55,23,6,58,15,6,54,10,2,52,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'007905",36,14,71,29,21,50,21,14,57,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,38,16,70,36,20,62,40,16,70,.,.,.,.,.,.,.,.,.,30,12,63,26,14,53,34,13,65,36,14,71,41,22,68,37,14,65,35,13,65,30,17,58,35,14,65,-1,-1,-1,-1,-1,-1,-1,-1,-1,36,14,71,29,21,50,21,14,57,39,17,69,31,19,58,43,18,74,16,3,52,12,4,35,14,4,48,21,0,50,18,5,37,21,13,47,38,23,78,43,22,70,50,23,82,"PLEASANTON ISD",39,15,68,35,19,63,43,17,68,33,18,74,38,23,62,35,15,74,29,0,86,71,43,71,57,0,100
"'007906",47,29,71,24,12,65,35,12,53,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,30,11,59,32,21,63,23,9,56,-1,-1,-1,-1,-1,-1,-1,-1,-1,24,9,52,27,13,55,22,6,51,24,10,58,35,23,66,19,11,52,30,10,61,32,22,65,22,9,57,.,.,.,.,.,.,.,.,.,47,29,71,24,12,65,35,12,53,36,13,61,29,20,59,27,7,61,15,9,31,13,6,43,13,4,31,27,20,33,20,0,27,27,13,27,33,17,50,33,17,50,33,17,50,"POTEET ISD",29,10,63,31,22,69,20,7,58,31,14,48,34,17,45,31,17,48,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'008901",14,14,29,14,5,33,14,0,38,40,20,40,40,20,40,40,20,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,37,20,64,40,26,60,30,9,59,0,0,18,8,0,42,8,0,17,19,9,43,23,11,37,15,5,39,38,21,65,43,26,64,29,5,58,21,9,50,24,14,45,14,3,45,.,.,.,.,.,.,.,.,.,12,12,24,12,6,24,12,0,35,36,20,64,38,25,57,31,13,59,5,3,22,7,3,17,7,0,22,7,7,23,10,7,17,13,0,20,49,29,79,53,35,72,41,12,72,"BELLVILLE ISD",40,24,65,41,27,60,31,8,60,28,11,62,38,21,60,27,10,54,43,14,71,43,29,57,29,0,57
"'008902",39,14,70,30,18,64,14,2,53,40,40,60,40,20,80,20,0,40,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,52,35,83,46,29,76,35,13,68,23,0,69,23,15,85,8,0,54,46,27,79,38,23,71,29,9,61,55,37,80,46,34,81,30,8,65,44,30,79,44,26,73,31,11,63,.,.,.,.,.,.,.,.,.,39,14,70,30,18,64,14,2,53,50,33,84,45,24,71,39,18,70,28,10,68,24,14,63,11,3,43,17,17,57,17,9,43,13,4,39,72,51,92,54,35,78,48,20,82,"SEALY ISD",50,36,82,43,25,75,36,12,69,60,33,84,53,40,79,30,16,65,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'008903",62,38,69,38,23,77,31,31,69,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,49,33,67,43,27,71,24,12,61,-1,-1,-1,-1,-1,-1,-1,-1,-1,47,31,64,39,19,72,17,8,56,52,38,71,48,33,86,19,5,62,50,34,66,41,22,69,19,13,56,.,.,.,.,.,.,.,.,.,62,38,69,38,23,77,31,31,69,46,29,64,39,21,61,29,18,61,46,25,64,29,18,64,14,14,57,50,33,50,0,0,50,17,0,50,62,38,77,54,46,77,46,15,85,"BRAZOS ISD",50,34,68,45,29,71,24,11,63,45,27,64,36,18,73,27,18,55,.,.,.,.,.,.,.,.,.
