DISTRICT,DDA00A001221R,DDA00A001321R,DDA00A001S21R,DDA00AC01221R,DDA00AC01321R,DDA00AC01S21R,DDA00AM01221R,DDA00AM01321R,DDA00AM01S21R,DDA00AR01221R,DDA00AR01321R,DDA00AR01S21R,DDA00AS01221R,DDA00AS01321R,DDA00AS01S21R,DDA00AW01221R,DDA00AW01321R,DDA00AW01S21R,DDC00A001221R,DDC00A001321R,DDC00A001S21R,DDC00AC01221R,DDC00AC01321R,DDC00AC01S21R,DDC00AM01221R,DDC00AM01321R,DDC00AM01S21R,DDC00AR01221R,DDC00AR01321R,DDC00AR01S21R,DDC00AS01221R,DDC00AS01321R,DDC00AS01S21R,DDC00AW01221R,DDC00AW01321R,DDC00AW01S21R,DDJ00A001221R,DDJ00A001321R,DDJ00A001S21R,DDJ00AC01221R,DDJ00AC01321R,DDJ00AC01S21R,DDJ00AM01221R,DDJ00AM01321R,DDJ00AM01S21R,DDJ00AR01221R,DDJ00AR01321R,DDJ00AR01S21R,DDJ00AS01221R,DDJ00AS01321R,DDJ00AS01S21R,DDJ00AW01221R,DDJ00AW01321R,DDJ00AW01S21R,DDK00A001221R,DDK00A001321R,DDK00A001S21R,DDK00AC01221R,DDK00AC01321R,DDK00AC01S21R,DDK00AM01221R,DDK00AM01321R,DDK00AM01S21R,DDK00AR01221R,DDK00AR01321R,DDK00AR01S21R,DDK00AS01221R,DDK00AS01321R,DDK00AS01S21R,DDK00AW01221R,DDK00AW01321R,DDK00AW01S21R,DDL00A001221R,DDL00A001321R,DDL00A001S21R,DDL00AC01221R,DDL00AC01321R,DDL00AC01S21R,DDL00AM01221R,DDL00AM01321R,DDL00AM01S21R,DDL00AR01221R,DDL00AR01321R,DDL00AR01S21R,DDL00AS01221R,DDL00AS01321R,DDL00AS01S21R,DDL00AW01221R,DDL00AW01321R,DDL00AW01S21R,DDQ00A001221R,DDQ00A001321R,DDQ00A001S21R,DDQ00AC01221R,DDQ00AC01321R,DDQ00AC01S21R,DDQ00AM01221R,DDQ00AM01321R,DDQ00AM01S21R,DDQ00AR01221R,DDQ00AR01321R,DDQ00AR01S21R,DDQ00AS01221R,DDQ00AS01321R,DDQ00AS01S21R,DDQ00AW01221R,DDQ00AW01321R,DDQ00AW01S21R,DDT00A001221R,DDT00A001321R,DDT00A001S21R,DDT00AC01221R,DDT00AC01321R,DDT00AC01S21R,DDT00AM01221R,DDT00AM01321R,DDT00AM01S21R,DDT00AR01221R,DDT00AR01321R,DDT00AR01S21R,DDT00AS01221R,DDT00AS01321R,DDT00AS01S21R,DDT00AW01221R,DDT00AW01321R,DDT00AW01S21R,DDU00A001221R,DDU00A001321R,DDU00A001S21R,DDU00AC01221R,DDU00AC01321R,DDU00AC01S21R,DDU00AM01221R,DDU00AM01321R,DDU00AM01S21R,DDU00AR01221R,DDU00AR01321R,DDU00AR01S21R,DDU00AS01221R,DDU00AS01321R,DDU00AS01S21R,DDU00AW01221R,DDU00AW01321R,DDU00AW01S21R,DDX00A001221R,DDX00A001321R,DDX00A001S21R,DDX00AC01221R,DDX00AC01321R,DDX00AC01S21R,DDX00AM01221R,DDX00AM01321R,DDX00AM01S21R,DDX00AR01221R,DDX00AR01321R,DDX00AR01S21R,DDX00AS01221R,DDX00AS01321R,DDX00AS01S21R,DDX00AW01221R,DDX00AW01321R,DDX00AW01S21R,DDY00A001221R,DDY00A001321R,DDY00A001S21R,DDY00AC01221R,DDY00AC01321R,DDY00AC01S21R,DDY00AM01221R,DDY00AM01321R,DDY00AM01S21R,DDY00AR01221R,DDY00AR01321R,DDY00AR01S21R,DDY00AS01221R,DDY00AS01321R,DDY00AS01S21R,DDY00AW01221R,DDY00AW01321R,DDY00AW01S21R,DDZ00A001221R,DDZ00A001321R,DDZ00A001S21R,DDZ00AC01221R,DDZ00AC01321R,DDZ00AC01S21R,DDZ00AM01221R,DDZ00AM01321R,DDZ00AM01S21R,DDZ00AR01221R,DDZ00AR01321R,DDZ00AR01S21R,DDZ00AS01221R,DDZ00AS01321R,DDZ00AS01S21R,DDZ00AW01221R,DDZ00AW01321R,DDZ00AW01S21R,DISTNAME,DNB00A001221R,DNB00A001321R,DNB00A001S21R,DNB00AC01221R,DNB00AC01321R,DNB00AC01S21R,DNB00AM01221R,DNB00AM01321R,DNB00AM01S21R,DNB00AR01221R,DNB00AR01321R,DNB00AR01S21R,DNB00AS01221R,DNB00AS01321R,DNB00AS01S21R,DNB00AW01221R,DNB00AW01321R,DNB00AW01S21R,DNE00A001221R,DNE00A001321R,DNE00A001S21R,DNE00AC01221R,DNE00AC01321R,DNE00AC01S21R,DNE00AM01221R,DNE00AM01321R,DNE00AM01S21R,DNE00AR01221R,DNE00AR01321R,DNE00AR01S21R,DNE00AS01221R,DNE00AS01321R,DNE00AS01S21R,DNE00AW01221R,DNE00AW01321R,DNE00AW01S21R,DNN00A001221R,DNN00A001321R,DNN00A001S21R,DNN00AC01221R,DNN00AC01321R,DNN00AC01S21R,DNN00AM01221R,DNN00AM01321R,DNN00AM01S21R,DNN00AR01221R,DNN00AR01321R,DNN00AR01S21R,DNN00AS01221R,DNN00AS01321R,DNN00AS01S21R,DNN00AW01221R,DNN00AW01321R,DNN00AW01S21R,DNT00A001221R,DNT00A001321R,DNT00A001S21R,DNT00AC01221R,DNT00AC01321R,DNT00AC01S21R,DNT00AM01221R,DNT00AM01321R,DNT00AM01S21R,DNT00AR01221R,DNT00AR01321R,DNT00AR01S21R,DNT00AS01221R,DNT00AS01321R,DNT00AS01S21R,DNT00AW01221R,DNT00AW01321R,DNT00AW01S21R
"'093903",53,26,77,54,17,81,51,28,78,56,26,79,61,40,76,44,14,68,15,8,31,.,.,.,20,20,40,20,0,20,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,8,31,.,.,.,20,20,40,20,0,20,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,8,31,.,.,.,20,20,40,20,0,20,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"IOLA ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,54,26,78,54,17,81,52,28,79,56,27,80,61,40,76,46,15,69,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'093904",33,12,63,42,14,71,32,13,65,33,11,61,41,17,70,17,3,48,20,5,52,28,8,60,21,8,55,20,2,47,14,3,56,4,2,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,21,6,54,27,7,64,25,10,61,20,4,49,14,3,54,8,1,38,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22,8,59,26,5,76,30,12,70,19,7,53,.,.,.,11,0,34,0,0,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,20,5,53,30,8,64,22,8,55,21,2,48,14,3,56,4,2,43,18,0,47,25,0,63,18,0,55,14,0,43,-1,-1,-1,-1,-1,-1,"NAVASOTA ISD",22,8,58,24,5,76,29,13,70,19,7,53,.,.,.,11,0,34,0,0,11,0,0,0,0,0,33,0,0,0,.,.,.,.,.,.,36,13,65,46,16,73,33,14,65,36,13,63,46,20,73,19,3,49,54,28,87,57,36,79,58,29,88,62,32,88,33,17,75,30,15,90
"'093905",37,16,65,9,3,40,30,14,64,47,21,72,52,24,67,45,18,73,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,"RICHARDS ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,37,16,65,9,3,40,30,14,64,47,21,72,50,20,65,45,18,73,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'094901",31,12,57,34,12,64,26,10,55,33,11,57,43,23,67,18,6,42,8,1,28,6,1,34,9,2,35,9,1,25,8,2,30,4,0,8,17,7,49,12,0,52,18,9,49,19,9,51,.,.,.,16,3,43,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,10,2,35,5,1,35,11,3,42,12,3,34,7,2,29,8,1,24,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,3,45,.,.,.,0,0,58,11,5,32,.,.,.,.,.,.,13,5,44,11,0,45,12,6,48,15,7,43,.,.,.,12,2,38,30,0,50,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,7,1,27,6,1,33,7,1,33,8,1,24,8,2,30,4,0,9,19,4,53,0,0,22,25,6,58,18,4,56,-1,-1,-1,11,0,44,"SEGUIN ISD",6,1,33,0,0,0,6,0,42,9,3,32,.,.,.,0,0,23,38,8,69,-1,-1,-1,50,17,83,33,0,50,.,.,.,.,.,.,33,13,59,36,14,66,28,11,57,36,13,60,46,24,70,18,6,43,38,10,67,45,9,75,32,12,55,37,6,70,42,20,71,40,8,68
"'094902",52,23,78,60,31,83,50,23,79,52,20,77,65,43,87,30,6,63,19,6,40,14,2,39,25,8,54,15,3,32,35,24,53,11,2,26,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20,6,45,11,1,38,24,8,54,19,5,43,34,21,53,13,2,31,25,9,56,.,.,.,26,8,57,26,13,60,.,.,.,16,3,44,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,27,10,59,14,0,43,31,12,61,31,14,65,.,.,.,16,3,44,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19,6,40,14,2,39,25,8,54,15,3,32,35,24,53,11,2,26,19,0,44,20,0,40,29,0,43,11,0,56,-1,-1,-1,-1,-1,-1,"SCHERTZ-CIBOLO-U CITY ISD",32,13,63,14,0,43,41,22,70,43,16,76,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,53,24,79,61,31,84,51,23,80,53,21,77,66,44,88,31,7,64,56,21,87,64,32,91,54,25,86,59,13,90,60,31,87,24,3,73
"'094903",51,22,78,56,26,83,49,23,80,54,22,80,51,30,70,31,8,67,18,3,54,19,6,56,21,3,62,16,2,50,14,0,14,18,0,64,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16,2,52,19,6,56,18,2,61,14,2,47,14,0,14,14,0,57,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,18,3,55,19,6,56,22,3,65,14,2,50,14,0,14,18,0,64,0,0,38,.,.,.,0,0,60,0,0,20,.,.,.,-1,-1,-1,"NAVARRO ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,52,23,79,57,26,84,51,23,81,56,23,81,52,31,71,32,9,67,69,36,89,71,43,86,80,53,93,67,27,87,60,20,80,-1,-1,-1
"'094904",48,20,76,53,21,86,45,19,74,49,19,74,61,34,87,27,6,56,16,4,53,20,0,70,13,10,55,25,3,50,10,0,60,6,0,39,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,21,9,56,29,12,71,21,15,57,28,6,55,9,0,55,6,0,39,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,29,14,57,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,15,4,45,20,0,60,13,9,47,22,3,44,20,0,40,6,0,41,50,32,73,43,29,71,71,43,71,43,29,86,-1,-1,-1,.,.,.,"MARION ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,0,85,20,0,80,0,0,100,40,0,80,0,0,80,.,.,.,49,21,77,54,22,86,46,20,75,50,20,75,64,36,88,29,7,58,60,17,88,56,11,100,58,17,83,79,21,93,40,20,80,-1,-1,-1
"'095901",49,21,77,56,23,84,49,24,79,49,18,74,54,28,80,34,14,62,14,4,54,0,0,80,25,13,50,20,0,40,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,13,3,52,0,0,67,22,11,56,18,0,36,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,14,4,54,0,0,80,25,13,50,20,0,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,"ABERNATHY ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,50,22,78,59,24,85,50,25,80,50,19,75,56,29,80,34,15,62,27,0,73,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.
"'095902",54,27,77,48,22,78,45,20,68,61,31,80,67,33,87,40,40,80,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"COTTON CENTER ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,52,24,75,45,18,77,42,16,66,60,28,79,64,36,86,40,40,80,100,83,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.
"'095903",36,12,67,30,5,62,29,12,60,42,13,72,48,24,80,25,2,63,25,7,58,21,0,50,20,7,53,29,6,60,56,33,89,0,0,50,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,24,7,57,21,0,50,19,6,52,28,6,58,56,33,89,0,0,50,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,25,9,60,21,0,50,21,8,58,29,7,64,50,38,88,0,0,43,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,"HALE CENTER ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,0,38,.,.,.,17,0,33,17,0,33,.,.,.,-1,-1,-1,37,12,68,31,6,64,30,13,61,44,13,74,48,23,79,27,2,64,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.
"'095904",48,17,79,51,11,85,58,23,87,45,15,76,38,26,71,29,0,66,16,3,47,-1,-1,-1,20,0,60,18,0,36,17,17,33,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16,3,47,-1,-1,-1,20,0,60,18,0,36,17,17,33,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16,3,47,-1,-1,-1,20,0,60,18,0,36,17,17,33,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"PETERSBURG ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,50,18,81,50,13,84,61,25,88,46,17,77,44,29,76,32,0,65,55,13,94,71,0,100,60,30,90,55,9,91,-1,-1,-1,-1,-1,-1
"'095905",40,16,67,42,17,71,41,18,71,39,14,65,44,24,68,25,4,55,20,6,48,22,6,65,31,11,64,13,3,36,24,7,49,5,0,14,42,16,71,.,.,.,47,13,80,40,20,67,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,21,6,50,23,4,56,28,9,63,16,4,41,25,6,50,9,0,35,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22,6,51,26,3,40,26,9,60,20,6,46,.,.,.,12,0,48,25,8,56,-1,-1,-1,23,15,69,25,6,50,-1,-1,-1,-1,-1,-1,18,4,46,18,4,64,30,9,62,9,1,32,26,7,50,0,0,10,22,2,59,21,0,64,29,0,86,15,5,35,-1,-1,-1,.,.,.,"PLAINVIEW ISD",20,5,49,26,3,40,23,8,58,17,4,43,.,.,.,13,0,50,100,50,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,40,16,68,43,18,71,41,18,71,41,15,66,45,25,69,25,4,54,56,22,83,59,17,84,64,36,88,55,15,82,44,24,74,43,9,84
"'096904",35,12,67,33,9,67,34,11,66,38,13,68,36,21,72,28,6,64,22,7,53,9,0,64,29,9,59,21,8,47,17,0,50,17,8,50,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,25,9,56,9,0,64,32,8,63,24,12,50,17,0,50,23,15,54,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,21,11,54,14,0,71,20,10,55,24,14,48,-1,-1,-1,29,14,43,22,2,53,-1,-1,-1,43,7,64,18,0,47,20,0,40,0,0,60,56,33,89,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,"MEMPHIS ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,36,13,68,35,12,65,33,13,66,40,14,71,40,23,73,29,4,67,58,5,100,-1,-1,-1,100,0,100,33,0,100,-1,-1,-1,.,.,.
"'096905",56,28,85,50,33,85,52,32,87,70,28,89,41,18,79,43,17,70,29,8,67,-1,-1,-1,0,0,78,56,11,67,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,29,8,67,-1,-1,-1,0,0,78,56,11,67,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,29,8,67,-1,-1,-1,0,0,78,56,11,67,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"TURKEY-QUITAQUE ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,58,30,87,52,35,89,57,36,88,71,29,91,42,18,82,40,15,65,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'097902",53,26,79,60,29,85,51,27,81,54,26,77,58,31,85,47,12,70,13,4,48,20,0,40,21,10,66,3,3,37,-1,-1,-1,15,0,38,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,13,4,48,20,0,40,21,10,66,3,3,37,-1,-1,-1,15,0,38,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8,5,50,.,.,.,14,14,71,0,0,40,.,.,.,11,0,33,17,4,46,20,0,40,27,7,60,5,5,35,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"HAMILTON ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,56,28,81,62,31,88,53,28,82,58,28,79,59,31,86,50,13,74,71,21,96,-1,-1,-1,63,25,100,67,11,100,-1,-1,-1,-1,-1,-1
"'097903",51,17,83,52,14,79,43,12,80,56,23,86,58,28,93,55,6,77,35,11,76,18,18,73,32,8,88,34,9,69,60,40,80,57,0,71,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,35,11,77,18,18,73,35,8,88,33,9,70,60,40,80,57,0,71,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,33,6,82,20,20,100,25,0,83,43,7,79,.,.,.,-1,-1,-1,36,15,72,17,17,50,38,15,92,28,11,61,60,40,80,60,0,80,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,"HICO ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,53,18,84,56,14,78,44,12,80,58,25,88,57,26,93,54,7,77,58,21,88,50,0,100,50,50,67,67,11,89,-1,-1,-1,.,.,.
"'098901",72,39,94,74,39,92,83,53,100,66,31,92,73,48,93,51,16,89,49,16,88,21,0,79,78,33,98,37,8,82,44,11,89,40,13,87,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,49,16,88,21,0,79,78,33,98,37,8,82,44,11,89,40,13,87,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,45,24,91,.,.,.,54,46,100,38,8,85,.,.,.,43,14,86,51,13,90,30,0,90,85,20,100,38,13,83,44,11,89,38,13,88,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"GRUVER ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,48,15,79,11,0,67,92,42,92,33,0,75,.,.,.,.,.,.,76,47,95,87,52,96,83,57,100,72,39,93,73,58,93,53,18,89,83,33,97,75,25,94,95,64,100,76,18,97,88,41,94,-1,-1,-1
"'098903",41,19,71,43,21,64,46,25,87,37,13,63,58,25,83,24,10,52,13,10,51,0,0,25,24,19,71,10,5,43,20,20,60,0,0,38,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,13,10,51,0,0,25,24,19,71,10,5,43,20,20,60,0,0,38,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,13,10,51,0,0,25,24,19,71,10,5,43,20,20,60,0,0,38,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"PRINGLE-MORSE CISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,52,25,79,58,32,79,55,29,93,45,19,69,83,33,100,36,18,55,78,11,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'098904",62,31,85,72,35,93,63,37,86,59,28,81,76,39,93,41,9,75,31,8,70,45,9,73,48,15,85,20,6,61,35,0,65,0,0,55,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,31,10,67,35,5,85,40,20,77,24,6,60,35,0,65,16,0,44,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,39,20,70,53,33,100,44,30,74,36,12,67,.,.,.,24,0,48,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,31,8,71,57,0,86,50,14,86,22,8,67,0,0,29,0,0,55,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"SPEARMAN ISD",39,20,70,53,33,100,44,30,74,36,12,67,.,.,.,24,0,48,32,6,65,-1,-1,-1,-1,-1,-1,15,0,46,60,0,90,.,.,.,68,37,88,75,42,94,66,40,87,69,36,85,84,49,98,47,14,82,72,33,93,81,35,95,79,49,94,67,25,89,76,33,100,50,0,88
