DISTRICT,DD000A001221R,DD000A001321R,DD000A001S21R,DD000AC01221R,DD000AC01321R,DD000AC01S21R,DD000AM01221R,DD000AM01321R,DD000AM01S21R,DD000AR01221R,DD000AR01321R,DD000AR01S21R,DD000AS01221R,DD000AS01321R,DD000AS01S21R,DD000AW01221R,DD000AW01321R,DD000AW01S21R,DD200A001221R,DD200A001321R,DD200A001S21R,DD200AC01221R,DD200AC01321R,DD200AC01S21R,DD200AM01221R,DD200AM01321R,DD200AM01S21R,DD200AR01221R,DD200AR01321R,DD200AR01S21R,DD200AS01221R,DD200AS01321R,DD200AS01S21R,DD200AW01221R,DD200AW01321R,DD200AW01S21R,DD300A001221R,DD300A001321R,DD300A001S21R,DD300AC01221R,DD300AC01321R,DD300AC01S21R,DD300AM01221R,DD300AM01321R,DD300AM01S21R,DD300AR01221R,DD300AR01321R,DD300AR01S21R,DD300AS01221R,DD300AS01321R,DD300AS01S21R,DD300AW01221R,DD300AW01321R,DD300AW01S21R,DD400A001221R,DD400A001321R,DD400A001S21R,DD400AC01221R,DD400AC01321R,DD400AC01S21R,DD400AM01221R,DD400AM01321R,DD400AM01S21R,DD400AR01221R,DD400AR01321R,DD400AR01S21R,DD400AS01221R,DD400AS01321R,DD400AS01S21R,DD400AW01221R,DD400AW01321R,DD400AW01S21R,DDA00A001221R,DDA00A001321R,DDA00A001S21R,DDA00AC01221R,DDA00AC01321R,DDA00AC01S21R,DDA00AM01221R,DDA00AM01321R,DDA00AM01S21R,DDA00AR01221R,DDA00AR01321R,DDA00AR01S21R,DDA00AS01221R,DDA00AS01321R,DDA00AS01S21R,DDA00AW01221R,DDA00AW01321R,DDA00AW01S21R,DDB00A001221R,DDB00A001321R,DDB00A001S21R,DDB00AC01221R,DDB00AC01321R,DDB00AC01S21R,DDB00AM01221R,DDB00AM01321R,DDB00AM01S21R,DDB00AR01221R,DDB00AR01321R,DDB00AR01S21R,DDB00AS01221R,DDB00AS01321R,DDB00AS01S21R,DDB00AW01221R,DDB00AW01321R,DDB00AW01S21R,DDE00A001221R,DDE00A001321R,DDE00A001S21R,DDE00AC01221R,DDE00AC01321R,DDE00AC01S21R,DDE00AM01221R,DDE00AM01321R,DDE00AM01S21R,DDE00AR01221R,DDE00AR01321R,DDE00AR01S21R,DDE00AS01221R,DDE00AS01321R,DDE00AS01S21R,DDE00AW01221R,DDE00AW01321R,DDE00AW01S21R,DDF00A001221R,DDF00A001321R,DDF00A001S21R,DDF00AC01221R,DDF00AC01321R,DDF00AC01S21R,DDF00AM01221R,DDF00AM01321R,DDF00AM01S21R,DDF00AR01221R,DDF00AR01321R,DDF00AR01S21R,DDF00AS01221R,DDF00AS01321R,DDF00AS01S21R,DDF00AW01221R,DDF00AW01321R,DDF00AW01S21R,DDH00A001221R,DDH00A001321R,DDH00A001S21R,DDH00AC01221R,DDH00AC01321R,DDH00AC01S21R,DDH00AM01221R,DDH00AM01321R,DDH00AM01S21R,DDH00AR01221R,DDH00AR01321R,DDH00AR01S21R,DDH00AS01221R,DDH00AS01321R,DDH00AS01S21R,DDH00AW01221R,DDH00AW01321R,DDH00AW01S21R,DDI00A001221R,DDI00A001321R,DDI00A001S21R,DDI00AC01221R,DDI00AC01321R,DDI00AC01S21R,DDI00AM01221R,DDI00AM01321R,DDI00AM01S21R,DDI00AR01221R,DDI00AR01321R,DDI00AR01S21R,DDI00AS01221R,DDI00AS01321R,DDI00AS01S21R,DDI00AW01221R,DDI00AW01321R,DDI00AW01S21R,DDL00A001221R,DDL00A001321R,DDL00A001S21R,DDL00AC01221R,DDL00AC01321R,DDL00AC01S21R,DDL00AM01221R,DDL00AM01321R,DDL00AM01S21R,DDL00AR01221R,DDL00AR01321R,DDL00AR01S21R,DDL00AS01221R,DDL00AS01321R,DDL00AS01S21R,DDL00AW01221R,DDL00AW01321R,DDL00AW01S21R,DDM00A001221R,DDM00A001321R,DDM00A001S21R,DDM00AC01221R,DDM00AC01321R,DDM00AC01S21R,DDM00AM01221R,DDM00AM01321R,DDM00AM01S21R,DDM00AR01221R,DDM00AR01321R,DDM00AR01S21R,DDM00AS01221R,DDM00AS01321R,DDM00AS01S21R,DDM00AW01221R,DDM00AW01321R,DDM00AW01S21R,DDR00A001221R,DDR00A001321R,DDR00A001S21R,DDR00AC01221R,DDR00AC01321R,DDR00AC01S21R,DDR00AM01221R,DDR00AM01321R,DDR00AM01S21R,DDR00AR01221R,DDR00AR01321R,DDR00AR01S21R,DDR00AS01221R,DDR00AS01321R,DDR00AS01S21R,DDR00AW01221R,DDR00AW01321R,DDR00AW01S21R,DDS00A001221R,DDS00A001321R,DDS00A001S21R,DDS00AC01221R,DDS00AC01321R,DDS00AC01S21R,DDS00AM01221R,DDS00AM01321R,DDS00AM01S21R,DDS00AR01221R,DDS00AR01321R,DDS00AR01S21R,DDS00AS01221R,DDS00AS01321R,DDS00AS01S21R,DDS00AW01221R,DDS00AW01321R,DDS00AW01S21R,DDW00A001221R,DDW00A001321R,DDW00A001S21R,DDW00AC01221R,DDW00AC01321R,DDW00AC01S21R,DDW00AM01221R,DDW00AM01321R,DDW00AM01S21R,DDW00AR01221R,DDW00AR01321R,DDW00AR01S21R,DDW00AS01221R,DDW00AS01321R,DDW00AS01S21R,DDW00AW01221R,DDW00AW01321R,DDW00AW01S21R,DISTNAME,DNC00A001221R,DNC00A001321R,DNC00A001S21R,DNC00AC01221R,DNC00AC01321R,DNC00AC01S21R,DNC00AM01221R,DNC00AM01321R,DNC00AM01S21R,DNC00AR01221R,DNC00AR01321R,DNC00AR01S21R,DNC00AS01221R,DNC00AS01321R,DNC00AS01S21R,DNC00AW01221R,DNC00AW01321R,DNC00AW01S21R,DNM00A001221R,DNM00A001321R,DNM00A001S21R,DNM00AC01221R,DNM00AC01321R,DNM00AC01S21R,DNM00AM01221R,DNM00AM01321R,DNM00AM01S21R,DNM00AR01221R,DNM00AR01321R,DNM00AR01S21R,DNM00AS01221R,DNM00AS01321R,DNM00AS01S21R,DNM00AW01221R,DNM00AW01321R,DNM00AW01S21R,DNS00A001221R,DNS00A001321R,DNS00A001S21R,DNS00AC01221R,DNS00AC01321R,DNS00AC01S21R,DNS00AM01221R,DNS00AM01321R,DNS00AM01S21R,DNS00AR01221R,DNS00AR01321R,DNS00AR01S21R,DNS00AS01221R,DNS00AS01321R,DNS00AS01S21R,DNS00AW01221R,DNS00AW01321R,DNS00AW01S21R
"'015904",23,7,49,26,7,53,20,8,49,26,7,51,26,9,56,10,1,29,23,15,54,-1,-1,-1,-1,-1,-1,20,0,60,-1,-1,-1,-1,-1,-1,54,38,85,-1,-1,-1,60,40,100,60,40,60,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,25,8,53,28,8,59,20,7,49,29,8,56,35,14,63,11,1,37,20,4,47,-1,-1,-1,20,0,40,22,6,67,-1,-1,-1,17,0,33,23,7,51,26,7,56,18,6,47,27,7,54,32,13,61,10,1,33,25,7,55,26,7,57,19,6,49,32,9,60,29,9,62,15,1,43,25,8,53,28,8,59,20,7,49,29,8,56,35,14,63,11,1,37,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,14,5,39,13,3,40,14,5,42,16,6,40,14,3,39,6,1,18,25,8,51,30,9,60,22,7,50,27,7,52,40,20,64,8,1,31,16,4,43,18,4,48,12,4,40,18,4,44,23,8,52,5,1,26,14,4,27,17,5,30,14,5,28,14,4,26,16,7,39,9,2,13,31,11,55,33,10,53,21,9,52,39,10,59,41,35,71,12,0,35,"HARLANDALE ISD",26,8,55,30,9,62,22,7,51,31,9,58,36,15,65,12,1,38,20,5,45,21,7,47,14,4,42,24,6,48,30,12,54,11,1,32,20,8,46,26,10,49,18,8,42,24,8,53,19,6,56,6,3,31
"'015905",17,5,41,16,4,44,14,3,41,22,7,43,17,5,41,9,1,25,13,4,54,-1,-1,-1,14,0,29,0,0,63,-1,-1,-1,-1,-1,-1,46,13,68,43,9,74,51,16,67,45,14,71,44,22,56,42,0,58,20,20,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,17,5,41,15,4,46,12,3,36,22,7,44,24,9,47,7,1,24,15,5,38,17,3,53,8,3,28,21,8,39,18,9,55,0,0,18,16,5,40,15,3,45,12,3,35,21,6,43,23,9,46,7,1,24,17,4,43,14,2,45,11,2,36,24,7,49,21,6,45,9,1,30,17,5,40,15,3,45,12,3,36,22,6,44,24,9,47,7,1,24,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,15,4,38,12,2,40,13,3,39,19,6,41,11,5,34,8,1,23,17,5,39,17,5,47,13,4,36,20,6,40,28,13,50,5,0,17,13,3,35,11,2,41,9,2,30,15,4,37,22,6,47,4,1,16,16,6,21,19,9,25,16,5,20,15,6,20,22,13,38,11,1,11,27,7,41,27,9,36,25,13,38,30,4,52,-1,-1,-1,-1,-1,-1,"EDGEWOOD ISD",18,5,42,16,4,48,13,3,37,23,7,46,26,9,49,7,1,24,15,5,36,13,2,41,11,3,32,21,6,40,19,10,43,7,1,22,16,3,36,18,0,45,13,2,36,19,4,39,23,8,31,7,0,13
"'015906",38,8,92,.,.,.,60,20,100,33,0,100,.,.,.,-1,-1,-1,63,30,90,68,42,97,63,32,95,67,24,88,67,44,83,42,13,84,71,33,94,83,67,100,69,31,100,83,28,94,-1,-1,-1,17,17,67,79,26,95,-1,-1,-1,67,33,100,75,25,88,-1,-1,-1,-1,-1,-1,64,32,89,70,41,95,60,29,89,68,32,90,65,42,85,51,15,85,53,20,84,50,25,88,51,12,84,54,20,85,57,39,80,51,9,77,48,16,75,55,18,82,39,14,83,55,16,74,50,50,50,50,0,50,66,32,92,66,38,95,60,27,90,72,36,94,65,39,85,63,19,94,57,25,86,64,32,94,50,22,83,61,29,87,55,32,77,53,8,92,25,13,88,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,40,10,90,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,62,32,87,73,44,94,60,32,88,64,28,86,64,46,84,40,11,77,28,9,71,34,10,88,27,8,69,32,11,72,12,4,46,16,5,68,25,9,62,33,6,88,29,13,60,21,10,66,33,7,53,13,0,30,74,44,94,82,52,98,70,42,92,78,44,96,74,50,92,57,25,85,"RANDOLPH FIELD ISD",66,35,91,69,44,97,62,30,89,71,34,93,70,48,87,48,14,86,62,30,88,70,38,94,59,29,89,65,31,88,58,35,82,52,16,84,61,32,94,-1,-1,-1,63,25,100,40,20,90,67,50,83,80,20,100
"'015907",17,5,40,14,3,39,13,4,38,21,7,43,19,6,44,11,2,30,25,8,52,20,8,56,12,4,49,34,11,53,43,21,79,32,5,36,32,18,56,40,26,58,29,16,63,32,17,55,42,29,54,18,11,36,13,0,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,6,44,19,5,46,13,4,37,25,7,48,33,14,59,12,3,32,14,4,36,15,4,41,8,2,28,17,4,39,25,9,51,11,2,28,17,5,41,16,4,43,11,3,35,22,6,45,29,11,56,10,2,29,21,6,47,18,5,47,12,3,38,29,9,53,30,11,59,15,4,38,20,6,44,19,5,46,13,4,37,25,7,48,32,14,59,11,2,31,13,3,37,30,10,60,9,5,41,9,0,30,0,0,20,25,0,25,13,4,34,9,1,32,11,4,34,16,5,37,14,4,38,8,2,24,19,6,41,20,5,46,13,4,37,21,6,43,35,17,59,9,2,25,10,2,31,9,1,34,7,2,26,13,3,34,20,6,49,5,1,19,14,5,23,13,5,27,13,5,22,14,5,22,23,10,42,12,4,15,37,17,61,41,16,67,26,11,56,45,19,64,54,36,72,24,8,41,"SAN ANTONIO ISD",20,6,44,19,5,46,13,4,38,25,7,48,33,14,59,12,3,32,20,6,43,19,6,46,12,4,34,25,7,47,32,15,59,12,3,29,15,4,38,16,7,42,14,3,33,16,5,42,21,4,54,5,0,25
"'015908",17,5,42,19,5,47,15,5,39,19,6,43,20,6,44,12,2,36,15,0,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,38,12,65,-1,-1,-1,22,0,56,50,17,67,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,20,6,43,21,6,49,13,5,37,23,6,45,33,14,60,10,1,30,14,5,35,21,5,47,5,2,18,18,5,44,25,19,56,0,0,15,18,5,41,19,5,47,12,4,35,22,6,44,30,12,57,9,1,28,21,6,46,22,6,49,13,4,38,27,7,51,29,10,57,13,1,37,20,6,43,21,6,49,14,5,37,23,6,45,33,14,60,10,1,30,17,0,17,-1,-1,-1,0,0,0,13,0,13,-1,-1,-1,-1,-1,-1,14,5,38,15,4,42,14,5,37,15,5,39,17,6,38,8,2,31,18,6,41,20,6,48,14,5,37,19,5,40,37,17,62,8,1,23,15,4,36,16,3,42,10,3,31,17,4,37,28,9,55,6,1,24,13,6,19,15,7,22,13,6,18,13,5,18,23,14,35,8,6,10,23,8,44,30,17,57,9,2,41,27,8,42,47,13,53,0,0,25,"SOUTH SAN ANTONIO ISD",21,6,46,23,6,51,15,5,39,25,7,47,35,14,63,11,1,33,15,5,37,17,4,43,11,4,31,18,5,40,28,13,48,8,2,23,11,3,33,5,0,36,11,4,39,13,3,26,25,17,58,6,0,19
"'015909",35,14,66,27,5,63,44,21,76,35,13,65,25,7,53,25,5,47,60,23,83,60,20,100,71,29,86,54,15,69,-1,-1,-1,-1,-1,-1,43,43,71,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,40,15,69,40,13,70,42,20,73,41,14,69,43,18,71,26,5,58,50,14,79,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,38,14,68,38,12,69,42,19,72,39,13,67,39,16,68,26,6,57,42,16,72,39,10,70,42,20,73,45,16,74,37,13,69,33,9,67,39,15,69,39,13,69,41,19,72,40,13,68,42,17,70,25,5,58,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,33,12,64,27,5,63,42,19,75,32,11,63,25,7,53,21,4,41,39,15,67,41,15,70,43,20,73,37,12,63,49,24,73,19,2,50,29,8,59,28,6,61,32,13,64,28,7,56,31,9,62,18,4,44,26,12,41,21,12,31,29,20,54,22,8,35,37,10,47,26,10,36,50,22,77,55,22,84,52,25,83,48,20,73,59,28,81,33,12,64,"SOMERSET ISD",41,16,70,41,14,71,43,21,73,42,15,70,43,17,72,25,5,59,38,13,66,38,11,69,40,16,72,37,12,63,45,22,67,27,7,56,46,14,74,60,0,60,47,18,82,48,10,76,40,40,60,-1,-1,-1
"'015910",32,13,59,35,12,63,28,12,59,37,15,62,29,12,55,25,7,51,58,28,81,63,34,86,49,23,77,66,30,84,64,45,86,45,14,71,73,45,89,81,56,92,72,44,88,75,45,88,72,49,92,62,24,85,47,23,65,56,33,89,29,13,46,55,29,68,71,29,100,38,13,50,47,22,72,51,25,77,39,17,68,53,24,74,57,36,79,34,11,62,29,11,54,31,12,59,21,8,47,34,12,58,44,25,65,18,5,42,32,12,59,35,12,65,24,9,54,37,13,62,40,21,65,21,5,47,49,23,74,50,24,77,38,16,68,58,28,79,55,33,79,40,14,67,40,16,67,43,17,72,31,12,62,46,18,69,51,29,74,27,7,55,40,16,67,32,21,62,31,9,64,49,17,72,48,24,71,33,17,50,28,11,56,28,9,58,25,10,56,33,13,58,21,8,48,22,6,48,46,21,70,52,26,77,40,18,68,48,20,70,59,39,78,29,7,57,32,10,57,32,9,63,27,8,55,34,10,57,45,23,68,20,5,43,22,6,40,22,7,45,20,6,40,23,6,39,33,13,52,16,4,28,64,34,85,69,40,88,56,27,83,69,36,86,71,51,88,51,17,78,"NORTH EAST ISD",50,23,74,53,26,79,42,18,71,55,25,76,59,38,80,36,11,65,41,18,65,45,21,71,31,14,60,47,20,68,51,31,74,30,9,54,39,18,71,44,20,77,35,17,70,44,20,71,36,25,68,29,9,63
"'015911",17,4,40,18,2,46,13,4,37,21,6,43,13,2,37,11,3,29,33,11,64,43,5,73,25,8,53,39,14,72,43,30,74,5,5,45,42,18,69,70,40,80,30,9,61,46,15,65,60,60,100,14,0,71,0,0,60,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,23,7,50,24,6,55,17,5,44,28,8,53,31,15,57,16,3,39,18,5,43,17,3,47,11,3,36,22,6,47,27,15,50,13,1,34,19,6,45,16,3,48,15,4,42,23,8,50,23,10,48,14,2,34,26,8,54,26,6,57,17,5,45,33,10,60,28,11,55,20,5,47,22,6,48,22,5,52,15,4,43,27,7,51,29,12,54,14,2,36,36,9,50,-1,-1,-1,20,20,40,44,11,56,-1,-1,-1,-1,-1,-1,14,3,37,13,1,42,13,4,35,17,5,41,12,1,35,9,3,24,21,6,46,22,6,53,17,5,43,24,6,47,34,19,58,11,2,32,14,3,37,14,2,45,8,2,29,17,3,39,21,7,47,8,1,25,12,2,23,10,1,21,11,1,24,13,2,23,17,3,34,11,1,16,33,13,61,37,15,72,25,8,55,38,13,62,42,26,71,28,8,55,"EAST CENTRAL ISD",25,8,52,26,6,57,18,5,46,30,8,54,34,16,58,17,3,40,19,5,46,18,5,49,13,3,40,23,7,50,22,11,52,14,3,37,17,6,48,19,7,60,14,8,46,19,3,49,13,13,31,17,4,43
"'015912",23,8,50,20,6,49,22,9,50,26,9,52,20,7,46,19,4,46,30,9,65,42,13,67,23,5,58,33,11,63,31,6,75,0,0,86,50,24,72,43,14,71,46,27,62,55,27,79,64,27,82,33,17,67,25,13,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,28,9,55,26,8,54,22,8,50,33,11,58,36,16,63,21,4,47,26,9,54,21,5,47,21,6,52,31,10,56,42,16,69,21,7,53,25,8,51,23,6,50,18,6,47,30,9,54,33,14,59,19,4,44,28,9,56,24,7,53,19,7,49,36,11,62,33,14,61,25,5,56,27,9,54,25,7,54,21,8,50,32,10,57,36,16,62,21,4,46,34,21,52,-1,-1,-1,50,20,60,25,17,42,-1,-1,-1,-1,-1,-1,18,6,44,13,3,41,20,8,46,19,7,45,13,4,37,12,3,37,28,10,53,28,9,56,24,9,52,30,10,54,39,18,65,17,3,40,18,5,43,14,2,42,14,5,40,21,6,46,26,9,53,11,2,32,16,5,28,15,4,28,16,5,28,16,5,28,19,6,36,13,4,19,41,17,67,44,19,69,34,14,63,47,19,69,45,22,71,27,6,64,"SOUTHWEST ISD",30,10,58,28,9,57,23,9,53,35,11,61,39,18,66,23,5,52,23,7,48,22,6,48,18,6,45,27,9,51,27,10,52,15,2,38,28,7,58,20,5,48,31,12,60,29,7,64,35,5,60,26,0,46
"'015913",65,26,85,71,14,86,67,33,83,58,33,83,-1,-1,-1,-1,-1,-1,48,24,77,50,27,77,47,22,72,52,23,78,58,50,92,27,13,73,92,25,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,50,23,81,50,22,85,43,20,75,56,27,83,61,38,91,42,8,78,40,15,78,26,5,84,33,12,65,54,22,85,38,13,63,29,14,86,39,18,78,47,19,78,30,13,71,46,24,82,33,22,100,36,9,77,50,22,80,50,18,82,38,16,72,60,27,87,62,41,89,41,12,76,48,16,81,37,16,84,41,11,76,58,24,82,47,21,95,50,0,83,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,50,18,77,-1,-1,-1,50,25,75,50,25,75,-1,-1,-1,-1,-1,-1,50,24,81,51,25,87,48,24,79,53,26,80,60,36,93,43,4,80,32,11,65,36,11,68,29,12,60,33,12,67,50,0,83,26,0,67,34,13,61,53,18,88,29,12,59,31,15,54,-1,-1,-1,18,0,45,54,28,83,66,28,90,46,27,79,56,30,85,71,47,95,45,8,73,"LACKLAND ISD",61,28,89,63,13,97,53,28,86,68,30,88,65,52,96,53,16,89,47,21,79,47,24,82,40,18,73,53,26,82,59,32,89,39,6,75,44,19,69,-1,-1,-1,40,20,60,71,29,86,.,.,.,-1,-1,-1
"'015914",30,7,63,20,20,40,25,13,63,33,0,67,-1,-1,-1,-1,-1,-1,53,23,86,61,27,97,39,17,77,59,20,84,75,46,96,31,19,88,65,29,94,80,60,100,60,20,90,62,31,92,-1,-1,-1,-1,-1,-1,60,15,90,-1,-1,-1,60,20,80,71,14,86,-1,-1,-1,-1,-1,-1,50,21,79,55,24,84,39,16,74,59,23,82,62,38,88,33,11,67,48,16,79,60,16,86,28,8,70,57,16,82,63,40,91,35,10,71,42,16,72,47,15,77,32,14,67,52,18,75,43,29,83,32,9,57,49,21,80,47,21,81,35,13,74,62,25,86,57,36,85,40,12,71,45,17,73,46,22,76,34,10,67,56,16,77,60,37,84,23,8,54,57,29,86,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,17,4,57,-1,-1,-1,14,14,57,25,0,63,-1,-1,-1,-1,-1,-1,51,21,78,65,29,88,43,18,75,56,20,78,67,39,91,27,10,63,26,6,56,14,4,53,18,6,54,34,5,62,47,21,68,13,3,33,25,4,51,32,5,63,19,2,44,28,2,56,44,22,61,5,0,27,53,26,82,58,28,85,46,22,80,61,30,85,57,37,84,38,10,68,"FT SAM HOUSTON ISD",52,20,77,58,25,79,36,11,72,58,21,80,71,45,91,40,8,63,49,21,80,54,24,87,41,18,76,59,24,83,55,31,85,30,12,69,62,21,95,71,29,100,47,13,93,69,25,94,.,.,.,-1,-1,-1
"'015915",26,9,54,27,9,59,22,8,53,29,10,56,29,13,56,18,4,45,49,23,75,57,28,80,39,17,69,55,25,77,68,45,85,33,10,66,56,31,76,60,36,81,51,27,75,57,31,75,70,49,85,45,18,69,52,25,75,45,18,80,42,20,68,62,27,78,55,39,82,52,28,68,40,16,67,44,18,72,29,11,60,46,17,70,56,33,79,27,7,55,33,11,61,37,13,68,21,6,51,40,12,64,52,27,76,20,4,51,26,8,54,29,9,60,17,5,46,32,9,58,42,21,68,15,3,41,41,17,69,43,18,72,28,11,60,50,20,74,53,30,78,32,10,62,35,13,63,38,14,68,24,8,55,41,13,66,51,29,76,22,5,51,51,24,73,54,21,82,45,18,66,55,29,74,67,44,94,29,0,50,18,6,46,17,4,49,17,6,46,20,7,48,18,7,45,11,2,35,38,15,65,44,19,72,30,12,60,42,14,65,58,37,80,22,5,49,19,5,47,23,5,55,11,3,39,22,5,49,35,16,62,10,2,34,20,6,36,22,7,42,17,6,33,20,5,35,32,15,53,15,5,24,55,27,80,61,32,84,45,20,76,61,29,81,70,48,88,41,14,69,"NORTHSIDE ISD",41,17,68,45,19,73,30,12,62,47,18,71,57,35,80,29,8,58,35,14,61,38,15,68,24,10,54,41,15,64,51,29,74,23,6,49,35,15,65,37,17,71,29,12,61,41,16,69,48,30,74,18,4,49
"'015916",23,7,51,29,8,57,18,7,48,26,7,52,35,13,61,12,2,42,39,16,65,44,17,70,27,11,59,46,19,70,50,30,72,34,9,55,50,25,77,59,36,84,45,21,75,51,23,76,63,43,84,42,14,72,32,12,68,33,4,71,18,12,70,42,16,65,44,11,78,-1,-1,-1,31,11,59,32,10,62,22,7,53,36,12,62,47,24,73,21,5,49,25,8,51,25,7,53,16,4,44,29,9,54,38,19,68,17,4,40,25,8,54,27,8,56,18,6,47,30,9,57,40,18,67,17,3,46,32,11,61,32,10,63,21,6,52,40,14,67,43,22,73,26,6,57,29,9,58,31,8,61,21,6,51,34,10,61,47,23,73,18,3,48,39,9,65,43,14,86,21,5,47,50,15,70,80,0,100,-1,-1,-1,18,5,46,19,4,49,16,5,44,20,5,47,26,7,52,11,2,39,29,10,57,33,10,62,23,8,53,31,9,57,51,26,73,15,4,41,22,6,51,22,5,52,15,4,44,26,6,53,39,17,67,16,3,44,17,5,31,18,7,35,16,5,32,16,4,31,26,9,45,11,4,18,42,17,71,44,18,77,33,12,67,48,19,72,59,36,82,28,9,59,"JUDSON ISD",33,12,62,36,11,66,23,7,55,38,13,64,50,26,75,21,5,51,27,9,54,26,8,56,20,7,48,31,10,58,41,19,68,20,4,46,20,6,49,18,0,43,11,5,45,25,6,54,50,23,77,9,3,31
"'015917",21,8,46,21,7,51,19,8,44,25,11,49,24,11,50,10,2,31,60,36,84,-1,-1,-1,44,11,78,60,40,80,-1,-1,-1,-1,-1,-1,15,0,38,-1,-1,-1,-1,-1,-1,0,0,20,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22,8,48,25,9,53,17,6,42,27,10,51,27,10,56,14,3,37,27,15,42,38,23,46,21,10,41,25,16,44,50,33,50,17,0,17,21,7,45,24,8,50,15,6,39,25,9,49,25,9,53,12,2,34,24,8,49,24,8,51,17,6,40,31,11,56,25,9,54,16,4,41,22,7,47,24,8,52,16,6,41,26,9,51,27,9,55,14,3,36,0,0,33,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,17,7,42,13,3,45,17,7,42,22,10,46,12,6,36,9,2,29,21,8,46,26,10,54,16,6,43,23,8,46,30,12,58,12,2,33,15,4,38,17,4,45,11,4,32,18,5,42,18,5,46,6,1,26,14,8,24,16,8,26,14,8,24,14,8,24,16,7,26,12,6,17,31,15,53,32,19,59,26,15,47,36,14,54,35,21,65,19,5,43,"SOUTHSIDE ISD",24,9,49,26,10,54,18,7,43,28,10,53,29,11,57,15,3,39,18,7,42,23,6,49,14,6,37,22,8,45,22,9,53,12,2,31,19,10,53,31,0,46,10,10,43,27,19,65,-1,-1,-1,0,0,50
"'016901",37,11,68,25,10,65,36,11,79,40,11,66,55,9,64,-1,-1,-1,52,13,83,50,0,67,50,17,100,50,0,67,60,40,100,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,54,22,82,55,23,85,52,20,84,55,22,79,73,35,90,38,9,68,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,45,17,74,49,21,79,40,15,76,48,17,71,71,23,84,21,6,58,60,26,86,58,28,88,54,21,87,65,31,85,76,33,87,49,11,87,48,15,78,42,21,79,47,13,82,46,14,75,75,18,82,38,5,67,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,26,4,60,25,6,56,18,0,73,29,4,57,38,0,50,-1,-1,-1,49,18,77,53,18,83,49,20,82,45,13,72,70,38,92,24,8,45,34,6,68,35,7,67,33,6,79,32,3,64,44,13,63,-1,-1,-1,26,9,44,19,10,43,34,8,61,17,10,29,67,17,75,0,0,18,57,25,83,61,25,88,54,23,85,58,25,80,74,42,92,38,11,68,"JOHNSON CITY ISD",56,21,82,56,23,84,54,20,85,55,21,79,76,34,90,36,10,66,50,22,81,53,23,87,45,21,84,52,23,76,64,40,88,42,8,75,43,29,86,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1
