DISTRICT,DD003AMA1221R,DD003AMA1321R,DD003AMA1S21R,DD003ARE1221R,DD003ARE1321R,DD003ARE1S21R,DD203AMA1221R,DD203AMA1321R,DD203AMA1S21R,DD203ARE1221R,DD203ARE1321R,DD203ARE1S21R,DD303AMA1221R,DD303AMA1321R,DD303AMA1S21R,DD303ARE1221R,DD303ARE1321R,DD303ARE1S21R,DD403AMA1221R,DD403AMA1321R,DD403AMA1S21R,DD403ARE1221R,DD403ARE1321R,DD403ARE1S21R,DDA03AMA1221R,DDA03AMA1321R,DDA03AMA1S21R,DDA03ARE1221R,DDA03ARE1321R,DDA03ARE1S21R,DDB03AMA1221R,DDB03AMA1321R,DDB03AMA1S21R,DDB03ARE1221R,DDB03ARE1321R,DDB03ARE1S21R,DDE03AMA1221R,DDE03AMA1321R,DDE03AMA1S21R,DDE03ARE1221R,DDE03ARE1321R,DDE03ARE1S21R,DDF03AMA1221R,DDF03AMA1321R,DDF03AMA1S21R,DDF03ARE1221R,DDF03ARE1321R,DDF03ARE1S21R,DDH03AMA1221R,DDH03AMA1321R,DDH03AMA1S21R,DDH03ARE1221R,DDH03ARE1321R,DDH03ARE1S21R,DDI03AMA1221R,DDI03AMA1321R,DDI03AMA1S21R,DDI03ARE1221R,DDI03ARE1321R,DDI03ARE1S21R,DDL03AMA1221R,DDL03AMA1321R,DDL03AMA1S21R,DDL03ARE1221R,DDL03ARE1321R,DDL03ARE1S21R,DDM03AMA1221R,DDM03AMA1321R,DDM03AMA1S21R,DDM03ARE1221R,DDM03ARE1321R,DDM03ARE1S21R,DDR03AMA1221R,DDR03AMA1321R,DDR03AMA1S21R,DDR03ARE1221R,DDR03ARE1321R,DDR03ARE1S21R,DDS03AMA1221R,DDS03AMA1321R,DDS03AMA1S21R,DDS03ARE1221R,DDS03ARE1321R,DDS03ARE1S21R,DDW03AMA1221R,DDW03AMA1321R,DDW03AMA1S21R,DDW03ARE1221R,DDW03ARE1321R,DDW03ARE1S21R,DISTNAME,DNC03AMA1221R,DNC03AMA1321R,DNC03AMA1S21R,DNC03ARE1221R,DNC03ARE1321R,DNC03ARE1S21R,DNM03AMA1221R,DNM03AMA1321R,DNM03AMA1S21R,DNM03ARE1221R,DNM03ARE1321R,DNM03ARE1S21R,DNS03AMA1221R,DNS03AMA1321R,DNS03AMA1S21R,DNS03ARE1221R,DNS03ARE1321R,DNS03ARE1S21R
"'070915",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,22,8,58,46,12,85,-1,-1,-1,-1,-1,-1,32,14,64,55,14,86,6,3,42,35,10,77,29,7,50,43,7,93,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,35,12,74,56,15,91,0,0,33,0,0,56,-1,-1,-1,-1,-1,-1,18,6,61,47,12,82,"MAYPEARL ISD",22,10,59,49,14,82,21,0,57,36,7,93,.,.,.,.,.,.
"'071801",17,4,39,22,9,70,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,27,8,62,50,19,81,-1,-1,-1,-1,-1,-1,17,4,63,46,13,75,29,6,61,53,13,84,21,7,60,49,15,81,.,.,.,.,.,.,17,4,39,22,9,70,25,10,63,48,25,78,17,4,42,25,8,71,-1,-1,-1,-1,-1,-1,55,18,73,55,36,82,"BURNHAM WOOD CHARTER SCHOOL DISTRI",24,5,65,55,21,87,29,12,59,44,18,74,-1,-1,-1,-1,-1,-1
"'071803",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"TRIUMPH PUBLIC HIGH SCHOOLS-EL PAS",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'071804",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"EL PASO ACADEMY",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'071806",13,3,47,16,5,66,20,20,40,40,20,80,80,40,100,80,60,100,-1,-1,-1,-1,-1,-1,13,5,41,18,8,56,5,0,40,5,0,42,9,3,35,15,5,51,10,3,37,18,7,60,11,3,38,15,5,56,-1,-1,-1,-1,-1,-1,12,3,41,15,5,64,16,6,44,17,10,52,12,3,44,16,5,65,14,7,29,21,14,50,15,5,50,30,25,60,"HARMONY SCIENCE ACAD (EL PASO)",9,3,39,16,5,58,18,7,44,20,14,54,-1,-1,-1,-1,-1,-1
"'071807",0,0,33,7,0,33,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16,5,42,21,11,42,.,.,.,.,.,.,11,0,39,17,6,39,11,0,44,22,0,44,11,6,39,17,6,39,.,.,.,.,.,.,0,0,33,7,0,33,20,10,40,20,20,40,0,0,29,7,0,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"LA FE PREPARATORY SCHOOL",22,11,56,33,11,56,10,0,30,10,10,30,.,.,.,.,.,.
"'071809",31,15,62,38,8,77,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,26,13,71,39,13,77,.,.,.,.,.,.,29,21,71,50,21,86,28,11,72,44,11,94,24,10,69,38,10,76,.,.,.,.,.,.,31,15,62,38,8,77,23,15,69,31,15,54,31,15,62,38,8,77,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"VISTA DEL FUTURO CHARTER SCHOOL",21,5,74,37,0,79,33,25,67,42,33,75,.,.,.,.,.,.
"'071810",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"EL PASO LEADERSHIP ACADEMY",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'071901",8,1,33,11,4,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,9,2,35,14,4,43,-1,-1,-1,-1,-1,-1,6,1,32,11,3,40,8,2,37,16,6,47,9,2,35,14,4,43,.,.,.,.,.,.,7,1,32,9,4,38,10,2,32,12,2,40,7,1,31,9,3,37,4,2,11,4,0,13,20,0,40,20,0,40,"CLINT ISD",6,2,34,14,3,44,19,4,36,15,8,42,13,0,50,25,0,50
"'071902",13,4,43,24,11,54,17,4,70,47,26,79,62,38,92,72,44,92,0,0,25,0,0,38,20,8,52,34,16,64,12,3,41,32,16,66,14,4,44,25,11,58,17,6,49,36,17,67,18,6,49,30,14,62,-1,-1,-1,-1,-1,-1,13,4,43,24,11,54,22,9,54,32,16,62,12,4,42,23,9,55,13,5,31,20,8,39,37,20,71,60,35,81,"EL PASO ISD",19,8,51,33,15,63,21,8,53,39,21,70,15,4,56,23,10,66
"'071903",19,5,53,19,9,52,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,23,7,56,22,10,53,.,.,.,.,.,.,20,6,56,20,8,52,21,2,54,27,14,52,23,7,56,22,10,53,.,.,.,.,.,.,19,5,53,19,9,52,25,11,58,18,6,54,20,5,53,19,7,49,8,4,17,8,4,17,.,.,.,.,.,.,"FABENS ISD",24,8,55,19,10,53,17,0,61,39,11,50,-1,-1,-1,-1,-1,-1
"'071904",9,1,32,22,7,50,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,11,2,39,27,9,60,.,.,.,.,.,.,9,2,36,25,8,57,7,1,36,23,8,61,10,1,38,26,9,60,.,.,.,.,.,.,9,1,32,22,7,50,16,3,41,31,10,59,9,1,34,22,6,53,21,0,38,24,3,41,-1,-1,-1,-1,-1,-1,"SAN ELIZARIO ISD",12,2,41,27,8,60,0,0,18,30,20,60,0,0,29,0,0,43
