,year,zipcode,DISTRICT,distname,area,median_ppsf,graduate_rate,Average 4yr Graduation Rate,grad_rate_change,Year-over-year change%,Rolling 4-yr Change%,Average 4yr PPSF,home_price_change_1_lag,home_price_change_2_lag,home_price_change_3_lag,scale_median_ppsf,scale_graduate_rate
7038,2019,77836,26901.0,CALDWELL ISD,1368.421052631579,91.34615384615384,97.8,,,-43.162393162393165,,,,,,-0.48997017742950016,0.5048418461665702
7039,2020,77836,26901.0,CALDWELL ISD,2002.3813677415965,128.57191149874075,99.1,,,40.75240837756884,34.25614337552718,119.0996200228596,,,,0.10522492660203511,0.5996101322734784
7040,2021,77836,26901.0,CALDWELL ISD,1812.2764474083056,173.8145416227608,95.0,,,35.18858014681003,8.151270343051165,138.61172317048528,16.383010410848154,,,0.8286001818389177,0.30072553762861426
7041,2015,77837,198902.0,CALVERT ISD,3650.0,24.63013698630137,88.9,,,,,,,,,-1.5566790666362207,-0.14395642025764718
7042,2019,77837,198902.0,CALVERT ISD,1673.0000000000005,168.9778840406455,100.0,,,586.0614869280935,,,,,,0.7512678427736313,0.6652189457321076
7043,2020,77837,198902.0,CALVERT ISD,2625.9999999999995,91.35567402894137,100.0,,,-45.93631317636401,,,,,,-0.4898179611539443,0.6652189457321076
7044,2021,77837,198902.0,CALVERT ISD,1610.068141686646,113.96877886657332,90.9,94.94999999999999,,24.75281921784973,362.7208485684011,99.73311848061539,,,,-0.12826160515120627,0.001840942983750145
7045,2017,77840,21901.0,COLLEGE STATION ISD,519.0,192.67822736030828,94.5,,,,,,,,,1.1302078347914837,0.2642761968182649
7046,2019,77840,21901.0,COLLEGE STATION ISD,1489.3617021276596,134.28571428571428,94.3,,,-30.30571428571429,,,,,,0.19658176279988898,0.24969646049412497
7047,2020,77840,21901.0,COLLEGE STATION ISD,1640.8413408898236,134.047085796072,94.3,,,-0.1777020667548923,,,,,,0.19276638018113776,0.24969646049412497
7048,2021,77840,21901.0,COLLEGE STATION ISD,1631.3398550724637,137.86213786213787,95.0,94.525,,2.8460537156844934,-28.449550449550443,149.7182913260581,,,,0.25376447543924746,0.30072553762861426
7049,2015,77845,21901.0,COLLEGE STATION ISD,1731.5477545821718,120.26812396534302,94.6,,,1.7921512982033816,,,,,,-0.027542651452966988,0.27156606498033437
7050,2016,77845,21901.0,COLLEGE STATION ISD,1950.0,134.6153846153846,93.7,,,11.929395900592876,38.390655818540445,117.57655305459798,,,,0.20185279497055617,0.20595725152170619
7051,2017,77845,21901.0,COLLEGE STATION ISD,1221.0,139.23013923013923,94.5,,,3.428103428103424,17.841161319422195,128.06608318559344,8.921447226067713,,,0.2756371724073444,0.2642761968182649
7052,2018,77845,21901.0,COLLEGE STATION ISD,2307.0,138.49154746423926,95.4,94.55000000000001,,-0.5304826742140389,15.152330391507206,133.15129881877652,3.97077470216185,13.246472497748973,,0.26382797816489717,0.32988501027689415
7053,2019,77845,21901.0,COLLEGE STATION ISD,1889.7152307692309,142.82575258185014,94.3,94.475,-0.07932310946591192,3.129580972246737,6.0991304893743825,138.7907059729033,4.235337697908759,8.374288117930284,18.042843038998015,0.3331267064794611,0.24969646049412497
7054,2020,77845,21901.0,COLLEGE STATION ISD,1937.9923813656949,144.42781235432705,94.3,94.625,0.1587721619476179,1.121688311468061,3.7331522850784227,141.24381290763893,1.767486459226264,6.077683177448079,10.289788985697568,0.3587417158996351,0.24969646049412497
7055,2021,77845,21901.0,COLLEGE STATION ISD,1864.6072444130127,166.25485121805875,95.0,94.75,0.13210039630118242,15.112767068840638,20.046930128344776,147.99999090461878,4.783344387196498,6.63537581076461,11.15174408178461,0.7077298221577317,0.30072553762861426
7056,2015,77856,198903.0,FRANKLIN ISD,1800.0,119.44444444444444,98.5,,,,,,,,,-0.04071229658699441,0.5558709233010596
7057,2019,77856,198903.0,FRANKLIN ISD,1144.0,134.6153846153846,97.9,,,12.701252236135963,,,,,,0.20185279497055617,0.5121317143286408
7058,2020,77856,198903.0,FRANKLIN ISD,2212.660200060624,135.5382087099425,100.0,,,0.6855264702430031,,,,,,0.21660764262440954,0.6652189457321076
7059,2021,77856,198903.0,FRANKLIN ISD,2246.9134766649186,165.53819444444446,96.5,98.225,,22.133969468862613,38.59011627906979,138.78405805355402,,,,0.6962713420669546,0.4100735600596622
7060,2016,77859,198905.0,HEARNE ISD,2734.0000000000005,36.94220921726408,97.9,,,,,,,,,-1.359823835891377,0.5121317143286408
7061,2017,77859,198905.0,HEARNE ISD,2990.0,54.34782608695652,90.7,,,47.115798536375394,,,,,,-1.0815289509309975,-0.012738793340389794
7062,2019,77859,198905.0,HEARNE ISD,2270.655704471224,99.09031983886636,89.2,,,82.3261885035141,,,,,,-0.36615027491235963,-0.12208681577143779
7063,2020,77859,198905.0,HEARNE ISD,1783.4625027276231,89.68509276498546,93.2,92.75,,-9.49157000317995,142.77133031630717,70.01636197701811,,,,-0.5165285468315544,0.16950791071135687
7064,2021,77859,198905.0,HEARNE ISD,1758.2571428571423,103.79596678529064,84.3,89.35,-3.665768194070085,15.7338009977666,90.98457888493479,86.72980136902474,23.87076237621799,,,-0.2909126383825349,-0.47929035571286166
7065,2016,77873,93905.0,RICHARDS ISD,1500.0,93.33333333333331,85.7,,,-6.428368794326255,,,,,,-0.45819756684520146,-0.3772322014438831
7066,2017,77873,93905.0,RICHARDS ISD,2587.051653978224,323.72759110245795,100.0,,,246.85099046691928,,,,,,3.2255295852234696,0.6652189457321076
7067,2019,77873,93905.0,RICHARDS ISD,2386.643641240305,157.75291857327232,100.0,,,-51.26985684598493,58.15569198239559,168.63979351966827,,,,0.5717941420244059,0.6652189457321076
7068,2020,77873,93905.0,RICHARDS ISD,3057.697521602734,198.67890650006825,100.0,96.425,,25.943093983257626,112.87025696435889,193.37318737728293,14.666404258097021,,,1.2261514789257786,0.6652189457321076
7069,2021,77873,93905.0,RICHARDS ISD,952.0,367.1218487394958,100.0,100.0,3.707544723878664,84.78149251308152,13.404559521558923,261.8203162288236,35.39639066816234,55.25417267442738,,3.9193515869054996,0.6652189457321076
7070,2015,77879,26902.0,SOMERVILLE ISD,2565.0,584.7953216374269,88.6,,,482.1962313190385,,,,,,7.399688684554508,-0.1658260247438576
7071,2017,77879,26902.0,SOMERVILLE ISD,800.0,511.25,96.0,,,-12.57625,1516.6861111111114,307.02877029993,,,,6.223787423617268,0.3736242192493129
7072,2018,77879,26902.0,SOMERVILLE ISD,2081.5131354913115,103.05003429602203,82.1,,,-79.84351407412773,2.5920341435952787,324.88544612621934,5.815961744837628,,,-0.30283920196504616,-0.639667455278399
7073,2019,77879,26902.0,SOMERVILLE ISD,1202.48840017797,129.93888338288735,92.9,89.9,,26.093003530328083,-77.78045094152625,332.2585598290841,2.269450291103614,8.217402396689955,,0.12708116336116212,0.14763830622514748
7074,2020,77879,26902.0,SOMERVILLE ISD,1426.8931277763263,145.35075960679177,100.0,92.75,3.170189098998888,11.860865525903176,-71.56953357324367,222.39741932142528,-33.06495416225608,-31.54589656964105,-27.564632101359788,0.3734985327003319,0.6652189457321076
7075,2021,77879,26902.0,SOMERVILLE ISD,1564.8552,154.320987654321,96.6,92.9,0.16172506738545422,6.171435272712578,49.75345589019191,133.16516623500553,-40.1228815328359,-59.92122330768347,-59.011655393368926,0.5169216932377971,0.41736342822173167
7076,2015,77901,235902.0,VICTORIA ISD,1344.5993662290632,94.08006814310048,89.7,,,10.098705452910451,24.88257934254523,84.64148530955835,,,,-0.4462581751226411,-0.08563747496108846
7077,2016,77901,235902.0,VICTORIA ISD,1475.562472209871,91.42276422764228,86.7,,,-2.8245131704372373,9.226205645901242,88.66347100932605,4.751790076766893,,,-0.4887452695470212,-0.30433351982318446
7078,2017,77901,235902.0,VICTORIA ISD,1583.6489607390304,78.30018083182638,90.4,,,-14.353737284885327,-8.36796022298486,87.31341777432648,-1.5226713094252275,3.1567646231586144,,-0.6985595992465637,-0.034608397826599184
7079,2018,77901,235902.0,VICTORIA ISD,1414.3051398828886,84.77661334804192,94.3,90.27499999999999,,8.271286793226773,-9.88886910764939,87.14490663765275,-0.1929956940974087,-1.7127283134601878,2.9576765092657276,-0.5950092306760466,0.24969646049412497
7080,2019,77901,235902.0,VICTORIA ISD,1481.8103152969595,97.85328020944536,95.1,91.62499999999999,1.4954306286347308,15.42485167190919,7.0338236172679425,88.08820965423898,1.0824534134949104,0.88736863091885,-0.6488143860582163,-0.3859290511509999,0.3080154057906837
7081,2020,77901,235902.0,VICTORIA ISD,1466.5363176809171,108.55510230510232,97.0,94.19999999999999,2.810368349249659,10.936600257805118,38.63965721644711,92.37129417360399,4.862267647596452,5.997352843216053,5.792782516371409,-0.21481978387974301,0.44652290087001156
7082,2021,77901,235902.0,VICTORIA ISD,1496.1723636363636,116.22992392223162,97.5,95.97500000000001,1.8842887473460967,7.069977784700199,37.101400176321356,101.8537299462053,10.265565571464098,15.626972492684676,16.878580603352567,-0.09210861454741633,0.4829722416803609
7083,2015,77904,235902.0,VICTORIA ISD,1944.9117020265344,113.1156750050746,89.7,,,4.862526550524149,11.583429773300647,106.35774419460498,,,,-0.14190171011114233,-0.08563747496108846
7084,2016,77904,235902.0,VICTORIA ISD,1935.7105802047784,105.85260115606935,86.7,,,-6.420926055278731,2.6980534394977607,107.477598611895,1.0529129080069755,,,-0.258029527723123,-0.30433351982318446
7085,2017,77904,235902.0,VICTORIA ISD,1964.488591187023,105.75271392870197,90.4,,,-0.0943644523388909,-1.9632179921925341,108.14785900533329,0.623627995130982,1.6831071627966265,,-0.2596266043827628,-0.034608397826599184
7086,2018,77904,235902.0,VICTORIA ISD,1824.3946477510883,109.62540382725736,94.3,90.27499999999999,,3.6620241265546527,-3.0855769349921403,108.58659847927582,0.40568484478356037,1.0318428041786287,2.095620118261121,-0.19770694948777712,0.24969646049412497
7087,2019,77904,235902.0,VICTORIA ISD,2022.516129032258,113.71973587674248,95.1,91.62499999999999,1.4954306286347308,3.7348387385981896,7.432160036458435,108.73761369719278,0.1390735321226355,0.5453225771491432,1.1723513565349952,-0.1322435031054146,0.3080154057906837
7088,2020,77904,235902.0,VICTORIA ISD,2111.3711797591423,120.65618894592517,97.0,94.19999999999999,2.810368349249659,6.099603569868384,14.092758912334924,112.43851064465673,3.4035112797031086,3.547318195178617,3.9673939722762785,-0.021337959028861722,0.44652290087001156
7089,2021,77904,235902.0,VICTORIA ISD,1729.4268041237112,139.93075591459896,97.5,95.97500000000001,1.8842887473460967,15.974785161921634,27.64446107317915,120.98302114113098,7.599273992055755,11.261427419254023,11.416162616256065,0.2868391907593943,0.4829722416803609
7090,2015,77951,235901.0,BLOOMINGTON ISD,1589.987096774193,59.74891254950335,96.2,,,23.674938404667678,-21.046079845299126,58.90048064583655,,,,-0.9951720727457262,0.38820395557345283
7091,2016,77951,235901.0,BLOOMINGTON ISD,1798.0,61.12347052280312,85.5,,,2.3005573066470664,17.848638404811943,55.26242935761841,-6.176607131771005,,,-0.9731945435426724,-0.39181193776802303
7094,2021,77951,235901.0,BLOOMINGTON ISD,1498.2512460237806,70.54891513056836,78.6,78.125,-5.3317176613147605,1.3010063413289252,15.420336128081802,59.517595255432894,4.75205024744767,15.602504523319837,7.699925514092287,-0.8224930175665461,-0.8948128409508442
7095,2016,77963,88902.0,GOLIAD ISD,2176.3187912006515,102.46660595021253,99.0,,,-3.346667031011763,6.9120118482694615,113.02414320383235,,,,-0.3121675196911705,0.5923202641114089
7096,2017,77963,88902.0,GOLIAD ISD,1910.0,121.98952879581152,98.1,,,19.05296136683301,-17.448255279159707,119.56102644228626,5.78361671511638,,,-1.9458057871999838e-05,0.5267114506527797
