,year,zipcode,DISTRICT,distname,area,median_ppsf,graduate_rate,Average 4yr Graduation Rate,grad_rate_change,Year-over-year change%,Rolling 4-yr Change%,Average 4yr PPSF,home_price_change_1_lag,home_price_change_2_lag,home_price_change_3_lag,scale_median_ppsf,scale_graduate_rate
4570,2016,77030,227806.0,UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL,2021.6626663982013,232.7292321415045,46.4,,,21.179703632300573,17.324864215372116,206.1278003879463,6.581054856630653,,,1.7705752432881385,-3.2421503891373407
4571,2017,77030,227806.0,UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL,2630.9519043610826,235.27606071929392,24.4,,,1.0943311909527909,16.840074552479777,215.35604175824596,4.476951363635329,11.352636845411478,,1.8112959699004691,-4.845921384792712
4572,2018,77030,227806.0,UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL,2844.5715659537277,208.44755923769412,44.9,35.949999999999996,,-11.40298821715171,8.536487741006216,217.1264580577357,0.8220880570776634,5.335843903194615,12.268053574158678,1.382340490219552,-3.351498411568389
4573,2019,77030,227806.0,UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL,2738.5129616267145,208.1421588968533,38.6,38.575,7.301808066759419,-0.14651183345955054,-10.564669087079581,221.14875274883644,1.852512460748179,2.6898298015215483,7.287203537135545,1.3774575059876544,-3.8107601057787903
4574,2020,77030,227806.0,UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL,2233.0,217.1965965069413,32.4,35.075,-9.073233959818538,4.350121886923941,-7.6843620031207145,217.26559384019566,-1.7559035989911154,0.06408052878703607,0.8866953842387781,1.5222270761755392,-4.262731931827122
4575,2021,77030,227806.0,UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL,1343.3251953125002,191.6885061774616,40.6,39.125,11.546685673556656,-11.744240351696533,-8.039937297189493,206.36870520473758,-5.0154690592533635,-6.683305856526756,-4.954602469560642,1.1143833831339978,-3.664962742537393
5009,2021,77057,101838.0,SOUTHWEST SCHOOL,1668.1811320754716,168.14720812182742,73.6,80.29999999999998,-3.601440576230508,9.942405310425627,9.693805409838374,156.55965924774938,1.9462600922306672,-0.7283701253072317,-1.4874792172810403,0.7379863336494493,-1.2593062490543376
5045,2015,77060,46802.0,TRINITY CHARTER SCHOOL,1412.0714490529122,69.40158733874932,40.0,,,13.120876047330455,46.90002653368606,57.03074292690179,,,,-0.8408374093928479,-3.7087019515098123
5213,2015,77071,57804.0,TEXANS CAN ACADEMIES,2109.5001346021545,66.84047926197084,47.5,,,6.295830127289559,35.76972350087826,58.07226133517908,,,,-0.8817864480241204,-3.1619618393545723
5214,2016,77071,57804.0,TEXANS CAN ACADEMIES,1996.912,68.6059275521405,51.2,,,2.6412861033659807,28.629118425089196,62.9160509155219,8.340969455943249,,,-0.8535590526669489,-2.892236717357987
5215,2017,77071,57804.0,TEXANS CAN ACADEMIES,2077.141200854829,75.58465449310236,52.4,,,10.172192389146018,20.20161559194338,68.47815604719415,8.84051851750922,17.91887292274492,,-0.7419776002114118,-2.804758299413149
5216,2018,77071,57804.0,TEXANS CAN ACADEMIES,2120.2969203471,76.99393345969463,44.5,48.900000000000006,,1.8645040796222423,15.19057659345755,72.00624869172708,5.152143177017532,14.448137866139588,23.9942220884501,-0.7194449240746764,-3.380657884216668
5217,2019,77071,57804.0,TEXANS CAN ACADEMIES,2050.081218274112,79.02125952667468,34.0,45.525000000000006,-6.90184049079755,2.6330984479982833,15.181387886081033,75.05144375790304,4.2290705619355995,9.599101509361141,19.288230373319948,-0.6870304179522421,-4.146094041234004
5218,2020,77071,57804.0,TEXANS CAN ACADEMIES,1976.5595346343057,95.87366162237072,21.0,37.975,-16.58429434376717,21.32641544394427,26.842759638624635,81.8683772754606,9.083014498091813,13.696212152302545,19.554003789234798,-0.4175807720339668,-5.0937769023030866
