City_1,State,Zip5,Zip4,District_N,District_1
GRAND PRAIRIE,TX,75052,2439,GRAND PRAIRIE ISD,57910
EL PASO,TX,79930,1106,EL PASO ISD,71902
PLAINVIEW,TX,79072,6782,PLAINVIEW ISD,95905
COLLEGE STATION,TX,77840,2599,COLLEGE STATION ISD,21901
LA PORTE,TX,77571,6496,LA PORTE ISD,101916
THE WOODLANDS,TX,77384, ,CONROE ISD,170902
COLLEGE STATION,TX,77840,4851,COLLEGE STATION ISD,21901
COLLEGE STATION,TX,77840,4851,COLLEGE STATION ISD,21901
COLLEGE STATION,TX,77845,8353,COLLEGE STATION ISD,21901
LINDALE,TX,75771,370,LINDALE ISD,212903
COLLEGE STATION,TX,77840, ,COLLEGE STATION ISD,21901
GALVESTON,TX,77550,8198,GALVESTON ISD,84902
CORPUS CHRISTI,TX,78404, ,CORPUS CHRISTI ISD,178904
COLLEYVILLE,TX,76034, ,GRAPEVINE-COLLEYVILLE ISD,220906
COLLEYVILLE,TX,76034,5919,GRAPEVINE-COLLEYVILLE ISD,220906
COLLEYVILLE,TX,76034,6098,GRAPEVINE-COLLEYVILLE ISD,220906
SAN ANTONIO,TX,78211, ,HARLANDALE ISD,15904
SAN ANTONIO,TX,78211,2745,HARLANDALE ISD,15904
ALLEN,TX,75013,13,ALLEN ISD,43901
FARMERSVILLE,TX,75442,472,FARMERSVILLE ISD,43904
FRISCO,TX,75035, ,FRISCO ISD,43905
CELINA,TX,75009,188,CELINA ISD,43903
MELISSA,TX,75454,127,MELISSA ISD,43908
PRINCETON,TX,75407,1002,PRINCETON ISD,43911
PROSPER,TX,75078,100,PROSPER ISD,43912
WYLIE,TX,75098,490,WYLIE ISD,43914
NEVADA,TX,75173,400,COMMUNITY ISD,43918
HOUSTON,TX,77036, ,ALIEF ISD,101903
EL PASO,TX,79924,3256,EL PASO ISD,71902
SAN ANTONIO,TX,78204,2453,SAN ANTONIO ISD,15907
CORSICANA,TX,75110,5116,CORSICANA ISD,175903
THE WOODLANDS,TX,77381,3143,CONROE ISD,170902
SAN DIEGO,TX,78384,3499,SAN DIEGO ISD,66902
COLLINSVILLE,TX,76233, ,COLLINSVILLE ISD,91902
COLLINSVILLE,TX,76233,49,COLLINSVILLE ISD,91902
COLMESNEIL,TX,75938,37,COLMESNEIL ISD,229901
COLMESNEIL,TX,75938,37,COLMESNEIL ISD,229901
SAN ANTONIO,TX,78221,9648,SOUTHSIDE ISD,15917
BROWNFIELD,TX,79316,3631,BROWNFIELD ISD,223901
SAN ANTONIO,TX,78230,4534,NORTH EAST ISD,15910
SAN ANTONIO,TX,78230,4081,NORTHSIDE ISD,15915
SUGAR LAND,TX,77479,1816,FORT BEND ISD,79907
SUGAR LAND,TX,77479,3009,FORT BEND ISD,79907
COLORADO CITY,TX,79512,1268,COLORADO ISD,168901
COLORADO CITY,TX,79512,7399,COLORADO ISD,168901
WESTBROOK,TX,79565, ,WESTBROOK ISD,168903
BASTROP,TX,78602,3310,BASTROP ISD,11901
MARBLE FALLS,TX,78654,4803,MARBLE FALLS ISD,27904
WEST COLUMBIA,TX,77486,158,COLUMBIA-BRAZORIA ISD,20907
SAN ANTONIO,TX,78211,2199,HARLANDALE ISD,15904
COLUMBUS,TX,78934, ,COLUMBUS ISD,45902
COLUMBUS,TX,78934,2610,COLUMBUS ISD,45902
COLUMBUS,TX,78934,486,COLUMBUS ISD,45902
COLUMBUS,TX,78934,1749,COLUMBUS ISD,45902
NEW BRAUNFELS,TX,78130,3240,COMAL ISD,46902
NEW BRAUNFELS,TX,78130,3240,COMAL ISD,46902
COMANCHE,TX,76442, ,COMANCHE ISD,47901
COMANCHE,TX,76442, ,COMANCHE ISD,47901
COMANCHE,TX,76442, ,COMANCHE ISD,47901
FORT WORTH,TX,76131, ,EAGLE MT-SAGINAW ISD,220918
COMFORT,TX,78013,157,COMFORT ISD,130902
COMFORT,TX,78013,280,COMFORT ISD,130902
COMFORT,TX,78013,187,COMFORT ISD,130902
LUBBOCK,TX,79410, ,LUBBOCK ISD,152901
COMMERCE,TX,75428, ,COMMERCE ISD,116903
COMMERCE,TX,75428, ,COMMERCE ISD,116903
COMMERCE,TX,75428, ,COMMERCE ISD,116903
SUGAR LAND,TX,77479,3998,FORT BEND ISD,79907
ARLINGTON,TX,76012, ,ARLINGTON ISD,220901
DENTON,TX,76202, ,DENTON ISD,61901
NEVADA,TX,75173,400,COMMUNITY ISD,43918
HOUSTON,TX,77023,3126,HOUSTON ISD,101912
FORT WORTH,TX,76107,6915,FORT WORTH ISD,220905
FORT WORTH,TX,76107,6930,FORT WORTH ISD,220905
COMO,TX,75431,18,COMO-PICKTON CISD,112908
ODESSA,TX,79765, ,COMPASS ACADEMY CHARTER SCHOOL,68802
JACKSONVILLE,TX,75766,631,JACKSONVILLE ISD,37904
SAN ANTONIO,TX,78235, ,COMPASS ROSE ACADEMY,15838
SAN ANTONIO,TX,78226, ,COMPASS ROSE ACADEMY,15838
SAN ANTONIO,TX,78235, ,COMPASS ROSE ACADEMY,15838
TOMBALL,TX,77375, ,COMQUEST ACADEMY,101842
MCKINNEY,TX,75070, ,FRISCO ISD,43905
COMSTOCK,TX,78837,905,COMSTOCK ISD,233903
BELLAIRE,TX,77401,4496,HOUSTON ISD,101912
CANUTILLO,TX,79835, ,CANUTILLO ISD,71907
HOUSTON,TX,77066,4920,ALDINE ISD,101902
WACO,TX,76705, ,CONNALLY ISD,161921
WACO,TX,76705, ,CONNALLY ISD,161921
WACO,TX,76705, ,CONNALLY ISD,161921
ELM MOTT,TX,76640, ,CONNALLY ISD,161921
SAN ANTONIO,TX,78250,3584,NORTHSIDE ISD,15915
ELM MOTT,TX,76640, ,CONNALLY ISD,161921
KENEDY,TX,78119,9999,WINDHAM SCHOOL DISTRICT,236903
CONROE,TX,77304,2098,CONROE ISD,170902
EL PASO,TX,79915, ,YSLETA ISD,71905
CONVERSE,TX,78109, ,JUDSON ISD,15916
AUSTIN,TX,78758,5099,AUSTIN ISD,227901
HOUSTON,TX,77016,7027,HOUSTON ISD,101912
HOUSTON,TX,77064,7044,CYPRESS-FAIRBANKS ISD,101907
CLEBURNE,TX,76033, ,CLEBURNE ISD,126903
DENISON,TX,75020, ,SHERMAN ISD,91906
EL PASO,TX,79905,3010,EL PASO ISD,71902
COOLIDGE,TX,76635,70,COOLIDGE ISD,147901
COOLIDGE,TX,76635,70,COOLIDGE ISD,147901
HOUSTON,TX,77093,5449,HOUSTON ISD,101912
SAN ANTONIO,TX,78207, ,SAN ANTONIO ISD,15907
GARLAND,TX,75040,3340,GARLAND ISD,57909
COOPER,TX,75432, ,COOPER ISD,60902
ABILENE,TX,79605,7099,ABILENE ISD,221901
COOPER,TX,75432, ,COOPER ISD,60902
COOPER,TX,75432, ,COOPER ISD,60902
HOUSTON,TX,77095,4441,CYPRESS-FAIRBANKS ISD,101907
LEWISVILLE,TX,75029, ,TEXAS COLLEGE PREPARATORY ACADEMIES,221801
COPPELL,TX,75019,2229,COPPELL ISD,57922
COPPELL,TX,75019,4144,COPPELL ISD,57922
COPPELL,TX,75019, ,COPPELL ISD,57922
DALLAS,TX,75019,4646,COPPELL ISD,57922
FORT WORTH,TX,76131, ,EAGLE MT-SAGINAW ISD,220918
COPPERAS COVE,TX,76522,580,COPPERAS COVE ISD,50910
COPPERAS COVE,TX,76522,580,COPPERAS COVE ISD,50910
CONVERSE,TX,78109,2915,JUDSON ISD,15916
AUSTIN,TX,78753,6961,PFLUGERVILLE ISD,227904
GRAND PRAIRIE,TX,75054, ,MANSFIELD ISD,220908
RICHMOND,TX,77469, ,LAMAR CISD,79901
FRISCO,TX,75034,1753,FRISCO ISD,43905
ARLINGTON,TX,76017,2221,ARLINGTON ISD,220901
PENITAS,TX,78576, ,LA JOYA ISD,108912
LEWISVILLE,TX,75029, ,TEXAS COLLEGE PREPARATORY ACADEMIES,221801
LEWISVILLE,TX,75029, ,TEXAS COLLEGE PREPARATORY ACADEMIES,221801
LAKE DALLAS,TX,75065,548,LAKE DALLAS ISD,61912
HOUSTON,TX,77087,6113,HOUSTON ISD,101912
HOUSTON,TX,77055, ,SPRING BRANCH ISD,101920
SUGAR LAND,TX,77479, ,FORT BEND ISD,79907
AMARILLO,TX,79109,3422,AMARILLO ISD,188901
LUBBOCK,TX,79410,2348,LUBBOCK ISD,152901
EL PASO,TX,79912,3799,EL PASO ISD,71902
PLAINVIEW,TX,79072, ,PLAINVIEW ISD,95905
UNIVERSAL CITY,TX,78148,3199,JUDSON ISD,15916
CORPUS CHRISTI,TX,78404, ,CORPUS CHRISTI MONTESSORI SCHOOL,178807
ATLANTA,TX,75551,2211,ATLANTA ISD,34901
CORRIGAN,TX,75939,2501,CORRIGAN-CAMDEN ISD,187904
CORRIGAN,TX,75939,2501,CORRIGAN-CAMDEN ISD,187904
CORRIGAN,TX,75939,2501,CORRIGAN-CAMDEN ISD,187904
CORSICANA,TX,75110,2498,CORSICANA ISD,175903
CORSICANA,TX,75110,1518,CORSICANA ISD,175903
LUFKIN,TX,75901,2497,LUFKIN ISD,3903
COTTON CENTER,TX,79021,350,COTTON CENTER ISD,95902
COPPELL,TX,75019,2014,COPPELL ISD,57922
HUTTO,TX,78634,430,HUTTO ISD,246906
CLEVELAND,TX,77327, ,CLEVELAND ISD,146901
COTULLA,TX,78014,2153,COTULLA ISD,142901
COTULLA,TX,78014,100,WINDHAM SCHOOL DISTRICT,236903
CARROLLTON,TX,75006,4719,CARROLLTON-FARMERS BRANCH ISD,57903
NEW BRAUNFELS,TX,78130,8399,NEW BRAUNFELS ISD,46901
MCKINNEY,TX,75071,3211,MCKINNEY ISD,43907
COUPLAND,TX,78615, ,COUPLAND ISD,246914
MORGANS POINT RESORT,TX,76513, ,PRIORITY CHARTER SCHOOLS,14803
AUSTIN,TX,78749,2526,AUSTIN ISD,227901
COVINGTON,TX,76636, ,COVINGTON ISD,109903
AUSTIN,TX,78748, ,AUSTIN ISD,227901
SPRING,TX,77386, ,CONROE ISD,170902
ROWLETT,TX,75088,5175,GARLAND ISD,57909
CARROLLTON,TX,75010,1195,LEWISVILLE ISD,61902
ABILENE,TX,79601, ,ABILENE ISD,221901
VICTORIA,TX,77902,9998,VICTORIA ISD,235902
CRANDALL,TX,75114,128,CRANDALL ISD,129901
CRANDALL,TX,75114,520,CRANDALL ISD,129901
CRANDALL,TX,75114,490,CRANDALL ISD,129901
CRANE,TX,79731, ,CRANE ISD,52901
CRANE,TX,79731, ,CRANE ISD,52901
CRANE,TX,79731, ,CRANE ISD,52901
CRANFILLS GAP,TX,76637,67,CRANFILLS GAP ISD,18908
CRAWFORD,TX,76638,120,CRAWFORD ISD,161901
CRAWFORD,TX,76638,120,CRAWFORD ISD,161901
CREEDMOOR,TX,78610, ,DEL VALLE ISD,227910
CARROLLTON,TX,75010,1101,LEWISVILLE ISD,61902
COLLEGE STATION,TX,77845, ,COLLEGE STATION ISD,21901
LIVINGSTON,TX,77351, ,LIVINGSTON ISD,187907
LEWISVILLE,TX,75067,6141,LEWISVILLE ISD,61902
THE WOODLANDS,TX,77389, ,TOMBALL ISD,101921
LEAGUE CITY,TX,77573,1742,CLEAR CREEK ISD,84910
THE WOODLANDS,TX,77375, ,TOMBALL ISD,101921
THE WOODLANDS,TX,77375, ,TOMBALL ISD,101921
CARROLLTON,TX,75007,3957,CARROLLTON-FARMERS BRANCH ISD,57903
FORT WORTH,TX,76179, ,EAGLE MT-SAGINAW ISD,220918
KINGWOOD,TX,77339,5216,HUMBLE ISD,101913
CONROE,TX,77306,7441,CONROE ISD,170902
CHANNELVIEW,TX,77530, ,CHANNELVIEW ISD,101905
GALVESTON,TX,77553,660,GALVESTON ISD,84902
HOUSTON,TX,77012,4115,HOUSTON ISD,101912
NEW BOSTON,TX,75570,2399,NEW BOSTON ISD,19905
SAN ANTONIO,TX,78233,2999,JUDSON ISD,15916
CANYON,TX,79015,1742,CANYON ISD,191901
WACO,TX,76710,4860,WACO ISD,161914
WOLFFORTH,TX,79382,100,FRENSHIP ISD,152907
FORNEY,TX,75126,9999,FORNEY ISD,129902
GRAND PRAIRIE,TX,75051, ,GRAND PRAIRIE ISD,57910
ABILENE,TX,79605, ,ABILENE ISD,221901
AUSTIN,TX,78745,3696,AUSTIN ISD,227901
HARLINGEN,TX,78550, ,HARLINGEN CISD,31903
BAYTOWN,TX,77522,30,GOOSE CREEK CISD,101911
CROCKETT,TX,75835,3145,CROCKETT ISD,113901
BRYAN,TX,77801,3118,BRYAN ISD,21902
HOUSTON,TX,77007,3923,HOUSTON ISD,101912
SAN MARCOS,TX,78667,1087,SAN MARCOS CISD,105902
CORPUS CHRISTI,TX,78416,1697,CORPUS CHRISTI ISD,178904
WEATHERFORD,TX,76086,439,WEATHERFORD ISD,184903
WICHITA FALLS,TX,76309,3113,WICHITA FALLS ISD,243905
SAN ANGELO,TX,76904,5439,SAN ANGELO ISD,226903
MARSHALL,TX,75671,43,MARSHALL ISD,102902
EL PASO,TX,79930,4399,EL PASO ISD,71902
GREENVILLE,TX,75403,1022,GREENVILLE ISD,116905
BORGER,TX,79007,6355,BORGER ISD,117901
CROCKETT,TX,75835,3145,CROCKETT ISD,113901
PARIS,TX,75460, ,PARIS ISD,139909
CROCKETT,TX,75835,3145,CROCKETT ISD,113901
IRVING,TX,75061,1899,IRVING ISD,57912
AMARILLO,TX,79106,5118,AMARILLO ISD,188901
PECOS,TX,79772,869,PECOS-BARSTOW-TOYAH ISD,195901
ODESSA,TX,79760,3912,ECTOR COUNTY ISD,68901
BROWNSVILLE,TX,78521,4744,BROWNSVILLE ISD,31901
CROSBY,TX,77532, ,CROSBY ISD,101906
CROSBY,TX,77532, ,CROSBY ISD,101906
FORNEY,TX,75126, ,FORNEY ISD,129902
EL PASO,TX,79924,6699,EL PASO ISD,71902
CROSBY,TX,77532,8009,CROSBY ISD,101906
CROSBY,TX,77532,8009,CROSBY ISD,101906
CROSBY,TX,77532,8009,CROSBY ISD,101906
HITCHCOCK,TX,77563,3218,HITCHCOCK ISD,84908
CROSBYTON,TX,79322,2130,CROSBYTON CISD,54901
CROSBYTON,TX,79322,2130,CROSBYTON CISD,54901
CROSBYTON,TX,79322,2130,CROSBYTON CISD,54901
CROSS ROADS,TX,76227, ,DENTON ISD,61901
CROSS PLAINS,TX,76443,2112,CROSS PLAINS ISD,30901
CROSS PLAINS,TX,76443,2112,CROSS PLAINS ISD,30901
MALAKOFF,TX,75148,9801,CROSS ROADS ISD,107904
MALAKOFF,TX,75148,9801,CROSS ROADS ISD,107904
MALAKOFF,TX,75148,9801,CROSS ROADS ISD,107904
AZLE,TX,76020,2309,AZLE ISD,220915
ARLINGTON,TX,76001, ,MANSFIELD ISD,220908
GRAVEVINE,TX,76051,4273,GRAPEVINE-COLLEYVILLE ISD,220906
ALIEF,TX,77411, ,ALIEF ISD,101903
UVALDE,TX,78802, ,UVALDE CISD,232903
BLOOMINGTON,TX,77951,158,BLOOMINGTON ISD,235901
BURLESON,TX,76028, ,BURLESON ISD,126902
COPPERAS COVE,TX,76522,580,COPPERAS COVE ISD,50910
WEATHERFORD,TX,76086, ,CROSSTIMBERS ACADEMY,184801
GRAND PRAIRIE,TX,75050, ,GRAND PRAIRIE ISD,57910
GRAND PRAIRIE,TX,75051,9999,ARLINGTON ISD,220901
ARLINGTON,TX,76010,1999,ARLINGTON ISD,220901
CROWELL,TX,79227,239,CROWELL ISD,78901
CROWLEY,TX,76036, ,CROWLEY ISD,220912
CROWLEY,TX,76036,2999,CROWLEY ISD,220912
FORT WORTH,TX,76123,688,CROWLEY ISD,220912
CORINTH,TX,76210, ,DENTON ISD,61901
SHERMAN,TX,75090,6619,SHERMAN ISD,91906
CONROE,TX,77304, ,CONROE ISD,170902
CRYSTAL CITY,TX,78839,2799,CRYSTAL CITY ISD,254901
LAREDO,TX,78045,2499,UNITED ISD,240903
CUERO,TX,77954,2132,CUERO ISD,62901
CUERO,TX,77954,2001,CUERO ISD,62901
HOUSTON,TX,77021,4851,HOUSTON ISD,101912
TYLER,TX,75703, ,CUMBERLAND ACADEMY,212801
TYLER,TX,75703, ,CUMBERLAND ACADEMY,212801
TYLER,TX,75703, ,CUMBERLAND ACADEMY,212801
TYLER,TX,75703, ,CUMBERLAND ACADEMY,212801
CUMBY,TX,75433, ,CUMBY ISD,112905
CUMBY,TX,75433, ,CUMBY ISD,112905
HOUSTON,TX,77099,5018,ALIEF ISD,101903
HOUSTON,TX,77081,2906,HOUSTON ISD,101912
AUSTIN,TX,78745,4334,AUSTIN ISD,227901
HOUSTON,TX,77049,4031,GALENA PARK ISD,101910
CORPUS CHRISTI,TX,78415, ,CORPUS CHRISTI ISD,178904
WICHITA FALLS,TX,76308,2511,WICHITA FALLS ISD,243905
BOERNE,TX,78006,1742,BOERNE ISD,130901
BEAUMONT,TX,77706, ,BEAUMONT ISD,123910
WEATHERFORD,TX,76086,439,WEATHERFORD ISD,184903
GLENN HEIGHTS,TX,75154, ,DESOTO ISD,57906
FRISCO,TX,75035,8229,FRISCO ISD,43905
CUSHING,TX,75760,337,CUSHING ISD,174902
CUSHING,TX,75760,337,CUSHING ISD,174902
CYPRESS,TX,77429, ,CYPRESS-FAIRBANKS ISD,101907
PROSPER,TX,75078, ,PROSPER ISD,43912
HOUSTON,TX,77070,4501,CYPRESS-FAIRBANKS ISD,101907
CEDAR PARK,TX,78613,5399,LEANDER ISD,246913
HOUSTON,TX,77095,2307,CYPRESS-FAIRBANKS ISD,101907
COLLEGE STATION,TX,77845, ,COLLEGE STATION ISD,21901
KATY,TX,77449, ,CYPRESS-FAIRBANKS ISD,101907
CYPRESS,TX,77433,188,CYPRESS-FAIRBANKS ISD,101907
CYPRESS,TX,77433, ,CYPRESS-FAIRBANKS ISD,101907
HOUSTON,TX,77041, ,CYPRESS-FAIRBANKS ISD,101907
CYPRESS,TX,77433,3240,CYPRESS-FAIRBANKS ISD,101907
CYPRESS,TX,77429, ,CYPRESS-FAIRBANKS ISD,101907
HOUSTON,TX,77269,2003,CYPRESS-FAIRBANKS ISD,101907
HOUSTON,TX,77338, ,ALDINE ISD,101902
CONROE,TX,77301, ,CONROE ISD,170902
DALLAS,TX,75232, ,DALLAS ISD,57905
QUINLAN,TX,75474, ,QUINLAN ISD,116908
LAREDO,TX,78043,3599,LAREDO ISD,240901
LITTLE ELM,TX,75068, ,LITTLE ELM ISD,61914
KYLE,TX,78640,9530,HAYS CISD,105906
ALLEN,TX,75002,3117,ALLEN ISD,43901
ARLINGTON,TX,76001,9999,MANSFIELD ISD,220908
D'HANIS,TX,78850,307,D'HANIS ISD,163902
GAINESVILLE,TX,76240, ,CALLISBURG ISD,49905
PLAINVIEW,TX,79072,9072,ANTON ISD,110901
PROGRESO,TX,78579,610,PROGRESO ISD,108910
ABILENE,TX,79602, ,ABILENE ISD,221901
SHALLOWATER,TX,79363, ,SHALLOWATER ISD,152909
EAGLE PASS,TX,78852,5604,EAGLE PASS ISD,159901
SAN ANTONIO,TX,78229,3719,NORTHSIDE ISD,15915
AUSTIN,TX,78704, ,AUSTIN ISD,227901
PLANO,TX,75093,7205,PLANO ISD,43910
FORT WORTH,TX,76110,2627,FORT WORTH ISD,220905
FORT WORTH,TX,76110,1999,FORT WORTH ISD,220905
FT WORTH,TX,76110, ,FORT WORTH ISD,220905
LAREDO,TX,78040,7098,LAREDO ISD,240901
AUSTIN,TX,78725, ,DEL VALLE ISD,227910
DAINGERFIELD,TX,75638,851,DAINGERFIELD-LONE STAR ISD,172902
DAINGERFIELD,TX,75638,853,DAINGERFIELD-LONE STAR ISD,172902
DALHART,TX,79022,2639,DALHART ISD,56901
DALHART,TX,79022,2639,DALHART ISD,56901
DALHART,TX,79022,2639,DALHART ISD,56901
DALHART,TX,79022,2639,DALHART ISD,56901
DALHART,TX,79022, ,WINDHAM SCHOOL DISTRICT,236903
DALLAS,TX,75212, ,IRVING ISD,57912
COPPELL,TX,75212, ,COPPELL ISD,57922
SUNNYVALE,TX,75182, ,SUNNYVALE ISD,57919
DALLAS,TX,75212, ,CARROLLTON-FARMERS BRANCH ISD,57903
DALLAS,TX,75212, ,DESOTO ISD,57906
DALLAS,TX,75212, ,ACADEMY FOR ACADEMIC EXCELLENCE,57814
DALLAS,TX,75212, ,DALLAS ISD,57905
FORT WORTH,TX,76123, ,CROWLEY ISD,220912
UVALDE,TX,78802,1909,UVALDE CISD,232903
DAMON,TX,77430,429,DAMON ISD,20910
LONGVIEW,TX,75601, ,EAST TEXAS CHARTER SCHOOLS,92801
DALLAS,TX,75214,2001,DALLAS ISD,57905
SANTA FE,TX,77510,370,SANTA FE ISD,84909
EVERMAN,TX,76140, ,EVERMAN ISD,220904
DANBURY,TX,77534,716,DANBURY ISD,20904
DANBURY,TX,77534,377,DANBURY ISD,20904
DANBURY,TX,77534,586,DANBURY ISD,20904
WIMBERLEY,TX,78676, ,WIMBERLEY ISD,105905
PHARR,TX,78577,7201,PHARR-SAN JUAN-ALAMO ISD,108909
DONNA,TX,78537, ,DONNA ISD,108902
SNYDER,TX,79549,9999,WINDHAM SCHOOL DISTRICT,236903
DALLAS,TX,75233,3309,DALLAS ISD,57905
KERRVILLE,TX,78028,5452,KERRVILLE ISD,133903
HOUSTON,TX,77065, ,CYPRESS-FAIRBANKS ISD,101907
MANSFIELD,TX,76063, ,MANSFIELD ISD,220908
NEW BRAUNFELS,TX,78130, ,COMAL ISD,46902
ROSHARON,TX,77583,9015,WINDHAM SCHOOL DISTRICT,236903
DARROUZETT,TX,79024,98,DARROUZETT ISD,148905
RICHARDSON,TX,75081,3235,RICHARDSON ISD,57916
LEAGUE CITY,TX,77573, ,CLEAR CREEK ISD,84910
GARLAND,TX,75041,1806,GARLAND ISD,57909
NEW BRAUNFELS,TX,78130, ,COMAL ISD,46902
ALLEN,TX,75002, ,ALLEN ISD,43901
SAN ANTONIO,TX,78207,5824,SAN ANTONIO ISD,15907
SAN ANTONIO,TX,78207,2599,SAN ANTONIO ISD,15907
RICHMOND,TX,77407, ,FORT BEND ISD,79907
GRAND PRAIRIE,TX,75051, ,GRAND PRAIRIE ISD,57910
HALTOM CITY,TX,76117,2343,BIRDVILLE ISD,220902
THE WOODLANDS,TX,77381,4126,CONROE ISD,170902
DALLAS,TX,75220,1623,DALLAS ISD,57905
LA FERIA,TX,78559, ,LA FERIA ISD,31905
FORT WORTH,TX,76119,7498,FORT WORTH ISD,220905
FORT WORTH,TX,76123, ,CROWLEY ISD,220912
ENNIS,TX,75119, ,ENNIS ISD,70903
DALLAS,TX,75232, ,DALLAS ISD,57905
EDCOUCH,TX,78538, ,EDCOUCH-ELSA ISD,108903
HOUSTON,TX,77012,2947,HOUSTON ISD,101912
BROOKESMITH,TX,76827, ,BROOKESMITH ISD,25908
EL PASO,TX,79912, ,BURNHAM WOOD CHARTER SCHOOL DISTRICT,71801
GARLAND,TX,75042,4837,GARLAND ISD,57909
PLANO,TX,75075,1902,PLANO ISD,43910
AUSTIN,TX,78727,6613,AUSTIN ISD,227901
CARROLLTON,TX,75007,3017,CARROLLTON-FARMERS BRANCH ISD,57903
IRVING,TX,75061,6219,IRVING ISD,57912
ROYSE CITY,TX,75189,479,ROYSE CITY ISD,199902
HOUSTON,TX,77067, ,ALDINE ISD,101902
WYLIE,TX,75098,490,WYLIE ISD,43914
SAN ANTONIO,TX,78220,3397,SAN ANTONIO ISD,15907
DAWSON,TX,76639, ,DAWSON ISD,175904
AUSTIN,TX,78704,6398,AUSTIN ISD,227901
DAWSON,TX,76639, ,DAWSON ISD,175904
CORPUS CHRISTI,TX,78413, ,CORPUS CHRISTI ISD,178904
DAWSON,TX,76639, ,DAWSON ISD,175904
WELCH,TX,79377,180,DAWSON ISD,58902
ABILENE,TX,79602, ,ABILENE ISD,221901
DAYTON,TX,77535,248,DAYTON ISD,146902
HOUSTON,TX,77076,2541,HOUSTON ISD,101912
EDINBURG,TX,78504,990,EDINBURG CISD,108904
DE LEON,TX,76444, ,DE LEON ISD,47902
DE LEON,TX,76444, ,DE LEON ISD,47902
MCALLEN,TX,78504,4541,MCALLEN ISD,108906
HOUSTON,TX,77032,2916,ALDINE ISD,101902
BAYTOWN,TX,77520,30,GOOSE CREEK CISD,101911
SAN ANTONIO,TX,78207,4736,SAN ANTONIO ISD,15907
MIDLAND,TX,79701,3636,MIDLAND ISD,165901
HOUSTON,TX,77012,1199,HOUSTON ISD,101912
FORT WORTH,TX,76104,4596,FORT WORTH ISD,220905
CHANNELVIEW,TX,77530, ,CHANNELVIEW ISD,101905
PASADENA,TX,77506, ,PASADENA ISD,101917
HOUSTON,TX,77012,3814,HOUSTON ISD,101912
MCKINNEY,TX,75070,3211,MCKINNEY ISD,43907
WACO,TX,76707, ,WACO ISD,161914
FULSHEAR,TX,77441, ,LAMAR CISD,79901
HOUSTON,TX,77040,5438,CYPRESS-FAIRBANKS ISD,101907
HOUSTON,TX,77075,2006,HOUSTON ISD,101912
CANUTILLO,TX,79835,100,CANUTILLO ISD,71907
ROUND ROCK,TX,78664, ,PFLUGERVILLE ISD,227904
HOUSTON,TX,77030,3713,HOUSTON ISD,101912
DECATUR,TX,76234,3609,DECATUR ISD,249905
AUSTIN,TX,78724, ,MANOR ISD,227907
MANOR,TX,78653, ,MANOR ISD,227907
MAGNOLIA,TX,77355,7929,TOMBALL ISD,101921
PASADENA,TX,77503,1518,DEER PARK ISD,101908
PASADENA,TX,77503,1830,DEER PARK ISD,101908
ROUND ROCK,TX,78681,5746,ROUND ROCK ISD,246909
CEDAR PARK,TX,78613, ,LEANDER ISD,246913
CROWLEY,TX,76036,3699,CROWLEY ISD,220912
DEER PARK,TX,77536,5199,DEER PARK ISD,101908
DEER PARK,TX,77536, ,DEER PARK ISD,101908
DEER PARK,TX,77536,3299,DEER PARK ISD,101908
AUSTIN,TX,78729,4604,ROUND ROCK ISD,246909
KINGWOOD,TX,77345,1409,HUMBLE ISD,101913
LEWISVILLE,TX,75077,2708,LEWISVILLE ISD,61902
DEKALB,TX,75559,1614,DEKALB ISD,19901
DEKALB,TX,75559,1614,DEKALB ISD,19901
DEKALB,TX,75559,1614,DEKALB ISD,19901
BROWNSVILLE,TX,78521,4932,BROWNSVILLE ISD,31901
EL PASO,TX,79915, ,YSLETA ISD,71905
DEL RIO,TX,78842, ,SAN FELIPE-DEL RIO CISD,233901
DEL RIO,TX,78842, ,SAN FELIPE-DEL RIO CISD,233901
DEL RIO,TX,78840, ,SAN FELIPE-DEL RIO CISD,233901
DEL RIO,TX,78842, ,SAN FELIPE-DEL RIO CISD,233901
EL PASO,TX,79907, ,YSLETA ISD,71905
DEL VALLE,TX,78617,9404,DEL VALLE ISD,227910
EL PASO,TX,79907, ,YSLETA ISD,71905
DEL VALLE,TX,78617, ,DEL VALLE ISD,227910
EL PASO,TX,79907, ,YSLETA ISD,71905
DEL VALLE,TX,78617, ,DEL VALLE ISD,227910
DEL VALLE,TX,78617, ,DEL VALLE ISD,227910
LEWISVILLE,TX,75057,2149,LEWISVILLE ISD,61902
ROMA,TX,78584,187,ROMA ISD,214903
AUSTIN,TX,78723, ,AUSTIN ISD,227901
DELL CITY,TX,79837,37,DELL CITY ISD,115903
ARLINGTON,TX,76002, ,MANSFIELD ISD,220908
SAN ANTONIO,TX,78213,3437,NORTH EAST ISD,15910
GRAND PRAIRIE,TX,75051, ,GRAND PRAIRIE ISD,57910
HOUSTON,TX,77014,2422,SPRING ISD,101919
EL PASO,TX,79905,5408,EL PASO ISD,71902
EAGLE PASS,TX,78852,5604,EAGLE PASS ISD,159901
DENISON,TX,75020,6899,DENISON ISD,91903
LEWISVILLE,TX,75029, ,TEXAS COLLEGE PREPARATORY ACADEMIES,221801
SANGER,TX,76266,9635,SANGER ISD,61908
