City_1,State,Zip5,Zip4,District_N,District_1
SAN ANTONIO,TX,78218,3142,NORTH EAST ISD,15910
SAN ANTONIO,TX,78249, ,NORTHSIDE ISD,15915
SAN ANTONIO,TX,78245,1102,NORTHSIDE ISD,15915
AUSTIN,TX,78702,2408,AUSTIN ISD,227901
ROSENBERG,TX,77471,3363,LAMAR CISD,79901
KATY,TX,77449, ,CYPRESS-FAIRBANKS ISD,101907
HOUSTON,TX,77064,3108,CYPRESS-FAIRBANKS ISD,101907
SAN ANTONIO,TX,78230,1012,NORTHSIDE ISD,15915
SAN ANTONIO,TX,78228, ,NORTHSIDE ISD,15915
SAN ANTONIO,TX,78224, ,SOUTH SAN ANTONIO ISD,15908
MONT BELVIEU,TX,77580, ,BARBERS HILL ISD,36902
FLORESVILLE,TX,78114,1852,STOCKDALE ISD,247906
RIO GRANDE CITY,TX,78582,4799,RIO GRANDE CITY CISD,214901
ALTO,TX,75925,9599,ALTO ISD,37901
ALTO,TX,75925,9599,ALTO ISD,37901
ALTO,TX,75925,9599,ALTO ISD,37901
BRYAN,TX,77802,5804,BRYAN ISD,21902
ALLEN,TX,75002,4447,ALLEN ISD,43901
MISSION,TX,78572,4399,MISSION CISD,108908
BRENHAM,TX,77834,1147,BRENHAM ISD,239901
MISSION,TX,78572, ,MISSION CISD,108908
ALVARADO,TX,76009,387,ALVARADO ISD,126901
ALVARADO,TX,76009,387,ALVARADO ISD,126901
ALVARADO,TX,76009,387,ALVARADO ISD,126901
ALVARADO,TX,76009,387,ALVARADO ISD,126901
ALVARADO,TX,76009,387,ALVARADO ISD,126901
MCALLEN,TX,78501,7554,MCALLEN ISD,108906
ALVIN,TX,77511,3581,ALVIN ISD,20901
ALVIN,TX,77511,3581,ALVIN ISD,20901
ALVIN,TX,77511,3581,ALVIN ISD,20901
TYLER,TX,75701, ,TYLER ISD,212905
ALLEN,TX,75002,4416,ALLEN ISD,43901
ALVORD,TX,76225,70,ALVORD ISD,249901
ALVORD,TX,76225,70,ALVORD ISD,249901
ALVORD,TX,76225,70,ALVORD ISD,249901
SAN BENITO,TX,78586,4608,SAN BENITO CISD,31912
SAN JUAN,TX,78589,1270,PHARR-SAN JUAN-ALAMO ISD,108909
ROCKWALL,TX,75032, ,ROCKWALL ISD,199901
AMARILLO,TX,79106,7038,AMARILLO ISD,188901
LEWISVILLE,TX,75029, ,TEXAS COLLEGE PREPARATORY ACADEMIES,221801
AMARILLO,TX,79109,5199,AMARILLO ISD,188901
GALVESTON,TX,77551,1866,AMBASSADORS PREPARATORY ACADEMY,84804
DESOTO,TX,75115, ,DESOTO ISD,57906
BEAUMONT,TX,77707,1598,BEAUMONT ISD,123910
EL PASO,TX,79936,4400,SOCORRO ISD,71909
AMHERST,TX,79312,248,AMHERST ISD,140901
LOS FRESNOS,TX,78566, ,LOS FRESNOS CISD,31906
HOUSTON,TX,77081, ,AMIGOS POR VIDA-FRIENDS FOR LIFE PUB CHTR SCH,101819
ARLINGTON,TX,76014,2499,ARLINGTON ISD,220901
LAREDO,TX,78041, ,UNITED ISD,240903
HEATH,TX,75032, ,ROCKWALL ISD,199901
ANAHUAC,TX,77514,399,ANAHUAC ISD,36901
ANAHUAC,TX,77514,1560,ANAHUAC ISD,36901
ANAHUAC,TX,77514,849,ANAHUAC ISD,36901
HOUSTON,TX,77088,7845,ALDINE ISD,101902
PLANO,TX,75025,6450,FRISCO ISD,43905
LUFKIN,TX,75901,7229,LUFKIN ISD,3903
SPRING,TX,77373,7356,SPRING ISD,101919
HOUSTON,TX,77035,4399,HOUSTON ISD,101912
CONROE,TX,77301,2100,CONROE ISD,170902
ARLINGTON,TX,76010, ,ARLINGTON ISD,220901
AUSTIN,TX,78759,8199,AUSTIN ISD,227901
AUSTIN,TX,78750,1699,ROUND ROCK ISD,246909
ANDERSON,TX,77830, ,ANDERSON-SHIRO CISD,93901
ANDERSON,TX,77830, ,ANDERSON-SHIRO CISD,93901
CYPRESS,TX,77433, ,CYPRESS-FAIRBANKS ISD,101907
EL PASO,TX,79924,3498,EL PASO ISD,71902
GRAND PRAIRIE,TX,75052,5718,GRAND PRAIRIE ISD,57910
ANDREWS,TX,79714,5098,ANDREWS ISD,2901
PLANO,TX,75025,4732,PLANO ISD,43910
AUSTIN,TX,78723,2199,AUSTIN ISD,227901
PORTLAND,TX,78374,2023,GREGORY-PORTLAND ISD,205902
ANDREWS,TX,79714,5098,ANDREWS ISD,2901
ANDREWS,TX,79714,5098,ANDREWS ISD,2901
HOUSTON,TX,77073, ,SPRING ISD,101919
SAN BENITO,TX,78586, ,SAN BENITO CISD,31912
ANGLETON,TX,77515,2899,ANGLETON ISD,20902
ANGLETON,TX,77515, ,ANGLETON ISD,20902
AUSTIN,TX,78702,5028,AUSTIN ISD,227901
ROYSE CITY,TX,75189,479,ROYSE CITY ISD,199902
FORT WORTH,TX,76028, ,BURLESON ISD,126902
SAN ELIZARIO,TX,79849,920,SAN ELIZARIO ISD,71904
MISSION,TX,78572, ,LA JOYA ISD,108912
DALLAS,TX,75227, ,DALLAS ISD,57905
HAMILTON,TX,76531,392,HAMILTON ISD,97902
ANNA,TX,75409,128,ANNA ISD,43902
ANNA,TX,75409,128,ANNA ISD,43902
ANNA,TX,75409, ,ANNA ISD,43902
GRAND PRAIRIE,TX,75054, ,MANSFIELD ISD,220908
ANNA,TX,75409,128,ANNA ISD,43902
DALLAS,TX,75204,9999,DALLAS ISD,57905
SAN ANTONIO,TX,78250, ,INSPIRE ACADEMIES,15808
EDINBURG,TX,78540,990,EDINBURG CISD,108904
SUGAR LAND,TX,77479, ,FORT BEND ISD,79907
MANSFIELD,TX,76063,1794,MANSFIELD ISD,220908
GEORGETOWN,TX,78626, ,GEORGETOWN ISD,246904
MOUNT PLEASANT,TX,75456,1117,MOUNT PLEASANT ISD,225902
DALLAS,TX,75227,8399,DALLAS ISD,57905
GEORGETWON,TX,78628,7667,UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL,227806
ANSON,TX,79501,3214,ANSON ISD,127901
ANSON,TX,79501,5207,ANSON ISD,127901
DALLAS,TX,75211,4761,DALLAS ISD,57905
BRYAN,TX,77803, ,BRYAN ISD,21902
ANSON,TX,79501,4120,ANSON ISD,127901
UVALDE,TX,78802,1909,UVALDE CISD,232903
ANTHONY,TX,79821,1279,ANTHONY ISD,71906
ANTHONY,TX,79821,1279,ANTHONY ISD,71906
ANTHONY,TX,79821, ,ANTHONY ISD,71906
CYRESS,TX,77433, ,CYPRESS-FAIRBANKS ISD,101907
ANTON,TX,79313,309,ANTON ISD,110901
LAREDO,TX,78046, ,UNITED ISD,240903
EL PASO,TX,79901,3397,EL PASO ISD,71902
RICHARDSON,TX,75081,3824,RICHARDSON ISD,57916
APPLE SPRINGS,TX,75926,125,APPLE SPRINGS ISD,228905
APPLE SPRINGS,TX,75926,125,APPLE SPRINGS ISD,228905
FORT WORTH,TX,76116,3010,FORT WORTH ISD,220905
LAREDO,TX,78045,2499,UNITED ISD,240903
AQUILLA,TX,76622,9701,AQUILLA ISD,109912
HOUSTON,TX,77006, ,HOUSTON ISD,101912
HOUSTON,TX,77095, ,CYPRESS-FAIRBANKS ISD,101907
ARANSAS PASS,TX,78336,4699,ARANSAS PASS ISD,205901
ARANSAS PASS,TX,78336,2442,ARANSAS PASS ISD,205901
RICHARDSON,TX,75080,4107,RICHARDSON ISD,57916
