OBJECTID,SDLEA10,NAME,NAME2,DISTRICT_N,DISTRICT,DISTRICT_C,NCES_DISTR,COLOR,Shape__Area,Shape__Length
130,16200,West Oso ISD,West Oso,178915,178-915,178915,4845120,3,0.0104893983414058,0.556340481916528
131,39390,Flour Bluff ISD,Flour Bluff,178914,178-914,178914,4819380,2,0.0415230561927729,1.15749161152128
132,31410,Frost ISD,Frost,175905,175-905,175905,4820040,7,0.0215022105282969,0.992417147062723
133,21180,Red Oak ISD,Red Oak,70911,070-911,070911,4836660,7,0.00918580598272456,0.614016520525394
134,17580,Hart ISD,Hart,35902,035-902,035902,4822650,1,0.0394454882207356,0.964312788751553
135,32740,Cumby Collegiate ISD,Cumby Collegiate,112905,112-905,112905,4816020,6,0.0171867442068105,1.01183570762982
136,44280,Sulphur Springs ISD,Sulphur Springs,112901,112-901,112901,4841820,1,0.0645233866118815,2.65983293875772
137,22140,Ingleside ISD,Ingleside,205903,205-903,205903,4824180,1,0.00556572073946882,0.436258702050499
138,10910,Avalon ISD,Avalon,70901,070-901,070901,4809030,5,0.0115176194326523,0.640006300362624
139,33030,Maypearl ISD,Maypearl,70915,070-915,070915,4829580,2,0.0196712299609771,0.695123792086994
140,32910,Waxahachie ISD,Waxahachie,70912,070-912,070912,4844730,1,0.047451555041107,1.29840696108339
141,40230,Ennis ISD,Ennis,70903,070-903,070903,4818540,3,0.0645559241031606,1.89021675905452
142,15540,Palmer ISD,Palmer,70910,070-910,070910,4834110,2,0.0137024880571062,0.732060535052018
143,36960,Valentine ISD,Valentine,122902,122-902,122902,4843740,3,0.219119719319679,2.57551240464281
144,30720,River Road ISD,River Road,188902,188-902,188902,4837260,7,0.0405078361031883,1.04620736632833
145,25530,Highland Park ISD (Potter),Highland Park (Potter),188903,188-903,188903,4835560,1,0.0481364348768238,1.12724541681446
146,22850,Medina ISD,Medina,10901,010-901,010901,4830030,6,0.0740849302005699,1.75120445736778
147,24660,El Paso ISD,El Paso,71902,071-902,071902,4818300,7,0.0528233385011845,1.45553865024806
148,40800,Socorro ISD,Socorro,71909,071-909,071909,4840710,6,0.0325112676950994,1.0148278207418
149,40200,Balmorhea ISD,Balmorhea,195902,195-902,195902,4809330,1,0.12994833461039,1.73129779661717
150,20130,Harts Bluff ISD,Harts Bluff,225907,225-907,225907,4822710,2,0.00740266366324249,0.599244855780389
151,16650,Rivercrest ISD,Rivercrest,194903,194-903,194903,4842120,6,0.0592127059421728,1.72783480362383
152,15990,Newcastle ISD,Newcastle,252902,252-902,252902,4832700,4,0.0549892410738266,1.41390378638221
153,26250,La Gloria ISD,La Gloria,125906,125-906,125906,4826070,3,0.0108343151832742,0.473709089023898
154,46770,Hudson ISD,Hudson,3902,003-902,003902,4823790,4,0.0188254617728489,0.998815542406989
155,40170,Fayetteville ISD,Fayetteville,75906,075-906,075906,4819140,7,0.0207711927082528,0.871670570848147
156,35820,Schulenburg ISD,Schulenburg,75903,075-903,075903,4839540,6,0.034423445711127,0.904085082166785
