DISTRICT,DEXPAVGP,DEXPHCNT,DISTNAME,DMSTAVGP,DMSTHCNT,DPFEIERP,DPSAINHP,DPSAMIFC,DPSAMIFP,DPSATOFC,DPSBTOFC,DPSBTOPC,DPSCTOFC,DPSCTOFP,DPSCTOSA,DPSECOFC,DPSETOFC,DPSETOFP,DPSHEXPA,DPSHTENA,DPSLEXPA,DPSLTENA,DPSOTOFC,DPSPCOFC,DPSPTOFC,DPSPTOFP,DPSRTOFC,DPSRTOPC,DPSSTOFC,DPSSTOFP,DPSSTOSA,DPST00FC,DPST00FP,DPST00SA,DPST01FC,DPST01FP,DPST01SA,DPST06FC,DPST06FP,DPST06SA,DPST11FC,DPST11FP,DPST11SA,DPST21FC,DPST21FP,DPST21SA,DPST30FC,DPST30FP,DPST30SA,DPSTASFC,DPSTASFP,DPSTBAFC,DPSTBAFP,DPSTBIFC,DPSTBIFP,DPSTBLFC,DPSTBLFP,DPSTCOFC,DPSTCOFP,DPSTEXPA,DPSTFEFC,DPSTFEFP,DPSTGIFC,DPSTGIFP,DPSTHIFC,DPSTHIFP,DPSTINFC,DPSTINFP,DPSTKIDR,DPSTMAFC,DPSTMAFP,DPSTMSFC,DPSTMSFP,DPSTNOFC,DPSTNOFP,DPSTOPFC,DPSTOPFP,DPSTPHFC,DPSTPHFP,DPSTPIFC,DPSTPIFP,DPSTREFC,DPSTREFP,DPSTSPFC,DPSTSPFP,DPSTTENA,DPSTTOFC,DPSTTOFP,DPSTTOSA,DPSTTWFC,DPSTTWFP,DPSTURNR,DPSTVOFC,DPSTVOFP,DPSTWHFC,DPSTWHFP,DPSUTOFC,DPSUTOFP,DPSUTOSA,DPSXCOFC,DPSXTOFC,DPSXTOFP,DRECAVGP,DRECHCNT
"'031913",.,.,"SANTA MARIA ISD",.,.,60.2,60.5,157.1,97.8,160.6,1,0,2,1.2,106000,0,19,11.8,2.3,1.7,0,0,0,0,86.8,54,5,0,4,2.5,75166,31.6,53,45953,6,10.1,46749,5,8.4,50192,13,21.8,55753,2,3.4,53525,2,3.4,60530,1,1.7,46.8,78.5,2,3.4,0,0,0,0,6.1,35.8,60.1,0,0,56.6,95,0,0,9.1,23.8,39.9,10.8,18.1,2,3.4,0,0,0,0,0,0,47.6,79.9,6,10.1,2.1,59.6,37.1,49268,0,0,16.9,4,6.7,2,3.4,21.2,13.2,60793,0,54.8,34.1,.,.
"'031914",.,.,"SANTA ROSA ISD",.,.,54.4,59.2,174.6,96.7,180.6,1,0,4.4,2.4,84807,0,21.6,12,3.3,3,1,1,0,0,102.8,56.9,3,0,4,2.2,75066,11.6,15.3,47540,19.6,25.8,48702,13.8,18.1,49973,19,25,53403,8.1,10.6,62086,4,5.2,65246,0,0,68.1,89.5,7.4,9.8,0,0,0,0,11.2,42.7,56.1,0.1,0.2,71.1,93.4,0,0,11.1,33.5,43.9,6.9,9.1,0,0,2.9,3.8,1.1,1.5,0,0,51.1,67.1,9.6,12.6,8.1,76.1,42.2,52221,0,0,34.7,5,6.6,5,6.6,18.3,10.1,56269,3,56.1,31.1,.,.
"'031916",.,.,"SOUTH TEXAS ISD",.,.,60.1,54.7,595.8,90,661.7,4,3,8,1.2,128899,0,29.1,4.4,5,3.4,4.2,3,0,0,389.6,58.9,18,1,18.4,2.8,94627,6.7,2.2,53000,41,13.2,56081,61.1,19.6,59637,106.9,34.3,66353,77.5,24.9,71223,18.4,5.9,72569,11,3.5,194.1,62.3,0,0,2,0.6,24.3,7.8,15.8,186,59.7,46,14.8,240.7,77.2,3,1,13.6,125.6,40.3,109,35,6,1.9,49.9,16,2.6,0.8,0,0,117.1,37.6,13.3,4.3,7.7,311.7,47.1,64976,1,0.3,13.5,61,19.6,53.9,17.3,51.6,7.8,79391,0,243,36.7,-1,-1
"'032902",.,.,"PITTSBURG ISD",.,.,59.8,60.4,146.4,33.6,435.6,0,1,4.7,1.1,99240,0,58.1,13.3,4.2,4.2,3.8,3.3,0,0,254,58.3,6,0,16.3,3.7,75449,12.9,6.2,38540,50.1,24.3,41899,49.9,24.2,45465,53.1,25.7,53610,29.6,14.4,58381,10.8,5.2,57904,0,0,168.5,81.7,8.5,4.1,13.5,6.5,19.2,9.3,11.9,169.3,82.1,0.2,0.1,23.7,11.5,0.7,0.3,11.4,37,17.9,36.8,17.8,1,0.5,6.9,3.3,0,0,0,0,136.3,66.1,20.7,10,8.3,206.3,47.4,48767,2,1,16.3,14.5,7,166.4,80.7,26.7,6.1,63892,0,123.5,28.4,.,.
"'033901",.,.,"GROOM ISD",.,.,58.6,58.2,3.9,11.6,33.7,0,0,0.7,2,88220,0,3.8,11.2,2,1,0,0,0,0,22.2,66,1,0,1,3,66700,0,0,.,5.3,28.3,40171,6.4,34.4,47754,3.6,19.4,54167,3,16.1,59538,0.3,1.8,88220,0,0,13.6,73.4,0,0,0,0,0.5,2.6,11.1,16.2,87.5,0,0,1,5.3,0,0,7.7,2.3,12.5,4.9,26.6,0,0,0,0,0,0,0,0,15.2,81.7,0.9,4.7,6,18.6,55.1,49463,0.7,3.5,23.5,2,10.9,16.9,91.2,2,5.9,32535,0,7.7,22.8,.,.
"'033902",.,.,"PANHANDLE ISD",.,.,60.3,66.2,13.4,12.1,110.4,0,0,2.5,2.3,91558,0,16.5,15,5,3.3,0,0,0,0,71.4,64.6,2,1,3,2.7,82656,0,0,.,18.8,31.3,39372,4.9,8.2,42725,18,30,54250,18.3,30.5,59403,0,0,.,0,0,46.5,77.4,0,0,0,0,2.5,4.2,14.2,47.7,79.4,0,0,3,5,0,0,11,12.4,20.6,11.6,19.3,2,3.3,0.8,1.4,0,0,0,0,46.4,77.2,3.4,5.7,5.9,60.1,54.4,50216,0,0,16.9,6.9,11.5,57.1,95,5.8,5.2,57809,0,22.5,20.4,.,.
"'033904",.,.,"WHITE DEER ISD",.,.,55.8,54.4,5,7.8,64.1,0,0,1,1.6,107190,0,8.7,13.6,7,7,0,0,0,0,38.6,60.2,1,0,2,3.1,75088,0,0,.,10.2,31.2,41581,5.9,18.1,50424,6.8,20.9,53714,6.8,20.8,58340,2.9,9,62095,0,0,25.3,77.5,0,0,0,0,1,3,13.1,26.7,81.8,0,0,0,0,0,0,10.4,5.9,18.2,6.4,19.5,1,3,0,0,0,0,0,0,27.5,84.3,1.1,3.5,6.7,32.6,50.9,51050,0,0,18.7,3,9.3,32.6,100,3,4.6,61039,0,16.8,26.2,.,.
"'034901",.,.,"ATLANTA ISD",.,.,58.1,57.8,81.5,24,340.2,1,0,4.6,1.4,120873,0,57.2,16.8,4.4,4.4,2.8,1.3,0,3.2,195.2,57.4,5,1,9.2,2.7,75844,10.9,7.3,36187,36.5,24.6,38401,40.2,27.1,46004,28,18.9,55136,26.2,17.7,59244,6.6,4.5,64220,0,0,129.1,87,1.2,0.8,13.6,9.2,6.2,4.2,12,112.2,75.6,0,0,4,2.7,0,0,12.8,36.2,24.4,17.4,11.7,2,1.3,12.9,8.7,0,0,0,0,97.2,65.5,14,9.4,7.6,148.4,43.6,48293,0,0,14.9,16.9,11.4,130.8,88.1,33,9.7,58091,2,87.8,25.8,.,.
"'034902",.,.,"AVINGER ISD",.,.,61.6,64.4,5.4,18.9,28.8,0,0,1,3.5,87100,0,1,3.5,12,6,0,0,0,0,20.4,70.7,0,0,1.6,5.6,55504,1,5.6,42400,5,28.2,39103,2,11.3,54490,5,28.2,53273,1.4,7.6,63007,3.4,19.2,58720,0,0,12.5,70.1,0,0,4,22.5,1,5.6,15.3,13.4,75.2,0,0,0,0,0,0,7.7,4.4,24.8,4.3,24.2,1,5.6,0,0,0,0,0,0,14.5,81.8,0.5,2.7,6.1,17.8,61.7,50590,0,0,22.1,1.7,9.8,13.8,77.5,0,0,.,0,7.4,25.8,.,.
"'034903",.,.,"HUGHES SPRINGS ISD",.,.,63.9,66.4,27.8,13.3,209,0,0,3,1.4,86476,0,30.7,14.7,9.3,9,4.8,2.5,0,0,130.1,62.3,3,1,6.6,3.1,74351,5.9,5.3,38245,18,16.3,42519,21,19.1,47059,37.9,34.4,55546,21.4,19.5,62376,6,5.4,65456,0,0,83.7,76,0.7,0.7,5,4.5,3,2.7,14,84.1,76.3,4,3.6,5,4.5,0,0,10.4,26.1,23.7,24.4,22.2,2,1.8,0,0,0,0,0,0,82.7,75,9.6,8.8,9.4,110.2,52.7,52749,0,0,13.3,10.1,9.2,100.2,90.9,10.4,5,61415,0,48.2,23,.,.
"'034905",.,.,"LINDEN-KILDARE CISD",.,.,61.8,76.8,23.2,18,129,0,0,7,5.4,75888,0,31,24,8.3,4.3,6,1,0.3,0,85.8,66.5,1,1,5.7,4.4,62453,5,7.6,36027,21.8,33,39060,6,9.1,46027,20.9,31.6,54703,7.3,11.1,48685,5,7.6,47759,0,0,47,71.2,1.5,2.2,6,9.1,8.8,13.3,11.8,52,78.8,1.8,2.7,1,1.5,0,0,9.7,14,21.2,15.2,23.1,3.8,5.8,3.3,5,0,0,0,0,38.2,57.8,5.3,8.1,6.9,66,51.2,46141,0,0,30.8,7.2,11,59,89.4,7.1,5.5,50956,0,12.2,9.5,.,.
"'034906",.,.,"MCLEOD ISD",.,.,64.4,70,1.7,2.8,61,0,0,2.1,3.5,87520,0,1,1.6,3,3,0,0,0,0,40.7,66.8,0,1,2,3.3,75486,2,5.7,35160,6.7,19,40902,4,11.3,45980,11,31.1,53187,10.6,30.1,62881,1,2.8,60992,0.7,2,33.6,95.1,0.2,0.5,0,0,1,2.8,13.9,29.5,83.4,0,0,0,0,0,0,11.3,5.9,16.6,1.7,4.9,0,0,1.4,4,0,0,0,0,28,79.2,1.9,5.3,10.2,35.3,58,52152,0,0,11.1,2.9,8.2,34.6,98,1.3,2.1,51341,0,19.3,31.6,.,.
"'034907",.,.,"QUEEN CITY ISD",.,.,58.2,66.6,27.5,15.5,177.8,0,0,3.1,1.8,102082,0,30.2,17,4,2.8,3,3,0,0,105.3,59.2,3,0,6,3.4,78402,3,3.4,35160,25,28.5,39620,12.7,14.5,47748,25.1,28.6,55533,18.4,20.9,61035,3.5,4,60295,0,0,67.2,76.7,0,0,5,5.7,2,2.3,13.6,64.6,73.6,0,0,0,0,1,1.1,10.6,23.1,26.4,20.5,23.3,0,0,0,0,0,0,0,0,70.7,80.6,5.8,6.6,6.4,87.7,49.3,50513,1,1.1,22,9.3,10.6,80.7,92,8.5,4.8,61076,0,42.3,23.8,.,.
"'034909",.,.,"BLOOMBURG ISD",.,.,59.7,67.5,1,2,50.2,0,0,2.3,4.6,94555,0,9.5,18.9,10,4.5,0,0,0,0,33.3,66.3,2,0,3.5,6.9,59780,2,8.2,53600,4,16.3,40926,8,32.6,45725,6.5,26.6,57767,4,16.3,58478,0,0,.,0,0,21,85.6,0,0,0,0,3,12.2,11.6,19.5,79.6,0.1,0.5,0,0,0,0,9.8,5,20.4,3.5,14.4,0,0,0,0,0,0,0,0,17.7,72.2,0.5,2.2,6.8,24.5,48.8,50872,0,0,12.5,3.1,12.8,24.5,100,3,6,61311,0,7.4,14.8,.,.
"'035901",.,.,"DIMMITT ISD",.,.,59,62.5,145.6,58.6,248.7,1,0,5,2,103660,0,51.9,20.9,5,4,4,4,0.3,0,128.4,51.6,1,3,8.9,3.6,83788,10,10.2,36151,41.2,41.7,40032,12.8,13,47890,23.3,23.6,55744,8.9,9,62153,2.6,2.6,70385,0,0,82.7,83.8,7.3,7.4,1,1,5,5.1,9.1,79.1,80.1,0,0,33.7,34.1,0,0,11.7,19.6,19.9,15.5,15.7,0.5,0.5,3.6,3.7,0,0,0,0,67.9,68.8,7.6,7.7,6,98.7,39.7,47132,1,1,16.4,7.3,7.4,63,63.8,15.8,6.4,57870,0,68.5,27.5,.,.
"'035902",.,.,"HART ISD",.,.,55.7,59.5,29.7,73.4,40.5,0,0,1,2.5,92568,0,6.8,16.9,12,12,0,0,0,0,21.7,53.5,0,1,0.9,2.2,83636,6.9,37.6,36872,5.5,30,40564,1,5.3,48038,2.4,13.4,52670,1.6,8.5,63475,1,5.3,73354,0,0,11.2,61.4,0,0,0,0,1.3,6.9,8.3,12.4,67.6,0,0,11.4,62.1,0,0,11.4,5.9,32.4,4.1,22.4,3,16.2,0,0,0,0,0,0,13,70.9,1.2,6.7,5.7,18.3,45.2,44880,1,5.3,41.6,2.8,15.5,6,32.7,1.5,3.7,54143,0,12,29.6,.,.
"'035903",.,.,"NAZARETH ISD",.,.,57.5,63.1,3,8,37,0,0,1,2.7,98500,0,3.1,8.4,3,3,0,0,0,0,25.4,68.7,0,1,1.5,4.1,67061,0.3,1.4,25205,4.9,22,43874,3.7,16.9,56230,7.8,35.4,53496,3.9,17.7,61776,1.5,6.6,63755,0,0,17.6,79.6,0,0,0,0,0,0,13.3,16.9,76.4,0,0,1,4.4,0,0,11.3,5.2,23.6,4.2,19.2,0.3,1.2,0,0,0,0,0,0,18.2,82.5,1.2,5.6,9.5,22.1,59.7,53574,0,0,9.9,2.6,11.9,21.1,95.6,0.8,2.2,64521,0,8.4,22.8,.,.
"'036901",.,.,"ANAHUAC ISD",.,.,58.7,59.2,52.2,25.2,206.7,0,0,5.1,2.5,112430,0,19.8,9.6,10,10,4.3,4.3,0,0,134.3,65,4,0,5.8,2.8,80884,4.2,4.1,56842,34,32.8,56657,21,20.3,56731,33.2,32.1,59857,10.9,10.5,65816,0.3,0.3,52317,0,0,91.6,88.4,4.6,4.4,9,8.7,4.2,4.1,10,80.4,77.7,0.2,0.2,9,8.7,0,0,13.4,23.1,22.3,12,11.6,0,0,4,3.8,0,0,0,0,76.9,74.2,6.9,6.7,5.7,103.6,50.1,58656,5,4.8,12.1,6.9,6.6,80.6,77.8,19.8,9.6,65646,0,52.6,25.4,.,.
"'036902",.,.,"BARBERS HILL ISD",.,.,49.5,65.3,228.3,22.1,1032.6,4,2,14,1.4,166631,0,126.5,12.3,6.6,4.9,6.7,4.4,0,0,640.2,62,15,1,24,2.3,100710,2,0.4,63370,59,11.9,65998,110,22.2,68817,217.5,43.9,77938,96.3,19.4,82539,10.5,2.1,87573,1,0.2,343.5,69.4,6.9,1.4,10,2,19,3.8,14.4,423.9,85.6,11.6,2.3,37,7.5,0,0,13.7,71.4,14.4,148.7,30,0,0,0,0,3,0.6,0,0,392.2,79.2,49.1,9.9,6.4,495.3,48,75530,3,0.6,8.8,16.6,3.4,444.3,89.7,107,10.4,84909,0,265.8,25.7,3237,14
"'036903",.,.,"EAST CHAMBERS ISD",.,.,60.1,60.4,54.2,25.6,211.7,2,0,4,1.9,135855,0,13,6.1,1,1,2.5,1.5,0,0,148,69.9,4,0,8,3.8,74708,10.8,9.4,49604,33,28.7,53829,24,20.9,55724,29,25.3,59156,13,11.3,67411,5,4.4,75470,0,0,93.8,81.7,2.3,2,2,1.7,6.9,6,11,90.8,79.1,3.9,3.4,10,8.7,1.8,1.6,13.4,24,20.9,21,18.3,0,0,0,0,0,0,0,0,77.3,67.3,16.2,14.1,6.8,114.8,54.2,57652,0,0,19.2,8.3,7.2,101,88,21.2,10,64282,0,50.7,24,.,.
"'037901",.,.,"ALTO ISD",.,.,63.4,70.7,31.7,31.8,99.7,1,0,2,2,92171,0,20.3,20.4,3.3,3.3,0,0,0,0,65,65.2,2,1,2.8,2.8,71595,2.1,4,42127,12,22.6,43534,8.8,16.5,51196,21.3,40,60698,6,11.3,59587,3,5.6,63695,0,0,40.6,76.5,1,1.9,7.9,14.8,1,1.9,11.9,39.6,74.5,0.8,1.5,1,1.9,0,0,10.5,13.5,25.5,12.5,23.5,0,0,0.6,1.1,0,0,0,0,41.1,77.4,4.3,8.1,4.7,53.1,53.3,54564,2,3.8,35.9,4.3,8.1,42.3,79.6,7,7,50614,0,14.4,14.5,.,.
"'037904",.,.,"JACKSONVILLE ISD",.,.,64.4,66.8,300.7,36.9,814.9,2,0,6,0.7,130989,0,162,19.9,5.3,5,7.9,7,0,0,464.2,57,13,0,21.6,2.7,80349,21,6,43819,86.3,24.6,46818,66.5,18.9,49707,108.7,30.9,56193,55.9,15.9,62485,13,3.7,72043,2,0.6,264.6,75.3,69.2,19.7,22.8,6.5,30.7,8.7,12.5,268.7,76.5,2,0.6,58.5,16.6,4,1.1,13.5,82.6,23.5,83.7,23.8,1,0.3,7.3,2.1,2,0.6,0,0,189.2,53.9,34.1,9.7,7.6,351.3,43.1,53508,4,1.1,16.6,18.8,5.4,260,74,85.3,10.5,64299,0,188.7,23.2,.,.
"'037907",.,.,"RUSK ISD",.,.,62.4,69.4,39.4,12.1,325,0,0,7,2.2,96115,0,58.3,17.9,10.2,7,3.5,2.2,0,10.6,202,62.2,8,0,12,3.7,84439,8.9,5.4,32741,45,27.3,42847,27.6,16.8,50793,38,23.1,57265,36.6,22.2,62232,8.5,5.2,60846,0,0,149.9,91.1,2.1,1.3,9,5.4,27.3,16.6,12.7,130.6,79.4,0.3,0.2,2,1.2,1,0.6,12.2,34,20.6,14.7,8.9,0,0,3.2,2,0,0,0,0,102.6,62.3,18.5,11.2,7.4,164.6,50.6,52204,0,0,19.5,10.6,6.4,152.6,92.7,18.4,5.7,65720,1,64.7,19.9,.,.
"'037908",.,.,"NEW SUMMERFIELD ISD",.,.,59.1,54,35.6,34.6,102.7,1,0,1,1,100900,0,12.7,12.4,6,6,0,0,0,0,63.1,61.5,0,1,9,8.8,75250,9.2,19.5,49189,7.9,16.5,42170,6.9,14.5,49255,11.7,24.7,60049,8.8,18.6,59255,2.9,6.2,58293,0,0,37.8,79.6,0.1,0.2,2,4.1,3.2,6.7,12.8,33.6,70.8,0,0,4.4,9.2,0,0,11.3,13.9,29.2,9.7,20.4,0,0,0.9,1.8,0,0,0,0,36.7,77.3,2.6,5.5,5.9,47.5,46.2,53152,0,0,25.2,4.1,8.6,41.2,86.7,5.7,5.5,59656,2,26.8,26.1,.,.
"'037909",.,.,"WELLS ISD",.,.,62.5,66.2,1.5,3.3,45.4,0,0,1,2.2,86000,0,6,13.2,2,2,1,1,0,0,27.9,61.5,1,0,3,6.6,62667,1,4.5,41685,2.5,11.3,45001,5.5,24.9,50993,9,40.7,53936,4.1,18.6,56019,0,0,.,0,0,19.9,90.4,0,0,1.5,6.8,1,4.5,13.3,15,68.3,0,0,0,0,0,0,11.7,7,31.7,2.1,9.6,0,0,0,0,0,0,0,0,16.2,73.5,2.3,10.3,8.6,22,48.5,52027,0,0,32.7,2.6,11.6,20.5,93.2,1.9,4.1,57919,0,11.5,25.4,.,.
"'038901",.,.,"CHILDRESS ISD",.,.,55.4,64.3,43.9,24.7,177.5,0,1,4,2.3,93153,0,31,17.5,20.3,19.7,2,2,0,0,101.3,57.1,2,1,4.5,2.5,85374,8.5,9.6,43751,23,26,41153,20.6,23.3,46039,16.5,18.7,53153,15.9,17.9,59690,4,4.5,60541,0,0,84.7,95.6,0.2,0.2,0,0,2.5,2.8,12.1,66,74.6,0,0,6,6.8,1,1.1,11.4,22.5,25.4,3.9,4.4,0,0,0,0,0,0,0,0,71.2,80.4,8.8,10,9,88.5,49.9,48982,0,0,16.5,5.8,6.5,81.5,92.1,4.3,2.4,45237,0,45.2,25.5,.,.
"'039902",.,.,"HENRIETTA ISD",.,.,60.8,71,5,3,165.5,0,1,3.5,2.1,101236,0,36.1,21.8,1.3,1,3.5,3.5,2,12,96.6,58.3,6,0,5.1,3.1,69894,4.1,5.1,40385,23,28.4,41439,14,17.3,45322,20.8,25.7,56295,15,18.6,59912,4,4.9,59540,1,1.2,67.8,83.9,0,0,0,0,1,1.2,12.8,64,79.2,0.1,0.2,0,0,0,0,11.7,16.8,20.8,11.9,14.7,0,0,1.2,1.5,1.1,1.4,0,0,64.9,80.3,6.7,8.3,6.8,80.8,48.8,50195,1,1.2,19.2,6.8,8.4,78.8,97.5,7.1,4.3,65387,2,32.8,19.8,.,.
"'039903",.,.,"PETROLIA CISD",.,.,57.7,65.1,5.6,6.5,85.6,0,0,2,2.3,100814,0,15.6,18.3,3.5,3.5,3,1,0,0,52.1,60.9,1,1,4.8,5.6,73599,10.1,24,37333,5.3,12.5,38741,6.8,16,49037,6.1,14.3,58053,12.1,28.6,65926,1.9,4.5,66216,0,0,38.1,90.2,0,0,0,0,4.6,11,11.8,29.1,68.8,0,0,1.8,4.4,0,0,10.9,13.2,31.2,4.1,9.8,0,0,1.5,3.6,0,0,0,0,29.5,69.9,1.8,4.2,4.2,42.2,49.4,51851,0,0,43,4.8,11.3,40.4,95.6,3.1,3.6,60500,0,17.8,20.9,.,.
"'039904",.,.,"BELLEVUE ISD",.,.,64.7,69.5,1,2.9,33.9,0,0,1,2.9,79700,0,8.6,25.2,1,1,0,0,0,0,18.9,55.7,0,1,1.1,3.2,58771,0,0,.,5.8,36.2,45042,1.9,12,47860,4.7,29.4,55896,2.9,18,60914,0.7,4.5,57450,0,0,14.7,92.5,0,0,0,0,0.5,3,14.5,11.3,71.2,0,0,0,0,0,0,9.5,4.6,28.8,1.2,7.5,0,0,0,0,0,0,0,0,12.6,79.1,0.8,4.8,8.1,15.9,46.8,51972,0,0,11.6,2.1,13,15.9,100,0.9,2.7,30969,0,6.5,19.1,.,.
"'039905",.,.,"MIDWAY ISD",.,.,63.3,66.7,1.8,5.6,32,0,0,1,3.1,57600,0,2.8,8.6,3,3,0,0,0,0,21.2,66.4,0,1,1.1,3.4,82444,3.3,17.5,34579,3,15.8,41203,2,10.6,47877,6,31.6,54759,1.9,10.1,60675,2.7,14.5,58784,0,0,13.4,71,0,0,0.8,4.3,0.5,2.6,13.3,13.5,71.2,0,0,0,0,0,0,6.9,5.5,28.8,5.5,29,0,0,0.4,2.1,0,0,0,0,14.6,77.1,1.8,9.6,7.4,18.9,59.1,49536,0,0,16.9,1.6,8.5,18.1,95.7,-2,0.8,-2,0,8,25,.,.
"'040901",.,.,"MORTON ISD",.,.,59.5,62.3,27.6,38.1,72.4,0,0,1,1.4,113005,0,13.6,18.8,7,2.5,3,3,0,1,48.3,66.7,0,2,3,4.2,68648,2.9,7.5,48530,6.9,17.6,44691,3.9,10,51571,13.7,35.2,60299,7.7,19.6,63543,3.9,10.1,62717,0,0,31.6,80.8,0,0,0,0,3.8,9.6,15.5,25.7,65.8,0,0,3.9,10.1,1,2.5,9.2,13.4,34.2,7.5,19.2,0,0,0,0,0,0,0,0,29.2,74.7,1.4,3.6,5.6,39.1,54,56678,2.6,6.6,22.3,4.7,12,31.6,80.8,5.2,7.2,64348,0,10.5,14.5,.,.
"'040902",.,.,"WHITEFACE CISD",.,.,56.8,64.7,11,18,61,0,1,1,1.6,101200,0,7,11.5,8,5,0,0,0,0,38.5,63.2,1,0,3,4.9,81700,3,9.2,45806,6,18.5,39678,4,12.3,48135,10,30.8,56670,5,15.4,61980,4.4,13.7,68876,0,0,29.5,90.9,0,0,0,0,3.3,10.2,14.6,19.9,61.5,0,0,1,3.1,0,0,9.6,12.5,38.5,1.9,6,1,3.1,0.3,0.8,0,0,0,0,24.5,75.6,1,3.1,7.2,32.4,53.2,53963,1.5,4.6,28.1,3.4,10.4,29.9,92.3,2.1,3.4,61613,0,15.5,25.4,.,.
"'041901",.,.,"BRONTE ISD",.,.,57.9,62.1,7.9,15.6,50.8,0,0,1,2,98000,0,6,11.8,3.5,3,0,0,0,0,32.9,64.7,0,1,2,3.9,74158,1,3.5,33660,4,14.1,38650,7,24.6,44026,6.2,21.8,51447,6.4,22.3,55179,3.9,13.6,58452,0,0,22.9,80.4,0,0.1,0,0,1.2,4.1,16.3,20.6,72.3,1,3.5,4.4,15.3,0,0,8.4,7.9,27.7,5.6,19.6,0,0,0.8,3,0,0,0,0,18.7,65.7,3.6,12.7,10,28.5,56,48987,0.9,3.1,19.4,3.1,10.9,23.2,81.6,1.4,2.8,64470,0,11.9,23.5,.,.
"'041902",.,.,"ROBERT LEE ISD",.,.,52.1,56.8,6.8,14.8,45.6,0,0,1,2.2,146193,0,3.8,8.4,8.5,7,0,0,0,0,28.9,63.4,1,0,1.6,3.5,71511,1.9,7.9,39658,2.9,11.8,33869,3.7,15.3,44223,6.8,28.3,49734,4.7,19.5,60248,4.2,17.2,54499,0,0,18.5,76.7,0,0,0,0,1.8,7.4,16.6,17.2,71.1,0,0,1.9,7.9,0,0,10.8,7,28.9,5.6,23.3,0,0,0,0,0,0,0,0,19.3,79.8,0.4,1.6,7.6,24.2,52.9,49084,0,0,18.1,2.7,11.2,22.2,92.1,2.2,4.8,59459,0,12.9,28.2,.,.
"'042901",.,.,"COLEMAN ISD",.,.,56.7,54.1,20,12.7,157.1,0,1,2,1.3,96260,0,20,12.7,6.8,5.3,0,0,0,0,84.5,53.8,3,0,4,2.5,76908,1,1.4,34860,11.8,16.9,37419,12.9,18.5,43404,31.6,45.5,54585,8.8,12.7,56540,3.5,5,56201,0,0,59,84.9,0,0.1,1,1.4,2,2.9,13.6,50.4,72.5,0,0,3,4.3,0,0,11.5,19.1,27.5,9.5,13.7,0,0,2.3,3.3,1,1.4,0,0,57.9,83.2,2.5,3.6,8,69.6,44.3,49657,0,0,15.2,4.8,6.9,65.6,94.3,8.9,5.7,63561,5,52.7,33.5,.,.
"'042903",.,.,"SANTA ANNA ISD",.,.,60.1,59.8,11,22,50.1,0,0,1,2,105000,0,0,0,8,1,0,0,0,0,28.5,56.9,1,0,2,4,76750,0,0,.,7,28.6,40006,6,24.5,44960,8,32.7,59483,3,12.2,57333,0.5,2,58000,0,0,18.5,75.5,0,0,0,0,0,0,12.5,15,61.2,0,0,5,20.4,0,0,10.3,9.5,38.8,6,24.5,0,0,0,0,0,0,0,0,21.9,89.3,0.6,2.6,3.6,24.5,48.9,50069,0,0,27.5,2,8.1,19.5,79.6,1,2,61652,0,21.6,43.1,.,.
"'042905",.,.,"PANTHER CREEK CISD",.,.,60.1,62.7,3,9.1,32.7,0,0,0.1,0.2,120725,0,3.9,11.8,12,9,0,0,0,0,19.9,60.8,0,1,0.1,0.2,120725,1,5,35999,2.9,15,38315,3.9,20.2,48722,3.9,20,50166,7.7,39.8,66630,0,0,.,0,0,17.4,90.3,0,0,0,0,0,0,14.1,14.4,75,0,0,1,5.2,0,0,8.6,4.8,25,1.9,9.7,0,0,0.4,2.3,0,0,0,0,15.8,82,1,5,7.1,19.3,58.9,53949,0,0,15.2,2.1,10.7,18.3,94.8,0.5,1.5,65414,0,9,27.4,.,.
"'043801",.,.,"IMAGINE INTERNATIONAL ACADEMY OF NORTH TEXAS",.,.,70.9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'043802",.,.,"LONE STAR LANGUAGE ACADEMY",.,.,63,50.1,5,45.5,11,0,0,0,0,.,0,0,0,2,2,0,0,16,0,8,72.7,0,0,1,9.1,91000,0,0,.,6,100,52917,0,0,.,0,0,.,0,0,.,0,0,.,0,0,6,100,0,0,0,0,0,0,1.7,5,83.3,0,0,0,0,1,16.7,24.3,1,16.7,0,0,0,0,0,0,0,0,0,0,6,100,0,0,0.7,6,54.5,52917,0,0,0,0,0,5,83.3,1,9.1,52000,0,3,27.3,.,.
