DISTRICT,DEXPAVGP,DEXPHCNT,DISTNAME,DMSTAVGP,DMSTHCNT,DPFEIERP,DPSAINHP,DPSAMIFC,DPSAMIFP,DPSATOFC,DPSBTOFC,DPSBTOPC,DPSCTOFC,DPSCTOFP,DPSCTOSA,DPSECOFC,DPSETOFC,DPSETOFP,DPSHEXPA,DPSHTENA,DPSLEXPA,DPSLTENA,DPSOTOFC,DPSPCOFC,DPSPTOFC,DPSPTOFP,DPSRTOFC,DPSRTOPC,DPSSTOFC,DPSSTOFP,DPSSTOSA,DPST00FC,DPST00FP,DPST00SA,DPST01FC,DPST01FP,DPST01SA,DPST06FC,DPST06FP,DPST06SA,DPST11FC,DPST11FP,DPST11SA,DPST21FC,DPST21FP,DPST21SA,DPST30FC,DPST30FP,DPST30SA,DPSTASFC,DPSTASFP,DPSTBAFC,DPSTBAFP,DPSTBIFC,DPSTBIFP,DPSTBLFC,DPSTBLFP,DPSTCOFC,DPSTCOFP,DPSTEXPA,DPSTFEFC,DPSTFEFP,DPSTGIFC,DPSTGIFP,DPSTHIFC,DPSTHIFP,DPSTINFC,DPSTINFP,DPSTKIDR,DPSTMAFC,DPSTMAFP,DPSTMSFC,DPSTMSFP,DPSTNOFC,DPSTNOFP,DPSTOPFC,DPSTOPFP,DPSTPHFC,DPSTPHFP,DPSTPIFC,DPSTPIFP,DPSTREFC,DPSTREFP,DPSTSPFC,DPSTSPFP,DPSTTENA,DPSTTOFC,DPSTTOFP,DPSTTOSA,DPSTTWFC,DPSTTWFP,DPSTURNR,DPSTVOFC,DPSTVOFP,DPSTWHFC,DPSTWHFP,DPSUTOFC,DPSUTOFP,DPSUTOSA,DPSXCOFC,DPSXTOFC,DPSXTOFP,DRECAVGP,DRECHCNT
"'227824",.,.,"VALERE PUBLIC SCHOOLS",.,.,51.9,76,74.5,74.2,100.3,1,0,1,1,251873,0,10,9.9,9.3,4,0,0,0,0,77.5,77.2,3,0,6,6,64495,5,8.4,47923,30.5,51.3,57437,9,15.1,57400,7,11.8,60307,5,8.4,64891,3,5,64066,0,0,55.1,92.5,0.9,1.4,8,13.4,0,0,8.4,45.5,76.5,0,0,33.5,56.4,0,0,17.1,14,23.5,4,6.7,0.4,0.7,0,0,0,0,0,0,54,90.8,4.6,7.8,3.4,59.5,59.3,57932,0,0,7.3,0,0,18,30.2,10.9,10.9,55355,0,12.9,12.9,.,.
"'227825",.,.,"AUSTIN ACHIEVE PUBLIC SCHOOLS",.,.,52.6,65.8,214.8,61.7,348,1,0,1,0.3,180000,0,58.2,16.7,2.5,2,2.5,2.5,0,0,222.7,64,0,0,12.8,3.7,80389,41.4,27.5,56536,78,51.7,56734,25.4,16.9,59820,5,3.3,61258,1,0.7,58242,0,0,.,8,5.3,129.2,85.7,0,0,29.9,19.8,0,0,3.6,106,70.3,0,0,37.5,24.9,0,0,15.3,44.8,29.7,21.5,14.3,0.1,0.1,0,0,0,0,1,0.7,142.5,94.5,8.3,5.5,1.3,150.8,43.3,57360,1,0.7,25.9,0,0,73.4,48.7,58.1,16.7,64806,0,67.1,19.3,.,.
"'227826",.,.,"MONTESSORI FOR ALL",.,.,56.7,82.2,30.7,52.2,58.9,0,0,2,3.4,94424,0,20.7,35.2,1.5,1.5,1,1,0,0,34.2,58.1,0,0,2,3.5,97946,0.8,3,50198,8.8,35,47443,7.6,30.3,54029,7,27.7,53131,1,4,52657,0,0,.,0,0,18.2,72.3,1,4,2.7,10.7,1,4,8.4,22.2,88.1,0,0,4.5,17.9,0,0,18.6,3,11.9,6,23.8,0,0,0,0,1,4,0,0,20.5,81.1,2.8,10.9,3.9,25.2,42.9,51304,0,0,20.1,0,0,18,71.4,4.9,8.3,63464,0,4,6.7,.,.
"'227827",.,.,"THE EXCEL CENTER - FOR ADULTS",.,.,58.2,69.2,43.3,50.5,85.7,0,0,10.5,12.3,83353,0,0,0,3,2.4,0,0,0,0,83.8,97.8,15,1,2.8,3.3,64879,9.9,20.6,46882,21,43.5,47858,7.2,15,54388,7.5,15.5,51978,0.8,1.6,61592,1.8,3.8,42499,2,4.2,19,39.5,0,0,7.7,16.1,0,0,6.7,26.2,54.3,0,0,10.9,22.7,0,0,17.5,22,45.7,21.4,44.4,5.9,12.3,0,0,1.8,3.8,0,0,48.2,100,0,0,2.6,48.2,56.2,49296,2,4.2,21.1,0,0,25.5,52.9,22.2,26,50962,0,1.9,2.2,.,.
"'227829",.,.,"VALOR PUBLIC SCHOOLS",.,.,58.1,79.2,12,9.1,131.8,0,0,2.5,1.9,104570,0,14.3,10.8,3.5,3.5,2.5,2.5,3,0,103.8,78.8,0,0,7,5.3,66103,22.4,27.6,44943,32,39.4,43581,17.9,22.1,50860,8.8,10.9,46441,0,0,.,0,0,.,0,0,67.5,83.1,0,0,0,0,0.1,0.1,4.8,60.4,74.4,0,0,6.2,7.7,0,0,17,20.8,25.6,12,14.8,0,0,0,0,1.7,2.2,0,0,81.1,99.9,0,0,1,81.2,61.6,45876,2,2.5,26,0,0,73,89.9,13.1,9.9,65471,0,13.7,10.4,.,.
"'227901",.,.,"AUSTIN ISD",.,.,58.9,62.4,6156,58.3,10564.8,83,27,62,0.6,152198,0,1069.5,10.1,6.6,6.2,5.5,5,15,0,6730.2,63.7,215,2,327.5,3.1,91811,334.4,6.4,50931,1484.7,28.4,53753,1118.9,21.4,55764,1453.8,27.8,56873,668.9,12.8,61418,167.1,3.2,71664,150.7,2.9,3575,68.4,1273.6,24.4,309.9,5.9,18,0.3,10.4,3874.9,74.1,1,0,1798.1,34.4,10,0.2,13.8,1352.8,25.9,1561.3,29.9,56.5,1.1,446.7,8.5,35,0.7,5,0.1,2406,46,867.7,16.6,7.9,5227.8,49.5,56424,66.1,1.3,18.1,214.8,4.1,2888,55.2,1113,10.5,74370,0,2765,26.2,4255,163
"'227904",.,.,"PFLUGERVILLE ISD",.,.,66.9,71.3,1443,42.2,3419.8,26,6,47.4,1.4,98315,0,411.1,12,6.4,5.4,6.6,5,7,0,2353.2,68.8,58,7,91.9,2.7,85345,122.7,6.6,55743,493.6,26.6,53413,390.6,21,55675,561.1,30.2,59102,235.8,12.7,63745,51.8,2.8,69220,36.2,2,1221.1,65.8,186.3,10,154.9,8.3,2.2,0.1,11.1,1400.3,75.5,19.7,1.1,395,21.3,6,0.3,13.7,455.3,24.5,537.5,29,87,4.7,8.5,0.5,10,0.5,5,0.3,1320.7,71.2,261.3,14.1,6.1,1855.6,54.3,57518,42.3,2.3,19.1,57,3.1,1216.2,65.5,358.3,10.5,69012,0,655.5,19.2,3947,7
"'227907",.,.,"MANOR ISD",.,.,57.6,59.9,803.4,64.3,1250,5,1,14.9,1.2,115998,0,87.2,7,5.6,4,5.1,3.8,0,0,823.8,65.9,16,5,67.5,5.4,74647,144.9,23.8,52756,195.7,32.2,53399,104.2,17.2,55393,123.7,20.4,59424,28,4.6,64541,11,1.8,67528,10.4,1.7,376,61.9,93.2,15.3,118.8,19.6,0,0,7.1,421.9,69.4,0,0,182.9,30.1,2.9,0.5,14.9,185.6,30.6,132,21.7,92.6,15.2,0,0,7,1.1,3,0.5,468.9,77.2,45.4,7.5,3.8,607.5,48.6,55585,19.4,3.2,30,0,0,270.1,44.5,133.9,10.7,71035,0,339,27.1,.,.
"'227909",.,.,"EANES ISD",.,.,66.1,67.9,289.2,26.7,1083,9,0,15.6,1.4,128409,0,88.1,8.1,7.9,7.3,9.2,6.3,0,0,761,70.3,24,1,28.9,2.7,96152,54.3,9.1,53400,143.9,24,52690,104.4,17.4,53350,182.1,30.4,58048,86.1,14.4,63064,29,4.8,69882,12,2,358.7,59.8,3.2,0.5,7,1.2,11.7,1.9,12,457.3,76.2,10,1.7,73.9,12.3,4.5,0.7,13,142.6,23.8,222.3,37.1,16.8,2.8,10.4,1.7,2,0.3,1,0.2,478.7,79.8,79.1,13.2,7.4,599.8,55.4,56816,6.7,1.1,20.7,6.7,1.1,494.8,82.5,116.7,10.8,67480,0,234,21.6,-1,-1
"'227910",.,.,"DEL VALLE ISD",.,.,63.9,60.9,1120.4,66,1698.6,8,4,22.3,1.3,88480,0,158.3,9.3,6.6,5.8,4.9,4.5,0,0,1019,60,22,1,42.9,2.5,84404,99.4,12.9,56672,297,38.6,55788,153,19.9,58812,154.1,20,63552,54.9,7.1,69021,11.4,1.5,72203,12.8,1.7,509,66.1,103.8,13.5,50,6.5,22.4,2.9,7.8,541.6,70.4,94.7,12.3,318.9,41.4,1,0.1,14.1,228.2,29.6,161.1,20.9,94.6,12.3,0,0,5,0.6,2,0.3,394,51.2,119.3,15.5,5.9,769.7,45.3,59243,5,0.6,21.2,35.6,4.6,379.9,49.4,184.1,10.8,68921,0,521.3,30.7,.,.
