DISTRICT,DD006AMA1222R,DD006AMA1322R,DD006AMA1S22R,DD006ARE1222R,DD006ARE1322R,DD006ARE1S22R,DD206AMA1222R,DD206AMA1322R,DD206AMA1S22R,DD206ARE1222R,DD206ARE1322R,DD206ARE1S22R,DD306AMA1222R,DD306AMA1322R,DD306AMA1S22R,DD306ARE1222R,DD306ARE1322R,DD306ARE1S22R,DD406AMA1222R,DD406AMA1322R,DD406AMA1S22R,DD406ARE1222R,DD406ARE1322R,DD406ARE1S22R,DDA06AMA1222R,DDA06AMA1322R,DDA06AMA1S22R,DDA06ARE1222R,DDA06ARE1322R,DDA06ARE1S22R,DDB06AMA1222R,DDB06AMA1322R,DDB06AMA1S22R,DDB06ARE1222R,DDB06ARE1322R,DDB06ARE1S22R,DDE06AMA1222R,DDE06AMA1322R,DDE06AMA1S22R,DDE06ARE1222R,DDE06ARE1322R,DDE06ARE1S22R,DDF06AMA1222R,DDF06AMA1322R,DDF06AMA1S22R,DDF06ARE1222R,DDF06ARE1322R,DDF06ARE1S22R,DDH06AMA1222R,DDH06AMA1322R,DDH06AMA1S22R,DDH06ARE1222R,DDH06ARE1322R,DDH06ARE1S22R,DDI06AMA1222R,DDI06AMA1322R,DDI06AMA1S22R,DDI06ARE1222R,DDI06ARE1322R,DDI06ARE1S22R,DDL06AMA1222R,DDL06AMA1322R,DDL06AMA1S22R,DDL06ARE1222R,DDL06ARE1322R,DDL06ARE1S22R,DDM06AMA1222R,DDM06AMA1322R,DDM06AMA1S22R,DDM06ARE1222R,DDM06ARE1322R,DDM06ARE1S22R,DDR06AMA1222R,DDR06AMA1322R,DDR06AMA1S22R,DDR06ARE1222R,DDR06ARE1322R,DDR06ARE1S22R,DDS06AMA1222R,DDS06AMA1322R,DDS06AMA1S22R,DDS06ARE1222R,DDS06ARE1322R,DDS06ARE1S22R,DDW06AMA1222R,DDW06AMA1322R,DDW06AMA1S22R,DDW06ARE1222R,DDW06ARE1322R,DDW06ARE1S22R,DISTNAME,DNC06AMA1222R,DNC06AMA1322R,DNC06AMA1S22R,DNC06ARE1222R,DNC06ARE1322R,DNC06ARE1S22R,DNM06AMA1222R,DNM06AMA1322R,DNM06AMA1S22R,DNM06ARE1222R,DNM06ARE1322R,DNM06ARE1S22R,DNS06AMA1222R,DNS06AMA1322R,DNS06AMA1S22R,DNS06ARE1222R,DNS06ARE1322R,DNS06ARE1S22R
"'003903",28,14,67,25,11,53,50,29,93,50,21,71,100,60,100,80,20,100,.,.,.,.,.,.,36,20,68,38,19,65,29,14,51,32,12,56,32,18,66,35,16,63,32,16,68,40,19,67,32,17,70,33,16,63,.,.,.,.,.,.,28,14,67,25,11,53,41,24,68,36,19,64,23,12,59,25,9,55,32,18,46,26,10,46,55,33,82,58,37,83,"LUFKIN ISD",38,21,70,39,19,66,32,17,62,36,19,64,55,35,80,45,25,85
"'003904",-1,-1,-1,-1,-1,-1,40,20,80,60,40,100,.,.,.,.,.,.,.,.,.,.,.,.,50,21,87,46,25,80,-1,-1,-1,-1,-1,-1,47,19,88,39,21,76,44,14,85,42,22,81,40,20,80,30,10,90,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,56,29,89,49,27,78,20,7,76,19,7,65,36,18,75,32,18,61,51,20,88,46,25,78,"HUNTINGTON ISD",55,27,89,49,28,84,38,6,81,38,16,69,-1,-1,-1,-1,-1,-1
"'003905",16,6,78,16,3,47,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,34,8,81,27,10,66,29,7,79,29,21,71,31,4,75,22,9,63,27,7,76,29,11,60,32,8,78,23,8,60,.,.,.,.,.,.,4,0,72,4,0,36,40,9,85,25,9,73,9,2,64,7,4,43,20,10,60,20,0,20,41,7,89,33,7,78,"DIBOLL ISD",34,7,80,26,10,64,30,15,85,35,10,75,-1,-1,-1,-1,-1,-1
"'003906",.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,33,13,71,71,38,83,.,.,.,.,.,.,43,21,71,79,50,86,45,9,82,82,55,91,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,23,15,62,62,23,77,0,0,30,50,0,60,-1,-1,-1,-1,-1,-1,29,10,71,71,33,86,"ZAVALLA ISD",32,5,68,63,37,79,40,40,80,100,40,100,.,.,.,.,.,.
"'003907",50,13,88,38,0,75,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,43,16,79,50,28,81,0,0,40,40,0,80,29,7,71,43,19,76,42,17,79,54,35,81,64,23,82,50,23,73,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,43,14,80,45,20,82,19,4,65,33,10,65,6,0,50,6,0,38,37,14,80,49,32,83,"CENTRAL ISD",46,18,79,52,30,79,34,10,79,45,24,86,-1,-1,-1,-1,-1,-1
"'004901",33,17,50,25,17,50,0,0,40,20,20,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26,12,55,35,21,59,-1,-1,-1,-1,-1,-1,18,7,46,23,11,48,24,12,48,35,21,56,19,8,50,29,12,50,-1,-1,-1,-1,-1,-1,36,18,55,27,18,55,28,11,62,34,21,62,8,2,35,17,7,39,12,5,27,17,5,32,30,14,59,39,27,67,"ARANSAS COUNTY ISD",25,10,50,32,19,54,28,15,65,40,25,68,-1,-1,-1,-1,-1,-1
"'005901",.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,81,50,100,81,58,96,.,.,.,.,.,.,100,40,100,80,60,100,82,47,100,82,59,100,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,78,56,100,78,56,89,33,17,100,17,17,83,-1,-1,-1,-1,-1,-1,80,52,100,80,60,96,"ARCHER CITY ISD",85,55,100,90,65,100,67,33,100,50,33,83,-1,-1,-1,-1,-1,-1
"'005902",.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,59,29,91,54,34,79,-1,-1,-1,-1,-1,-1,42,25,75,50,42,58,60,26,93,58,42,81,71,43,100,57,43,71,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,57,32,89,49,24,76,13,0,74,4,4,48,8,0,58,8,0,25,59,28,90,53,32,79,"HOLLIDAY ISD",53,25,92,53,28,78,75,40,90,55,50,80,-1,-1,-1,-1,-1,-1
"'005904",40,0,100,40,0,80,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,61,17,94,58,28,86,.,.,.,.,.,.,27,0,82,27,9,64,57,19,90,62,24,86,29,0,86,29,0,57,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,67,13,100,53,33,87,14,0,71,14,0,43,-1,-1,-1,-1,-1,-1,69,21,97,66,34,93,"WINDTHORST ISD",67,19,95,57,24,90,53,13,93,60,33,80,-1,-1,-1,-1,-1,-1
"'006902",.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,67,48,95,43,33,95,.,.,.,.,.,.,40,20,100,40,20,80,62,46,92,54,46,100,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,75,50,100,25,13,88,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67,50,94,39,33,94,"CLAUDE ISD",65,47,94,53,41,94,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'007901",-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,13,0,53,23,7,50,.,.,.,.,.,.,9,0,50,9,5,32,18,0,45,18,9,36,13,0,52,22,4,48,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,11,0,58,26,5,58,14,0,45,23,9,45,0,0,14,0,0,14,14,0,57,29,14,57,"CHARLOTTE ISD",15,0,55,30,10,50,10,0,50,10,0,50,.,.,.,.,.,.
"'007902",13,0,88,0,0,63,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,48,16,87,60,33,87,-1,-1,-1,-1,-1,-1,32,6,81,49,22,82,43,13,89,60,35,89,37,11,85,52,25,85,.,.,.,.,.,.,13,0,88,0,0,63,53,19,84,60,32,84,20,2,77,37,13,75,16,0,68,32,5,53,67,24,91,73,49,89,"JOURDANTON ISD",46,16,89,60,28,87,52,15,82,61,48,85,-1,-1,-1,-1,-1,-1
"'007904",26,0,65,30,13,57,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,22,8,63,29,12,63,.,.,.,.,.,.,18,7,57,25,9,56,22,8,63,32,15,64,22,8,63,29,9,63,.,.,.,.,.,.,26,0,65,30,13,57,21,7,62,26,8,61,10,0,49,16,5,50,11,0,17,11,0,22,19,7,59,26,19,59,"LYTLE ISD",29,10,64,33,15,68,10,4,60,23,6,54,-1,-1,-1,-1,-1,-1
"'007905",44,25,69,25,13,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,39,10,75,42,21,72,.,.,.,.,.,.,30,7,70,32,11,67,33,9,72,43,20,75,36,9,72,37,19,68,-1,-1,-1,-1,-1,-1,40,20,67,20,13,47,43,12,77,42,22,70,21,10,60,19,14,52,22,11,49,24,8,38,44,14,80,52,25,78,"PLEASANTON ISD",42,11,75,45,25,73,32,9,73,35,12,70,63,13,75,88,38,88
"'007906",25,6,50,13,0,63,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22,5,64,29,8,62,-1,-1,-1,-1,-1,-1,16,3,59,23,7,61,22,7,63,32,10,60,21,4,62,26,5,59,.,.,.,.,.,.,25,6,50,13,0,63,21,2,66,26,5,63,8,3,41,9,0,39,28,22,61,21,11,37,29,12,82,50,22,78,"POTEET ISD",21,2,64,29,5,65,24,12,67,29,15,53,-1,-1,-1,-1,-1,-1
"'008901",6,0,33,17,0,39,17,0,33,33,33,33,.,.,.,.,.,.,.,.,.,.,.,.,31,10,66,40,21,65,0,0,8,0,0,25,13,0,45,19,8,48,32,9,69,43,24,73,15,0,49,31,7,57,.,.,.,.,.,.,6,0,29,18,0,35,29,10,64,37,17,56,7,0,37,13,2,36,14,0,34,17,0,21,44,17,84,50,30,75,"BELLVILLE ISD",31,9,66,41,20,65,31,10,67,39,22,65,-1,-1,-1,-1,-1,-1
"'008902",17,2,60,13,4,47,40,20,80,60,20,80,.,.,.,.,.,.,.,.,.,.,.,.,29,8,73,33,14,68,0,0,54,31,0,69,20,5,68,27,6,58,28,6,72,32,17,71,26,7,71,26,8,65,.,.,.,.,.,.,14,2,57,11,2,43,29,10,74,35,12,66,13,2,49,8,2,44,10,6,42,16,0,35,39,12,81,45,27,73,"SEALY ISD",30,8,74,36,15,69,26,9,70,22,9,67,-1,-1,-1,-1,-1,-1
"'008903",43,21,86,36,14,50,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,39,18,82,43,23,68,-1,-1,-1,-1,-1,-1,28,5,77,33,13,62,35,13,83,43,22,70,37,13,82,37,18,63,.,.,.,.,.,.,43,21,86,36,14,50,42,21,82,42,24,67,27,8,73,30,11,54,17,0,67,33,0,33,62,38,85,69,46,77,"BRAZOS ISD",42,18,79,45,18,68,33,17,89,39,33,67,-1,-1,-1,-1,-1,-1
"'009901",13,3,56,16,3,44,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19,6,59,23,5,51,-1,-1,-1,-1,-1,-1,15,6,55,18,4,48,10,3,53,25,8,48,14,4,57,17,3,45,.,.,.,.,.,.,10,0,55,16,3,42,28,10,67,21,3,54,7,2,46,16,4,36,14,7,43,7,7,7,44,11,78,56,11,89,"MULESHOE ISD",21,6,65,24,5,56,8,8,31,15,8,23,-1,-1,-1,-1,-1,-1
"'010901",-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,56,0,89,33,22,78,.,.,.,.,.,.,50,0,83,33,17,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,60,0,100,40,20,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67,0,100,50,33,100,"MEDINA ISD",67,0,100,33,17,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'010902",11,0,56,22,11,44,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,18,4,58,46,23,67,-1,-1,-1,-1,-1,-1,13,4,57,36,16,57,17,3,62,50,26,75,7,2,46,30,11,60,-1,-1,-1,-1,-1,-1,13,0,50,25,13,50,19,5,54,43,21,59,7,6,42,21,10,46,20,16,36,28,20,36,23,5,63,55,29,70,"BANDERA ISD",19,5,62,52,27,67,17,3,53,39,19,67,-1,-1,-1,-1,-1,-1
"'011901",16,4,54,18,6,44,40,10,65,40,20,65,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,25,9,61,27,12,54,19,5,43,24,10,43,18,5,55,21,7,49,23,8,59,29,14,55,19,5,56,21,8,47,.,.,.,.,.,.,14,3,52,15,4,40,26,10,63,25,10,52,12,2,50,15,4,40,9,1,17,11,2,19,43,21,77,48,25,78,"BASTROP ISD",27,9,63,28,11,54,21,8,57,25,14,53,19,16,65,39,19,65
"'011902",16,2,47,22,8,56,13,0,63,25,13,63,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,19,5,52,30,13,59,12,9,38,29,12,53,15,3,48,25,10,55,17,3,49,31,12,64,19,4,51,26,10,58,.,.,.,.,.,.,14,2,44,20,5,53,20,7,55,29,13,54,10,2,42,20,5,50,19,10,37,20,5,29,22,9,67,53,27,69,"ELGIN ISD",18,6,50,31,14,59,20,5,56,30,10,59,0,0,17,0,0,17
"'011904",9,5,64,32,14,59,0,0,60,0,0,33,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,28,10,69,49,30,69,0,0,60,60,40,60,11,2,56,35,17,57,27,10,69,49,32,70,24,7,60,40,22,67,.,.,.,.,.,.,0,0,53,18,6,47,29,11,69,49,27,67,4,0,49,18,11,43,20,10,40,20,10,20,38,16,80,62,40,76,"SMITHVILLE ISD",26,7,71,47,28,69,31,17,66,53,33,67,-1,-1,-1,-1,-1,-1
"'011905",67,0,83,17,0,50,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,63,26,89,53,37,79,.,.,.,.,.,.,64,18,91,55,36,64,60,30,90,70,50,100,58,17,92,42,33,67,.,.,.,.,.,.,60,0,80,20,0,40,67,22,89,33,22,56,56,0,78,33,11,67,-1,-1,-1,-1,-1,-1,83,50,83,83,50,100,"MCDADE ISD",55,27,82,36,18,64,75,25,100,75,63,100,.,.,.,.,.,.
"'012901",-1,-1,-1,-1,-1,-1,60,40,60,40,40,80,.,.,.,.,.,.,.,.,.,.,.,.,67,35,89,54,28,89,.,.,.,.,.,.,64,25,86,46,25,82,67,38,90,52,24,86,46,23,85,38,8,77,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,68,32,88,56,32,92,41,5,82,18,0,77,0,0,67,17,0,50,79,39,96,64,36,96,"SEYMOUR ISD",69,31,94,54,23,89,64,45,73,55,45,91,-1,-1,-1,-1,-1,-1
"'013801",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,17,0,71,63,38,96,-1,-1,-1,-1,-1,-1,14,0,71,57,33,95,6,0,63,56,31,100,15,0,70,55,30,95,.,.,.,.,.,.,.,.,.,.,.,.,38,0,88,75,50,88,17,0,61,50,17,94,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"ST MARY'S ACADEMY CHARTER SCHOOL",17,0,78,56,33,94,17,0,50,83,50,100,.,.,.,.,.,.
"'013901",0,0,80,20,20,60,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,17,0,66,39,16,67,14,0,43,33,0,50,18,0,69,37,12,65,12,0,72,43,21,73,14,0,66,38,15,66,.,.,.,.,.,.,0,0,80,20,20,60,20,0,62,35,11,61,4,0,51,18,4,49,7,0,34,10,5,38,36,0,76,48,24,76,"BEEVILLE ISD",17,0,65,36,14,64,17,0,70,46,19,71,14,0,86,14,0,57
"'013902",-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,33,11,89,56,33,89,.,.,.,.,.,.,20,0,80,60,40,100,40,20,100,60,40,100,25,13,88,50,25,88,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"PAWNEE ISD",40,20,80,60,40,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'013903",-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,29,4,68,43,25,71,-1,-1,-1,-1,-1,-1,18,0,53,47,24,59,25,6,63,44,31,63,29,5,67,43,24,71,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,33,0,75,42,17,83,7,0,43,21,7,50,-1,-1,-1,-1,-1,-1,33,0,83,50,33,83,"PETTUS ISD",50,6,75,56,38,75,0,0,58,25,8,67,.,.,.,.,.,.
"'013905",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,48,14,84,62,36,91,.,.,.,.,.,.,41,18,76,64,33,91,45,10,87,63,37,100,39,12,79,63,28,91,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,52,20,80,60,36,80,15,4,70,46,19,81,-1,-1,-1,-1,-1,-1,60,20,90,65,50,90,"SKIDMORE-TYNAN ISD",53,16,82,59,35,89,39,11,89,67,39,94,.,.,.,.,.,.
"'014801",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"RICHARD MILBURN ALTER HIGH SCHOOL - KILLEEN",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'014803",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,33,4,71,57,27,76,20,0,53,40,13,60,17,4,67,54,21,75,33,6,72,72,39,89,15,0,62,46,23,77,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,32,3,71,48,19,68,23,0,62,62,23,77,0,0,29,0,0,14,61,11,94,78,44,83,"PRIORITY CHARTER SCHOOLS",29,14,71,64,43,79,34,0,71,54,20,74,-1,-1,-1,-1,-1,-1
"'014804",40,20,60,60,20,80,50,25,88,75,50,88,67,33,92,100,75,100,.,.,.,.,.,.,54,17,88,75,48,93,17,0,33,33,0,67,40,20,87,60,27,87,46,9,81,78,44,93,57,17,89,66,34,94,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,60,22,93,73,51,93,25,6,67,54,21,83,42,8,67,33,25,67,53,15,91,78,52,94,"ORENDA CHARTER SCHOOL",55,15,87,75,51,95,51,18,89,75,44,90,29,14,86,57,57,86
"'014901",57,14,86,29,14,57,50,38,100,88,63,100,.,.,.,.,.,.,.,.,.,.,.,.,60,31,90,57,38,83,27,9,64,18,0,73,49,18,84,45,27,76,62,34,91,66,42,91,67,33,95,57,38,81,.,.,.,.,.,.,57,14,86,29,14,57,58,27,89,45,35,73,28,5,72,23,9,58,14,0,50,7,0,21,64,33,91,59,41,83,"ACADEMY ISD",65,33,93,64,43,84,50,28,85,43,30,80,-1,-1,-1,-1,-1,-1
"'014902",0,0,33,17,0,33,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19,4,54,38,19,65,-1,-1,-1,-1,-1,-1,18,0,55,36,18,59,15,0,46,38,8,69,18,0,41,29,6,53,.,.,.,.,.,.,0,0,33,17,0,33,23,8,62,38,31,62,0,0,36,18,9,55,-1,-1,-1,-1,-1,-1,17,17,67,33,33,83,"BARTLETT ISD",14,0,50,36,14,57,25,8,58,42,25,75,-1,-1,-1,-1,-1,-1
