DISTRICT,DD000A001222R,DD000A001322R,DD000A001S22R,DD000AC01222R,DD000AC01322R,DD000AC01S22R,DD000AM01222R,DD000AM01322R,DD000AM01S22R,DD000AR01222R,DD000AR01322R,DD000AR01S22R,DD000AS01222R,DD000AS01322R,DD000AS01S22R,DD200A001222R,DD200A001322R,DD200A001S22R,DD200AC01222R,DD200AC01322R,DD200AC01S22R,DD200AM01222R,DD200AM01322R,DD200AM01S22R,DD200AR01222R,DD200AR01322R,DD200AR01S22R,DD200AS01222R,DD200AS01322R,DD200AS01S22R,DD300A001222R,DD300A001322R,DD300A001S22R,DD300AC01222R,DD300AC01322R,DD300AC01S22R,DD300AM01222R,DD300AM01322R,DD300AM01S22R,DD300AR01222R,DD300AR01322R,DD300AR01S22R,DD300AS01222R,DD300AS01322R,DD300AS01S22R,DD400A001222R,DD400A001322R,DD400A001S22R,DD400AC01222R,DD400AC01322R,DD400AC01S22R,DD400AM01222R,DD400AM01322R,DD400AM01S22R,DD400AR01222R,DD400AR01322R,DD400AR01S22R,DD400AS01222R,DD400AS01322R,DD400AS01S22R,DDA00A001222R,DDA00A001322R,DDA00A001S22R,DDA00AC01222R,DDA00AC01322R,DDA00AC01S22R,DDA00AM01222R,DDA00AM01322R,DDA00AM01S22R,DDA00AR01222R,DDA00AR01322R,DDA00AR01S22R,DDA00AS01222R,DDA00AS01322R,DDA00AS01S22R,DDB00A001222R,DDB00A001322R,DDB00A001S22R,DDB00AC01222R,DDB00AC01322R,DDB00AC01S22R,DDB00AM01222R,DDB00AM01322R,DDB00AM01S22R,DDB00AR01222R,DDB00AR01322R,DDB00AR01S22R,DDB00AS01222R,DDB00AS01322R,DDB00AS01S22R,DDE00A001222R,DDE00A001322R,DDE00A001S22R,DDE00AC01222R,DDE00AC01322R,DDE00AC01S22R,DDE00AM01222R,DDE00AM01322R,DDE00AM01S22R,DDE00AR01222R,DDE00AR01322R,DDE00AR01S22R,DDE00AS01222R,DDE00AS01322R,DDE00AS01S22R,DDF00A001222R,DDF00A001322R,DDF00A001S22R,DDF00AC01222R,DDF00AC01322R,DDF00AC01S22R,DDF00AM01222R,DDF00AM01322R,DDF00AM01S22R,DDF00AR01222R,DDF00AR01322R,DDF00AR01S22R,DDF00AS01222R,DDF00AS01322R,DDF00AS01S22R,DDH00A001222R,DDH00A001322R,DDH00A001S22R,DDH00AC01222R,DDH00AC01322R,DDH00AC01S22R,DDH00AM01222R,DDH00AM01322R,DDH00AM01S22R,DDH00AR01222R,DDH00AR01322R,DDH00AR01S22R,DDH00AS01222R,DDH00AS01322R,DDH00AS01S22R,DDI00A001222R,DDI00A001322R,DDI00A001S22R,DDI00AC01222R,DDI00AC01322R,DDI00AC01S22R,DDI00AM01222R,DDI00AM01322R,DDI00AM01S22R,DDI00AR01222R,DDI00AR01322R,DDI00AR01S22R,DDI00AS01222R,DDI00AS01322R,DDI00AS01S22R,DDL00A001222R,DDL00A001322R,DDL00A001S22R,DDL00AC01222R,DDL00AC01322R,DDL00AC01S22R,DDL00AM01222R,DDL00AM01322R,DDL00AM01S22R,DDL00AR01222R,DDL00AR01322R,DDL00AR01S22R,DDL00AS01222R,DDL00AS01322R,DDL00AS01S22R,DDM00A001222R,DDM00A001322R,DDM00A001S22R,DDM00AC01222R,DDM00AC01322R,DDM00AC01S22R,DDM00AM01222R,DDM00AM01322R,DDM00AM01S22R,DDM00AR01222R,DDM00AR01322R,DDM00AR01S22R,DDM00AS01222R,DDM00AS01322R,DDM00AS01S22R,DDR00A001222R,DDR00A001322R,DDR00A001S22R,DDR00AC01222R,DDR00AC01322R,DDR00AC01S22R,DDR00AM01222R,DDR00AM01322R,DDR00AM01S22R,DDR00AR01222R,DDR00AR01322R,DDR00AR01S22R,DDR00AS01222R,DDR00AS01322R,DDR00AS01S22R,DDS00A001222R,DDS00A001322R,DDS00A001S22R,DDS00AC01222R,DDS00AC01322R,DDS00AC01S22R,DDS00AM01222R,DDS00AM01322R,DDS00AM01S22R,DDS00AR01222R,DDS00AR01322R,DDS00AR01S22R,DDS00AS01222R,DDS00AS01322R,DDS00AS01S22R,DDW00A001222R,DDW00A001322R,DDW00A001S22R,DDW00AC01222R,DDW00AC01322R,DDW00AC01S22R,DDW00AM01222R,DDW00AM01322R,DDW00AM01S22R,DDW00AR01222R,DDW00AR01322R,DDW00AR01S22R,DDW00AS01222R,DDW00AS01322R,DDW00AS01S22R,DISTNAME,DNC00A001222R,DNC00A001322R,DNC00A001S22R,DNC00AC01222R,DNC00AC01322R,DNC00AC01S22R,DNC00AM01222R,DNC00AM01322R,DNC00AM01S22R,DNC00AR01222R,DNC00AR01322R,DNC00AR01S22R,DNC00AS01222R,DNC00AS01322R,DNC00AS01S22R,DNM00A001222R,DNM00A001322R,DNM00A001S22R,DNM00AC01222R,DNM00AC01322R,DNM00AC01S22R,DNM00AM01222R,DNM00AM01322R,DNM00AM01S22R,DNM00AR01222R,DNM00AR01322R,DNM00AR01S22R,DNM00AS01222R,DNM00AS01322R,DNM00AS01S22R,DNS00A001222R,DNS00A001322R,DNS00A001S22R,DNS00AC01222R,DNS00AC01322R,DNS00AC01S22R,DNS00AM01222R,DNS00AM01322R,DNS00AM01S22R,DNS00AR01222R,DNS00AR01322R,DNS00AR01S22R,DNS00AS01222R,DNS00AS01322R,DNS00AS01S22R
"'016902",25,10,55,33,4,63,24,10,56,22,14,47,22,6,67,50,17,71,43,14,71,40,20,80,63,13,75,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,52,24,79,54,24,80,45,17,79,55,27,79,56,32,75,24,10,52,20,20,60,43,0,71,14,14,29,-1,-1,-1,36,14,67,43,16,77,29,12,66,38,14,65,42,20,64,52,25,82,53,25,83,42,16,80,59,32,83,53,29,77,40,15,70,45,14,77,35,12,71,41,18,67,47,19,70,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,19,5,48,25,5,55,16,5,49,16,6,41,29,7,64,52,23,76,54,22,78,48,18,77,51,23,76,58,34,74,22,5,58,23,3,63,20,4,59,23,7,58,25,8,48,20,10,42,7,7,37,18,4,43,22,15,45,30,15,33,61,31,86,63,33,85,53,22,84,66,35,89,65,43,80,"BLANCO ISD",51,24,78,56,26,81,47,18,79,53,25,77,54,31,74,52,24,81,48,18,79,42,15,79,59,31,84,60,34,78,50,17,92,50,0,100,43,21,93,60,20,93,-1,-1,-1
"'017901",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,70,33,94,68,34,98,69,32,94,75,35,96,54,29,83,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,52,16,90,40,13,93,55,11,91,57,19,91,36,21,79,74,34,95,73,41,100,76,33,96,82,39,98,41,6,76,50,16,85,43,0,86,48,22,83,54,12,92,50,33,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,67,33,93,64,28,96,66,33,93,70,32,94,67,50,89,46,11,91,50,0,100,50,13,88,45,10,95,-1,-1,-1,57,23,87,-1,-1,-1,50,33,92,67,17,83,-1,-1,-1,74,37,96,72,38,100,75,36,97,79,40,96,56,30,85,"BORDEN COUNTY ISD",74,39,94,73,40,97,69,39,96,82,40,96,58,38,83,63,23,93,59,24,100,69,22,91,62,26,96,45,9,82,77,54,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'018901",24,9,62,24,8,60,20,10,62,29,9,66,14,0,43,39,11,64,50,10,80,26,0,61,45,21,55,44,11,89,57,36,64,-1,-1,-1,-1,-1,-1,83,50,83,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,48,22,80,54,21,89,36,16,76,55,27,80,48,31,78,25,7,64,-1,-1,-1,33,22,67,36,0,64,-1,-1,-1,36,13,73,39,12,84,27,9,69,43,17,73,33,16,68,52,26,81,55,18,88,39,15,76,65,37,86,42,29,75,37,14,74,38,9,79,25,10,73,47,18,76,33,21,67,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,17,10,53,25,6,50,13,8,53,20,13,56,-1,-1,-1,44,20,78,53,23,90,34,17,76,47,18,74,54,33,82,24,8,63,24,6,77,16,6,57,29,12,64,27,9,56,26,11,55,24,5,65,19,13,54,31,11,53,29,14,48,57,30,86,69,32,99,44,21,80,62,34,86,60,41,88,"CLIFTON ISD",49,23,80,53,20,88,38,17,77,55,26,80,52,34,76,45,22,80,57,22,94,30,13,74,56,29,79,32,21,85,68,30,98,88,63,100,50,14,93,76,35,100,60,0,100
"'018902",21,10,43,29,14,43,15,8,31,25,13,56,17,0,33,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,33,14,65,38,11,69,23,9,57,42,19,74,30,13,55,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,26,10,61,33,5,64,18,6,56,33,13,69,21,14,43,33,12,64,32,8,63,19,5,56,49,21,78,24,8,46,21,8,54,23,8,54,13,6,50,27,12,62,22,4,35,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,21,10,43,29,14,43,15,8,31,25,13,56,17,0,33,34,15,66,45,15,76,26,12,58,37,17,71,37,20,67,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19,13,43,33,11,67,15,12,32,13,10,38,36,29,71,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,.,.,.,"MERIDIAN ISD",33,13,65,37,10,68,23,8,59,43,21,74,25,9,51,34,15,65,45,18,73,22,13,50,38,12,75,50,29,71,15,0,55,-1,-1,-1,11,0,56,25,0,63,-1,-1,-1
"'018903",14,8,30,14,14,29,8,8,25,15,8,38,20,0,20,8,8,15,-1,-1,-1,-1,-1,-1,0,0,17,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,27,12,53,13,3,45,23,8,43,37,18,66,23,18,45,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,28,12,55,14,5,41,21,7,42,39,19,71,21,14,50,28,13,52,17,0,50,23,10,39,42,23,65,8,8,42,31,12,57,12,6,47,29,9,47,42,18,76,17,8,33,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,14,8,30,14,14,29,8,8,25,15,8,38,20,0,20,26,11,54,8,8,38,23,7,47,31,11,67,40,30,50,12,5,28,7,7,29,12,8,20,15,4,37,11,0,22,6,6,21,0,0,11,0,0,13,10,10,29,17,17,33,26,14,54,17,0,50,17,9,43,37,22,63,25,25,63,"MORGAN ISD",31,13,55,12,6,41,26,11,46,40,13,67,36,27,55,22,12,51,14,0,50,19,4,38,32,24,65,9,9,36,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'018904",24,6,51,10,10,60,27,9,55,17,0,34,50,10,80,50,18,87,-1,-1,-1,36,14,93,72,28,83,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,48,20,76,40,17,73,44,18,77,53,23,77,51,24,77,22,0,44,-1,-1,-1,13,0,50,20,0,50,40,0,40,38,12,71,31,8,70,32,8,72,43,15,70,46,22,70,46,22,77,38,11,72,38,19,75,58,30,82,40,15,77,39,12,70,29,10,71,28,7,72,47,15,66,57,21,79,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,17,5,44,11,11,56,20,5,50,11,0,30,43,14,71,49,19,75,42,23,73,50,17,79,47,16,71,63,34,78,19,3,47,19,5,48,19,2,48,13,2,38,40,7,73,23,9,43,25,15,45,22,8,39,23,5,45,27,18,55,51,24,79,46,21,74,51,22,78,55,26,81,49,28,81,"VALLEY MILLS ISD",50,22,78,42,18,74,47,20,79,55,24,77,55,25,84,39,15,71,33,13,67,34,11,70,47,18,77,35,20,55,48,22,81,60,20,100,44,22,67,40,10,80,-1,-1,-1
"'018905",29,13,59,0,0,50,35,15,58,27,12,61,44,22,67,80,40,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,34,13,61,17,0,54,35,12,59,34,12,61,48,33,73,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,33,13,60,16,0,53,34,13,59,33,11,60,48,32,71,33,15,60,7,0,36,32,11,61,40,16,63,44,38,75,31,10,58,21,0,58,29,12,54,29,8,58,50,28,72,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,29,13,59,0,0,50,35,15,58,27,12,61,44,22,67,34,11,62,24,0,67,38,13,58,30,8,60,53,29,71,26,10,55,11,0,46,25,10,54,27,9,55,42,25,67,11,6,26,13,0,25,18,6,24,5,5,27,17,17,33,38,16,63,15,0,46,39,11,64,41,16,63,47,40,73,"WALNUT SPRINGS ISD",33,13,61,11,0,56,34,11,60,35,13,60,44,33,74,39,11,61,38,0,50,38,15,54,32,5,68,67,33,67,31,25,63,-1,-1,-1,40,20,60,17,17,50,-1,-1,-1
"'018906",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,53,22,82,47,9,78,44,23,79,67,24,88,44,32,80,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,46,20,77,41,9,77,36,19,71,57,21,83,47,35,76,54,26,77,33,0,75,48,26,78,69,31,77,54,38,77,47,16,76,56,11,78,37,16,63,52,19,90,50,17,67,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,51,18,85,55,15,80,39,18,79,64,18,93,33,25,83,29,9,66,31,13,56,14,3,62,47,9,75,14,14,64,44,15,63,43,14,57,40,27,60,56,6,75,-1,-1,-1,54,23,84,43,9,78,45,24,86,72,24,86,42,37,84,"IREDELL ISD",55,23,82,46,8,81,44,23,77,71,24,88,50,36,82,47,20,82,50,17,67,42,21,84,57,24,86,-1,-1,-1,64,7,100,-1,-1,-1,-1,-1,-1,50,17,100,-1,-1,-1
"'018907",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,15,31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,33,14,58,34,9,52,18,6,43,46,20,74,38,28,59,0,0,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,30,14,54,33,13,47,14,5,39,39,18,68,41,27,59,29,11,53,24,6,35,10,2,33,45,18,76,38,23,54,30,10,55,50,0,63,7,0,29,50,29,79,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,37,16,62,41,11,63,25,9,51,46,21,72,38,31,63,18,8,43,8,0,25,0,0,24,33,18,70,30,10,30,5,0,18,0,0,8,4,0,9,8,0,38,0,0,0,36,15,61,33,12,55,21,7,48,47,19,74,45,32,64,"KOPPERL ISD",30,13,56,35,8,46,12,5,38,43,18,75,39,28,56,38,15,62,33,11,61,27,7,49,49,22,73,36,27,64,22,11,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'018908",18,6,47,-1,-1,-1,-1,-1,-1,0,0,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,39,19,71,17,9,71,49,20,79,44,24,65,30,15,67,50,20,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,33,15,63,17,10,69,42,18,71,37,17,57,26,11,58,51,22,79,21,7,71,56,23,77,61,30,84,30,10,80,31,19,67,14,14,64,42,21,79,33,21,61,14,14,57,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18,6,47,-1,-1,-1,-1,-1,-1,0,0,29,-1,-1,-1,28,16,62,14,10,71,39,16,81,27,18,47,29,18,59,21,7,55,0,0,53,32,10,68,26,10,52,0,0,36,18,9,42,11,11,56,27,9,64,20,10,30,0,0,20,44,19,73,22,6,78,54,20,80,48,24,66,35,15,70,"CRANFILLS GAP ISD",40,20,73,15,8,77,50,20,84,45,26,66,29,14,67,39,17,63,22,11,56,45,20,65,42,17,63,33,17,67,20,20,60,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'019901",21,9,64,23,0,69,35,17,74,11,7,52,14,0,71,29,9,60,21,11,42,37,13,80,30,9,59,21,0,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,45,21,74,45,18,80,47,21,82,45,21,69,41,24,63,28,10,60,23,9,77,32,11,68,28,9,51,22,11,39,40,17,72,40,15,78,43,18,80,40,18,67,36,17,58,46,18,78,41,12,79,48,16,86,51,22,76,29,14,55,37,16,71,40,10,80,43,20,80,36,18,67,21,11,47,29,14,71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22,9,64,23,0,69,35,17,74,12,8,50,14,0,71,44,23,71,47,22,80,46,26,78,41,20,64,50,32,69,25,10,61,26,7,69,28,9,67,26,13,56,9,4,48,26,10,48,29,18,64,30,13,60,23,6,38,19,6,31,56,28,82,58,25,87,54,26,87,57,28,78,55,35,77,"DEKALB ISD",47,22,76,44,19,80,48,23,85,48,23,71,44,24,64,41,17,71,46,16,79,43,17,75,40,15,66,32,24,59,37,17,70,50,0,83,27,18,73,42,25,67,-1,-1,-1
"'019902",46,19,91,33,0,78,53,21,95,55,30,95,17,0,83,50,19,82,38,5,81,44,22,78,62,23,87,29,14,86,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,56,24,85,51,14,85,51,21,81,62,29,87,59,35,85,37,14,72,30,17,70,28,11,70,50,18,76,24,6,65,47,19,81,42,7,81,41,16,78,55,25,85,43,27,78,57,22,86,48,11,84,50,18,81,67,29,91,51,25,85,58,21,91,58,0,89,54,24,88,65,29,96,42,17,83,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,50,23,90,40,0,80,53,27,93,56,31,94,-1,-1,-1,55,27,84,53,15,86,51,24,82,56,28,84,65,43,85,27,7,68,27,2,67,24,6,65,31,10,73,16,4,63,22,9,49,19,7,52,20,6,46,23,11,49,26,16,53,60,27,87,55,15,88,55,22,83,63,31,88,69,43,89,"HOOKS ISD",57,25,85,50,13,85,54,23,83,63,30,88,57,32,84,53,23,84,53,14,87,45,17,78,59,27,86,62,42,89,46,27,79,31,8,69,40,32,76,58,31,81,57,29,100
"'019903",-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,56,29,86,63,29,90,47,21,85,63,36,87,51,25,81,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,51,26,82,61,26,85,43,19,82,56,34,83,43,20,74,57,34,86,66,34,94,49,27,84,66,44,89,36,14,73,100,40,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,55,25,86,61,26,89,46,17,86,61,30,86,59,32,85,42,18,73,56,33,100,33,10,57,44,19,78,-1,-1,-1,49,22,68,73,36,91,38,17,62,47,16,63,60,40,80,55,28,86,62,28,90,46,21,85,62,36,87,50,24,81,"MAUD ISD",57,31,86,64,30,91,49,23,85,63,39,86,54,24,82,52,21,87,58,25,88,38,13,83,63,25,92,38,31,77,43,0,86,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.
"'019905",26,11,67,13,13,63,27,7,73,35,15,60,-1,-1,-1,42,18,72,55,28,86,32,13,68,47,19,68,44,19,88,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,67,0,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,43,19,72,47,22,78,36,15,67,46,19,71,47,27,78,31,10,61,38,12,69,26,10,55,32,10,59,33,11,74,38,15,67,45,17,75,29,11,62,40,15,66,53,31,83,44,18,72,48,15,79,33,13,65,52,22,74,43,17,78,37,17,72,19,13,69,32,10,70,42,20,72,54,31,85,67,22,89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26,11,67,13,13,63,27,7,73,35,15,60,-1,-1,-1,41,20,71,47,27,78,38,16,70,40,17,68,52,36,78,19,6,52,22,7,62,15,5,48,20,5,50,30,10,62,29,11,50,33,17,61,22,9,43,30,8,47,42,21,75,48,22,75,52,25,81,40,17,71,51,23,76,52,34,77,"NEW BOSTON ISD",45,20,74,49,22,81,38,15,70,47,20,73,52,30,81,38,16,67,44,20,72,31,13,62,43,17,68,38,21,71,33,16,69,40,20,100,22,17,61,47,16,68,-1,-1,-1
"'019906",33,10,81,40,0,80,43,14,71,29,14,100,-1,-1,-1,48,27,77,54,23,69,60,35,95,40,28,68,33,0,67,67,44,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,57,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,60,26,86,61,22,88,64,27,91,59,28,84,53,23,79,35,12,65,29,0,57,45,15,75,24,14,57,-1,-1,-1,54,22,82,58,20,84,59,23,87,51,23,79,43,16,74,61,26,88,62,19,89,59,27,88,65,31,89,53,18,80,36,9,80,40,0,70,39,9,83,37,15,85,17,0,67,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,15,8,69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,59,26,85,60,26,87,68,28,92,53,25,80,52,28,79,38,9,74,38,7,75,42,9,83,35,9,70,33,9,61,25,11,57,21,7,57,29,10,71,21,13,48,28,11,44,62,27,88,63,24,90,65,28,91,62,29,86,54,25,80,"REDWATER ISD",62,27,86,61,23,86,68,29,92,60,27,85,55,27,78,55,24,87,62,20,92,54,23,88,57,29,84,45,10,85,42,18,82,-1,-1,-1,36,7,79,50,36,79,-1,-1,-1
"'019907",38,15,70,34,11,71,36,14,72,41,17,69,42,18,67,46,20,74,44,20,70,38,15,71,54,21,78,47,34,76,76,49,93,64,32,91,78,46,96,79,55,89,76,59,100,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,42,19,70,42,18,73,34,15,67,47,21,70,46,27,74,24,8,54,23,7,58,18,5,51,29,9,55,27,11,59,32,11,63,33,11,67,24,8,60,38,13,63,37,17,67,44,20,73,43,16,75,34,15,69,53,24,76,48,25,77,43,17,75,39,13,76,35,14,73,50,20,77,49,22,76,66,45,89,57,29,86,64,36,93,67,53,87,-1,-1,-1,29,12,64,20,5,63,31,11,68,32,15,63,20,8,53,40,19,67,42,19,71,35,16,65,43,18,66,44,29,70,24,8,56,23,6,60,19,6,54,28,10,55,23,7,56,15,4,32,12,3,36,13,4,29,16,5,30,20,7,42,64,35,87,69,34,90,55,29,84,69,38,88,66,45,88,"TEXARKANA ISD",44,21,71,45,20,74,37,17,70,48,22,71,49,29,74,37,15,66,35,14,70,27,10,59,45,19,69,40,21,74,38,18,73,45,18,73,28,11,72,44,23,73,38,25,75
"'019908",24,8,57,31,19,50,23,8,59,24,4,62,0,0,17,37,15,61,14,7,64,34,9,51,42,19,64,50,30,80,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,.,.,.,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,30,10,60,31,9,62,23,8,57,35,13,62,32,12,60,24,8,53,24,5,56,17,7,50,28,11,54,28,10,54,27,9,57,27,7,59,21,7,56,32,12,59,25,8,53,33,12,64,33,8,66,23,7,61,40,17,66,38,12,62,33,10,67,39,15,67,25,11,65,39,7,72,29,14,43,61,13,78,67,17,83,33,17,83,73,9,73,.,.,.,18,6,53,29,14,43,16,6,56,18,3,61,0,0,17,27,9,56,29,9,59,23,8,54,30,9,57,27,12,58,17,5,49,18,4,53,12,3,46,21,6,50,20,5,50,20,6,35,17,6,34,21,6,35,20,5,36,21,8,35,41,14,74,47,15,75,32,8,72,46,18,75,43,15,75,"LIBERTY-EYLAU ISD",31,10,62,32,9,63,23,7,61,36,13,62,31,13,61,28,10,56,29,7,59,21,9,48,32,13,61,36,9,55,11,3,42,-1,-1,-1,13,0,38,11,6,50,-1,-1,-1
"'019909",-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,.,.,.,41,18,77,-1,-1,-1,38,13,88,55,27,73,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,54,24,86,51,20,83,50,24,88,60,27,85,48,20,84,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,46,21,83,47,21,84,41,21,84,52,22,82,39,15,85,54,24,88,45,17,83,51,26,90,63,28,89,39,9,88,48,15,78,40,20,60,44,11,78,60,20,80,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,.,.,.,54,24,84,57,22,83,48,23,87,57,25,82,54,27,81,30,6,72,37,5,73,26,4,78,33,8,67,22,9,75,18,4,52,13,0,50,10,0,62,21,4,43,30,20,60,55,24,87,53,20,84,50,24,89,60,27,86,51,21,85,"SIMMS ISD",52,20,84,47,14,78,51,22,88,57,23,83,39,15,81,59,32,91,62,32,94,48,28,89,66,36,92,67,30,89,56,19,94,50,25,88,44,19,100,71,14,90,-1,-1,-1
"'019910",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,71,29,86,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,56,25,92,38,21,88,57,17,89,62,34,96,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,54,18,91,30,20,90,59,10,85,56,27,98,.,.,.,60,28,93,50,25,83,54,20,91,69,37,97,.,.,.,67,17,92,-1,-1,-1,60,0,100,100,40,100,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,53,22,91,25,17,92,59,15,88,56,32,95,.,.,.,47,18,94,-1,-1,-1,71,14,100,43,29,100,.,.,.,35,10,85,-1,-1,-1,38,13,75,50,13,100,.,.,.,56,26,93,38,24,90,58,20,91,58,34,95,.,.,.,"MALTA ISD",55,23,92,35,25,85,52,14,89,63,32,97,.,.,.,65,35,92,-1,-1,-1,82,36,91,55,45,91,.,.,.,57,14,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.
