DISTRICT,DD800A00200022R,DD800AM0200022R,DD800AR0200022R,DDA00A00200022R,DDA00AM0200022R,DDA00AR0200022R,DDC00A00200022R,DDC00AM0200022R,DDC00AR0200022R,DDJ00A00200022R,DDJ00AM0200022R,DDJ00AR0200022R,DDK00A00200022R,DDK00AM0200022R,DDK00AR0200022R,DDL00A00200022R,DDL00AM0200022R,DDL00AR0200022R,DDQ00A00200022R,DDQ00AM0200022R,DDQ00AR0200022R,DDT00A00200022R,DDT00AM0200022R,DDT00AR0200022R,DDU00A00200022R,DDU00AM0200022R,DDU00AR0200022R,DDX00A00200022R,DDX00AM0200022R,DDX00AR0200022R,DDY00A00200022R,DDY00AM0200022R,DDY00AR0200022R,DDZ00A00200022R,DDZ00AM0200022R,DDZ00AR0200022R,DISTNAME,DNB00A00200022R,DNB00AM0200022R,DNB00AR0200022R,DNE00A00200022R,DNE00AM0200022R,DNE00AR0200022R,DNT00A00200022R,DNT00AM0200022R,DNT00AR0200022R
"'110905",74,68,80,74,68,79,64,-1,-1,.,.,.,.,.,.,64,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,64,-1,-1,.,.,.,"ROPES ISD",.,.,.,.,.,.,.,.,.
"'110906",69,58,80,69,57,80,62,29,100,.,.,.,.,.,.,62,29,100,.,.,.,.,.,.,.,.,.,.,.,.,62,29,100,.,.,.,"SMYER ISD",.,.,.,40,-1,-1,67,71,60
"'110907",75,69,81,74,68,81,59,61,56,.,.,.,.,.,.,59,61,56,.,.,.,.,.,.,.,.,.,.,.,.,59,61,56,.,.,.,"SUNDOWN ISD",.,.,.,.,.,.,43,20,-1
"'110908",73,71,76,73,70,76,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,"WHITHARRAL ISD",.,.,.,.,.,.,.,.,.
"'111801",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"LAKE GRANBURY ACADEMY CHARTER SCHOOL",.,.,.,.,.,.,.,.,.
"'111901",72,67,78,71,66,77,62,55,69,74,69,80,.,.,.,64,57,71,.,.,.,.,.,.,74,69,80,80,89,71,57,46,68,63,56,70,"GRANBURY ISD",.,.,.,-1,-1,-1,69,71,68
"'111902",68,56,80,67,55,80,53,44,64,.,.,.,.,.,.,57,50,64,.,.,.,.,.,.,.,.,.,53,44,64,.,.,.,.,.,.,"LIPAN ISD",.,.,.,.,.,.,-1,-1,.
"'111903",79,75,83,79,74,83,-1,.,-1,.,.,.,.,.,.,-1,.,-1,.,.,.,.,.,.,-1,.,-1,.,.,.,-1,.,-1,.,.,.,"TOLAR ISD",-1,.,-1,.,.,.,-1,-1,-1
"'112901",77,74,81,76,74,79,75,73,76,.,.,.,.,.,.,71,71,71,.,.,.,62,81,42,59,67,42,-1,-1,-1,76,76,76,73,71,75,"SULPHUR SPRINGS ISD",53,53,.,69,65,74,83,86,81
"'112905",69,65,72,69,65,73,82,67,100,.,.,.,.,.,.,80,63,100,.,.,.,.,.,.,.,.,.,82,67,100,.,.,.,-1,-1,-1,"CUMBY ISD",.,.,.,.,.,.,-1,-1,-1
"'112906",75,73,78,74,71,78,67,58,78,.,.,.,.,.,.,66,56,77,.,.,.,.,.,.,.,.,.,70,53,86,62,65,56,-1,-1,-1,"NORTH HOPKINS ISD",.,.,.,.,.,.,83,-1,-1
"'112907",80,76,83,79,76,82,75,-1,63,.,.,.,.,.,.,75,-1,63,.,.,.,.,.,.,.,.,.,-1,-1,-1,75,-1,67,.,.,.,"MILLER GROVE ISD",.,.,.,.,.,.,70,50,90
"'112908",73,67,78,72,65,80,68,55,81,.,.,.,.,.,.,70,57,84,.,.,.,.,.,.,.,.,.,.,.,.,69,53,85,-1,-1,-1,"COMO-PICKTON CISD",.,.,.,57,71,43,75,70,81
"'112909",76,69,83,77,70,84,79,71,88,.,.,.,.,.,.,79,71,88,.,.,.,.,.,.,.,.,.,82,71,94,-1,.,-1,.,.,.,"SALTILLO ISD",.,.,.,.,.,.,-1,-1,-1
"'112910",71,69,73,70,69,71,64,67,60,.,.,.,.,.,.,55,58,50,.,.,.,.,.,.,.,.,.,60,60,60,-1,-1,.,-1,-1,-1,"SULPHUR BLUFF ISD",.,.,.,.,.,.,-1,-1,-1
"'113901",63,56,69,66,59,74,69,58,81,.,.,.,.,.,.,73,64,83,.,.,.,.,.,.,81,76,85,.,.,.,69,58,81,-1,-1,-1,"CROCKETT ISD",81,76,85,.,.,.,79,73,84
"'113902",74,73,76,74,72,76,50,-1,-1,.,.,.,.,.,.,50,-1,-1,.,.,.,.,.,.,.,.,.,50,-1,-1,.,.,.,.,.,.,"GRAPELAND ISD",.,.,.,.,.,.,.,.,.
"'113903",77,70,83,77,69,83,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,"LOVELADY ISD",.,.,.,.,.,.,64,-1,-1
"'113905",71,69,74,71,69,74,74,72,75,.,.,.,.,.,.,76,75,78,.,.,.,.,.,.,.,.,.,.,.,.,74,72,75,-1,-1,-1,"LATEXO ISD",.,.,.,.,.,.,63,-1,-1
"'113906",85,84,87,86,84,87,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,"KENNARD ISD",.,.,.,.,.,.,.,.,.
"'114901",69,61,77,69,62,77,78,69,88,.,.,.,.,.,.,77,73,81,.,.,.,.,.,.,100,-1,-1,.,.,.,74,62,87,80,100,60,"BIG SPRING ISD",100,-1,-1,82,75,89,70,63,76
"'114902",69,61,78,69,61,78,61,65,57,.,.,.,.,.,.,61,63,59,.,.,.,.,.,.,.,.,.,61,65,57,.,.,.,-1,-1,.,"COAHOMA ISD",.,.,.,.,.,.,-1,-1,.
"'114904",81,77,85,79,71,86,92,86,100,.,.,.,.,.,.,92,86,100,.,.,.,.,.,.,.,.,.,.,.,.,92,86,100,.,.,.,"FORSAN ISD",.,.,.,.,.,.,-1,.,-1
"'115901",85,83,87,80,77,83,74,63,87,.,.,.,.,.,.,78,72,84,85,90,79,.,.,.,85,90,79,.,.,.,74,63,87,.,.,.,"FT HANCOCK ISD",.,.,.,.,.,.,80,100,73
"'115902",79,63,100,80,70,90,-1,.,-1,.,.,.,.,.,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,.,.,"SIERRA BLANCA ISD",.,.,.,.,.,.,.,.,.
"'115903",83,75,92,80,83,77,79,100,63,.,.,.,.,.,.,79,100,63,.,.,.,.,.,.,.,.,.,.,.,.,79,100,63,.,.,.,"DELL CITY ISD",.,.,.,.,.,.,-1,-1,-1
"'116901",74,67,80,74,67,80,71,66,76,.,.,.,.,.,.,70,60,80,.,.,.,.,.,.,.,.,.,.,.,.,71,66,76,64,20,100,"CADDO MILLS ISD",.,.,.,.,.,.,77,74,81
"'116902",72,67,77,70,65,75,52,50,55,.,.,.,.,.,.,52,50,55,.,.,.,.,.,.,.,.,.,55,50,60,-1,-1,-1,.,.,.,"CELESTE ISD",.,.,.,.,.,.,86,-1,-1
"'116903",65,56,74,66,56,75,65,53,77,.,.,.,.,.,.,64,52,75,.,.,.,.,.,.,.,.,.,68,58,78,39,17,80,.,.,.,"COMMERCE ISD",.,.,.,67,61,74,75,58,93
"'116905",69,63,75,68,62,74,66,55,76,.,.,.,.,.,.,65,60,70,68,74,57,69,80,55,68,74,59,81,80,83,62,49,75,64,55,71,"GREENVILLE ISD",63,50,82,78,89,68,73,63,79
"'116906",77,74,81,78,74,81,85,93,75,.,.,.,.,.,.,85,93,75,.,.,.,.,.,.,.,.,.,88,-1,-1,83,90,75,.,.,.,"LONE OAK ISD",.,.,.,.,.,.,-1,-1,-1
"'116908",71,63,78,71,63,79,65,54,76,.,.,.,.,.,.,70,60,81,.,.,.,.,.,.,82,74,91,.,.,.,.,.,.,60,-1,-1,"QUINLAN ISD",82,74,91,65,54,76,78,73,81
"'116909",70,66,73,68,64,73,51,36,68,.,.,.,.,.,.,53,38,68,.,.,.,.,.,.,.,.,.,51,36,68,.,.,.,.,.,.,"WOLFE CITY ISD",.,.,.,.,.,.,70,60,80
"'116910",70,66,74,70,65,75,68,60,80,.,.,.,.,.,.,68,60,80,.,.,.,-1,-1,-1,-1,-1,-1,68,60,80,.,.,.,.,.,.,"CAMPBELL ISD",.,.,.,.,.,.,.,.,.
"'116915",76,70,81,75,70,82,75,68,83,.,.,.,.,.,.,75,68,83,.,.,.,.,.,.,.,.,.,55,32,88,78,75,82,.,.,.,"BLAND ISD",.,.,.,.,.,.,74,68,81
"'116916",64,62,67,64,62,66,60,67,54,.,.,.,.,.,.,55,53,57,.,.,.,.,.,.,.,.,.,64,-1,-1,58,67,50,.,.,.,"BOLES ISD",.,.,.,.,.,.,78,80,-1
"'117901",72,67,78,73,67,78,73,68,78,.,.,.,.,.,.,74,70,79,.,.,.,.,.,.,87,93,81,.,.,.,75,70,81,71,-1,-1,"BORGER ISD",87,93,81,36,-1,-1,73,73,73
"'117903",71,65,76,70,65,76,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,"SANFORD-FRITCH ISD",.,.,.,.,.,.,.,.,.
"'117904",72,67,77,72,67,77,83,-1,-1,.,.,.,.,.,.,83,-1,-1,.,.,.,.,.,.,.,.,.,83,-1,-1,.,.,.,.,.,.,"PLEMONS-STINNETT-PHILLIPS CISD",.,.,.,.,.,.,-1,-1,-1
"'117907",81,82,79,81,82,81,83,-1,-1,.,.,.,.,.,.,83,-1,-1,.,.,.,.,.,.,.,.,.,83,-1,-1,.,.,.,.,.,.,"SPRING CREEK ISD",.,.,.,.,.,.,.,.,.
"'118902",82,81,82,80,81,79,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,"IRION COUNTY ISD",.,.,.,.,.,.,.,.,.
"'119901",79,74,85,80,75,86,91,80,100,.,.,.,.,.,.,91,80,100,.,.,.,.,.,.,.,.,.,91,80,100,.,.,.,.,.,.,"BRYSON ISD",.,.,.,.,.,.,.,.,.
"'119902",60,51,69,61,52,70,67,59,76,.,.,.,.,.,.,64,49,79,.,.,.,.,.,.,62,39,85,.,.,.,67,59,76,.,.,.,"JACKSBORO ISD",62,39,85,.,.,.,65,74,59
"'119903",76,71,81,76,71,80,83,-1,-1,.,.,.,.,.,.,83,-1,-1,.,.,.,.,.,.,.,.,.,83,-1,-1,.,.,.,.,.,.,"PERRIN-WHITT CISD",.,.,.,.,.,.,-1,.,-1
"'120901",76,72,79,76,73,79,72,69,74,.,.,.,.,.,.,72,69,74,.,.,.,.,.,.,.,.,.,68,65,71,77,76,78,-1,-1,-1,"EDNA ISD",.,.,.,.,.,.,87,90,84
"'120902",69,57,80,71,59,82,84,70,97,.,.,.,.,.,.,84,70,97,.,.,.,.,.,.,.,.,.,96,92,100,77,57,96,.,.,.,"GANADO ISD",.,.,.,.,.,.,76,69,83
"'120905",81,79,84,82,79,84,90,-1,-1,.,.,.,.,.,.,90,-1,-1,.,.,.,.,.,.,.,.,.,90,-1,-1,.,.,.,.,.,.,"INDUSTRIAL ISD",.,.,.,.,.,.,85,80,88
"'121902",80,75,84,80,75,84,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"BROOKELAND ISD",.,.,.,.,.,.,.,.,.
"'121903",67,61,73,67,62,72,83,-1,-1,.,.,.,.,.,.,83,-1,-1,.,.,.,.,.,.,.,.,.,83,-1,-1,.,.,.,.,.,.,"BUNA ISD",.,.,.,.,.,.,-1,.,-1
"'121904",62,55,69,63,55,70,66,58,74,.,.,.,.,.,.,62,53,70,.,.,.,.,.,.,63,46,79,83,-1,-1,65,55,74,-1,-1,-1,"JASPER ISD",63,46,79,66,62,71,82,73,90
"'121905",66,61,70,66,62,70,77,79,75,.,.,.,.,.,.,78,81,75,.,.,.,.,.,.,.,.,.,.,.,.,77,79,75,-1,-1,.,"KIRBYVILLE CISD",.,.,.,.,.,.,62,63,61
"'121906",84,81,88,85,81,88,100,-1,-1,.,.,.,.,.,.,100,-1,-1,.,.,.,.,.,.,.,.,.,100,-1,-1,.,.,.,.,.,.,"EVADALE ISD",.,.,.,.,.,.,.,.,.
"'122901",73,67,79,71,70,72,53,67,40,.,.,.,.,.,.,53,67,40,.,.,.,.,.,.,.,.,.,53,67,40,.,.,.,.,.,.,"FT DAVIS ISD",.,.,.,.,.,.,77,81,71
"'122902",74,67,81,64,54,73,58,-1,-1,.,.,.,.,.,.,58,-1,-1,.,.,.,.,.,.,.,.,.,58,-1,-1,.,.,.,.,.,.,"VALENTINE ISD",.,.,.,.,.,.,-1,.,-1
"'123803",73,71,75,81,75,87,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"TEKOA ACADEMY OF ACCELERATED STUDIES STEM SCHOOL",.,.,.,.,.,.,.,.,.
"'123805",68,60,76,73,66,80,74,69,80,.,.,.,.,.,.,74,68,80,.,.,.,.,.,.,.,.,.,.,.,.,78,79,78,83,-1,-1,"EHRHART SCHOOL",.,.,.,66,48,84,85,79,90
"'123807",76,76,76,82,79,85,78,50,88,.,.,.,.,.,.,81,77,84,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,65,50,80,-1,.,-1,"BOB HOPE SCHOOL",.,.,.,94,.,94,91,88,93
"'123905",77,74,80,78,75,80,79,75,83,-1,-1,-1,.,.,.,80,75,85,.,.,.,92,92,91,82,73,91,81,75,88,79,75,83,89,82,96,"NEDERLAND ISD",68,45,90,.,.,.,82,76,87
"'123907",71,65,77,72,68,76,72,69,76,87,90,84,.,.,.,74,70,77,.,.,.,.,.,.,87,90,84,87,86,87,69,65,73,75,71,80,"PORT ARTHUR ISD",.,.,.,89,86,-1,76,77,74
"'123908",68,65,71,68,65,71,68,60,77,.,.,.,.,.,.,68,59,77,.,.,.,.,.,.,.,.,.,.,.,.,68,60,77,-1,-1,-1,"PORT NECHES-GROVES ISD",.,.,.,.,.,.,69,71,66
"'123910",67,57,76,67,57,76,67,58,75,71,75,67,-1,-1,-1,67,59,74,.,.,.,.,.,.,71,75,67,85,83,88,66,58,75,45,39,53,"BEAUMONT ISD",-1,-1,-1,62,51,73,74,64,82
"'123913",77,70,85,78,71,84,75,80,70,.,.,.,.,.,.,83,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,75,80,70,-1,-1,-1,"SABINE PASS ISD",.,.,.,.,.,.,86,93,79
"'123914",66,59,72,66,60,72,64,59,69,.,.,.,.,.,.,63,58,67,.,.,.,.,.,.,.,.,.,.,.,.,64,59,69,50,-1,-1,"HAMSHIRE-FANNETT ISD",.,.,.,.,.,.,82,75,89
"'124901",80,76,84,80,77,83,86,83,89,.,.,.,.,.,.,83,82,83,.,.,.,.,.,.,.,.,.,-1,-1,-1,85,82,88,67,-1,-1,"JIM HOGG COUNTY ISD",.,.,.,.,.,.,70,75,60
"'125901",71,64,78,71,64,78,74,70,78,-1,.,-1,-1,.,-1,72,67,76,.,.,.,.,.,.,-1,.,-1,90,80,100,65,66,65,67,-1,80,"ALICE ISD",.,.,.,.,.,.,72,64,81
"'125902",68,59,78,69,59,79,91,80,100,.,.,.,.,.,.,91,80,100,.,.,.,.,.,.,.,.,.,88,-1,-1,-1,-1,-1,.,.,.,"BEN BOLT-PALITO BLANCO ISD",.,.,.,.,.,.,-1,-1,.
"'125903",70,64,76,70,64,76,67,63,72,.,.,.,.,.,.,67,63,72,.,.,.,.,.,.,.,.,.,.,.,.,67,63,72,.,.,.,"ORANGE GROVE ISD",.,.,.,.,.,.,88,81,94
"'125905",75,77,74,76,78,74,81,86,75,.,.,.,.,.,.,82,82,82,.,.,.,.,.,.,.,.,.,81,86,75,.,.,.,.,.,.,"PREMONT ISD",.,.,.,.,.,.,83,100,-1
"'125906",85,79,91,85,79,91,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"LA GLORIA ISD",.,.,.,.,.,.,.,.,.
"'126901",59,52,67,61,53,67,58,46,69,.,.,.,.,.,.,56,50,63,.,.,.,53,60,46,53,60,46,68,70,65,56,43,70,63,-1,-1,"ALVARADO ISD",.,.,.,-1,-1,-1,81,72,90
"'126902",71,67,74,71,67,74,68,61,75,.,.,.,.,.,.,71,67,76,.,.,.,92,97,86,92,97,86,71,67,75,65,56,75,71,73,69,"BURLESON ISD",.,.,.,.,.,.,79,74,83
"'126903",70,63,76,69,63,76,68,61,74,.,.,.,.,.,.,68,62,74,54,48,64,71,66,78,69,64,76,69,71,68,67,59,75,59,57,61,"CLEBURNE ISD",.,.,.,65,49,76,81,79,83
"'126904",73,72,73,72,72,72,59,60,59,.,.,.,.,.,.,59,62,57,.,.,.,.,.,.,.,.,.,.,.,.,59,60,59,.,.,.,"GRANDVIEW ISD",.,.,.,.,.,.,72,81,65
"'126905",76,72,80,75,71,80,71,63,79,.,.,.,.,.,.,70,63,78,.,.,.,69,65,74,69,65,74,71,63,82,71,63,79,36,-1,-1,"JOSHUA ISD",.,.,.,.,.,.,78,74,82
"'126906",73,67,79,73,67,78,71,66,77,.,.,.,.,.,.,69,65,74,.,.,.,.,.,.,.,.,.,71,63,80,65,-1,63,-1,-1,-1,"KEENE ISD",.,.,.,77,77,.,81,82,80
"'126907",74,67,83,75,67,83,83,83,82,.,.,.,.,.,.,79,78,82,.,.,.,.,.,.,.,.,.,-1,-1,-1,71,71,71,.,.,.,"RIO VISTA ISD",.,.,.,92,90,-1,71,-1,-1
"'126908",58,46,73,65,57,74,62,52,71,.,.,.,.,.,.,65,56,74,.,.,.,.,.,.,78,73,84,63,63,63,59,46,73,.,.,.,"VENUS ISD",78,73,84,80,66,94,72,56,88
"'126911",64,58,70,64,58,71,67,58,76,.,.,.,.,.,.,65,57,74,.,.,.,.,.,.,.,.,.,74,70,79,60,45,75,58,-1,-1,"GODLEY ISD",.,.,.,75,100,50,76,71,82
"'127901",72,70,74,72,70,74,69,67,71,.,.,.,.,.,.,71,67,75,.,.,.,.,.,.,.,.,.,-1,-1,-1,73,80,67,.,.,.,"ANSON ISD",.,.,.,.,.,.,-1,.,-1
"'127903",65,62,67,63,60,66,32,20,44,.,.,.,.,.,.,33,18,50,.,.,.,.,.,.,.,.,.,57,-1,-1,-1,-1,-1,.,.,.,"HAMLIN COLLEGIATE ISD",.,.,.,13,-1,-1,-1,-1,.
"'127904",63,53,74,70,61,78,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,"HAWLEY ISD",.,.,.,.,.,.,.,.,.
"'127905",73,63,84,73,63,84,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"LUEDERS-AVOCA ISD",.,.,.,.,.,.,.,.,.
"'127906",68,63,74,68,62,73,53,50,55,.,.,.,.,.,.,59,63,56,.,.,.,.,.,.,.,.,.,50,50,50,-1,.,-1,.,.,.,"STAMFORD ISD",.,.,.,.,.,.,42,-1,-1
"'128901",75,71,78,74,71,77,71,71,71,.,.,.,.,.,.,69,68,70,.,.,.,.,.,.,.,.,.,73,73,73,69,63,75,50,-1,-1,"KARNES CITY ISD",.,.,.,75,90,-1,83,-1,-1
"'128902",80,81,78,80,81,78,80,70,92,.,.,.,.,.,.,82,72,93,.,.,.,.,.,.,.,.,.,-1,-1,.,85,77,92,.,.,.,"KENEDY ISD",.,.,.,.,.,.,-1,-1,-1
"'128903",56,38,75,57,39,75,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,"RUNGE ISD",.,.,.,.,.,.,.,.,.
"'128904",80,81,80,80,80,80,70,50,90,.,.,.,.,.,.,68,50,90,.,.,.,.,.,.,.,.,.,.,.,.,70,50,90,.,.,.,"FALLS CITY ISD",.,.,.,.,.,.,-1,-1,.
"'129901",71,63,78,70,62,78,63,54,73,.,.,.,.,.,.,63,55,71,.,.,.,.,.,.,57,52,63,60,47,77,63,55,73,65,55,78,"CRANDALL ISD",57,52,63,67,-1,70,82,69,93
"'129902",71,63,78,71,64,78,71,62,79,.,.,.,.,.,.,71,65,76,74,81,65,.,.,.,74,81,65,76,74,78,69,59,79,67,62,72,"FORNEY ISD",.,.,.,.,.,.,79,75,81
"'129903",75,70,80,75,69,80,72,65,79,.,.,.,.,.,.,73,66,79,.,.,.,.,.,.,71,65,77,-1,-1,-1,72,64,79,90,95,85,"KAUFMAN ISD",71,65,77,.,.,.,80,77,84
"'129904",67,57,77,67,57,77,67,56,78,.,.,.,.,.,.,67,56,79,.,.,.,.,.,.,.,.,.,.,.,.,67,56,78,67,-1,-1,"KEMP ISD",.,.,.,.,.,.,68,50,82
"'129905",74,72,77,74,71,77,71,66,75,.,.,.,.,.,.,71,68,73,.,.,.,.,.,.,74,83,65,.,.,.,71,66,75,71,50,92,"MABANK ISD",74,83,65,.,.,.,87,82,91
"'129906",65,55,74,64,55,73,54,45,63,.,.,.,.,.,.,62,55,68,.,.,.,.,.,.,75,71,79,88,-1,-1,57,48,64,59,58,61,"TERRELL ISD",75,71,79,35,30,47,69,58,78
"'129910",75,73,77,75,73,77,73,74,72,.,.,.,.,.,.,74,74,73,.,.,.,.,.,.,.,.,.,89,100,-1,71,70,71,-1,-1,-1,"SCURRY-ROSSER ISD",.,.,.,.,.,.,67,60,-1
"'130801",43,40,-1,43,40,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"MEADOWLAND CHARTER DISTRICT",.,.,.,.,.,.,.,.,.
"'130901",76,74,79,76,74,79,70,66,74,.,.,.,.,.,.,70,69,72,74,78,68,.,.,.,74,78,68,72,71,72,68,63,74,66,70,63,"BOERNE ISD",.,.,.,75,.,75,84,82,87
"'130902",68,61,76,69,62,76,71,62,80,.,.,.,.,.,.,71,63,79,.,.,.,.,.,.,.,.,.,75,74,76,68,55,83,86,-1,-1,"COMFORT ISD",.,.,.,.,.,.,73,73,74
"'131001",74,70,78,75,71,79,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,"KENEDY COUNTY WIDE CSD",.,.,.,.,.,.,.,.,.
"'132902",86,84,89,86,84,89,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"JAYTON-GIRARD ISD",.,.,.,.,.,.,.,.,.
"'133901",65,70,60,65,69,61,55,58,51,.,.,.,.,.,.,55,58,51,.,.,.,.,.,.,.,.,.,83,67,100,50,57,43,.,.,.,"CENTER POINT ISD",.,.,.,.,.,.,80,81,78
"'133902",74,66,82,76,70,81,94,94,94,.,.,.,.,.,.,94,94,94,.,.,.,.,.,.,.,.,.,.,.,.,94,94,94,.,.,.,"HUNT ISD",.,.,.,.,.,.,71,75,67
"'133903",69,63,75,69,63,75,64,55,73,-1,-1,-1,.,.,.,69,63,75,.,.,.,.,.,.,83,88,79,88,86,90,59,49,69,75,-1,-1,"KERRVILLE ISD",85,88,83,-1,-1,.,73,74,72
"'133904",71,64,77,70,64,76,66,62,71,.,.,.,.,.,.,65,60,71,.,.,.,.,.,.,.,.,.,76,75,77,62,56,68,-1,-1,-1,"INGRAM ISD",.,.,.,.,.,.,79,68,95
"'133905",75,90,60,75,90,60,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"DIVIDE ISD",.,.,.,.,.,.,.,.,.
"'134901",73,65,81,73,66,81,70,73,67,.,.,.,.,.,.,72,79,64,.,.,.,.,.,.,.,.,.,.,.,.,70,73,67,.,.,.,"JUNCTION ISD",.,.,.,.,.,.,82,71,-1
"'135001",74,72,76,74,72,77,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"GUTHRIE CSD",.,.,.,-1,-1,-1,-1,-1,-1
"'136901",72,63,81,72,62,81,62,44,81,.,.,.,-1,-1,-1,55,40,72,.,.,.,.,.,.,-1,-1,-1,.,.,.,69,57,83,.,.,.,"BRACKETT ISD",.,.,.,-1,-1,-1,81,65,100
"'137901",68,66,70,68,66,71,65,58,72,.,.,.,.,.,.,65,60,70,.,.,.,.,.,.,.,.,.,.,.,.,65,58,72,-1,-1,-1,"KINGSVILLE ISD",.,.,.,.,.,.,79,65,91
"'137902",75,75,76,75,75,76,75,72,78,.,.,.,.,.,.,75,75,75,.,.,.,.,.,.,.,.,.,75,72,78,.,.,.,.,.,.,"RICARDO ISD",.,.,.,.,.,.,69,-1,-1
"'137903",69,60,78,69,59,79,64,30,92,.,.,.,.,.,.,65,30,100,.,.,.,.,.,.,.,.,.,-1,-1,-1,56,-1,90,.,.,.,"RIVIERA ISD",.,.,.,.,.,.,-1,.,-1
"'137904",71,60,82,71,60,82,100,-1,-1,.,.,.,.,.,.,100,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"SANTA GERTRUDIS ISD",.,.,.,100,-1,-1,69,60,81
"'138902",64,55,74,67,58,76,89,82,95,.,.,.,.,.,.,89,82,95,.,.,.,.,.,.,.,.,.,94,-1,-1,86,71,100,.,.,.,"KNOX CITY-O'BRIEN CISD",.,.,.,.,.,.,.,.,.
"'138903",69,66,72,70,65,74,67,50,86,.,.,.,.,.,.,68,50,86,.,.,.,.,.,.,.,.,.,67,55,80,69,-1,-1,.,.,.,"MUNDAY CISD",.,.,.,.,.,.,92,-1,-1
"'138904",75,78,71,75,79,72,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,"BENJAMIN ISD",.,.,.,.,.,.,.,.,.
"'139905",71,70,71,71,70,71,78,78,79,.,.,.,.,.,.,78,78,77,.,.,.,.,.,.,.,.,.,.,.,.,78,78,79,.,.,.,"CHISUM ISD",.,.,.,.,.,.,80,80,80
"'139909",69,67,71,70,68,71,74,70,79,.,.,.,.,.,.,71,69,73,.,.,.,93,93,92,62,65,57,83,-1,-1,70,60,80,79,75,83,"PARIS ISD",51,54,48,75,71,78,76,79,72
"'139911",65,60,70,65,60,70,59,50,69,.,.,.,.,.,.,60,51,70,.,.,.,.,.,.,.,.,.,28,13,44,69,62,77,-1,-1,-1,"NORTH LAMAR ISD",.,.,.,.,.,.,88,86,92
"'139912",71,64,80,71,63,79,55,43,68,.,.,.,.,.,.,55,43,68,.,.,.,.,.,.,.,.,.,.,.,.,55,43,68,.,.,.,"PRAIRILAND ISD",.,.,.,.,.,.,67,-1,-1
"'140901",80,68,91,65,58,73,54,50,59,.,.,.,.,.,.,54,50,59,.,.,.,.,.,.,.,.,.,.,.,.,54,50,59,.,.,.,"AMHERST ISD",.,.,.,.,.,.,-1,-1,.
"'140904",67,58,77,68,59,77,76,70,83,.,.,.,.,.,.,76,70,83,.,.,.,.,.,.,.,.,.,59,58,60,79,72,86,.,.,.,"LITTLEFIELD ISD",.,.,.,.,.,.,75,71,81
"'140905",62,53,69,62,54,71,65,54,76,.,.,.,.,.,.,65,54,76,.,.,.,.,.,.,.,.,.,56,50,63,67,55,79,.,.,.,"OLTON ISD",.,.,.,.,.,.,63,55,72
