DISTRICT,DD800A00200022R,DD800AM0200022R,DD800AR0200022R,DDA00A00200022R,DDA00AM0200022R,DDA00AR0200022R,DDC00A00200022R,DDC00AM0200022R,DDC00AR0200022R,DDJ00A00200022R,DDJ00AM0200022R,DDJ00AR0200022R,DDK00A00200022R,DDK00AM0200022R,DDK00AR0200022R,DDL00A00200022R,DDL00AM0200022R,DDL00AR0200022R,DDQ00A00200022R,DDQ00AM0200022R,DDQ00AR0200022R,DDT00A00200022R,DDT00AM0200022R,DDT00AR0200022R,DDU00A00200022R,DDU00AM0200022R,DDU00AR0200022R,DDX00A00200022R,DDX00AM0200022R,DDX00AR0200022R,DDY00A00200022R,DDY00AM0200022R,DDY00AR0200022R,DDZ00A00200022R,DDZ00AM0200022R,DDZ00AR0200022R,DISTNAME,DNB00A00200022R,DNB00AM0200022R,DNB00AR0200022R,DNE00A00200022R,DNE00AM0200022R,DNE00AR0200022R,DNT00A00200022R,DNT00AM0200022R,DNT00AR0200022R
"'093904",69,62,76,69,62,75,65,60,70,.,.,.,.,.,.,67,61,72,.,.,.,.,.,.,72,66,78,88,-1,-1,65,60,71,38,33,43,"NAVASOTA ISD",72,66,78,20,-1,-1,74,67,81
"'093905",56,40,73,56,40,72,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"RICHARDS ISD",.,.,.,.,.,.,.,.,.
"'094901",63,55,71,63,55,71,50,42,58,88,90,85,.,.,.,60,56,65,.,.,.,66,72,57,85,88,82,-1,-1,-1,50,42,58,63,62,63,"SEGUIN ISD",.,.,.,.,.,.,65,54,78
"'094902",71,68,74,71,68,74,68,63,72,.,.,.,.,.,.,67,62,71,64,61,69,.,.,.,63,59,70,.,.,.,68,63,72,74,71,75,"SCHERTZ-CIBOLO-U CITY ISD",50,-1,-1,.,.,.,76,71,81
"'094903",72,69,75,72,68,75,63,56,69,.,.,.,.,.,.,64,56,71,.,.,.,.,.,.,.,.,.,67,-1,-1,62,52,72,75,-1,-1,"NAVARRO ISD",.,.,.,.,.,.,80,68,92
"'094904",72,67,77,71,66,76,63,55,73,.,.,.,.,.,.,61,54,70,.,.,.,.,.,.,.,.,.,-1,-1,-1,71,62,81,-1,-1,-1,"MARION ISD",.,.,.,38,42,30,83,86,80
"'095901",74,68,80,73,67,80,64,43,86,.,.,.,.,.,.,64,43,86,.,.,.,.,.,.,.,.,.,.,.,.,64,43,86,.,.,.,"ABERNATHY ISD",.,.,.,.,.,.,-1,-1,-1
"'095902",49,33,65,50,34,66,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"COTTON CENTER ISD",.,.,.,.,.,.,-1,-1,-1
"'095903",66,53,79,65,53,78,65,50,81,.,.,.,.,.,.,65,50,81,.,.,.,.,.,.,.,.,.,.,.,.,65,50,81,.,.,.,"HALE CENTER ISD",.,.,.,.,.,.,57,-1,50
"'095904",79,71,87,78,70,87,69,50,86,.,.,.,.,.,.,69,50,86,.,.,.,.,.,.,.,.,.,.,.,.,67,50,83,.,.,.,"PETERSBURG ISD",.,.,.,-1,.,-1,77,70,81
"'095905",64,58,70,64,58,71,58,45,70,38,31,44,83,-1,-1,62,53,72,.,.,.,.,.,.,65,57,74,63,54,73,58,45,70,-1,-1,-1,"PLAINVIEW ISD",70,61,78,-1,-1,-1,65,58,71
"'096904",74,73,75,75,75,75,80,82,77,.,.,.,.,.,.,77,81,73,.,.,.,.,.,.,.,.,.,95,95,95,73,76,69,.,.,.,"MEMPHIS ISD",.,.,.,.,.,.,83,80,-1
"'096905",72,74,70,70,72,69,56,56,56,.,.,.,.,.,.,56,56,56,.,.,.,.,.,.,.,.,.,56,56,56,.,.,.,.,.,.,"TURKEY-QUITAQUE ISD",.,.,.,.,.,.,.,.,.
"'097902",73,69,77,73,68,78,67,50,85,.,.,.,.,.,.,67,50,85,.,.,.,.,.,.,.,.,.,.,.,.,67,50,85,.,.,.,"HAMILTON ISD",.,.,.,.,.,.,86,83,90
"'097903",68,64,72,70,66,74,82,77,85,.,.,.,.,.,.,80,74,86,.,.,.,.,.,.,.,.,.,93,93,93,77,70,82,.,.,.,"HICO ISD",.,.,.,.,.,.,94,-1,93
"'098901",81,85,78,79,83,76,72,74,70,.,.,.,.,.,.,72,76,69,.,.,.,.,.,.,.,.,.,50,60,40,76,77,75,-1,-1,-1,"GRUVER ISD",.,.,.,.,.,.,82,87,79
"'098903",76,62,89,75,63,87,74,63,88,.,.,.,.,.,.,74,63,88,.,.,.,.,.,.,.,.,.,74,63,88,.,.,.,.,.,.,"PRINGLE-MORSE CISD",.,.,.,.,.,.,-1,-1,-1
"'098904",79,78,80,77,75,79,57,51,63,.,.,.,.,.,.,69,66,72,.,.,.,.,.,.,81,78,83,.,.,.,58,53,63,.,.,.,"SPEARMAN ISD",81,78,83,50,40,-1,85,83,87
"'099902",71,63,77,74,70,78,84,89,79,.,.,.,.,.,.,83,88,79,.,.,.,.,.,.,.,.,.,80,80,80,85,92,79,.,.,.,"CHILLICOTHE ISD",.,.,.,.,.,.,-1,-1,-1
"'099903",77,71,84,77,71,84,81,79,83,.,.,.,.,.,.,81,79,83,.,.,.,.,.,.,.,.,.,.,.,.,81,79,83,.,.,.,"QUANAH ISD",.,.,.,.,.,.,90,-1,-1
"'100903",74,73,76,75,73,76,79,78,79,.,.,.,.,.,.,79,78,79,.,.,.,.,.,.,.,.,.,.,.,.,79,78,79,.,.,.,"KOUNTZE ISD",.,.,.,.,.,.,-1,-1,-1
"'100904",58,50,66,58,50,66,56,46,65,.,.,.,.,.,.,56,46,65,.,.,.,.,.,.,.,.,.,40,40,40,60,47,71,.,.,.,"SILSBEE ISD",.,.,.,.,.,.,.,.,.
"'100905",74,72,75,74,72,75,77,70,83,.,.,.,.,.,.,77,72,82,.,.,.,.,.,.,.,.,.,.,.,.,77,70,83,-1,-1,-1,"HARDIN-JEFFERSON ISD",.,.,.,.,.,.,84,70,100
"'100907",69,66,72,69,66,72,62,54,70,.,.,.,.,.,.,61,53,68,.,.,.,.,.,.,.,.,.,.,.,.,62,54,70,-1,-1,-1,"LUMBERTON ISD",.,.,.,.,.,.,80,85,75
