"GEO_ID","NAME","B19013_001E","B19013_001EA","B19013_001M","B19013_001MA",
"860Z200US01347","ZCTA5 01347","67500","null","21314","null",
"860Z200US01349","ZCTA5 01349","63717","null","10736","null",
"860Z200US01350","ZCTA5 01350","-","-","**","**",
"860Z200US01351","ZCTA5 01351","100078","null","11645","null",
"860Z200US01354","ZCTA5 01354","72500","null","6194","null",
"860Z200US01355","ZCTA5 01355","72064","null","8340","null",
"860Z200US01360","ZCTA5 01360","83750","null","15484","null",
"860Z200US01364","ZCTA5 01364","53039","null","5773","null",
"860Z200US01366","ZCTA5 01366","77500","null","32359","null",
"860Z200US01367","ZCTA5 01367","67500","null","11859","null",
"860Z200US01368","ZCTA5 01368","89417","null","13961","null",
"860Z200US01370","ZCTA5 01370","69643","null","4248","null",
"860Z200US01373","ZCTA5 01373","83826","null","16676","null",
"860Z200US01375","ZCTA5 01375","58750","null","9431","null",
"860Z200US01376","ZCTA5 01376","50921","null","10299","null",
"860Z200US01378","ZCTA5 01378","75179","null","12840","null",
"860Z200US01379","ZCTA5 01379","60372","null","7198","null",
"860Z200US01380","ZCTA5 01380","72500","null","64106","null",
"860Z200US01420","ZCTA5 01420","60390","null","5194","null",
"860Z200US01430","ZCTA5 01430","103762","null","19002","null",
"860Z200US01431","ZCTA5 01431","95536","null","7346","null",
"860Z200US01432","ZCTA5 01432","97097","null","22164","null",
"860Z200US01434","ZCTA5 01434","140391","null","59829","null",
"860Z200US01436","ZCTA5 01436","75833","null","47075","null",
"860Z200US01438","ZCTA5 01438","77381","null","47053","null",
"860Z200US01440","ZCTA5 01440","53400","null","6558","null",
"860Z200US01450","ZCTA5 01450","169643","null","23733","null",
"860Z200US01451","ZCTA5 01451","174444","null","25396","null",
"860Z200US01452","ZCTA5 01452","105938","null","16801","null",
"860Z200US01453","ZCTA5 01453","69525","null","4015","null",
"860Z200US01460","ZCTA5 01460","140511","null","12274","null",
"860Z200US01462","ZCTA5 01462","101540","null","9956","null",
"860Z200US01463","ZCTA5 01463","111827","null","9679","null",
"860Z200US01464","ZCTA5 01464","111875","null","29162","null",
"860Z200US01468","ZCTA5 01468","98925","null","13079","null",
"860Z200US01469","ZCTA5 01469","103984","null","17557","null",
"860Z200US01473","ZCTA5 01473","107738","null","15439","null",
"860Z200US01474","ZCTA5 01474","108068","null","22515","null",
"860Z200US01475","ZCTA5 01475","85000","null","19904","null",
"860Z200US01501","ZCTA5 01501","94267","null","6937","null",
"860Z200US01503","ZCTA5 01503","106908","null","19790","null",
"860Z200US01504","ZCTA5 01504","89129","null","11829","null",
"860Z200US01505","ZCTA5 01505","127833","null","10011","null",
"860Z200US01506","ZCTA5 01506","75329","null","20270","null",
"860Z200US01507","ZCTA5 01507","106558","null","3092","null",
"860Z200US01510","ZCTA5 01510","84938","null","8312","null",
"860Z200US01515","ZCTA5 01515","70660","null","11114","null",
"860Z200US01516","ZCTA5 01516","133854","null","13018","null",
"860Z200US01518","ZCTA5 01518","78673","null","28490","null",
"860Z200US01519","ZCTA5 01519","128824","null","24586","null",
"860Z200US01520","ZCTA5 01520","128245","null","11824","null",
"860Z200US01521","ZCTA5 01521","82500","null","12302","null",
"860Z200US01522","ZCTA5 01522","109867","null","28221","null",
"860Z200US01523","ZCTA5 01523","109651","null","20566","null",
"860Z200US01524","ZCTA5 01524","80702","null","6863","null",
"860Z200US01525","ZCTA5 01525","-","-","**","**",
"860Z200US01527","ZCTA5 01527","96672","null","12118","null",
"860Z200US01529","ZCTA5 01529","82131","null","13959","null",
"860Z200US01531","ZCTA5 01531","86667","null","10999","null",
"860Z200US01532","ZCTA5 01532","148010","null","20995","null",
"860Z200US01534","ZCTA5 01534","115439","null","16137","null",
"860Z200US01535","ZCTA5 01535","77313","null","8777","null",
"860Z200US01536","ZCTA5 01536","89886","null","23038","null",
"860Z200US01537","ZCTA5 01537","61514","null","17423","null",
"860Z200US01540","ZCTA5 01540","110195","null","24154","null",
"860Z200US01541","ZCTA5 01541","148438","null","20372","null",
"860Z200US01542","ZCTA5 01542","88295","null","26493","null",
"860Z200US01543","ZCTA5 01543","132000","null","19672","null",
"860Z200US01545","ZCTA5 01545","117909","null","9505","null",
"860Z200US01550","ZCTA5 01550","50414","null","5766","null",
"860Z200US01560","ZCTA5 01560","89779","null","17179","null",
"860Z200US01561","ZCTA5 01561","-","-","**","**",
"860Z200US01562","ZCTA5 01562","68559","null","14975","null",
"860Z200US01564","ZCTA5 01564","119000","null","31222","null",
"860Z200US01566","ZCTA5 01566","105417","null","22565","null",
"860Z200US01568","ZCTA5 01568","141250","null","27484","null",
"860Z200US01569","ZCTA5 01569","115304","null","9874","null",
"860Z200US01570","ZCTA5 01570","64305","null","7415","null",
"860Z200US01571","ZCTA5 01571","75465","null","11494","null",
