DISTRICT,DISTNAME,DPFEIERP,DPSAINHP,DPSAMIFC,DPSAMIFP,DPSATOFC,DPSBTOFC,DPSBTOPC,DPSCTOFC,DPSCTOFP,DPSCTOSA,DPSECOFC,DPSETOFC,DPSETOFP,DPSHEXPA,DPSHTENA,DPSLEXPA,DPSLTENA,DPSOTOFC,DPSPCOFC,DPSPTOFC,DPSPTOFP,DPSRTOFC,DPSRTOPC,DPSSTOFC,DPSSTOFP,DPSSTOSA,DPST00FC,DPST00FP,DPST00SA,DPST01FC,DPST01FP,DPST01SA,DPST06FC,DPST06FP,DPST06SA,DPST11FC,DPST11FP,DPST11SA,DPST21FC,DPST21FP,DPST21SA,DPST30FC,DPST30FP,DPST30SA,DPSTASFC,DPSTASFP,DPSTBAFC,DPSTBAFP,DPSTBIFC,DPSTBIFP,DPSTBLFC,DPSTBLFP,DPSTCOFC,DPSTCOFP,DPSTEXPA,DPSTFEFC,DPSTFEFP,DPSTGIFC,DPSTGIFP,DPSTHIFC,DPSTHIFP,DPSTINFC,DPSTINFP,DPSTKIDR,DPSTMAFC,DPSTMAFP,DPSTMSFC,DPSTMSFP,DPSTNOFC,DPSTNOFP,DPSTOPFC,DPSTOPFP,DPSTPHFC,DPSTPHFP,DPSTPIFC,DPSTPIFP,DPSTREFC,DPSTREFP,DPSTSPFC,DPSTSPFP,DPSTTENA,DPSTTOFC,DPSTTOFP,DPSTTOSA,DPSTTWFC,DPSTTWFP,DPSTURNR,DPSTVOFC,DPSTVOFP,DPSTWHFC,DPSTWHFP,DPSUTOFC,DPSUTOFP,DPSUTOSA,DPSXCOFC,DPSXTOFC,DPSXTOFP
"'105905","WIMBERLEY ISD",61.4,63.9,42,11.6,363.1,1,0,6,1.7,120285,0,55,15.2,10.8,9.8,4,3.3,0,0,224.3,61.8,4,2,10,2.8,84736,5,2.8,47433,46.7,26.1,51067,31,17.3,52946,59.5,33.2,59449,32.9,18.4,63645,4,2.2,69664,0,0,137.1,76.6,2.8,1.6,0,0,0.3,0.2,12.3,135.6,75.7,0,0,9.9,5.5,1,0.6,14.3,43.5,24.3,40,22.3,2,1.1,1.4,0.8,0,0,0,0,144.9,80.9,17.7,9.9,7.5,179.1,49.3,56802,0,0,9.2,11.9,6.7,168.2,93.9,29.3,8.1,68174,0,83.7,23
"'105906","HAYS CISD",63.7,61.4,1333.3,47.1,2831.5,23,0,28.3,1,120187,0,252.7,8.9,7.2,6.1,5.3,4.1,0,0,1790.3,63.2,48,2,73.3,2.6,88747,64.6,4.7,48985,395.9,28.8,51933,301.4,21.9,55683,455.6,33.1,59607,139.6,10.2,65470,17.7,1.3,72146,15.5,1.1,971,70.6,98.6,7.2,29,2.1,61.9,4.5,10.5,1039.9,75.6,2.8,0.2,425.7,31,1,0.1,14.7,335,24.4,379.6,27.6,10.3,0.7,90.8,6.6,13.9,1,0,0,865.9,63,179.7,13.1,5.7,1374.8,48.6,56795,21.9,1.6,12.3,75,5.5,881.8,64.1,313.8,11.1,68229,0,788.5,27.8
"'106901","CANADIAN ISD",61.2,68.3,23.9,15.9,150.9,1,1,2,1.3,112880,0,18,11.9,6.3,3.3,2,2,0,0,99,65.6,2,0,5.2,3.5,84243,1,1.2,41000,8,9.4,45513,15,17.6,49674,34.8,40.8,55408,21.5,25.2,63073,5,5.9,65230,0,0,70,82,1.4,1.7,0,0,8,9.3,16.4,66.3,77.7,0.2,0.2,5,5.9,0,0,10.3,19,22.3,14.8,17.3,0,0,0.9,1.1,0.5,0.6,0,0,62,72.6,4.3,5,9.1,85.3,56.6,55814,0,0,7.6,8.6,10,80.3,94.1,6.5,4.3,62655,0,33.9,22.5
"'107901","ATHENS ISD",61.6,64.3,97.4,23.4,416.9,2,0,4,1,127874,0,68.5,16.4,3.8,3.8,5,4,0,0,297.9,71.5,7,2,19,4.6,61840,9.1,4.7,48048,63,32.4,48261,39.5,20.4,50728,52.6,27.1,55408,22.2,11.4,60881,7.8,4,58658,0.9,0.5,145.1,74.7,5.3,2.7,13.2,6.8,9.4,4.9,10.6,141.4,72.8,0.4,0.2,18.2,9.4,0,0,15.3,52.7,27.2,43.9,22.6,3.2,1.6,0,0,2,1,2.9,1.5,158.8,81.8,9.6,4.9,5.5,194.2,46.6,52550,3.9,2,18.9,10.6,5.5,155,79.8,80.7,19.4,47329,0,50.5,12.1
"'107902","BROWNSBORO ISD",60.8,63.4,46.8,11.7,400.5,1,0,8,2,93032,0,50,12.5,4.5,4.5,2.7,2.7,1.3,0,250.6,62.6,3,0,14,3.5,72841,1.4,0.7,47581,66.8,34.4,42464,35.9,18.5,47183,58.3,30,53748,25.9,13.4,59789,5.7,2.9,61303,1,0.5,169.4,87.3,0.5,0.3,0,0,25.7,13.3,12.1,147.2,75.9,1,0.5,4.9,2.5,1,0.5,13.3,46.7,24.1,22.6,11.6,2,1,2.2,1.1,0,0,0,0,136.7,70.5,13,6.7,6.8,194,48.4,49632,4,2,10.5,14.8,7.7,183.1,94.4,34.6,8.7,59471,0,100,25
"'107904","CROSS ROADS ISD",60.1,66.2,7.5,7.5,99.6,0,0,1.6,1.6,120864,0,7,7,5.3,5,0,0,15,0,63.7,64,0,1,3,3,76670,2,3.8,33660,17,32.1,37221,5,9.5,44176,16,30.3,52483,12.9,24.4,56995,0,0,.,0,0,51,96.5,2,3.8,0,0,2,3.7,12,41.9,79.2,0,0,2,3.8,0,0,10,11,20.8,1.9,3.5,0,0,0.1,0.3,0,0,0,0,40.6,76.8,2.9,5.6,4.9,52.9,53.1,47182,0,0,24.1,5.2,9.9,50.9,96.2,6.2,6.3,52000,0,28.8,29
"'107905","EUSTACE ISD",66,69.6,20,7.1,280,0,0,4,1.4,114923,0,48,17.1,7.3,7,2.6,2.6,0,0,151.6,54.2,4,1,7.1,2.5,77928,1,0.8,50000,25.9,21,45338,34,27.5,53035,32.9,26.6,60015,20.3,16.4,63625,9.6,7.8,68763,0,0,101.7,82.2,0.2,0.2,0,0,1.1,0.9,13.6,92.9,75,0,0,5,4,0,0,12.9,30.9,25,21.1,17,0,0,2.5,2,1,0.8,0,0,101.2,81.8,10.6,8.6,9,123.8,44.2,56215,0,0,12.9,8.1,6.6,118.8,96,16.7,6,67106,0,80.4,28.7
"'107906","MALAKOFF ISD",62.2,65.4,47.6,19.8,240.1,1,0,5.5,2.3,97980,0,38.1,15.9,5.5,5.3,1.5,1,0.2,0,138.6,57.7,3,0,6.6,2.8,75221,2.9,2.6,40831,19.7,17.6,44426,17.6,15.8,49931,38.2,34.3,56380,24.2,21.6,64332,9,8.1,62977,0,0,92,82.5,1.2,1.1,8.1,7.2,7.9,7,15.4,87.2,78.2,0.1,0.1,1,0.9,0,0,12.2,24.4,21.8,17.6,15.8,1,0.9,2.9,2.6,1,0.9,0,0,77.1,69.1,11.1,10,8.5,111.6,46.5,55106,1,0.9,10.5,11.3,10.1,101.6,91,14.9,6.2,63704,0,63.3,26.4
"'107907","TRINIDAD ISD",49.2,63.1,8,24.3,33,0,0,1,3,88065,0,0,0,4,4,0,0,0,0,24,72.7,0,0,1,3,70926,8,36.3,33625,3,13.6,32696,2,9.1,44180,6,27.3,53357,2,9.1,71210,1,4.6,59519,0,0,18,81.9,0,0,2,9.1,0,0,8.8,16,72.7,0,0,1,4.5,0,0,7.1,6,27.3,0,0,4,18.1,0.6,3,0,0,0,0,18.5,84.1,0.9,4.3,5.1,22,66.7,44441,0,0,20,1.9,8.7,19,86.4,0,0,.,0,9,27.3
"'107908","MURCHISON ISD",59.6,66.4,6.7,20.5,32.7,0,0,1,3.1,91483,0,1.5,4.6,6,6,0,0,0,0,20.5,62.7,0,0,2,6.1,59838,1,6,34983,2,12.1,42339,5.1,30.6,43096,4,24.1,50687,2,12.1,57413,2.5,15.1,50366,0,0,14.6,87.9,0.5,3,0,0,1,6,14.5,15.6,94,0,0,0,0,0,0,10.1,1,6,1,6,0,0,0,0,1,6,0,0,14.8,89.1,0.3,1.9,7.9,16.6,50.7,47172,0,0,6,0,0,16.6,100,0.9,2.8,48860,0,10.7,32.7
