DISTRICT,DD000A00T021R,DD0NAA00T021R,DD0NOA00T021R,DD0NTA00T021R,DD0YAA00T021R,DD0YMA00T021R,DD0YXA00T021R,DD200A00T021R,DD2NAA00T021R,DD2NOA00T021R,DD2NTA00T021R,DD2YAA00T021R,DD2YMA00T021R,DD2YXA00T021R,DD300A00T021R,DD3NAA00T021R,DD3NOA00T021R,DD3NTA00T021R,DD3YAA00T021R,DD3YMA00T021R,DD3YXA00T021R,DD400A00T021R,DD4NAA00T021R,DD4NOA00T021R,DD4NTA00T021R,DD4YAA00T021R,DD4YMA00T021R,DD4YXA00T021R,DDA00A00T021R,DDANAA00T021R,DDANOA00T021R,DDANTA00T021R,DDAYAA00T021R,DDAYMA00T021R,DDAYXA00T021R,DDB00A00T021R,DDBNAA00T021R,DDBNOA00T021R,DDBNTA00T021R,DDBYAA00T021R,DDBYMA00T021R,DDBYXA00T021R,DDE00A00T021R,DDENAA00T021R,DDENOA00T021R,DDENTA00T021R,DDEYAA00T021R,DDEYMA00T021R,DDEYXA00T021R,DDF00A00T021R,DDFNAA00T021R,DDFNOA00T021R,DDFNTA00T021R,DDFYAA00T021R,DDFYMA00T021R,DDFYXA00T021R,DDH00A00T021R,DDHNAA00T021R,DDHNOA00T021R,DDHNTA00T021R,DDHYAA00T021R,DDHYMA00T021R,DDHYXA00T021R,DDI00A00T021R,DDINAA00T021R,DDINOA00T021R,DDINTA00T021R,DDIYAA00T021R,DDIYMA00T021R,DDIYXA00T021R,DDL00A00T021R,DDLNAA00T021R,DDLNOA00T021R,DDLNTA00T021R,DDLYAA00T021R,DDLYMA00T021R,DDLYXA00T021R,DDM00A00T021R,DDMNAA00T021R,DDMNOA00T021R,DDMNTA00T021R,DDMYAA00T021R,DDMYMA00T021R,DDMYXA00T021R,DDR00A00T021R,DDRNAA00T021R,DDRNOA00T021R,DDRNTA00T021R,DDRYAA00T021R,DDRYMA00T021R,DDRYXA00T021R,DDS00A00T021R,DDSNAA00T021R,DDSNOA00T021R,DDSNTA00T021R,DDSYAA00T021R,DDSYMA00T021R,DDSYXA00T021R,DDW00A00T021R,DDWNAA00T021R,DDWNOA00T021R,DDWNTA00T021R,DDWYAA00T021R,DDWYMA00T021R,DDWYXA00T021R,DISTNAME,DNC00A00T021R,DNCNAA00T021R,DNCNOA00T021R,DNCNTA00T021R,DNCYAA00T021R,DNCYMA00T021R,DNCYXA00T021R,DNM00A00T021R,DNMNAA00T021R,DNMNOA00T021R,DNMNTA00T021R,DNMYAA00T021R,DNMYMA00T021R,DNMYXA00T021R,DNS00A00T021R,DNSNAA00T021R,DNSNOA00T021R,DNSNTA00T021R,DNSYAA00T021R,DNSYMA00T021R,DNSYXA00T021R
"'005902",100,0,0,0,100,0,0,95,5,0,5,95,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,0,0,0,97,3,0,100,0,0,0,100,0,0,100,0,0,0,94,5,0,100,0,0,0,96,3,0,100,0,0,0,90,10,0,100,0,0,0,100,0,0,100,0,0,0,100,0,0,100,0,0,0,97,3,0,99,1,0,1,99,0,0,98,2,0,2,95,2,0,100,0,0,0,97,3,0,"HOLLIDAY ISD",100,0,0,0,98,2,0,100,0,0,0,92,8,0,100,0,0,0,100,0,0
"'005904",100,0,0,0,97,0,3,100,0,0,0,0,100,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,0,0,0,95,4,0,.,.,.,.,.,.,.,99,0,1,1,98,1,0,99,0,1,1,95,5,0,100,0,0,0,98,1,1,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,95,0,5,100,0,0,0,95,4,1,99,0,1,1,97,1,1,96,0,4,4,95,0,2,100,0,0,0,95,5,0,"WINDTHORST ISD",100,0,0,0,98,2,0,100,0,0,0,81,18,1,100,0,0,0,100,0,0
"'006902",100,0,0,0,100,0,0,100,0,0,0,90,10,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,0,0,0,98,2,0,.,.,.,.,.,.,.,100,0,0,0,96,4,0,100,0,0,0,99,1,0,100,0,0,0,98,2,0,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,100,0,0,100,0,0,0,98,2,0,100,0,0,0,98,2,0,100,0,0,0,100,0,0,100,0,0,0,99,1,0,"CLAUDE ISD",100,0,0,0,100,0,0,100,0,0,0,95,5,0,100,0,0,0,100,0,0
"'007901",100,0,0,0,98,0,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,0,0,0,96,3,0,.,.,.,.,.,.,.,100,0,0,0,98,2,0,99,0,1,1,96,3,0,100,0,0,0,97,2,0,.,.,.,.,.,.,.,100,0,0,0,98,0,2,100,0,0,0,96,4,0,100,0,0,0,96,3,0,100,0,0,0,98,2,0,100,0,0,0,92,8,0,"CHARLOTTE ISD",100,0,0,0,98,1,0,100,0,0,0,90,10,0,100,0,0,0,100,0,0
"'007902",97,3,0,3,90,5,2,86,0,14,14,86,0,0,100,0,0,0,67,33,0,.,.,.,.,.,.,.,98,1,1,2,93,4,0,67,11,22,33,67,0,0,97,2,1,3,92,5,0,98,1,1,2,94,4,0,98,1,1,2,93,5,0,.,.,.,.,.,.,.,97,3,0,3,90,4,2,97,2,1,3,93,4,0,97,2,1,3,94,3,0,96,2,2,4,86,10,0,98,1,0,2,96,2,0,"JOURDANTON ISD",98,1,1,2,96,2,0,97,2,1,3,87,10,0,100,0,0,0,100,0,0
"'007904",99,0,0,1,94,2,3,100,0,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,100,0,0,99,0,1,1,95,4,0,100,0,0,0,96,4,0,99,0,0,1,95,4,0,99,0,0,1,95,4,0,99,0,1,1,94,5,0,.,.,.,.,.,.,.,99,1,1,1,93,3,3,99,0,1,1,94,5,0,99,0,0,1,96,2,1,100,0,0,0,93,5,1,100,0,0,0,97,3,0,"LYTLE ISD",99,0,0,1,97,2,0,99,0,1,1,88,10,1,98,0,2,2,93,5,0
"'007905",99,0,1,1,94,2,3,93,0,7,7,71,17,5,92,0,8,8,79,13,0,-1,-1,-1,-1,-1,-1,-1,96,1,3,4,93,3,0,100,0,0,0,100,0,0,96,1,3,4,93,3,0,96,1,3,4,94,2,0,96,1,3,4,93,3,0,100,0,0,0,100,0,0,99,0,1,1,94,2,3,96,1,3,4,93,3,0,96,1,3,4,94,2,0,97,2,1,3,93,4,0,97,1,3,3,95,2,0,"PLEASANTON ISD",97,1,3,3,96,1,0,96,1,3,4,86,9,0,93,0,7,7,93,0,0
"'007906",98,0,2,2,87,4,7,94,6,0,6,94,0,0,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,93,4,2,7,89,4,1,100,0,0,0,100,0,0,92,5,2,8,87,4,1,94,4,2,6,89,4,1,93,5,2,7,89,4,1,-1,-1,-1,-1,-1,-1,-1,97,0,2,3,85,4,8,93,5,2,7,89,3,0,92,5,2,8,89,3,1,92,5,3,8,87,5,0,96,3,0,4,92,4,0,"POTEET ISD",95,4,2,5,94,1,0,90,7,3,10,76,11,2,97,0,3,3,76,21,0
"'008901",98,1,1,2,94,2,2,100,0,0,0,93,7,0,69,0,31,31,63,0,6,.,.,.,.,.,.,.,99,0,1,1,96,3,0,100,0,0,0,98,2,0,99,0,0,1,96,3,1,99,0,1,1,97,1,0,100,0,0,0,96,3,1,100,0,0,0,100,0,0,99,1,1,1,93,2,3,99,0,1,1,95,4,0,99,0,1,1,96,2,1,100,0,0,0,94,4,2,99,0,1,1,96,3,0,"BELLVILLE ISD",99,0,1,1,97,1,1,99,0,0,1,91,8,0,100,0,0,0,100,0,0
"'008902",99,0,1,1,89,5,4,98,1,1,2,91,7,0,92,0,8,8,90,0,3,.,.,.,.,.,.,.,98,0,2,2,93,4,1,95,0,5,5,90,5,0,98,0,2,2,92,4,1,98,0,2,2,92,4,1,99,0,1,1,92,5,2,100,0,0,0,67,33,0,98,0,1,2,90,4,5,98,0,2,2,93,4,1,97,0,3,3,91,5,2,97,0,3,3,91,4,2,97,0,2,3,94,3,0,"SEALY ISD",98,0,2,2,96,1,0,96,0,3,4,79,15,2,99,0,1,1,93,4,1
"'008903",99,1,0,1,92,5,2,100,0,0,0,100,0,0,100,0,0,0,100,0,0,.,.,.,.,.,.,.,99,0,0,1,96,3,0,100,0,0,0,94,6,0,99,0,0,1,96,2,1,100,0,0,0,96,3,1,99,0,0,1,95,4,1,.,.,.,.,.,.,.,99,1,0,1,90,7,3,99,0,0,1,96,4,0,99,1,0,1,94,4,2,100,0,0,0,97,2,1,99,0,0,1,98,2,0,"BRAZOS ISD",99,0,0,1,97,2,1,99,1,0,1,93,7,0,100,0,0,0,83,17,0
"'009901",100,0,0,0,95,3,2,100,0,0,0,100,0,0,100,0,0,0,100,0,0,.,.,.,.,.,.,.,100,0,0,0,96,2,1,100,0,0,0,100,0,0,100,0,0,0,97,2,1,100,0,0,0,97,2,1,100,0,0,0,97,2,1,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,94,4,2,100,0,0,0,96,3,2,100,0,0,0,96,3,1,100,0,0,0,91,3,6,100,0,0,0,96,2,2,"MULESHOE ISD",100,0,0,0,98,1,1,100,0,0,0,89,10,2,100,0,0,0,100,0,0
"'010901",100,0,0,0,100,0,0,100,0,0,0,67,33,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,0,0,0,91,8,0,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,90,10,0,100,0,0,0,92,7,0,100,0,0,0,93,7,0,.,.,.,.,.,.,.,100,0,0,0,100,0,0,100,0,0,0,91,9,0,100,0,0,0,91,9,0,100,0,0,0,100,0,0,100,0,0,0,91,8,0,"MEDINA ISD",100,0,0,0,97,2,0,100,0,0,0,85,15,0,100,0,0,0,100,0,0
"'010902",98,1,1,2,89,7,2,95,0,5,5,86,9,0,94,0,6,6,94,0,0,100,0,0,0,67,33,0,94,0,5,6,89,5,0,100,0,0,0,100,0,0,93,1,6,7,89,4,0,94,1,6,6,90,4,0,95,0,5,5,89,6,0,100,0,0,0,100,0,0,98,1,1,2,88,8,2,95,0,5,5,89,5,0,94,1,5,6,91,3,0,91,1,8,9,85,5,0,94,1,6,6,90,4,0,"BANDERA ISD",95,0,5,5,93,2,0,93,1,7,7,81,11,0,93,0,7,7,93,0,0
"'011901",95,1,3,5,90,3,2,86,2,11,14,81,6,0,90,0,10,10,88,0,1,100,0,0,0,83,17,0,92,1,6,8,88,4,1,92,1,7,8,87,4,0,92,1,6,8,88,3,1,92,1,6,8,88,4,1,93,1,6,7,88,3,1,92,0,8,8,92,0,0,95,2,3,5,89,4,3,92,1,6,8,88,4,1,93,2,6,7,88,3,1,90,2,8,10,85,3,1,92,1,8,8,87,5,0,"BASTROP ISD",93,1,6,7,91,1,1,91,2,7,9,80,10,2,92,1,6,8,92,0,0
"'011902",80,5,16,20,69,5,6,56,8,36,44,53,4,0,75,7,18,25,50,25,0,100,0,0,0,100,0,0,74,5,21,26,67,4,3,72,5,24,28,68,3,0,74,5,21,26,68,2,3,73,5,23,27,65,4,3,76,5,19,24,68,4,4,50,0,50,50,50,0,0,81,4,15,19,68,5,7,76,5,19,24,69,4,3,75,6,19,25,69,2,4,76,6,19,24,69,4,2,69,5,26,31,65,5,0,"ELGIN ISD",74,5,22,26,69,2,2,76,5,19,24,63,8,4,79,6,14,21,73,4,3
"'011904",99,0,0,1,90,7,2,100,0,0,0,95,5,0,100,0,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,99,1,1,1,94,5,0,100,0,0,0,97,3,0,99,1,1,1,94,4,0,98,1,1,2,95,3,0,98,1,1,2,92,6,1,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,88,9,3,99,0,1,1,93,6,0,100,0,0,0,92,7,1,99,1,0,1,94,4,2,99,0,1,1,95,4,0,"SMITHVILLE ISD",99,0,1,1,97,2,0,99,1,0,1,86,12,0,100,0,0,0,96,4,0
"'011905",100,0,0,0,93,6,1,100,0,0,0,100,0,0,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,97,2,1,3,91,5,0,-1,-1,-1,-1,-1,-1,-1,98,1,1,2,89,8,1,96,3,0,4,89,7,0,99,1,0,1,91,7,1,.,.,.,.,.,.,.,100,0,0,0,90,8,2,98,1,1,2,94,3,0,99,1,0,1,92,6,1,88,7,5,12,84,4,0,94,4,2,6,92,2,0,"MCDADE ISD",97,2,0,3,94,3,0,95,1,3,5,86,8,1,100,0,0,0,100,0,0
"'012901",100,0,0,0,77,15,8,95,0,5,5,80,15,0,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,99,0,0,1,95,5,0,100,0,0,0,67,33,0,99,0,1,1,94,5,0,99,0,1,1,94,5,0,100,0,0,0,92,7,0,.,.,.,.,.,.,.,100,0,0,0,63,25,13,100,0,0,0,95,4,0,99,1,1,1,94,4,0,97,0,3,3,94,3,0,100,0,0,0,98,2,0,"SEYMOUR ISD",100,0,0,0,99,1,0,99,0,1,1,84,15,0,100,0,0,0,100,0,0
"'013801",100,0,0,0,100,0,0,92,8,0,8,92,0,0,100,0,0,0,100,0,0,.,.,.,.,.,.,.,93,2,5,7,93,0,0,40,0,60,60,40,0,0,93,2,5,7,93,0,0,93,2,5,7,93,0,0,94,1,4,6,94,0,0,.,.,.,.,.,.,.,100,0,0,0,100,0,0,93,1,6,7,93,0,0,92,2,6,8,92,0,0,96,0,4,4,96,0,0,90,3,7,10,90,0,0,"ST MARY'S ACADEMY CHARTER SCHOOL",94,2,5,6,94,0,0,90,2,8,10,90,0,0,88,0,12,12,88,0,0
"'013901",97,2,1,3,87,2,9,98,2,0,2,89,9,0,100,0,0,0,92,0,8,-1,-1,-1,-1,-1,-1,-1,96,2,2,4,92,4,0,95,3,3,5,95,0,0,96,2,2,4,93,2,0,95,3,2,5,91,4,0,96,2,2,4,92,3,0,100,0,0,0,100,0,0,98,2,0,2,85,2,10,96,2,1,4,92,4,0,94,4,3,6,90,2,1,96,3,2,4,92,4,0,96,3,2,4,87,8,0,"BEEVILLE ISD",96,2,2,4,94,2,0,95,3,2,5,86,9,1,98,1,1,2,88,10,0
"'013902",100,0,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,99,0,1,1,98,1,0,.,.,.,.,.,.,.,99,0,1,1,99,0,0,99,0,1,1,96,3,0,99,0,1,1,99,0,0,.,.,.,.,.,.,.,100,0,0,0,100,0,0,99,0,1,1,99,0,0,100,0,0,0,97,3,0,100,0,0,0,100,0,0,100,0,0,0,94,6,0,"PAWNEE ISD",98,0,2,2,98,0,0,100,0,0,0,97,3,0,100,0,0,0,100,0,0
"'013903",100,0,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,99,0,1,1,95,3,0,-1,-1,-1,-1,-1,-1,-1,99,0,1,1,96,2,0,99,0,1,1,96,3,0,99,0,1,1,98,1,0,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,100,0,0,99,0,1,1,95,3,0,98,0,2,2,93,5,0,99,0,1,1,84,15,0,99,0,1,1,91,8,0,"PETTUS ISD",98,0,1,2,98,0,0,100,0,0,0,91,9,0,100,0,0,0,100,0,0
"'013905",97,3,0,3,91,0,6,100,0,0,0,100,0,0,100,0,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,99,1,1,1,94,4,0,100,0,0,0,100,0,0,99,1,1,1,95,4,0,98,1,1,2,92,5,0,98,1,1,2,94,4,0,-1,-1,-1,-1,-1,-1,-1,97,3,0,3,90,0,7,99,0,0,1,96,3,0,99,1,1,1,95,4,0,100,0,0,0,92,7,1,99,1,0,1,95,5,0,"SKIDMORE-TYNAN ISD",99,0,0,1,97,2,0,97,2,1,3,87,10,0,100,0,0,0,100,0,0
