DISTRICT,D20GR20N,D20GR20R,D30GR20N,D30GR20R,D40GR20N,D40GR20R,DA0GA20N,DA0GA20P,DA0GE20N,DA0GE20P,DA0GH20N,DA0GH20P,DA0GM20N,DA0GM20P,DA0GN20N,DA0GN20P,DA0GR20N,DA0GR20R,DB0GR20N,DB0GR20R,DE0GR20N,DE0GR20R,DH0GR20N,DH0GR20R,DI0GR20N,DI0GR20R,DISTNAME,DL0GR20N,DL0GR20R,DR0GR20N,DR0GR20R,DS0GR20N,DS0GR20R,DW0GR20N,DW0GR20R
"'140905",0,0,0,0,0,0,36,76.6,10,21.3,0,0,0,0,1,2.1,47,100,0,0,28,59.6,35,74.5,0,0,"OLTON ISD",7,14.9,15,31.9,3,6.4,12,25.5
"'140907",0,0,0,0,0,0,20,87,2,8.7,0,0,0,0,1,4.3,23,100,1,4.3,18,78.3,13,56.5,0,0,"SPRINGLAKE-EARTH ISD",1,4.3,8,34.8,4,17.4,9,39.1
"'140908",0,0,0,0,0,0,35,92.1,0,0,0,0,0,0,3,7.9,38,100,0,0,14,36.8,24,63.2,0,0,"SUDAN ISD",2,5.3,13,34.2,1,2.6,14,36.8
"'141901",14,5.8,0,0,3,1.3,213,88.8,1,0.4,0,0,0,0,26,10.8,240,100,4,1.7,98,40.8,56,23.3,3,1.3,"LAMPASAS ISD",2,0.8,62,25.8,19,7.9,160,66.7
"'141902",1,6.3,1,6.3,0,0,13,81.3,3,18.8,0,0,0,0,0,0,16,100,0,0,9,56.3,5,31.3,0,0,"LOMETA ISD",0,0,5,31.3,1,6.3,9,56.3
"'142901",0,0,0,0,0,0,73,85.9,0,0,0,0,0,0,12,14.1,85,100,0,0,76,89.4,80,94.1,0,0,"COTULLA ISD",3,3.5,47,55.3,10,11.8,5,5.9
"'143901",0,0,0,0,0,0,70,83.3,2,2.4,0,0,0,0,12,14.3,84,100,11,13.1,20,23.8,6,7.1,1,1.2,"HALLETTSVILLE ISD",0,0,12,14.3,7,8.3,66,78.6
"'143902",1,4.8,0,0,0,0,20,95.2,1,4.8,0,0,0,0,0,0,21,100,0,0,6,28.6,8,38.1,0,0,"MOULTON ISD",1,4.8,4,19,3,14.3,12,57.1
"'143903",1,1.7,0,0,0,0,46,76.7,0,0,0,0,0,0,14,23.3,60,100,5,8.3,20,33.3,12,20,0,0,"SHINER ISD",2,3.3,9,15,10,16.7,42,70
"'143904",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"VYSEHRAD ISD",.,.,.,.,.,.,.,.
"'143905",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"SWEET HOME ISD",.,.,.,.,.,.,.,.
"'143906",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"EZZELL ISD",.,.,.,.,.,.,.,.
"'144901",4,3,0,0,0,0,105,78.9,0,0,0,0,0,0,28,21.1,133,100,6,4.5,73,54.9,70,52.6,0,0,"GIDDINGS ISD",15,11.3,50,37.6,15,11.3,53,39.8
"'144902",3,4,0,0,1,1.3,56,74.7,3,4,0,0,0,0,16,21.3,75,100,4,5.3,31,41.3,10,13.3,0,0,"LEXINGTON ISD",0,0,23,30.7,4,5.3,57,76
"'144903",0,0,0,0,0,0,10,100,0,0,0,0,0,0,0,0,10,100,3,30,8,80,3,30,0,0,"DIME BOX ISD",0,0,2,20,0,0,4,40
"'145901",2,3.2,2,3.2,0,0,56,90.3,0,0,0,0,0,0,6,9.7,62,100,2,3.2,41,66.1,18,29,0,0,"BUFFALO ISD",3,4.8,15,24.2,4,6.5,38,61.3
"'145902",0,0,0,0,0,0,36,69.2,10,19.2,0,0,0,0,6,11.5,52,100,3,5.8,20,38.5,10,19.2,0,0,"CENTERVILLE ISD",1,1.9,8,15.4,5,9.6,39,75
"'145906",1,2.8,0,0,0,0,35,97.2,0,0,0,0,0,0,1,2.8,36,100,1,2.8,18,50,5,13.9,1,2.8,"NORMANGEE ISD",0,0,11,30.6,2,5.6,28,77.8
"'145907",1,8.3,0,0,0,0,11,91.7,0,0,0,0,0,0,1,8.3,12,100,2,16.7,7,58.3,1,8.3,0,0,"OAKWOOD ISD",0,0,5,41.7,3,25,8,66.7
"'145911",0,0,0,0,0,0,31,83.8,0,0,0,0,0,0,6,16.2,37,100,0,0,14,37.8,9,24.3,0,0,"LEON ISD",0,0,14,37.8,1,2.7,28,75.7
"'146901",4,1,1,0.2,0,0,307,73.4,33,7.9,1,0.2,0,0,77,18.4,418,100,28,6.7,339,81.1,313,74.9,4,1,"CLEVELAND ISD",89,21.3,211,50.5,34,8.1,68,16.3
"'146902",5,1.4,0,0,1,0.3,281,80.5,1,0.3,0,0,0,0,67,19.2,349,100,20,5.7,205,58.7,154,44.1,1,0.3,"DAYTON ISD",25,7.2,141,40.4,27,7.7,168,48.1
"'146903",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"DEVERS ISD",.,.,.,.,.,.,.,.
"'146904",3,3.8,0,0,0,0,76,96.2,0,0,0,0,0,0,3,3.8,79,100,2,2.5,22,27.8,12,15.2,0,0,"HARDIN ISD",2,2.5,40,50.6,3,3.8,62,78.5
"'146905",1,2.9,0,0,0,0,35,100,0,0,0,0,0,0,0,0,35,100,0,0,19,54.3,5,14.3,0,0,"HULL-DAISETTA ISD",1,2.9,12,34.3,5,14.3,29,82.9
"'146906",5,3.7,0,0,0,0,67,49.6,37,27.4,0,0,0,0,31,23,135,100,26,19.3,66,48.9,48,35.6,1,0.7,"LIBERTY ISD",12,8.9,69,51.1,20,14.8,55,40.7
"'146907",1,0.8,0,0,0,0,102,82.9,9,7.3,0,0,0,0,12,9.8,123,100,4,3.3,58,47.2,13,10.6,0,0,"TARKINGTON ISD",2,1.6,32,26,14,11.4,105,85.4
"'147901",0,0,0,0,0,0,15,100,0,0,0,0,0,0,0,0,15,100,5,33.3,11,73.3,5,33.3,1,6.7,"COOLIDGE ISD",1,6.7,3,20,3,20,4,26.7
"'147902",4,4,2,2,0,0,82,81.2,12,11.9,0,0,2,2,5,5,101,100,6,5.9,56,55.4,21,20.8,0,0,"GROESBECK ISD",1,1,43,42.6,13,12.9,68,67.3
"'147903",4,3.2,0,0,0,0,103,83.1,0,0,1,0.8,1,0.8,19,15.3,124,100,37,29.8,82,66.1,53,42.7,0,0,"MEXIA ISD",5,4,49,39.5,23,18.5,30,24.2
