DISTRICT,DD004AMA1221R,DD004AMA1321R,DD004AMA1S21R,DD004ARE1221R,DD004ARE1321R,DD004ARE1S21R,DD004AWR1221R,DD004AWR1321R,DD004AWR1S21R,DD204AMA1221R,DD204AMA1321R,DD204AMA1S21R,DD204ARE1221R,DD204ARE1321R,DD204ARE1S21R,DD204AWR1221R,DD204AWR1321R,DD204AWR1S21R,DD304AMA1221R,DD304AMA1321R,DD304AMA1S21R,DD304ARE1221R,DD304ARE1321R,DD304ARE1S21R,DD304AWR1221R,DD304AWR1321R,DD304AWR1S21R,DD404AMA1221R,DD404AMA1321R,DD404AMA1S21R,DD404ARE1221R,DD404ARE1321R,DD404ARE1S21R,DD404AWR1221R,DD404AWR1321R,DD404AWR1S21R,DDA04AMA1221R,DDA04AMA1321R,DDA04AMA1S21R,DDA04ARE1221R,DDA04ARE1321R,DDA04ARE1S21R,DDA04AWR1221R,DDA04AWR1321R,DDA04AWR1S21R,DDB04AMA1221R,DDB04AMA1321R,DDB04AMA1S21R,DDB04ARE1221R,DDB04ARE1321R,DDB04ARE1S21R,DDB04AWR1221R,DDB04AWR1321R,DDB04AWR1S21R,DDE04AMA1221R,DDE04AMA1321R,DDE04AMA1S21R,DDE04ARE1221R,DDE04ARE1321R,DDE04ARE1S21R,DDE04AWR1221R,DDE04AWR1321R,DDE04AWR1S21R,DDF04AMA1221R,DDF04AMA1321R,DDF04AMA1S21R,DDF04ARE1221R,DDF04ARE1321R,DDF04ARE1S21R,DDF04AWR1221R,DDF04AWR1321R,DDF04AWR1S21R,DDH04AMA1221R,DDH04AMA1321R,DDH04AMA1S21R,DDH04ARE1221R,DDH04ARE1321R,DDH04ARE1S21R,DDH04AWR1221R,DDH04AWR1321R,DDH04AWR1S21R,DDI04AMA1221R,DDI04AMA1321R,DDI04AMA1S21R,DDI04ARE1221R,DDI04ARE1321R,DDI04ARE1S21R,DDI04AWR1221R,DDI04AWR1321R,DDI04AWR1S21R,DDL04AMA1221R,DDL04AMA1321R,DDL04AMA1S21R,DDL04ARE1221R,DDL04ARE1321R,DDL04ARE1S21R,DDL04AWR1221R,DDL04AWR1321R,DDL04AWR1S21R,DDM04AMA1221R,DDM04AMA1321R,DDM04AMA1S21R,DDM04ARE1221R,DDM04ARE1321R,DDM04ARE1S21R,DDM04AWR1221R,DDM04AWR1321R,DDM04AWR1S21R,DDR04AMA1221R,DDR04AMA1321R,DDR04AMA1S21R,DDR04ARE1221R,DDR04ARE1321R,DDR04ARE1S21R,DDR04AWR1221R,DDR04AWR1321R,DDR04AWR1S21R,DDS04AMA1221R,DDS04AMA1321R,DDS04AMA1S21R,DDS04ARE1221R,DDS04ARE1321R,DDS04ARE1S21R,DDS04AWR1221R,DDS04AWR1321R,DDS04AWR1S21R,DDW04AMA1221R,DDW04AMA1321R,DDW04AMA1S21R,DDW04ARE1221R,DDW04ARE1321R,DDW04ARE1S21R,DDW04AWR1221R,DDW04AWR1321R,DDW04AWR1S21R,DISTNAME,DNC04AMA1221R,DNC04AMA1321R,DNC04AMA1S21R,DNC04ARE1221R,DNC04ARE1321R,DNC04ARE1S21R,DNC04AWR1221R,DNC04AWR1321R,DNC04AWR1S21R,DNM04AMA1221R,DNM04AMA1321R,DNM04AMA1S21R,DNM04ARE1221R,DNM04ARE1321R,DNM04ARE1S21R,DNM04AWR1221R,DNM04AWR1321R,DNM04AWR1S21R,DNS04AMA1221R,DNS04AMA1321R,DNS04AMA1S21R,DNS04ARE1221R,DNS04ARE1321R,DNS04ARE1S21R,DNS04AWR1221R,DNS04AWR1321R,DNS04AWR1S21R
"'101842",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"COMQUEST ACADEMY",-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'101845",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"YES PREP PUBLIC SCHOOLS INC",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'101846",26,11,48,20,9,54,13,4,37,-1,-1,-1,-1,-1,-1,-1,-1,-1,60,27,87,47,27,87,44,11,78,.,.,.,.,.,.,.,.,.,25,11,50,30,13,57,17,4,43,28,14,55,43,23,62,29,8,53,22,10,47,27,13,55,15,4,42,25,8,48,37,19,58,20,4,47,15,6,40,17,3,50,3,0,29,.,.,.,.,.,.,.,.,.,24,11,45,18,10,52,12,5,34,25,13,52,23,8,56,15,4,40,24,10,45,19,9,52,13,4,35,4,4,4,4,0,9,4,4,9,67,17,67,33,17,50,17,0,50,"HARMONY SCIENCE ACADEMY",23,10,56,33,13,61,18,3,47,28,11,42,25,14,51,16,5,38,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'101847",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,32,12,68,52,16,92,33,0,88,32,12,68,52,16,92,33,0,88,35,12,59,53,24,88,29,0,88,42,8,58,50,8,100,17,0,92,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,23,15,77,54,23,85,50,0,83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,"BEATRICE MAYES INSTITUTE CHARTER S",29,12,59,53,24,88,29,0,88,38,13,88,50,0,100,43,0,86,.,.,.,.,.,.,.,.,.
"'101849",30,20,40,20,10,40,10,0,30,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,38,31,50,38,19,58,43,13,52,58,50,67,58,33,83,80,30,80,36,28,48,36,16,56,41,14,50,33,33,47,33,13,53,47,13,53,21,14,36,21,7,36,15,0,31,.,.,.,.,.,.,.,.,.,30,20,40,20,10,40,10,0,30,45,27,55,45,27,64,38,13,50,25,17,33,17,8,33,9,0,27,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"ACCELERATED INTERMEDIATE ACADEMY",30,25,45,45,25,50,44,17,44,67,50,67,17,0,83,40,0,80,.,.,.,.,.,.,.,.,.
"'101853",14,9,35,11,5,31,6,0,20,.,.,.,.,.,.,.,.,.,13,13,38,6,0,38,0,0,13,.,.,.,.,.,.,.,.,.,13,8,36,11,4,30,4,0,20,0,0,33,0,0,0,0,0,17,13,7,34,11,4,28,3,0,17,9,4,28,13,4,39,6,0,25,15,8,35,14,6,32,6,0,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,9,36,11,5,30,6,0,19,19,12,44,9,5,21,2,0,14,12,8,34,10,4,25,5,0,18,20,10,20,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,"PROMISE COMMUNITY SCHOOL",15,7,41,11,4,36,4,0,24,11,8,28,11,6,22,5,0,14,.,.,.,.,.,.,.,.,.
"'101855",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,14,5,27,23,9,45,17,0,48,15,0,23,31,8,54,21,0,50,12,0,29,24,6,53,17,0,56,11,0,22,22,0,56,0,0,56,11,11,33,11,11,33,11,0,44,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,8,31,23,15,38,29,0,43,8,0,31,15,0,46,7,0,50,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"MEYERPARK ELEMENTARY",20,7,33,33,13,67,27,0,60,0,0,14,0,0,0,0,0,25,.,.,.,.,.,.,.,.,.
"'101856",3,2,16,5,0,27,3,0,17,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,2,15,5,0,28,3,0,17,.,.,.,.,.,.,.,.,.,3,2,16,5,0,29,3,0,17,3,3,15,6,0,30,3,0,21,3,2,15,5,0,28,3,0,17,.,.,.,.,.,.,.,.,.,3,2,16,5,0,27,3,0,17,3,0,16,3,0,25,3,0,13,3,2,16,5,0,27,3,0,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,"DRAW ACADEMY",3,2,16,5,0,28,3,0,17,0,0,14,0,0,29,0,0,14,.,.,.,.,.,.,.,.,.
"'101858",22,11,47,21,7,52,17,2,45,29,29,71,50,17,67,30,0,50,46,30,74,37,11,79,27,7,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,23,12,50,25,9,54,17,3,46,25,9,45,29,8,52,17,4,46,16,6,41,18,5,45,10,1,37,20,10,45,25,10,60,18,3,49,14,6,42,17,8,43,13,1,33,.,.,.,.,.,.,.,.,.,13,4,33,12,4,38,9,0,30,26,13,55,25,8,49,16,3,42,19,8,40,17,6,47,14,0,39,8,0,30,11,0,22,5,0,15,34,22,66,38,16,75,21,3,70,"HARMONY SCHOOL OF EXCELLENCE",24,12,50,26,9,54,15,3,44,22,11,51,25,8,54,19,2,47,33,0,56,0,0,56,0,0,63
"'101859",13,3,42,19,10,52,10,7,47,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,14,7,44,30,14,60,11,4,62,18,9,45,55,9,73,17,8,83,14,7,44,30,14,60,11,4,62,5,0,32,37,11,68,14,5,64,13,6,45,23,16,55,9,3,53,.,.,.,.,.,.,.,.,.,13,3,42,19,10,52,10,7,47,21,13,54,25,17,54,9,4,61,13,3,41,22,9,53,10,6,48,0,0,0,14,0,57,0,0,43,.,.,.,.,.,.,.,.,.,"STEP CHARTER SCHOOL",24,10,48,43,14,67,20,8,72,5,5,41,18,14,55,0,0,50,.,.,.,.,.,.,.,.,.
"'101861",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8,3,32,17,5,47,15,0,37,7,2,33,15,2,43,15,0,38,8,4,28,17,6,43,14,0,34,0,0,24,11,0,46,16,0,38,10,0,20,20,10,50,0,0,25,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22,9,43,26,13,48,14,0,36,8,8,23,23,15,31,8,0,8,0,0,0,0,0,33,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,"THE RHODES SCHOOL",6,3,31,16,3,44,14,0,28,11,4,32,18,7,50,17,0,47,.,.,.,.,.,.,.,.,.
"'101862",48,29,69,38,22,71,26,9,58,67,17,67,67,17,100,43,29,71,60,37,84,54,30,85,46,12,80,.,.,.,.,.,.,.,.,.,48,27,68,46,23,74,33,10,64,47,24,69,47,20,72,29,8,60,42,24,62,38,16,70,24,6,57,47,26,72,51,24,82,39,12,73,27,11,38,22,7,49,11,0,41,.,.,.,.,.,.,.,.,.,36,18,61,27,11,63,19,1,49,50,28,63,39,21,63,25,7,53,45,28,64,38,22,69,24,8,55,26,11,37,32,11,37,11,5,16,48,33,70,50,38,81,36,16,64,"HARMONY SCHOOL OF SCIENCE - HOUSTO",50,28,70,49,25,77,37,12,67,45,24,65,38,17,68,23,5,59,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'101864",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"THE LAWSON ACADEMY",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'101868",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,9,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,"THE PRO-VISION ACADEMY",.,.,.,.,.,.,.,.,.,0,0,0,0,0,8,0,0,0,.,.,.,.,.,.,.,.,.
"'101870",28,10,60,35,3,83,30,0,65,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,24,7,55,38,9,77,27,1,72,21,7,36,43,7,71,29,0,79,26,7,56,33,13,74,31,2,67,16,6,52,42,12,82,32,0,76,23,4,56,35,8,77,27,0,69,-1,-1,-1,-1,-1,-1,-1,-1,-1,23,9,57,34,3,80,26,0,60,33,9,58,33,7,71,22,2,67,21,6,45,30,2,74,19,0,62,18,9,55,27,0,55,9,0,73,17,17,67,67,17,83,17,0,67,"BETA ACADEMY",19,6,50,31,4,75,27,0,63,30,9,60,47,16,79,28,2,81,.,.,.,.,.,.,.,.,.
"'101871",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"A+ UNLIMITED POTENTIAL",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'101872",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"ETOILE ACADEMY CHARTER SCHOOL",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'101873",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"YELLOWSTONE COLLEGE PREPARATORY",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'101874",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"LEGACY SCHOOL OF SPORT SCIENCES",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'101875",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"BLOOM ACADEMY CHARTER SCHOOL",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'101876",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"REVE PREPARATORY CHARTER SCHOOL",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'101878",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"HOUSTON CLASSICAL CHARTER SCHOOL",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'101902",17,8,40,13,4,38,6,0,24,12,4,27,15,4,35,8,0,28,51,29,69,34,9,63,32,0,65,0,0,11,11,0,22,0,0,13,16,7,37,14,4,39,7,1,25,9,3,24,13,3,34,7,0,24,16,6,36,13,4,38,7,0,25,13,5,33,15,4,41,8,1,28,17,7,40,14,4,39,7,1,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,6,37,9,3,33,4,0,19,19,8,40,13,3,36,6,0,23,14,6,35,9,2,32,3,0,18,17,5,23,16,2,21,11,1,17,27,13,48,29,8,53,20,2,41,"ALDINE ISD",17,7,39,14,4,40,8,0,26,13,5,30,13,3,34,5,1,22,13,1,32,7,3,32,1,0,20
"'101903",21,11,46,23,8,47,15,4,37,11,0,44,22,11,56,0,0,44,44,29,69,39,17,60,30,12,59,-1,-1,-1,-1,-1,-1,40,0,60,21,11,45,25,10,49,17,4,40,20,10,41,30,13,54,21,5,47,20,10,44,24,9,48,16,4,38,19,9,42,28,11,55,21,5,45,18,8,43,21,7,45,13,3,33,26,6,59,31,9,63,21,0,42,19,9,44,21,7,45,13,3,35,23,12,47,22,9,44,13,3,34,18,9,42,20,7,44,12,3,34,18,5,26,17,4,25,14,4,20,22,14,45,26,14,56,17,5,46,"ALIEF ISD",23,12,47,27,11,52,19,5,41,17,8,39,21,7,44,13,2,37,15,6,44,18,6,38,9,0,31
"'101905",36,23,64,29,10,61,21,5,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32,19,59,26,9,58,18,4,47,20,12,39,16,8,47,8,4,27,32,18,57,26,8,55,18,4,47,30,19,58,29,10,65,22,4,55,34,19,60,28,8,60,20,3,49,63,25,88,57,43,86,50,25,88,34,22,62,27,10,60,20,5,49,35,19,59,24,8,52,15,3,39,31,19,58,25,8,55,17,4,43,16,9,31,8,3,32,8,3,17,27,16,57,18,9,55,11,4,36,"CHANNELVIEW ISD",36,21,63,27,9,62,21,4,51,23,13,48,24,8,50,13,2,37,56,22,78,13,13,38,11,0,22
"'101906",35,15,64,36,11,69,23,2,57,40,40,60,33,17,50,33,0,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,36,20,63,39,15,71,29,6,62,13,2,38,22,11,49,14,0,37,29,14,56,34,12,66,23,4,52,31,17,61,41,18,76,35,9,69,35,18,65,38,13,71,26,4,59,-1,-1,-1,-1,-1,-1,-1,-1,-1,33,13,60,33,7,66,21,2,53,41,22,64,36,11,67,23,4,56,30,13,57,31,10,61,21,4,50,26,6,41,27,1,46,23,6,35,44,27,66,44,18,78,37,11,73,"CROSBY ISD",39,22,65,39,15,72,30,6,62,29,15,57,38,15,70,28,7,63,38,23,77,31,23,77,8,0,54
"'101907",29,16,55,32,13,64,24,6,55,47,29,71,52,30,79,44,14,70,65,49,86,63,37,87,56,23,84,29,14,86,43,14,86,29,0,86,36,22,60,41,20,69,32,10,61,19,9,41,30,13,58,21,5,49,22,11,47,29,11,59,20,4,48,33,19,58,44,22,73,35,12,65,26,13,52,32,13,63,23,6,52,32,20,56,29,18,53,20,2,48,16,6,39,15,4,45,10,1,34,39,25,63,38,18,65,28,9,57,27,15,52,31,13,62,23,6,52,24,9,34,22,7,36,17,4,28,56,37,79,56,32,81,47,17,76,"CYPRESS-FAIRBANKS ISD",39,25,64,44,22,72,34,12,64,27,14,50,33,15,60,25,6,52,38,24,65,43,20,67,32,7,61
"'101908",23,12,49,13,4,43,10,2,31,67,42,75,62,38,69,46,15,62,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,42,26,67,37,17,65,25,6,51,17,9,43,17,9,43,5,0,29,31,17,56,28,11,56,18,4,42,38,24,62,38,19,66,26,7,55,34,21,62,30,12,60,20,5,47,.,.,.,.,.,.,.,.,.,23,12,49,13,4,43,10,2,30,47,29,71,35,15,64,24,6,47,21,9,49,11,2,39,6,1,23,18,8,32,18,5,34,11,1,23,57,37,77,48,26,74,34,8,60,"DEER PARK ISD",44,28,69,39,19,68,27,7,53,37,21,60,30,11,57,20,5,45,50,36,79,33,7,67,20,20,47
"'101910",33,17,61,29,13,56,20,5,47,20,20,70,50,20,80,30,10,70,75,50,100,50,38,75,38,25,88,.,.,.,.,.,.,.,.,.,29,15,56,29,13,57,20,5,46,19,9,43,25,10,51,16,4,40,27,14,54,26,11,54,17,4,43,27,13,54,30,14,59,22,6,51,31,16,58,30,13,57,20,4,46,20,20,20,0,0,40,0,0,20,32,15,60,27,11,55,18,4,45,32,17,59,28,11,54,17,3,40,28,14,55,26,11,53,17,4,42,16,3,24,11,2,20,12,2,19,36,11,64,30,17,63,19,6,48,"GALENA PARK ISD",31,16,58,31,14,58,21,5,47,25,12,51,25,10,53,14,3,43,31,8,54,23,23,38,15,0,46
"'101911",31,16,59,31,11,59,21,4,49,24,11,51,38,22,59,27,5,57,73,50,86,61,35,78,59,9,82,-1,-1,-1,-1,-1,-1,-1,-1,-1,32,18,58,34,14,60,23,5,51,16,5,40,22,6,45,11,3,37,28,14,54,28,10,55,18,3,46,29,14,54,35,14,63,26,5,57,33,18,59,33,14,62,23,5,52,14,14,29,29,0,43,14,14,29,23,11,51,23,6,52,13,2,40,35,21,61,32,14,57,19,5,46,21,10,46,19,5,47,11,2,37,17,6,26,16,5,27,12,3,19,40,26,67,42,21,65,27,8,57,"GOOSE CREEK CISD",35,19,61,35,15,62,24,5,52,23,14,49,29,10,55,19,4,46,28,14,62,21,3,59,7,3,28
"'101912",22,12,45,24,10,49,15,4,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,70,57,84,67,47,84,62,35,81,-1,-1,-1,-1,-1,-1,0,0,20,28,16,49,31,15,56,22,8,44,17,8,35,23,9,48,14,4,34,20,9,41,23,9,49,14,3,36,25,14,46,34,17,60,25,9,49,22,11,45,25,10,51,16,4,39,38,23,46,31,23,54,20,20,33,19,10,41,20,7,46,12,3,34,30,18,51,29,14,52,19,7,40,19,9,39,20,7,45,12,3,32,22,8,31,22,6,30,18,6,23,61,44,79,66,44,84,55,26,77,"HOUSTON ISD",29,17,50,32,16,57,23,8,46,22,13,42,27,13,51,18,6,38,34,22,53,37,20,55,26,9,45
"'101913",25,12,47,20,6,49,13,3,36,35,22,65,34,22,72,26,7,59,57,36,77,52,30,82,41,15,77,33,25,67,33,8,50,25,8,75,35,21,59,37,17,64,26,7,53,18,8,42,25,10,51,16,2,39,21,10,43,22,7,48,15,3,34,33,19,58,41,20,69,31,9,59,28,14,53,29,11,58,20,5,44,60,40,80,60,0,100,40,0,100,20,9,43,15,4,44,9,1,30,38,22,61,33,14,60,21,5,47,15,6,37,16,5,43,9,1,31,21,8,33,19,8,36,14,3,26,53,34,75,53,28,78,38,12,70,"HUMBLE ISD",39,23,63,40,19,68,28,8,56,27,16,50,30,13,57,22,5,46,34,21,57,34,17,58,10,2,42
"'101914",56,39,77,51,29,79,42,16,71,60,40,78,55,31,81,46,17,74,85,71,96,78,53,94,72,38,93,-1,-1,-1,-1,-1,-1,-1,-1,-1,59,41,79,56,32,81,46,18,73,37,19,61,40,19,68,32,9,59,37,20,62,37,16,68,26,6,56,56,38,77,60,35,84,51,22,78,44,26,69,42,21,74,31,8,62,50,25,75,17,0,58,31,15,69,43,26,68,36,18,71,28,8,60,63,44,81,53,29,79,40,14,69,41,24,66,35,17,69,27,7,57,34,16,50,27,10,51,19,4,37,69,49,87,65,37,87,52,19,80,"KATY ISD",63,45,82,59,34,83,48,19,76,50,34,73,50,28,78,41,15,69,61,42,88,58,30,88,45,17,80
"'101915",34,20,63,31,14,64,24,7,52,50,29,77,52,29,77,42,12,68,63,48,84,55,34,88,53,22,84,-1,-1,-1,-1,-1,-1,-1,-1,-1,41,24,68,41,20,70,32,11,61,22,10,51,29,11,58,22,6,48,28,14,57,28,10,60,20,5,49,36,20,65,43,20,74,35,12,66,32,16,62,33,13,64,24,6,53,86,14,86,14,0,71,14,0,43,28,15,58,24,9,59,17,3,45,46,28,71,40,19,67,30,9,56,26,13,55,22,8,56,15,3,41,25,8,41,20,6,37,15,4,29,56,37,82,55,30,81,44,16,73,"KLEIN ISD",45,28,72,45,22,73,36,12,64,32,17,59,33,15,63,24,7,54,44,21,74,30,14,70,30,11,63
